,10Hz,30Hz,50Hz
Speed,112.1,274.7,327.4
Std,6.0,20.7,55.6
stab time,88,184,278.5
Mean H,2.60,3.21,3.21
Std ,0.37,0.31,0.37
Mean Angle,0.17,1.10,3.73
Std ,1.59,2.60,1.59
