,10Hz,30Hz,50Hz
Speed,83.2,179.6,263.3
Std,1.4,17.9,25.7
stab time,55,153,237.5
Mean H,2.19,3.39,3.74
Std ,0.64,0.73,0.64
Mean Angle,3.34,0.84,2.28
Std ,4.99,6.26,4.99
