,10Hz,30Hz,50Hz
Speed,143.2,449.3,709.1
Std,1.3,18.3,11.6
stab time,89,213,253
Mean H,2.73,3.16,3.05
Std ,0.20,0.15,0.20
Mean Angle,-0.05,1.03,0.66
Std ,1.16,1.43,1.16
