scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene2,10.0,7,9.96,FALSE,19.64,1.089,19.5,0.0000,0.0701,-0.0281
scene2,10.0,8,-2.76,FALSE,74.56,0.183,19.0,0.0000,0.0045,-0.3683
scene2,10.0,9,-1.84,FALSE,30.46,1.172,95.0,0.1511,0.1287,0.1275
scene2,10.0,10,3.31,FALSE,18.15,0.203,106.9,0.2710,0.0184,0.1987
scene2,10.0,11,-2.13,FALSE,45.98,0.787,165.0,1.3601,0.0423,1.1725
scene2,10.0,12,-8.54,FALSE,21.81,0.095,3.5,0.0000,0.0036,-0.1054
scene2,10.0,13,-9.53,FALSE,15.36,0.661,5.8,0.0000,0.0480,-0.0288
scene2,10.0,14,-8.00,FALSE,50.23,0.763,8.0,0.0000,0.0799,-0.1712
scene2,10.0,15,0.43,FALSE,6.42,0.184,18.2,0.0000,0.1433,0.1112
scene2,10.0,16,-3.14,FALSE,12.23,1.415,74.2,0.0251,0.1369,0.1008
scene2,10.0,17,9.44,FALSE,45.32,0.449,177.5,1.7033,0.1294,1.6061
scene2,10.0,18,-10.40,FALSE,29.71,0.247,6.0,0.0000,0.0149,-0.1337
scene2,10.0,19,-9.06,FALSE,4.14,0.677,156.9,1.1581,0.0927,1.2301
scene2,30.0,0,-1.26,FALSE,24.77,0.406,176.4,1.6729,0.0993,1.6484
scene2,30.0,1,8.91,FALSE,9.36,0.790,123.1,0.4910,0.1486,0.5928
scene2,30.0,2,-3.93,FALSE,18.54,0.209,144.0,0.8707,0.0723,0.8503
scene2,30.0,3,3.87,FALSE,32.72,0.722,21.3,0.0000,0.0647,-0.0989
scene2,30.0,4,-6.11,FALSE,-5.51,0.214,174.8,1.6263,0.0465,1.7003
scene2,30.0,5,2.35,FALSE,1.95,0.464,105.2,0.2521,0.0850,0.3274
scene2,30.0,6,0.35,FALSE,16.32,0.110,171.0,1.5203,0.0174,1.4561
scene2,30.0,7,6.39,FALSE,101.21,0.692,88.3,0.0990,0.1512,-0.2559
scene2,30.0,8,-6.81,FALSE,9.29,0.118,44.8,0.0000,0.1143,0.0679
scene2,30.0,9,-8.32,FALSE,47.47,0.893,178.6,1.7370,0.1456,1.6452
scene2,30.0,10,4.64,FALSE,-6.59,0.875,45.7,0.0000,0.1649,0.1979
scene2,30.0,11,-8.27,FALSE,20.82,1.268,96.5,0.1642,0.0607,0.1208
scene2,30.0,12,6.24,FALSE,25.88,0.173,71.1,0.0152,0.0536,-0.0607
scene2,30.0,13,-0.32,FALSE,27.89,0.677,17.9,0.0000,0.0898,-0.0496
scene2,30.0,14,10.06,FALSE,-1.88,0.659,43.4,0.0000,0.0762,0.0855
scene2,30.0,15,-5.47,FALSE,37.23,0.578,63.0,0.0011,0.1153,-0.0697
scene2,30.0,16,-10.12,FALSE,36.47,1.691,176.2,1.6662,0.0696,1.5534
scene2,30.0,17,5.58,FALSE,59.91,0.153,154.6,1.1045,0.1299,0.9349
scene2,30.0,18,-3.47,FALSE,32.62,0.969,154.1,1.0930,0.0321,0.9619
scene2,30.0,19,-0.82,FALSE,6.46,0.992,93.0,0.1343,0.1818,0.2838
scene2,50.0,0,-7.13,FALSE,-3.98,0.992,80.1,0.0498,0.0967,0.1663
scene2,50.0,1,4.43,FALSE,-8.59,0.077,90.7,0.1163,0.1235,0.2828
scene2,50.0,2,-6.49,FALSE,49.31,0.948,159.1,1.2134,0.1244,1.0912
scene2,50.0,3,5.38,FALSE,24.61,1.073,14.6,0.0000,0.1192,-0.0039
scene2,50.0,4,-9.70,FALSE,7.69,1.363,161.2,1.2641,0.0281,1.2537
scene2,50.0,5,-7.13,FALSE,6.26,0.266,71.6,0.0166,0.1223,0.1076
scene2,50.0,6,0.62,FALSE,39.31,0.351,120.9,0.4585,0.1025,0.3644
scene2,50.0,7,-7.03,FALSE,15.02,1.544,76.0,0.0316,0.1005,0.0570
