,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
3.2E-02,1.333967E-01,2.857906E-03,1.332163E-02,2.206943E-03,1.399506E-01,2.999184E-03,5.1254E-02,-1.211519E-02,-1.168584E+02,-4.074655E+03,1.234891E+00
3.3E-02,1.334071E-01,2.852886E-03,8.214751E-03,1.175008E-03,1.400126E-01,2.981615E-03,5.370046E-02,-1.730279E-02,-1.234796E+02,-3.288166E+03,1.116442E+00
3.4E-02,1.334131E-01,2.860256E-03,1.17218E-05,4.551429E-03,1.40058E-01,2.964578E-03,2.835976E-02,-1.240423E-02,-1.234347E+02,2.966148E+01,8.994498E-01
3.5E-02,1.334071E-01,2.861989E-03,3.731371E-03,2.097678E-03,1.400693E-01,2.956806E-03,1.229914E-02,-1.174519E-02,-1.234203E+02,2.255443E+02,8.153844E-01
3.6E-02,1.334206E-01,2.864451E-03,7.832707E-03,-4.355807E-03,1.400826E-01,2.941088E-03,9.594219E-03,-1.686167E-02,-1.229836E+02,4.281578E+02,6.590746E-01
3.7E-02,1.334228E-01,2.853277E-03,1.229896E-02,1.907491E-03,1.400885E-01,2.923083E-03,9.105702E-03,-9.301136E-03,-1.22564E+02,3.11173E+02,5.999965E-01
3.8E-02,1.334452E-01,2.868266E-03,1.44265E-02,1.448051E-02,1.401008E-01,2.922486E-03,3.38881E-03,-1.115862E-02,-1.223613E+02,4.33087E+03,4.667451E-01
3.9E-02,1.334516E-01,2.882238E-03,8.32338E-04,-1.050276E-02,1.400953E-01,2.900766E-03,-1.56347E-02,6.346508E-04,-1.139022E+02,4.757497E+03,1.597813E-01
4E-02,1.334468E-01,2.84726E-03,6.365105E-03,-9.899775E-03,1.400696E-01,2.923755E-03,-1.438039E-02,1.47575E-02,-1.128463E+02,5.246129E+02,6.617552E-01
4.1E-02,1.334644E-01,2.862439E-03,2.281918E-02,1.720288E-02,1.400665E-01,2.930281E-03,-1.261013E-02,2.819275E-02,-1.12853E+02,3.640794E+02,5.88733E-01
4.2E-02,1.334925E-01,2.881666E-03,3.389094E-02,1.626062E-02,1.400443E-01,2.98014E-03,-2.884201E-02,4.845478E-02,-1.121181E+02,4.513337E+03,8.610888E-01
4.3E-02,1.335321E-01,2.89496E-03,4.717959E-02,2.758729E-02,1.400088E-01,3.02719E-03,-2.344425E-02,2.523308E-02,-1.038263E+02,5.362901E+03,1.169604E+00
4.4E-02,1.335868E-01,2.936841E-03,2.279217E-02,1.678927E-02,1.399974E-01,3.030607E-03,-3.438373E-02,8.598E-03,-1.013923E+02,1.971456E+03,8.379858E-01
4.5E-02,1.335777E-01,2.928539E-03,-1.3179E-03,3.56226E-03,1.399401E-01,3.044386E-03,-3.915894E-02,1.377976E-02,-9.988344E+01,1.762737E+03,1.043144E+00
4.6E-02,1.335842E-01,2.943965E-03,4.422063E-03,4.55451E-04,1.399191E-01,3.058166E-03,-1.229192E-02,2.383448E-03,-9.786685E+01,2.903232E+03,1.032768E+00
4.7E-02,1.335866E-01,2.929449E-03,-3.866636E-03,-2.138812E-02,1.399155E-01,3.049153E-03,1.071065E-03,-9.605496E-03,-9.407697E+01,4.562689E+03,1.083549E+00
4.8E-02,1.335765E-01,2.901189E-03,-2.925836E-02,-2.684799E-02,1.399213E-01,3.038955E-03,-1.345306E-02,5.319549E-03,-8.874147E+01,5.751654E+03,1.243879E+00
4.9E-02,1.335281E-01,2.875753E-03,-5.754522E-02,-1.322395E-02,1.398886E-01,3.059792E-03,-8.75229E-02,2.467714E-02,-8.257367E+01,5.907896E+03,1.657361E+00
5E-02,1.334614E-01,2.874741E-03,-8.774306E-02,1.872572E-02,1.397462E-01,3.088309E-03,-8.7761E-02,6.830424E-03,-7.692568E+01,5.298395E+03,1.946242E+00
5.1E-02,1.333526E-01,2.913205E-03,-1.082178E-01,2.18003E-02,1.397131E-01,3.073453E-03,-3.131874E-02,-1.212726E-02,-7.197688E+01,3.910624E+03,1.44322E+00
5.2E-02,1.332449E-01,2.918342E-03,-1.303326E-01,1.412874E-02,1.396836E-01,3.064055E-03,-4.23919E-02,-1.016424E-02,-6.910443E+01,5.064892E+03,1.296439E+00
5.3E-02,1.330919E-01,2.941462E-03,-1.015763E-01,8.216973E-03,1.396283E-01,3.053125E-03,-7.318049E-02,-6.376797E-03,-6.184709E+01,4.997255E+03,9.78699E-01
5.4E-02,1.330418E-01,2.934776E-03,-4.907424E-02,-3.338862E-03,1.395372E-01,3.051301E-03,-5.499586E-02,-2.126774E-02,-5.910992E+01,8.801094E+03,1.027752E+00
5.5E-02,1.329938E-01,2.934785E-03,-8.507481E-02,5.24325E-02,1.395183E-01,3.010589E-03,-6.421157E-02,-5.096057E-02,-4.42449E+01,1.297654E+04,6.656528E-01
5.6E-02,1.328716E-01,3.039641E-03,-6.610519E-02,6.327346E-02,1.394088E-01,2.94938E-03,-8.919925E-02,-5.262643E-02,-3.315684E+01,1.099634E+04,-7.91047E-01
5.7E-02,1.328615E-01,3.061332E-03,-9.688041E-03,2.85441E-02,1.393399E-01,2.905336E-03,-8.37235E-02,-3.046845E-03,-2.225223E+01,1.073361E+04,-1.379388E+00
5.8E-02,1.328522E-01,3.096729E-03,-7.222151E-02,3.28588E-02,1.392414E-01,2.943286E-03,-9.358689E-02,8.805867E-04,-1.168962E+01,1.121828E+04,-1.375765E+00
5.9E-02,1.327171E-01,3.127049E-03,-9.627148E-02,1.266039E-02,1.391527E-01,2.907097E-03,-9.833671E-02,4.314285E-03,1.843351E-01,1.508673E+04,-1.957452E+00
6E-02,1.326597E-01,3.12205E-03,-7.37772E-02,4.707511E-04,1.390447E-01,2.951915E-03,-9.262136E-02,1.625259E-03,1.848383E+01,1.391987E+04,-1.526347E+00
6.1E-02,1.325696E-01,3.127991E-03,-8.080119E-02,-2.152747E-02,1.389675E-01,2.910348E-03,-1.013219E-01,-1.191506E-02,2.802408E+01,1.29114E+04,-1.94832E+00
6.2E-02,1.324981E-01,3.078995E-03,-5.984913E-02,-4.262001E-02,1.38842E-01,2.928085E-03,-9.835522E-02,2.648497E-02,4.430664E+01,1.316437E+04,-1.362697E+00
6.3E-02,1.324499E-01,3.042751E-03,-7.38125E-02,-2.545547E-02,1.387708E-01,2.963318E-03,-7.611545E-02,4.785004E-02,5.435282E+01,8.94931E+03,-7.199795E-01
6.4E-02,1.323505E-01,3.028084E-03,-1.326068E-01,1.252567E-02,1.386898E-01,3.023785E-03,-7.0742E-02,2.985617E-02,6.220526E+01,6.05439E+03,-3.885237E-02
6.5E-02,1.321846E-01,3.067802E-03,-1.572922E-01,2.316846E-02,1.386293E-01,3.02303E-03,-5.371567E-02,8.308827E-03,6.64616E+01,3.510088E+03,-3.980359E-01
6.6E-02,1.320359E-01,3.074421E-03,-1.445701E-01,-1.488718E-02,1.385824E-01,3.040403E-03,-9.033145E-02,1.30304E-02,6.922543E+01,2.426936E+03,-2.977277E-01
6.7E-02,1.318955E-01,3.038028E-03,-1.381269E-01,-1.011133E-02,1.384486E-01,3.049091E-03,-9.016864E-02,1.316938E-02,7.131547E+01,2.20513E+03,9.672898E-02
6.8E-02,1.317596E-01,3.054198E-03,-1.457488E-01,2.029412E-02,1.38402E-01,3.066741E-03,-1.06164E-01,9.105769E-03,7.363569E+01,2.463683E+03,1.081966E-01
6.9E-02,1.31604E-01,3.078616E-03,-1.114356E-01,8.737696E-03,1.382363E-01,3.067302E-03,-1.264571E-01,-9.647199E-03,7.624284E+01,1.678692E+03,-9.773576E-02
7E-02,1.315368E-01,3.071673E-03,-7.575084E-02,2.593712E-03,1.381491E-01,3.047447E-03,-1.317944E-01,-1.426771E-02,7.699308E+01,8.276579E+02,-2.099194E-01
7.1E-02,1.314525E-01,3.083803E-03,-7.445025E-02,-9.027128E-04,1.379727E-01,3.038767E-03,-1.721183E-01,-1.836208E-03,7.789815E+01,9.97144E+02,-3.957464E-01
7.2E-02,1.313879E-01,3.069868E-03,-9.169575E-02,-1.078691E-03,1.378049E-01,3.043775E-03,-1.636642E-01,3.157158E-02,7.898736E+01,2.642919E+02,-2.32979E-01
7.3E-02,1.312691E-01,3.081646E-03,-8.858859E-02,1.640991E-02,1.376454E-01,3.10191E-03,-1.415239E-01,4.518952E-02,7.842673E+01,-9.595741E+02,1.820896E-01
7.4E-02,1.312107E-01,3.102688E-03,-6.253464E-02,-1.128741E-02,1.375218E-01,3.134154E-03,-9.258374E-02,4.785896E-03,7.706822E+01,-1.625251E+03,2.856608E-01
7.5E-02,1.31144E-01,3.059071E-03,-8.867335E-02,-1.21416E-02,1.374602E-01,3.111482E-03,-1.101608E-01,-2.906198E-02,7.517623E+01,-2.791317E+03,4.75423E-01
7.6E-02,1.310333E-01,3.078405E-03,-8.83211E-02,4.595619E-04,1.373015E-01,3.07603E-03,-1.189037E-01,-2.866428E-02,7.148558E+01,-3.416222E+03,-2.17081E-02
7.7E-02,1.309674E-01,3.05999E-03,-9.620652E-02,9.833772E-04,1.372224E-01,3.054153E-03,-1.063506E-01,-1.877362E-02,6.834379E+01,-4.86777E+03,-5.346519E-02
7.8E-02,1.308409E-01,3.080371E-03,-1.403002E-01,1.277764E-02,1.370888E-01,3.038482E-03,-1.606083E-01,-5.219021E-04,6.175004E+01,-3.751942E+03,-3.841331E-01
7.9E-02,1.306868E-01,3.085546E-03,-1.314807E-01,-2.237419E-03,1.369012E-01,3.05311E-03,-1.663133E-01,8.288543E-04,6.083991E+01,-8.880125E+02,-2.990516E-01
8E-02,1.30578E-01,3.075896E-03,-1.201781E-01,6.119505E-04,1.367562E-01,3.04014E-03,-1.566053E-01,-9.02821E-04,5.997402E+01,-4.499369E+02,-3.315944E-01
8.1E-02,1.304464E-01,3.086769E-03,-1.461906E-01,3.065151E-03,1.36588E-01,3.051304E-03,-1.17094E-01,-9.723976E-04,5.994003E+01,-7.037816E+02,-3.308615E-01
8.2E-02,1.302856E-01,3.082027E-03,-1.122365E-01,1.213023E-03,1.36522E-01,3.038195E-03,-5.819311E-02,5.521368E-03,5.856645E+01,-2.680081E+02,-4.026856E-01
8.3E-02,1.30222E-01,3.089195E-03,-1.046198E-01,3.050069E-03,1.364716E-01,3.062347E-03,-9.989233E-02,-6.576214E-03,5.940402E+01,7.50476E+01,-2.461446E-01
8.4E-02,1.300763E-01,3.088127E-03,-1.054488E-01,-2.486112E-03,1.363222E-01,3.025043E-03,-1.114414E-01,-5.835954E-03,5.871655E+01,2.392371E+02,-5.786743E-01
8.5E-02,1.300111E-01,3.084223E-03,-8.437593E-02,1.436117E-03,1.362487E-01,3.050675E-03,-1.01774E-01,1.268462E-02,5.988249E+01,3.629105E+03,-3.08156E-01
8.6E-02,1.299076E-01,3.090999E-03,-1.00809E-01,-2.48434E-03,1.361187E-01,3.050412E-03,-1.418196E-01,1.734904E-03,6.597476E+01,3.92212E+03,-3.744007E-01
8.7E-02,1.298095E-01,3.079255E-03,-9.631927E-02,1.672842E-02,1.359651E-01,3.054145E-03,-1.506398E-01,4.516111E-04,6.772673E+01,5.553218E+03,-2.337193E-01
8.8E-02,1.29715E-01,3.124456E-03,-1.179689E-01,1.417706E-02,1.358174E-01,3.051315E-03,-1.349944E-01,-3.581393E-03,7.708119E+01,4.879653E+03,-6.866849E-01
8.9E-02,1.295735E-01,3.107609E-03,-1.564939E-01,-8.753596E-03,1.356951E-01,3.046982E-03,-1.452596E-01,-1.312754E-03,7.748604E+01,2.316441E+03,-5.674284E-01
9E-02,1.29402E-01,3.106949E-03,-1.796307E-01,-2.663504E-03,1.355269E-01,3.04869E-03,-1.51717E-01,1.433957E-03,8.171408E+01,4.92075E+03,-5.449705E-01
9.1E-02,1.292143E-01,3.102282E-03,-1.831862E-01,5.139267E-03,1.353916E-01,3.04985E-03,-1.313826E-01,-1.799798E-03,8.732754E+01,4.280396E+03,-4.862985E-01
9.2E-02,1.290356E-01,3.117227E-03,-1.836588E-01,4.187318E-03,1.352641E-01,3.04509E-03,-1.548757E-01,-7.028432E-03,9.027487E+01,3.220383E+03,-6.635562E-01
9.3E-02,1.288469E-01,3.110656E-03,-1.879306E-01,-2.908163E-03,1.350819E-01,3.035793E-03,-1.95596E-01,-1.089429E-03,9.37683E+01,3.812308E+03,-6.879201E-01
9.4E-02,1.286597E-01,3.111411E-03,-1.919555E-01,-2.869823E-03,1.348729E-01,3.042911E-03,-1.899558E-01,-6.402233E-03,9.789949E+01,4.13577E+03,-6.316541E-01
9.5E-02,1.28463E-01,3.104917E-03,-1.990996E-01,-5.112337E-03,1.34702E-01,3.022988E-03,-1.620655E-01,-7.408593E-03,1.020398E+02,4.996462E+03,-7.52349E-01
9.6E-02,1.282615E-01,3.101186E-03,-1.972301E-01,-1.76436E-03,1.345488E-01,3.028094E-03,-1.253379E-01,-1.034227E-02,1.078924E+02,4.007209E+03,-6.660597E-01
9.7E-02,1.280686E-01,3.101388E-03,-1.791696E-01,-5.52903E-03,1.344513E-01,3.002304E-03,-1.183589E-01,-6.104235E-04,1.100543E+02,2.033333E+03,-8.893738E-01
9.8E-02,1.279032E-01,3.090128E-03,-1.758131E-01,-6.643714E-03,1.343121E-01,3.026873E-03,-1.352043E-01,1.61673E-02,1.119591E+02,3.223617E+03,-5.654854E-01
9.9E-02,1.277169E-01,3.088101E-03,-1.823222E-01,-2.520314E-03,1.341809E-01,3.034638E-03,-1.508234E-01,8.505915E-03,1.165015E+02,2.847654E+03,-4.738705E-01
1E-01,1.275386E-01,3.085088E-03,-1.702703E-01,-2.996596E-03,1.340104E-01,3.043885E-03,-1.75387E-01,5.276362E-03,1.176544E+02,3.207681E+03,-3.647625E-01
1.01E-01,1.273764E-01,3.082107E-03,-1.568537E-01,-2.535315E-03,1.338301E-01,3.045191E-03,-2.044146E-01,-1.386775E-03,1.229169E+02,5.684018E+03,-3.277355E-01
1.02E-01,1.272248E-01,3.080017E-03,-1.609492E-01,1.207681E-02,1.336016E-01,3.041112E-03,-2.284789E-01,-8.117725E-03,1.290224E+02,6.311554E+03,-3.495648E-01
1.03E-01,1.270545E-01,3.106261E-03,-1.700545E-01,3.760515E-03,1.333732E-01,3.028956E-03,-2.308536E-01,4.144053E-03,1.3554E+02,5.638498E+03,-7.009455E-01
1.04E-01,1.268847E-01,3.087538E-03,-1.71186E-01,9.958421E-04,1.331399E-01,3.0494E-03,-2.214172E-01,6.741511E-02,1.402994E+02,9.286992E+03,-3.49334E-01
1.05E-01,1.267121E-01,3.108253E-03,-1.277962E-01,-1.149958E-02,1.329303E-01,3.163786E-03,-2.17915E-01,8.658919E-02,1.541139E+02,1.182106E+04,5.116819E-01
1.06E-01,1.266291E-01,3.064539E-03,-1.54186E-01,-3.696747E-02,1.327041E-01,3.222578E-03,-2.138408E-01,2.481005E-02,1.639415E+02,1.843788E+04,1.49022E+00
1.07E-01,1.264038E-01,3.034318E-03,-2.341388E-01,1.479899E-02,1.325026E-01,3.213406E-03,-1.616201E-01,-3.921562E-02,1.909897E+02,1.954165E+04,1.681955E+00
1.08E-01,1.261609E-01,3.094137E-03,-2.579162E-01,-1.245568E-02,1.323808E-01,3.144147E-03,-1.485204E-01,-7.976123E-02,2.030248E+02,1.204963E+04,4.606641E-01
1.09E-01,1.258879E-01,3.009406E-03,-2.586398E-01,-6.997598E-02,1.322056E-01,3.053884E-03,-2.083245E-01,-3.955172E-02,2.15089E+02,1.190937E+04,4.033627E-01
1.1E-01,1.256436E-01,2.954185E-03,-2.151784E-01,-4.12854E-02,1.319642E-01,3.065044E-03,-2.404329E-01,1.649051E-02,2.268436E+02,1.293514E+04,1.004826E+00
1.11E-01,1.254576E-01,2.926836E-03,-1.889409E-01,-6.836407E-03,1.317247E-01,3.086865E-03,-2.222467E-01,5.386995E-02,2.409592E+02,1.20502E+04,1.4627E+00
1.12E-01,1.252657E-01,2.940512E-03,-1.897833E-01,1.767782E-03,1.315197E-01,3.172783E-03,-2.028941E-01,6.064383E-02,2.50944E+02,8.390722E+03,2.12698E+00
1.13E-01,1.25078E-01,2.930371E-03,-2.029291E-01,-1.448674E-02,1.31319E-01,3.208152E-03,-2.112638E-01,3.102215E-02,2.577407E+02,5.48914E+03,2.548519E+00
1.14E-01,1.248598E-01,2.911539E-03,-2.409437E-01,4.09964E-02,1.310971E-01,3.234828E-03,-2.554078E-01,1.861614E-02,2.619223E+02,4.901334E+03,2.967079E+00
1.15E-01,1.245961E-01,3.012364E-03,-2.231072E-01,7.17455E-02,1.308081E-01,3.245385E-03,-2.698848E-01,6.307171E-02,2.675434E+02,4.547668E+03,2.148227E+00
1.16E-01,1.244136E-01,3.05503E-03,-1.850164E-01,3.175588E-02,1.305574E-01,3.360971E-03,-2.478644E-01,8.403753E-02,2.710176E+02,3.728571E+03,2.85082E+00
1.17E-01,1.242261E-01,3.075876E-03,-1.942032E-01,2.007052E-02,1.303124E-01,3.41346E-03,-2.713815E-01,3.74536E-02,2.750005E+02,5.568947E+03,3.174711E+00
1.18E-01,1.240252E-01,3.095171E-03,-2.01816E-01,1.30161E-02,1.300146E-01,3.435878E-03,-2.474469E-01,2.856232E-02,2.821555E+02,5.436983E+03,3.255779E+00
1.19E-01,1.238224E-01,3.101908E-03,-2.651674E-01,2.127326E-02,1.298175E-01,3.470584E-03,-2.012818E-01,-2.642483E-03,2.858745E+02,2.167904E+03,3.519065E+00
1.2E-01,1.234949E-01,3.137717E-03,-2.872155E-01,3.679207E-02,1.29612E-01,3.430593E-03,-2.03327E-01,-2.551044E-02,2.864913E+02,3.914139E+03,2.741107E+00
1.21E-01,1.23248E-01,3.175492E-03,-2.625282E-01,4.652606E-02,1.294109E-01,3.419563E-03,-2.317537E-01,-8.456347E-03,2.937027E+02,6.872533E+03,2.267939E+00
1.22E-01,1.229698E-01,3.230769E-03,-2.868714E-01,3.118049E-02,1.291485E-01,3.413681E-03,-2.402869E-01,-4.103589E-02,3.002364E+02,7.944223E+03,1.695662E+00
1.23E-01,1.226743E-01,3.237853E-03,-2.759359E-01,2.075534E-02,1.289303E-01,3.337492E-03,-2.340269E-01,-1.447206E-01,3.095912E+02,9.484738E+03,9.124648E-01
1.24E-01,1.22418E-01,3.27228E-03,-2.20347E-01,2.86292E-02,1.286805E-01,3.124239E-03,-2.79311E-01,-1.469062E-01,3.192058E+02,9.811449E+03,-1.35417E+00
1.25E-01,1.222336E-01,3.295111E-03,-2.085049E-01,7.641913E-03,1.283717E-01,3.043679E-03,-2.8184E-01,-4.001752E-02,3.292141E+02,9.125342E+03,-2.345674E+00
1.26E-01,1.22001E-01,3.287564E-03,-2.572648E-01,-7.227078E-03,1.281168E-01,3.044204E-03,-2.488062E-01,7.549609E-03,3.374565E+02,8.911148E+03,-2.278689E+00
1.27E-01,1.21719E-01,3.280657E-03,-2.520826E-01,-1.084367E-02,1.278741E-01,3.058778E-03,-2.512055E-01,1.01383E-02,3.470364E+02,9.872406E+03,-2.064534E+00
1.28E-01,1.214968E-01,3.265876E-03,-2.522533E-01,-1.278208E-02,1.276144E-01,3.064481E-03,-2.461245E-01,7.863663E-03,3.572013E+02,8.002387E+03,-1.885533E+00
1.29E-01,1.212145E-01,3.255093E-03,-2.967648E-01,-2.828648E-02,1.273818E-01,3.074506E-03,-2.27145E-01,-1.115786E-02,3.630412E+02,7.437877E+03,-1.677232E+00
1.3E-01,1.209033E-01,3.209304E-03,-2.927321E-01,4.926383E-03,1.271601E-01,3.042165E-03,-2.020913E-01,-1.034799E-02,3.720771E+02,7.890288E+03,-1.530171E+00
1.31E-01,1.206291E-01,3.264946E-03,-2.753508E-01,4.230626E-02,1.269776E-01,3.05381E-03,-2.254677E-01,6.595183E-02,3.788217E+02,6.94692E+03,-1.904806E+00
