,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
0E+00,1.338527E-01,2.896132E-03,,,1.399953E-01,2.919487E-03,,,9.32397E+01,,2.178536E-01
1E-03,1.338428E-01,2.96756E-03,4.072877E-03,4.02582E-02,1.399647E-01,2.984875E-03,-9.835786E-03,3.676388E-02,9.351141E+01,2.209397E+02,1.620545E-01
2E-03,1.338608E-01,2.976648E-03,2.17151E-03,1.720868E-04,1.399756E-01,2.993015E-03,1.949032E-02,3.934997E-04,9.368158E+01,1.630008E+01,1.533615E-01
3E-03,1.338472E-01,2.967904E-03,6.125824E-04,-5.330638E-03,1.400037E-01,2.985662E-03,4.456448E-02,-6.323443E-03,9.354401E+01,-3.993415E+01,1.652639E-01
4E-03,1.33862E-01,2.965987E-03,6.712916E-03,6.070491E-03,1.400647E-01,2.980368E-03,4.494097E-02,-8.015039E-03,9.360171E+01,-8.567257E+01,1.328466E-01
5E-03,1.338606E-01,2.980045E-03,1.6141E-02,8.850833E-04,1.400936E-01,2.969632E-03,8.73817E-02,-9.748258E-03,9.337266E+01,-6.841452E+01,-9.572105E-02
6E-03,1.338943E-01,2.967757E-03,1.509155E-02,9.314215E-04,1.402395E-01,2.960872E-03,1.019767E-01,-1.472044E-02,9.346488E+01,-1.778251E+01,-6.217066E-02
7E-03,1.338908E-01,2.981908E-03,-2.99044E-03,7.953568E-03,1.402975E-01,2.940191E-03,9.620533E-02,-1.354849E-02,9.33371E+01,-1.578483E+02,-3.730697E-01
8E-03,1.338883E-01,2.983664E-03,8.584766E-03,-5.848082E-04,1.404319E-01,2.933775E-03,1.05844E-01,-1.987533E-02,9.314919E+01,-1.220724E+02,-4.368236E-01
9E-03,1.339079E-01,2.980738E-03,7.515491E-03,-4.647696E-03,1.405092E-01,2.90044E-03,7.887914E-02,-2.339396E-02,9.309295E+01,2.979566E+01,-6.969116E-01
1E-02,1.339034E-01,2.974369E-03,0E+00,0E+00,1.405897E-01,2.886987E-03,5.262324E-02,-2.703946E-04,9.320878E+01,1.827138E+02,-7.487437E-01
1.1E-02,1.339047E-01,2.977515E-03,-1.010557E-02,-3.099544E-03,1.406145E-01,2.899899E-03,1.125297E-03,8.092217E-03,9.345838E+01,2.326829E+02,-6.627444E-01
1.2E-02,1.338832E-01,2.968169E-03,-3.422208E-02,-5.145419E-03,1.405919E-01,2.903171E-03,-4.704541E-02,1.744484E-02,9.367414E+01,1.709235E+02,-5.550965E-01
1.3E-02,1.338362E-01,2.967225E-03,-4.817483E-02,-1.464918E-03,1.405204E-01,2.934789E-03,-6.978011E-02,3.865267E-02,9.380023E+01,9.225353E+02,-2.780326E-01
1.4E-02,1.337868E-01,2.96524E-03,-3.080549E-02,-8.444633E-03,1.404523E-01,2.980477E-03,-5.436465E-02,2.574489E-02,9.551921E+01,3.86159E+03,1.309744E-01
1.5E-02,1.337746E-01,2.950335E-03,4.422116E-03,-1.188216E-02,1.404116E-01,2.986279E-03,-1.837506E-02,1.05696E-02,1.015234E+02,8.321056E+03,3.102869E-01
1.6E-02,1.337956E-01,2.941475E-03,2.924181E-02,-1.313711E-02,1.404156E-01,3.001616E-03,-7.69939E-03,6.606366E-03,1.121613E+02,1.309395E+04,5.205034E-01
1.7E-02,1.338331E-01,2.924061E-03,4.863498E-02,-2.987212E-02,1.403962E-01,2.999491E-03,-7.646018E-03,-7.353026E-03,1.277113E+02,1.724928E+04,6.584718E-01
1.8E-02,1.338929E-01,2.881731E-03,2.457127E-02,4.896058E-03,1.404003E-01,2.98691E-03,-1.234649E-02,-3.091661E-02,1.466599E+02,1.692137E+04,9.259901E-01
1.9E-02,1.338822E-01,2.933853E-03,-6.160314E-02,1.129882E-01,1.403716E-01,2.937658E-03,-2.237769E-02,-7.590268E-02,1.61554E+02,8.621503E+03,3.359523E-02
2E-02,1.337697E-01,3.107707E-03,-6.80783E-02,1.261311E-01,1.403555E-01,2.835104E-03,-9.715654E-03,-6.902649E-02,1.639029E+02,3.955286E+03,-2.370253E+00
2.1E-02,1.337461E-01,3.186115E-03,-8.163989E-02,1.042313E-01,1.403521E-01,2.799605E-03,-3.514274E-02,6.975509E-02,1.694646E+02,7.077153E+03,-3.348478E+00
2.2E-02,1.336064E-01,3.31617E-03,-1.077803E-01,7.406353E-02,1.402853E-01,2.974615E-03,-8.629648E-02,1.560433E-01,1.780572E+02,1.094827E+04,-2.927558E+00
2.3E-02,1.335305E-01,3.334242E-03,-9.939491E-02,3.047086E-02,1.401795E-01,3.111692E-03,-1.009785E-01,1.19136E-01,1.913611E+02,1.454838E+04,-1.917046E+00
2.4E-02,1.334076E-01,3.377112E-03,-1.151171E-01,2.183022E-02,1.400833E-01,3.212887E-03,-6.62286E-02,9.830699E-02,2.07154E+02,1.830019E+04,-1.409225E+00
2.5E-02,1.333003E-01,3.377903E-03,-1.274712E-01,3.05007E-02,1.400471E-01,3.308306E-03,-5.926872E-02,8.236265E-02,2.279615E+02,2.198216E+04,-5.910187E-01
2.6E-02,1.331527E-01,3.438113E-03,-1.461973E-01,6.171124E-02,1.399648E-01,3.377612E-03,-5.304193E-02,3.962456E-02,2.511183E+02,2.402707E+04,-5.088584E-01
2.7E-02,1.330079E-01,3.501325E-03,-1.585173E-01,5.993499E-02,1.39941E-01,3.387555E-03,-4.215777E-02,1.561692E-02,2.760157E+02,2.497972E+04,-9.401255E-01
2.8E-02,1.328357E-01,3.557983E-03,-1.081194E-01,5.449953E-02,1.398804E-01,3.408846E-03,-7.680496E-02,1.864102E-02,3.010777E+02,2.414121E+04,-1.212765E+00
2.9E-02,1.327917E-01,3.610324E-03,-1.772743E-02,4.978788E-02,1.397874E-01,3.424837E-03,-7.516683E-02,2.133292E-02,3.242981E+02,2.055728E+04,-1.518807E+00
3E-02,1.328002E-01,3.657559E-03,5.562521E-03,1.143332E-02,1.397301E-01,3.451512E-03,-3.452666E-02,2.513581E-02,3.421923E+02,1.511373E+04,-1.703077E+00
3.1E-02,1.328028E-01,3.633191E-03,8.61458E-03,-4.416378E-02,1.397183E-01,3.475109E-03,-1.367676E-02,4.241135E-02,3.545255E+02,8.990015E+03,-1.309496E+00
3.2E-02,1.328174E-01,3.569231E-03,4.457672E-03,-7.54359E-02,1.397028E-01,3.536334E-03,-2.204764E-02,3.415152E-02,3.601723E+02,4.370323E+03,-2.737489E-01
3.3E-02,1.328117E-01,3.482319E-03,-2.02661E-02,-9.968861E-02,1.396742E-01,3.543412E-03,-4.025881E-02,-4.059458E-03,3.632662E+02,2.655831E+03,5.100513E-01
3.4E-02,1.327769E-01,3.369854E-03,-4.071216E-02,-1.117723E-01,1.396222E-01,3.528215E-03,-5.38832E-02,-8.737966E-03,3.65484E+02,2.178235E+03,1.325254E+00
3.5E-02,1.327303E-01,3.258775E-03,-7.078703E-02,-8.714071E-02,1.395665E-01,3.525936E-03,-4.411253E-02,-2.630129E-02,3.676227E+02,2.231085E+03,2.238002E+00
3.6E-02,1.326353E-01,3.195573E-03,-1.113215E-01,-3.689648E-02,1.39534E-01,3.475613E-03,-4.790495E-02,-6.816591E-02,3.699462E+02,3.203543E+03,2.324545E+00
3.7E-02,1.325076E-01,3.184982E-03,-1.244099E-01,-4.13296E-02,1.394707E-01,3.389604E-03,-6.418423E-02,-5.561003E-02,3.740297E+02,5.675784E+03,1.683264E+00
3.8E-02,1.323865E-01,3.112914E-03,-1.178663E-01,-6.981186E-02,1.394056E-01,3.364393E-03,-5.151333E-02,-4.393179E-02,3.812977E+02,7.519591E+03,2.051895E+00
3.9E-02,1.322719E-01,3.045358E-03,-9.966544E-02,-9.41596E-02,1.393676E-01,3.30174E-03,-2.994425E-02,-6.57958E-02,3.890689E+02,1.000613E+04,2.069305E+00
4E-02,1.321872E-01,2.924594E-03,-6.746974E-02,-1.279277E-01,1.393458E-01,3.232801E-03,-5.80149E-02,-6.508863E-02,4.0131E+02,1.309618E+04,2.4653E+00
4.1E-02,1.32137E-01,2.789503E-03,-3.087938E-02,-6.695225E-02,1.392516E-01,3.171563E-03,-8.380266E-02,-7.05959E-02,4.152613E+02,9.928124E+03,3.073865E+00
4.2E-02,1.321254E-01,2.79069E-03,-1.78491E-02,9.159242E-03,1.391782E-01,3.091609E-03,-8.223873E-02,-8.273822E-02,4.211662E+02,2.945025E+03,2.443161E+00
4.3E-02,1.321013E-01,2.807821E-03,-1.119282E-02,3.372682E-02,1.390871E-01,3.006087E-03,-9.848691E-02,-9.359061E-02,4.211513E+02,2.691066E+03,1.625674E+00
4.4E-02,1.32103E-01,2.858144E-03,6.828492E-03,4.984086E-02,1.389812E-01,2.904428E-03,-1.183257E-01,-4.840898E-02,4.265484E+02,6.353388E+03,3.855506E-01
4.5E-02,1.321149E-01,2.907503E-03,1.011454E-02,5.718239E-02,1.388505E-01,2.909269E-03,-1.558394E-01,4.520722E-02,4.338581E+02,7.849167E+03,1.502151E-02
4.6E-02,1.321233E-01,2.972508E-03,-3.084611E-03,5.878753E-02,1.386695E-01,2.994843E-03,-1.985802E-01,5.206201E-02,4.422467E+02,9.445151E+03,1.954794E-01
4.7E-02,1.321087E-01,3.025078E-03,-2.591152E-02,2.491666E-02,1.384533E-01,3.013393E-03,-1.514237E-01,7.501965E-03,4.527484E+02,1.023835E+04,-1.055248E-01
4.8E-02,1.320714E-01,3.022342E-03,-1.268984E-01,-1.65255E-02,1.383667E-01,3.009847E-03,-1.064095E-01,-3.197369E-03,4.627234E+02,9.282605E+03,-1.137239E-01
4.9E-02,1.31855E-01,2.992027E-03,-2.262201E-01,-1.394051E-02,1.382405E-01,3.006998E-03,-7.956804E-02,-2.318844E-03,4.713136E+02,8.038139E+03,1.343317E-01
5E-02,1.31619E-01,2.994461E-03,-2.160681E-01,3.958835E-02,1.382075E-01,3.005209E-03,-7.283768E-02,-2.441152E-02,4.787997E+02,8.523205E+03,9.346975E-02
5.1E-02,1.314228E-01,3.071204E-03,-1.44516E-01,9.464468E-02,1.380948E-01,2.958175E-03,-9.266132E-02,-3.734133E-02,4.8836E+02,1.151002E+04,-9.705398E-01
5.2E-02,1.3133E-01,3.18375E-03,-4.70806E-02,6.747703E-02,1.380222E-01,2.930526E-03,-3.109901E-02,-4.042609E-02,5.018197E+02,1.250011E+04,-2.166952E+00
5.3E-02,1.313287E-01,3.206158E-03,-2.3724E-02,1.212568E-02,1.380326E-01,2.877323E-03,-2.075346E-02,-1.286756E-02,5.133603E+02,1.361264E+04,-2.808153E+00
5.4E-02,1.312825E-01,3.208001E-03,-7.044429E-02,-1.562808E-02,1.379807E-01,2.904791E-03,-9.320847E-02,1.513425E-03,5.29045E+02,1.685268E+04,-2.591876E+00
5.5E-02,1.311878E-01,3.174901E-03,-7.14318E-02,-5.048243E-02,1.378462E-01,2.88035E-03,-1.130806E-01,3.645651E-02,5.470656E+02,2.065068E+04,-2.532964E+00
5.6E-02,1.311397E-01,3.107037E-03,-1.449761E-01,-9.525741E-02,1.377545E-01,2.977704E-03,-9.727342E-02,6.193603E-02,5.703463E+02,1.822385E+04,-1.120091E+00
5.7E-02,1.308978E-01,2.984387E-03,-2.765048E-01,-1.066753E-01,1.376517E-01,3.004222E-03,-1.133741E-01,2.145923E-02,5.835133E+02,1.46344E+04,1.682688E-01
5.8E-02,1.305866E-01,2.893686E-03,-3.095917E-01,8.599777E-03,1.375278E-01,3.020623E-03,-1.269784E-01,-4.323299E-03,5.996152E+02,1.240783E+04,1.047686E+00
5.9E-02,1.302786E-01,3.001586E-03,-1.671613E-01,1.428442E-01,1.373977E-01,2.995575E-03,-1.230231E-01,-3.253097E-02,6.08329E+02,8.535873E+03,-4.83787E-02
6E-02,1.302523E-01,3.179374E-03,-1.09924E-02,1.203167E-01,1.372817E-01,2.955561E-03,-1.258639E-01,-6.770908E-02,6.166869E+02,9.770939E+03,-1.823659E+00
6.1E-02,1.302566E-01,3.24222E-03,7.808722E-03,-4.141748E-04,1.37146E-01,2.860157E-03,-1.272522E-01,-4.202548E-02,6.278709E+02,9.757712E+03,-3.174212E+00
6.2E-02,1.302679E-01,3.178546E-03,-9.039263E-02,-4.793523E-02,1.370272E-01,2.87151E-03,-1.477331E-01,2.898855E-02,6.362023E+02,7.997824E+03,-2.600836E+00
6.3E-02,1.300759E-01,3.146349E-03,-2.036261E-01,-7.967839E-02,1.368505E-01,2.918134E-03,-1.999152E-01,3.007133E-02,6.438665E+02,9.411312E+03,-1.929374E+00
6.4E-02,1.298607E-01,3.019189E-03,-1.982101E-01,-8.011508E-02,1.366274E-01,2.931652E-03,-1.943085E-01,4.169704E-02,6.55025E+02,1.140572E+04,-7.411597E-01
6.5E-02,1.296794E-01,2.986119E-03,-1.910888E-01,-5.759107E-02,1.364619E-01,3.001528E-03,-1.182069E-01,5.577376E-02,6.66678E+02,1.212204E+04,1.301703E-01
6.6E-02,1.294785E-01,2.904007E-03,-2.04398E-01,-9.856288E-02,1.36391E-01,3.0432E-03,-5.599701E-02,1.79469E-02,6.79269E+02,1.320338E+04,1.153579E+00
6.7E-02,1.292706E-01,2.788993E-03,-1.976683E-01,3.484862E-03,1.363499E-01,3.037422E-03,-3.245988E-02,-2.90349E-02,6.930847E+02,1.109287E+04,2.009828E+00
6.8E-02,1.290832E-01,2.910977E-03,-1.563717E-01,1.456491E-01,1.363261E-01,2.98513E-03,-2.149384E-02,-2.435893E-02,7.014548E+02,6.518321E+03,5.865785E-01
6.9E-02,1.289579E-01,3.080292E-03,-9.170268E-02,1.354382E-01,1.363069E-01,2.988704E-03,-7.741697E-02,-8.044936E-03,7.061214E+02,5.517917E+03,-7.140159E-01
7E-02,1.288998E-01,3.181853E-03,-2.686588E-02,6.095847E-02,1.361712E-01,2.96904E-03,-1.334928E-01,-4.078963E-02,7.124906E+02,7.018113E+03,-1.67639E+00
7.1E-02,1.289042E-01,3.202208E-03,-2.558686E-02,2.261419E-02,1.360399E-01,2.907125E-03,-1.519834E-01,-4.783566E-02,7.201576E+02,9.394094E+03,-2.367995E+00
7.2E-02,1.288486E-01,3.227081E-03,-6.418669E-02,6.887954E-03,1.358673E-01,2.873369E-03,-2.085596E-01,8.082486E-03,7.312788E+02,1.175039E+04,-2.885036E+00
7.3E-02,1.287758E-01,3.215984E-03,-5.810181E-02,-1.545795E-02,1.356228E-01,2.92329E-03,-2.291076E-01,2.174976E-02,7.436584E+02,1.428929E+04,-2.44778E+00
7.4E-02,1.287324E-01,3.196166E-03,-3.432568E-02,-2.839651E-02,1.354091E-01,2.916868E-03,-2.276862E-01,4.396285E-03,7.598574E+02,1.935094E+04,-2.395395E+00
7.5E-02,1.287071E-01,3.159191E-03,-7.392798E-02,-1.573745E-02,1.351674E-01,2.932082E-03,-2.496279E-01,3.521284E-02,7.823602E+02,2.152614E+04,-2.013384E+00
7.6E-02,1.285845E-01,3.164691E-03,-1.18098E-01,-2.786473E-03,1.349098E-01,2.987294E-03,-2.284688E-01,3.38879E-02,8.029096E+02,2.156435E+04,-1.606483E+00
