,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
0E+00,1.325014E-01,3.058361E-03,,,1.39982E-01,2.851715E-03,,,7.471559E+00,,-1.582354E+00
1E-03,1.325058E-01,3.101954E-03,1.621289E-04,2.232184E-02,1.399789E-01,2.904189E-03,-1.944264E-03,2.649297E-02,7.581593E+00,3.752579E+01,-1.515896E+00
2E-03,1.325017E-01,3.103004E-03,-4.176057E-03,-2.175225E-03,1.399781E-01,2.904701E-03,-4.300745E-03,-1.833416E-03,7.546611E+00,2.802816E+01,-1.51936E+00
3E-03,1.324974E-01,3.097603E-03,-2.018521E-03,-5.697156E-03,1.399703E-01,2.900522E-03,-3.583831E-03,-2.731089E-03,7.63765E+00,1.639948E+01,-1.510708E+00
4E-03,1.324977E-01,3.09161E-03,-1.541566E-03,-2.792789E-05,1.399709E-01,2.899239E-03,-1.081381E-03,5.536775E-05,7.57941E+00,-4.964684E+01,-1.474547E+00
5E-03,1.324964E-01,3.095325E-03,5.077127E-03,1.024069E-02,1.399681E-01,2.900633E-03,4.323445E-03,8.944614E-03,7.538356E+00,-1.080422E+00,-1.49264E+00
6E-03,1.325079E-01,3.112092E-03,6.5983E-03,2.222456E-03,1.399796E-01,2.917128E-03,6.673765E-03,1.79532E-03,7.577249E+00,1.262582E+01,-1.494709E+00
7E-03,1.325096E-01,3.09977E-03,-9.724177E-04,-4.774542E-03,1.399814E-01,2.904224E-03,-4.476339E-04,-7.291781E-03,7.563608E+00,-3.577341E+01,-1.499156E+00
8E-03,1.325059E-01,3.102542E-03,-1.75716E-02,9.630286E-04,1.399787E-01,2.902544E-03,-1.805088E-02,-9.411808E-04,7.505702E+00,-1.60743E+01,-1.533073E+00
9E-03,1.324745E-01,3.101696E-03,-1.318398E-02,-1.588488E-03,1.399453E-01,2.902341E-03,-1.519573E-02,-3.657897E-03,7.531459E+00,4.738868E+01,-1.528536E+00
1E-02,1.324795E-01,3.099365E-03,-1.186137E-02,-4.891742E-03,1.399471E-01,2.895801E-03,-1.329666E-02,-1.451325E-02,7.600479E+00,5.963204E+01,-1.561486E+00
1.1E-02,1.324507E-01,3.091913E-03,-2.491157E-02,-4.331351E-03,1.399188E-01,2.873315E-03,-1.767998E-02,-2.645826E-02,7.650723E+00,1.351814E+03,-1.676643E+00
1.2E-02,1.324297E-01,3.090703E-03,-2.479133E-02,-5.812217E-03,1.399118E-01,2.842884E-03,-2.002413E-02,-4.385803E-02,1.030411E+01,1.579514E+03,-1.897046E+00
1.3E-02,1.324012E-01,3.080288E-03,-3.877073E-02,-6.000186E-03,1.398787E-01,2.785599E-03,-4.153609E-02,-3.703238E-02,1.080975E+01,9.743766E+02,-2.256859E+00
1.4E-02,1.323522E-01,3.078702E-03,-2.930278E-02,-2.759975E-02,1.398287E-01,2.76882E-03,-6.300455E-02,-3.833341E-02,1.225286E+01,4.962633E+03,-2.373411E+00
1.5E-02,1.323426E-01,3.025089E-03,-2.626361E-03,-5.254613E-02,1.397527E-01,2.708932E-03,-8.868071E-02,1.534622E-02,2.073502E+01,1.106448E+04,-2.443071E+00
1.6E-02,1.323469E-01,2.97361E-03,1.750629E-02,-6.908237E-02,1.396513E-01,2.799512E-03,-1.185647E-01,1.115072E-01,3.438183E+01,1.613162E+04,-1.36537E+00
1.7E-02,1.323776E-01,2.886924E-03,2.395084E-02,-1.301121E-02,1.395156E-01,2.931946E-03,-1.422609E-01,7.029082E-02,5.299825E+01,1.24982E+04,3.613806E-01
1.8E-02,1.323948E-01,2.947588E-03,-1.800085E-02,1.238442E-01,1.393668E-01,2.940094E-03,-1.482581E-01,-9.330572E-03,5.937823E+01,2.624309E+03,-6.158699E-02
1.9E-02,1.323416E-01,3.134613E-03,-2.822785E-02,1.685467E-01,1.39219E-01,2.913285E-03,-1.443619E-01,-1.553616E-03,5.824687E+01,3.216139E+03,-1.843227E+00
2E-02,1.323384E-01,3.284681E-03,1.747742E-02,8.076095E-02,1.390781E-01,2.936986E-03,-1.32831E-01,4.073282E-02,6.58105E+01,8.512908E+03,-2.953215E+00
2.1E-02,1.323765E-01,3.296134E-03,3.225511E-02,1.596055E-02,1.389534E-01,2.994751E-03,-1.012964E-01,7.572672E-02,7.527269E+01,9.427394E+03,-2.623735E+00
2.2E-02,1.324029E-01,3.316602E-03,-5.157086E-02,-4.704174E-03,1.388755E-01,3.08844E-03,-8.936274E-02,6.073755E-02,8.466529E+01,1.075618E+04,-2.018869E+00
2.3E-02,1.322734E-01,3.286726E-03,-1.229001E-01,-1.622384E-02,1.387747E-01,3.116226E-03,-6.331334E-02,5.638183E-02,9.678504E+01,1.269631E+04,-1.502276E+00
2.4E-02,1.321571E-01,3.284155E-03,-1.076131E-01,-1.974666E-02,1.387489E-01,3.201203E-03,-4.313206E-02,8.460994E-02,1.100579E+02,1.398229E+04,-7.209744E-01
2.5E-02,1.320582E-01,3.247233E-03,-1.189307E-01,-4.666383E-02,1.386884E-01,3.285446E-03,-4.186461E-02,7.211795E-02,1.247496E+02,1.552402E+04,3.302155E-01
