,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
1.65E-02,1.321785E-01,3.55803E-03,5.518012E-02,-3.991488E-03,1.387685E-01,3.532806E-03,9.617346E-02,4.529413E-02,1.168913E+02,-6.396989E+02,-2.19301E-01
1.7E-02,1.322072E-01,3.542848E-03,1.02096E-01,9.039846E-03,1.388168E-01,3.555647E-03,1.09153E-01,3.452432E-02,1.164013E+02,-1.416655E+03,1.109465E-01
1.75E-02,1.322806E-01,3.567069E-03,8.831463E-02,3.097347E-02,1.388777E-01,3.56733E-03,6.755558E-02,4.490343E-02,1.154746E+02,-1.124629E+03,2.265091E-03
1.8E-02,1.322955E-01,3.573822E-03,5.975768E-02,2.253539E-02,1.388843E-01,3.60055E-03,2.795425E-02,4.121379E-02,1.152767E+02,-5.438785E+03,2.32428E-01
1.85E-02,1.323404E-01,3.589605E-03,6.845613E-02,2.75482E-02,1.389056E-01,3.608544E-03,4.351864E-02,2.05267E-02,1.100358E+02,-6.0251E+03,1.652833E-01
1.9E-02,1.323639E-01,3.60137E-03,4.993859E-02,7.902205E-02,1.389279E-01,3.621077E-03,2.616962E-02,-7.02681E-03,1.092516E+02,-1.870957E+03,1.720217E-01
1.95E-02,1.323903E-01,3.668627E-03,4.254879E-02,1.064691E-01,1.389318E-01,3.601517E-03,-2.230595E-04,1.689204E-02,1.081649E+02,-2.134261E+03,-5.877783E-01
2E-02,1.324065E-01,3.707839E-03,3.328077E-02,4.508099E-02,1.389276E-01,3.637969E-03,4.048177E-03,8.903124E-02,1.071173E+02,-6.386614E+03,-6.138641E-01
2.05E-02,1.324236E-01,3.713708E-03,7.755944E-02,2.929952E-02,1.389359E-01,3.690548E-03,3.370146E-02,6.418453E-02,1.017783E+02,-5.686717E+03,-2.03758E-01
2.1E-02,1.32484E-01,3.737138E-03,8.67363E-02,3.238215E-02,1.389613E-01,3.702154E-03,6.172923E-02,1.738463E-02,1.014306E+02,-7.478053E+02,-3.094608E-01
2.15E-02,1.325103E-01,3.74609E-03,5.265755E-02,1.839816E-02,1.389976E-01,3.707933E-03,7.519536E-02,1.161417E-02,1.010305E+02,-1.186133E+03,-3.369986E-01
2.2E-02,1.325367E-01,3.755537E-03,3.084008E-02,1.325375E-02,1.390365E-01,3.713768E-03,4.354032E-02,4.298933E-02,1.002445E+02,-2.461428E+02,-3.681865E-01
2.25E-02,1.325411E-01,3.759344E-03,4.782084E-02,1.24795E-02,1.390411E-01,3.750922E-03,3.877342E-02,7.006431E-02,1.007843E+02,1.744832E+03,-7.423209E-02
2.3E-02,1.325845E-01,3.768016E-03,6.138324E-02,1.119805E-02,1.390753E-01,3.783832E-03,6.943256E-02,8.389834E-02,1.019893E+02,3.482298E+03,1.396112E-01
2.35E-02,1.326025E-01,3.770542E-03,6.387146E-02,9.487981E-03,1.391106E-01,3.834821E-03,6.769105E-02,4.385132E-02,1.042666E+02,4.977929E+03,5.658841E-01
2.4E-02,1.326484E-01,3.777504E-03,3.706154E-02,-2.914732E-02,1.39143E-01,3.827683E-03,2.848595E-02,3.397069E-02,1.069672E+02,9.125467E+03,4.426763E-01
2.45E-02,1.326396E-01,3.741394E-03,6.167042E-02,-3.246046E-02,1.39139E-01,3.868791E-03,2.180138E-02,8.244955E-02,1.133921E+02,1.126562E+04,1.12292E+00
2.5E-02,1.327101E-01,3.745044E-03,8.008439E-02,-1.280864E-03,1.391648E-01,3.910133E-03,1.261453E-02,7.150538E-02,1.182328E+02,1.238138E+04,1.465106E+00
