,mass_A,,,,mass_C,,,,mass_B,,mass_C,,,,
t,x,y,vx,vy,x,y,vx,vy,θ,ω,x,y,vx,vy,θ
1.05E-01,1.172573E-01,3.090945E-03,-2.37181E-01,-1.614236E-03,1.241129E-01,3.147519E-03,-2.790733E-01,8.149178E-03,6.953135E+02,9.886372E+03,1.241129E-01,3.147519E-03,-2.790733E-01,8.149178E-03,1.452717E+00
1.06E-01,1.169992E-01,3.092637E-03,-2.376095E-01,1.350355E-02,1.238638E-01,3.177149E-03,-2.678887E-01,1.677016E-02,7.003546E+02,4.47345E+03,1.238638E-01,3.177149E-03,-2.678887E-01,1.677016E-02,1.469334E+00
1.07E-01,1.167821E-01,3.117952E-03,-2.454107E-01,1.992464E-02,1.235771E-01,3.18106E-03,-2.911906E-01,3.953127E-03,7.042604E+02,4.708415E+03,1.235771E-01,3.18106E-03,-2.911906E-01,3.953127E-03,1.474553E+00
1.08E-01,1.165084E-01,3.132486E-03,-2.699556E-01,2.190564E-02,1.232814E-01,3.185056E-03,-2.830268E-01,-2.73811E-03,7.097714E+02,5.891765E+03,1.232814E-01,3.185056E-03,-2.830268E-01,-2.73811E-03,1.479944E+00
1.09E-01,1.162422E-01,3.161764E-03,-2.745999E-01,1.449837E-02,1.230111E-01,3.175583E-03,-2.670345E-01,-7.034204E-03,7.160439E+02,5.93507E+03,1.230111E-01,3.175583E-03,-2.670345E-01,-7.034204E-03,1.478787E+00
1.1E-01,1.159592E-01,3.161483E-03,-2.946677E-01,2.035123E-02,1.227474E-01,3.170987E-03,-2.797302E-01,-1.061277E-03,7.216415E+02,5.32604E+03,1.227474E-01,3.170987E-03,-2.797302E-01,-1.061277E-03,1.479818E+00
1.11E-01,1.156528E-01,3.202466E-03,-3.083477E-01,1.894839E-02,1.224516E-01,3.173461E-03,-2.586787E-01,-5.715347E-03,7.26696E+02,4.905819E+03,1.224516E-01,3.173461E-03,-2.586787E-01,-5.715347E-03,1.484548E+00
1.12E-01,1.153425E-01,3.19938E-03,-2.960554E-01,-3.627728E-03,1.2223E-01,3.159556E-03,-2.489394E-01,-1.734729E-02,7.314532E+02,5.421411E+03,1.2223E-01,3.159556E-03,-2.489394E-01,-1.734729E-02,1.480724E+00
1.13E-01,1.150607E-01,3.195211E-03,-2.879948E-01,2.792081E-03,1.219537E-01,3.138766E-03,-2.460276E-01,1.342101E-02,7.375388E+02,8.080445E+03,1.219537E-01,3.138766E-03,-2.460276E-01,1.342101E-02,1.474316E+00
1.14E-01,1.147665E-01,3.204964E-03,-3.042145E-01,-3.973275E-03,1.21738E-01,3.186398E-03,-2.568413E-01,2.348245E-02,7.476141E+02,1.222534E+04,1.21738E-01,3.186398E-03,-2.568413E-01,2.348245E-02,1.499331E+00
1.15E-01,1.144523E-01,3.187264E-03,-3.125084E-01,3.218336E-03,1.2144E-01,3.185731E-03,-2.956177E-01,-2.342869E-02,7.619895E+02,1.025458E+04,1.2144E-01,3.185731E-03,-2.956177E-01,-2.342869E-02,1.502693E+00
1.16E-01,1.141415E-01,3.211401E-03,-2.99874E-01,1.538994E-02,1.211467E-01,3.139541E-03,-2.864256E-01,-1.34833E-02,7.681232E+02,7.278114E+03,1.211467E-01,3.139541E-03,-2.864256E-01,-1.34833E-02,1.484499E+00
1.17E-01,1.138525E-01,3.218044E-03,-2.596203E-01,-8.701553E-03,1.208672E-01,3.158765E-03,-2.892888E-01,1.188465E-02,7.765457E+02,1.189168E+04,1.208672E-01,3.158765E-03,-2.892888E-01,1.188465E-02,1.497037E+00
1.18E-01,1.136223E-01,3.193998E-03,-2.443916E-01,-1.112392E-02,1.205682E-01,3.16331E-03,-3.034136E-01,-8.084736E-03,7.919066E+02,1.258376E+04,1.205682E-01,3.16331E-03,-3.034136E-01,-8.084736E-03,1.502907E+00
1.19E-01,1.133638E-01,3.195796E-03,-2.671221E-01,9.523094E-03,1.202604E-01,3.142595E-03,-3.179703E-01,-9.55698E-03,8.017132E+02,8.968809E+03,1.202604E-01,3.142595E-03,-3.179703E-01,-9.55698E-03,1.49689E+00
1.2E-01,1.13088E-01,3.213044E-03,-2.756569E-01,1.482385E-02,1.199322E-01,3.144196E-03,-3.271797E-01,1.122888E-03,8.098442E+02,9.767674E+03,1.199322E-01,3.144196E-03,-3.271797E-01,1.122888E-03,1.501748E+00
1.21E-01,1.128124E-01,3.225444E-03,-2.845253E-01,1.86391E-03,1.19606E-01,3.144841E-03,-3.189228E-01,9.124467E-03,8.212486E+02,7.111009E+03,1.19606E-01,3.144841E-03,-3.189228E-01,9.124467E-03,1.50615E+00
1.22E-01,1.12519E-01,3.216772E-03,-3.010533E-01,-7.733923E-03,1.192944E-01,3.162445E-03,-3.131942E-01,1.683088E-02,8.240662E+02,9.699074E+02,1.192944E-01,3.162445E-03,-3.131942E-01,1.683088E-02,1.518532E+00
1.23E-01,1.122103E-01,3.209976E-03,-2.876519E-01,4.208342E-03,1.189796E-01,3.178503E-03,-2.769919E-01,1.018615E-02,8.231884E+02,1.630032E+03,1.189796E-01,3.178503E-03,-2.769919E-01,1.018615E-02,1.530275E+00
1.24E-01,1.119437E-01,3.225188E-03,-2.748485E-01,2.603535E-03,1.187404E-01,3.182818E-03,-2.555609E-01,1.293458E-02,8.273263E+02,5.226359E+03,1.187404E-01,3.182818E-03,-2.555609E-01,1.293458E-02,1.535437E+00
1.25E-01,1.116606E-01,3.215183E-03,-2.863916E-01,-1.234318E-02,1.184685E-01,3.204372E-03,-2.792467E-01,-4.637985E-03,8.336411E+02,5.822074E+03,1.184685E-01,3.204372E-03,-2.792467E-01,-4.637985E-03,1.549376E+00
1.26E-01,1.113709E-01,3.200502E-03,-2.918874E-01,-1.206533E-02,1.181819E-01,3.173542E-03,-2.747852E-01,-2.651616E-03,8.389704E+02,5.388429E+03,1.181819E-01,3.173542E-03,-2.747852E-01,-2.651616E-03,1.538196E+00
1.27E-01,1.110769E-01,3.191053E-03,-2.739094E-01,-2.974839E-03,1.179189E-01,3.199069E-03,-2.585371E-01,-3.958406E-03,8.44418E+02,5.86254E+03,1.179189E-01,3.199069E-03,-2.585371E-01,-3.958406E-03,1.554019E+00
1.28E-01,1.108231E-01,3.194552E-03,-2.754964E-01,-4.957381E-03,1.176648E-01,3.165625E-03,-2.596079E-01,-6.185634E-03,8.506955E+02,6.264106E+03,1.176648E-01,3.165625E-03,-2.596079E-01,-6.185634E-03,1.5411E+00
1.29E-01,1.105259E-01,3.181138E-03,-3.052901E-01,-1.138996E-02,1.173997E-01,3.186697E-03,-2.589092E-01,3.164215E-03,8.569462E+02,7.222151E+03,1.173997E-01,3.186697E-03,-2.589092E-01,3.164215E-03,1.554855E+00
1.3E-01,1.102125E-01,3.171772E-03,-3.003757E-01,-1.098525E-02,1.17147E-01,3.171953E-03,-2.522458E-01,-2.890946E-02,8.651398E+02,6.089705E+03,1.17147E-01,3.171953E-03,-2.522458E-01,-2.890946E-02,1.551001E+00
1.31E-01,1.099251E-01,3.159167E-03,-2.886022E-01,-1.116789E-02,1.168952E-01,3.128878E-03,-2.526845E-01,-4.428957E-02,8.691256E+02,6.752421E+03,1.168952E-01,3.128878E-03,-2.526845E-01,-4.428957E-02,1.533243E+00
1.32E-01,1.096353E-01,3.149437E-03,-2.961987E-01,-2.030608E-02,1.166416E-01,3.083374E-03,-2.653335E-01,-2.592791E-02,8.786446E+02,7.544929E+03,1.166416E-01,3.083374E-03,-2.653335E-01,-2.592791E-02,1.514238E+00
1.33E-01,1.093327E-01,3.118555E-03,-3.137405E-01,-3.369692E-02,1.163645E-01,3.077023E-03,-2.611398E-01,1.202997E-02,8.842154E+02,7.593359E+03,1.163645E-01,3.077023E-03,-2.611398E-01,1.202997E-02,1.514717E+00
1.34E-01,1.090078E-01,3.082043E-03,-3.307573E-01,-1.197658E-02,1.161194E-01,3.107434E-03,-2.63145E-01,1.312322E-03,8.938314E+02,9.417446E+03,1.161194E-01,3.107434E-03,-2.63145E-01,1.312322E-03,1.532909E+00
1.35E-01,1.086712E-01,3.094602E-03,-3.423752E-01,-8.75923E-03,1.158383E-01,3.079647E-03,-2.636608E-01,4.630324E-03,9.030503E+02,7.847548E+03,1.158383E-01,3.079647E-03,-2.636608E-01,4.630324E-03,1.522893E+00
1.36E-01,1.08323E-01,3.064524E-03,-3.441824E-01,-2.244152E-02,1.15592E-01,3.116695E-03,-2.659109E-01,3.280946E-02,9.095265E+02,8.587196E+03,1.15592E-01,3.116695E-03,-2.659109E-01,3.280946E-02,1.544485E+00
1.37E-01,1.079828E-01,3.049719E-03,-3.191606E-01,-1.848083E-02,1.153064E-01,3.145266E-03,-3.068542E-01,6.24176E-03,9.202247E+02,9.270984E+03,1.153064E-01,3.145266E-03,-3.068542E-01,6.24176E-03,1.562496E+00
1.38E-01,1.076847E-01,3.027563E-03,-2.930893E-01,-2.37403E-02,1.149783E-01,3.129178E-03,-3.26978E-01,-1.010731E-03,9.280684E+02,7.012824E+03,1.149783E-01,3.129178E-03,-3.26978E-01,-1.010731E-03,1.558941E+00
1.39E-01,1.073967E-01,3.002238E-03,-2.491042E-01,-3.508475E-02,1.146525E-01,3.143245E-03,-3.279268E-01,6.166468E-03,9.342504E+02,7.528262E+03,1.146525E-01,3.143245E-03,-3.279268E-01,6.166468E-03,1.570394E+00
1.4E-01,1.071865E-01,2.957393E-03,-2.263141E-01,-2.655253E-02,1.143225E-01,3.141511E-03,-3.26445E-01,-1.500891E-02,9.431249E+02,8.05145E+03,1.143225E-01,3.141511E-03,-3.26445E-01,-1.500891E-02,1.574057E+00
1.41E-01,1.06944E-01,2.949133E-03,-2.307324E-01,3.529285E-04,1.139996E-01,3.113227E-03,-3.13761E-01,-8.667255E-03,9.503533E+02,7.170485E+03,1.139996E-01,3.113227E-03,-3.13761E-01,-8.667255E-03,1.564308E+00
1.42E-01,1.06725E-01,2.958099E-03,-2.058025E-01,3.032299E-02,1.136949E-01,3.124177E-03,-3.149816E-01,2.239558E-02,9.574659E+02,9.622187E+03,1.136949E-01,3.124177E-03,-3.149816E-01,2.239558E-02,1.574011E+00
1.43E-01,1.065324E-01,3.009779E-03,-2.072407E-01,3.289248E-02,1.133696E-01,3.158018E-03,-3.167882E-01,3.116952E-02,9.695977E+02,1.017029E+04,1.133696E-01,3.158018E-03,-3.167882E-01,3.116952E-02,1.595616E+00
1.44E-01,1.063106E-01,3.023884E-03,-2.373699E-01,2.490163E-02,1.130614E-01,3.186516E-03,-3.102646E-01,1.638235E-02,9.778065E+02,7.185747E+03,1.130614E-01,3.186516E-03,-3.102646E-01,1.638235E-02,1.614394E+00
1.45E-01,1.060577E-01,3.059582E-03,-2.515006E-01,1.063424E-02,1.127491E-01,3.190783E-03,-3.091751E-01,-5.874033E-03,9.839691E+02,7.268648E+03,1.127491E-01,3.190783E-03,-3.091751E-01,-5.874033E-03,1.62103E+00
1.46E-01,1.058076E-01,3.045152E-03,-2.522069E-01,-7.490973E-03,1.12443E-01,3.174768E-03,-3.058933E-01,-4.681304E-03,9.923438E+02,5.723026E+03,1.12443E-01,3.174768E-03,-3.058933E-01,-4.681304E-03,1.617286E+00
1.47E-01,1.055533E-01,3.044601E-03,-2.730422E-01,-1.189222E-02,1.121373E-01,3.18142E-03,-3.047698E-01,-2.1861E-03,9.954152E+02,4.552871E+03,1.121373E-01,3.18142E-03,-3.047698E-01,-2.1861E-03,1.625089E+00
1.48E-01,1.052615E-01,3.021368E-03,-2.70976E-01,-5.295993E-03,1.118335E-01,3.170395E-03,-3.080261E-01,-6.136369E-03,1.00145E+03,5.836759E+03,1.118335E-01,3.170395E-03,-3.080261E-01,-6.136369E-03,1.623858E+00
1.49E-01,1.050113E-01,3.034009E-03,-2.710355E-01,1.166453E-02,1.115213E-01,3.169147E-03,-3.123545E-01,-1.476635E-02,1.007089E+03,7.5667E+03,1.115213E-01,3.169147E-03,-3.123545E-01,-1.476635E-02,1.627761E+00
1.5E-01,1.047194E-01,3.044697E-03,-3.014686E-01,1.013105E-02,1.112088E-01,3.140863E-03,-2.944137E-01,-1.064778E-02,1.016583E+03,8.748645E+03,1.112088E-01,3.140863E-03,-2.944137E-01,-1.064778E-02,1.617771E+00
1.51E-01,1.044084E-01,3.054271E-03,-3.030862E-01,6.964186E-03,1.109324E-01,3.147852E-03,-2.795447E-01,9.654791E-03,1.024586E+03,8.455327E+03,1.109324E-01,3.147852E-03,-2.795447E-01,9.654791E-03,1.625406E+00
1.52E-01,1.041132E-01,3.058625E-03,-2.825302E-01,-5.449563E-03,1.106497E-01,3.160172E-03,-2.863709E-01,1.151208E-02,1.033494E+03,1.971144E+03,1.106497E-01,3.160172E-03,-2.863709E-01,1.151208E-02,1.635932E+00
1.53E-01,1.038433E-01,3.043372E-03,-2.824559E-01,3.048068E-04,1.103597E-01,3.170876E-03,-2.78039E-01,-3.555234E-03,1.028528E+03,3.885784E+03,1.103597E-01,3.170876E-03,-2.78039E-01,-3.555234E-03,1.645781E+00
1.54E-01,1.035483E-01,3.059235E-03,-2.994486E-01,7.370532E-03,1.100936E-01,3.153062E-03,-2.502626E-01,1.004693E-02,1.041265E+03,9.073431E+03,1.100936E-01,3.153062E-03,-2.502626E-01,1.004693E-02,1.640493E+00
1.55E-01,1.032444E-01,3.058113E-03,-3.046986E-01,-8.576917E-04,1.098592E-01,3.19097E-03,-2.565187E-01,1.476749E-02,1.046675E+03,6.547041E+03,1.098592E-01,3.19097E-03,-2.565187E-01,1.476749E-02,1.663746E+00
1.56E-01,1.029389E-01,3.05752E-03,-3.056832E-01,9.444064E-04,1.095806E-01,3.182597E-03,-2.562197E-01,3.495575E-03,1.054359E+03,7.795484E+03,1.095806E-01,3.182597E-03,-2.562197E-01,3.495575E-03,1.663599E+00
1.57E-01,1.026331E-01,3.060001E-03,-3.091421E-01,4.884315E-03,1.093467E-01,3.197961E-03,-2.601518E-01,6.68335E-03,1.062266E+03,6.085127E+03,1.093467E-01,3.197961E-03,-2.601518E-01,6.68335E-03,1.675198E+00
1.58E-01,1.023206E-01,3.067288E-03,-3.248207E-01,1.34686E-03,1.090603E-01,3.195964E-03,-2.703156E-01,-5.089701E-03,1.06653E+03,8.157049E+03,1.090603E-01,3.195964E-03,-2.703156E-01,-5.089701E-03,1.678548E+00
1.59E-01,1.019834E-01,3.062695E-03,-3.135679E-01,-1.410877E-03,1.088061E-01,3.187782E-03,-2.703459E-01,-7.384023E-03,1.07858E+03,9.017599E+03,1.088061E-01,3.187782E-03,-2.703459E-01,-7.384023E-03,1.678162E+00
1.6E-01,1.016935E-01,3.064467E-03,-2.882789E-01,3.092733E-02,1.085196E-01,3.181195E-03,-2.948024E-01,-1.071862E-02,1.084565E+03,5.852445E+03,1.085196E-01,3.181195E-03,-2.948024E-01,-1.071862E-02,1.679116E+00
1.61E-01,1.014069E-01,3.12455E-03,-2.937701E-01,6.409114E-02,1.082165E-01,3.166344E-03,-2.892854E-01,-3.657656E-03,1.090285E+03,6.074594E+03,1.082165E-01,3.166344E-03,-2.892854E-01,-3.657656E-03,1.675959E+00
1.62E-01,1.01106E-01,3.192649E-03,-2.778744E-01,2.643231E-02,1.07941E-01,3.17388E-03,-2.749719E-01,-1.719478E-03,1.096714E+03,5.365892E+03,1.07941E-01,3.17388E-03,-2.749719E-01,-1.719478E-03,1.684231E+00
1.63E-01,1.008511E-01,3.177414E-03,-2.661E-01,-2.680981E-02,1.076665E-01,3.162905E-03,-2.915662E-01,3.005152E-03,1.101017E+03,9.076284E+03,1.076665E-01,3.162905E-03,-2.915662E-01,3.005152E-03,1.682686E+00
1.64E-01,1.005738E-01,3.139029E-03,-2.974485E-01,1.013666E-02,1.073579E-01,3.17989E-03,-3.198842E-01,4.989265E-03,1.114866E+03,1.1361E+04,1.073579E-01,3.17989E-03,-3.198842E-01,4.989265E-03,1.696579E+00
1.65E-01,1.002562E-01,3.197688E-03,-2.837761E-01,1.926036E-02,1.070268E-01,3.172884E-03,-3.12009E-01,-3.77125E-02,1.123739E+03,9.912622E+03,1.070268E-01,3.172884E-03,-3.12009E-01,-3.77125E-02,1.698076E+00
1.66E-01,1.000062E-01,3.17755E-03,-2.598274E-01,-2.19381E-02,1.067338E-01,3.104465E-03,-2.799067E-01,-2.150783E-02,1.134692E+03,1.044633E+04,1.067338E-01,3.104465E-03,-2.799067E-01,-2.150783E-02,1.666038E+00
1.67E-01,9.973656E-02,3.153812E-03,-2.967344E-01,9.195185E-03,1.06467E-01,3.129868E-03,-2.700361E-01,1.843193E-02,1.144632E+03,6.161E+03,1.06467E-01,3.129868E-03,-2.700361E-01,1.843193E-02,1.683871E+00
1.68E-01,9.941274E-02,3.19594E-03,-3.186033E-01,2.736831E-02,1.061938E-01,3.141329E-03,-2.926835E-01,-7.054742E-03,1.147014E+03,7.384266E+03,1.061938E-01,3.141329E-03,-2.926835E-01,-7.054742E-03,1.694378E+00
1.69E-01,9.909935E-02,3.208548E-03,-3.079465E-01,-1.850046E-02,1.058816E-01,3.115759E-03,-3.024137E-01,-7.519234E-03,1.1594E+03,8.712448E+03,1.058816E-01,3.115759E-03,-3.024137E-01,-7.519234E-03,1.685546E+00
1.7E-01,9.879685E-02,3.158939E-03,-2.930695E-01,-1.432629E-02,1.055889E-01,3.126291E-03,-2.889386E-01,8.785298E-03,1.164439E+03,9.357121E+03,1.055889E-01,3.126291E-03,-2.889386E-01,8.785298E-03,1.695925E+00
1.71E-01,9.851322E-02,3.179896E-03,-2.755175E-01,2.258294E-02,1.053037E-01,3.133329E-03,-2.842719E-01,3.244747E-03,1.178114E+03,9.636535E+03,1.053037E-01,3.133329E-03,-2.842719E-01,3.244747E-03,1.704343E+00
1.72E-01,9.824581E-02,3.204105E-03,-2.830941E-01,1.052995E-02,1.050204E-01,3.13278E-03,-2.942226E-01,4.223985E-03,1.183712E+03,4.030248E+03,1.050204E-01,3.13278E-03,-2.942226E-01,4.223985E-03,1.708638E+00
1.73E-01,9.794703E-02,3.200955E-03,-3.094916E-01,-1.350005E-02,1.047153E-01,3.141777E-03,-3.113108E-01,-7.16589E-03,1.186175E+03,5.376556E+03,1.047153E-01,3.141777E-03,-3.113108E-01,-7.16589E-03,1.718533E+00
1.74E-01,9.762683E-02,3.177105E-03,-3.180997E-01,-1.565927E-02,1.043978E-01,3.118449E-03,-2.878923E-01,-4.031212E-02,1.194465E+03,4.572749E+03,1.043978E-01,3.118449E-03,-2.878923E-01,-4.031212E-02,1.710964E+00
1.75E-01,9.731083E-02,3.169637E-03,-3.114135E-01,-1.97567E-03,1.041395E-01,3.061153E-03,-2.975297E-01,-1.621019E-02,1.19532E+03,3.502572E+03,1.041395E-01,3.061153E-03,-2.975297E-01,-1.621019E-02,1.68371E+00
1.76E-01,9.7004E-02,3.173154E-03,-2.963523E-01,-3.934531E-03,1.038027E-01,3.086028E-03,-2.895053E-01,3.362782E-02,1.20147E+03,6.02334E+03,1.038027E-01,3.086028E-03,-2.895053E-01,3.362782E-02,1.702887E+00
1.77E-01,9.671812E-02,3.161768E-03,-2.947767E-01,-9.548759E-03,1.035605E-01,3.128409E-03,-2.697023E-01,1.626976E-02,1.207367E+03,5.753521E+03,1.035605E-01,3.128409E-03,-2.697023E-01,1.626976E-02,1.730295E+00
1.78E-01,9.641445E-02,3.154056E-03,-3.040379E-01,-1.101208E-02,1.032633E-01,3.118568E-03,-2.743579E-01,-9.63806E-04,1.212977E+03,6.075469E+03,1.032633E-01,3.118568E-03,-2.743579E-01,-9.63806E-04,1.729815E+00
1.79E-01,9.611005E-02,3.139744E-03,-3.048825E-01,-1.469252E-02,1.030118E-01,3.126481E-03,-2.575E-01,2.972152E-03,1.219518E+03,7.396689E+03,1.030118E-01,3.126481E-03,-2.575E-01,2.972152E-03,1.738435E+00
1.8E-01,9.580468E-02,3.124671E-03,-3.018317E-01,-1.702078E-02,1.027483E-01,3.124512E-03,-2.703736E-01,6.098525E-04,1.22777E+03,8.805319E+03,1.027483E-01,3.124512E-03,-2.703736E-01,6.098525E-04,1.741792E+00
1.81E-01,9.550638E-02,3.105702E-03,-2.901097E-01,-1.601579E-02,1.02471E-01,3.127701E-03,-2.599156E-01,-4.187381E-03,1.237129E+03,6.901474E+03,1.02471E-01,3.127701E-03,-2.599156E-01,-4.187381E-03,1.748284E+00
1.82E-01,9.522446E-02,3.09264E-03,-3.029822E-01,-1.893569E-02,1.022285E-01,3.116137E-03,-2.615245E-01,-1.924638E-02,1.241573E+03,5.398419E+03,1.022285E-01,3.116137E-03,-2.615245E-01,-1.924638E-02,1.745954E+00
1.83E-01,9.490042E-02,3.067831E-03,-3.507104E-01,-2.189421E-02,1.01948E-01,3.089208E-03,-2.740426E-01,-2.714844E-02,1.247925E+03,7.962187E+03,1.01948E-01,3.089208E-03,-2.740426E-01,-2.714844E-02,1.735635E+00
1.84E-01,9.452304E-02,3.048851E-03,-3.434662E-01,-2.148001E-02,1.016804E-01,3.06184E-03,-2.929201E-01,-1.36539E-02,1.257498E+03,8.744183E+03,1.016804E-01,3.06184E-03,-2.929201E-01,-1.36539E-02,1.724792E+00
1.85E-01,9.421349E-02,3.024871E-03,-2.949756E-01,-3.997073E-02,1.013621E-01,3.0619E-03,-3.1072E-01,1.592886E-02,1.265414E+03,6.032242E+03,1.013621E-01,3.0619E-03,-3.1072E-01,1.592886E-02,1.730238E+00
1.86E-01,9.393309E-02,2.96891E-03,-2.906302E-01,-2.223739E-02,1.01059E-01,3.093698E-03,-3.140425E-01,2.76252E-02,1.269562E+03,6.822909E+03,1.01059E-01,3.093698E-03,-3.140425E-01,2.76252E-02,1.753437E+00
1.87E-01,9.363223E-02,2.980396E-03,-2.925184E-01,-4.02603E-03,1.00734E-01,3.117151E-03,-3.221871E-01,9.394996E-03,1.27906E+03,8.305953E+03,1.00734E-01,3.117151E-03,-3.221871E-01,9.394996E-03,1.772416E+00
1.88E-01,9.334806E-02,2.960858E-03,-2.729807E-01,-1.870153E-02,1.004146E-01,3.112488E-03,-3.201416E-01,-2.630164E-02,1.286174E+03,6.715157E+03,1.004146E-01,3.112488E-03,-3.201416E-01,-2.630164E-02,1.775393E+00
1.89E-01,9.308627E-02,2.942993E-03,-2.591229E-01,-2.104923E-02,1.000938E-01,3.064547E-03,-3.099201E-01,-1.97338E-03,1.29249E+03,7.883212E+03,1.000938E-01,3.064547E-03,-3.099201E-01,-1.97338E-03,1.753664E+00
1.9E-01,9.282981E-02,2.918759E-03,-2.349255E-01,-1.589648E-02,9.979475E-02,3.108541E-03,-2.90867E-01,2.660272E-02,1.30194E+03,8.315947E+03,9.979475E-02,3.108541E-03,-2.90867E-01,2.660272E-02,1.784149E+00
1.91E-01,9.261641E-02,2.9112E-03,-2.434382E-01,4.498463E-03,9.951202E-02,3.117753E-03,-2.876742E-01,2.421672E-03,1.309122E+03,7.478044E+03,9.951202E-02,3.117753E-03,-2.876742E-01,2.421672E-03,1.794514E+00
1.92E-01,9.234293E-02,2.927756E-03,-2.59784E-01,1.39653E-02,9.92194E-02,3.113385E-03,-3.117219E-01,-5.975577E-03,1.316897E+03,8.292045E+03,9.92194E-02,3.113385E-03,-3.117219E-01,-5.975577E-03,1.797282E+00
1.93E-01,9.209685E-02,2.939131E-03,-2.578183E-01,-6.133952E-03,9.888857E-02,3.105802E-03,-3.344821E-01,-4.475E-03,1.325706E+03,6.895115E+03,9.888857E-02,3.105802E-03,-3.344821E-01,-4.475E-03,1.798902E+00
1.94E-01,9.18273E-02,2.915488E-03,-2.543379E-01,1.62887E-02,9.855044E-02,3.104435E-03,-3.277012E-01,-6.347591E-04,1.330687E+03,7.141622E+03,9.855044E-02,3.104435E-03,-3.277012E-01,-6.347591E-04,1.804276E+00
1.95E-01,9.158817E-02,2.971708E-03,-2.496049E-01,3.85939E-02,9.823317E-02,3.104532E-03,-3.197132E-01,5.491449E-03,1.339989E+03,6.523735E+03,9.823317E-02,3.104532E-03,-3.197132E-01,5.491449E-03,1.810156E+00
1.96E-01,9.132809E-02,2.992676E-03,-2.677669E-01,5.625924E-03,9.791101E-02,3.115418E-03,-3.182782E-01,2.205885E-02,1.343734E+03,7.539738E+03,9.791101E-02,3.115418E-03,-3.182782E-01,2.205885E-02,1.822472E+00
1.97E-01,9.105264E-02,2.98296E-03,-2.617011E-01,-1.785742E-02,9.759661E-02,3.14865E-03,-3.194925E-01,2.843657E-02,1.355069E+03,8.381288E+03,9.759661E-02,3.14865E-03,-3.194925E-01,2.843657E-02,1.847828E+00
1.98E-01,9.080468E-02,2.956961E-03,-2.687815E-01,-8.427448E-03,9.727202E-02,3.172291E-03,-3.220371E-01,2.89199E-02,1.360497E+03,5.823857E+03,9.727202E-02,3.172291E-03,-3.220371E-01,2.89199E-02,1.867901E+00
1.99E-01,9.051507E-02,2.966105E-03,-2.712578E-01,1.587849E-02,9.695254E-02,3.20649E-03,-3.18279E-01,1.044292E-02,1.366716E+03,6.896544E+03,9.695254E-02,3.20649E-03,-3.18279E-01,1.044292E-02,1.89424E+00
2E-01,9.026217E-02,2.988718E-03,-2.67054E-01,1.805191E-02,9.663547E-02,3.193177E-03,-2.935681E-01,3.253916E-03,1.37429E+03,7.254175E+03,9.663547E-02,3.193177E-03,-2.935681E-01,3.253916E-03,1.892566E+00
2.01E-01,8.998097E-02,3.002209E-03,-2.945935E-01,1.326418E-02,9.63654E-02,3.212997E-03,-2.711256E-01,2.123986E-02,1.381225E+03,6.658539E+03,9.63654E-02,3.212997E-03,-2.711256E-01,2.123986E-02,1.909638E+00
2.02E-01,8.967437E-02,3.018289E-03,-3.013691E-01,2.679024E-03,9.609321E-02,3.235656E-03,-2.903053E-01,1.553247E-02,1.387607E+03,3.797456E+03,9.609321E-02,3.235656E-03,-2.903053E-01,1.553247E-02,1.928538E+00
2.03E-01,8.937823E-02,3.007567E-03,-2.888247E-01,-1.809034E-03,9.578479E-02,3.244062E-03,-2.897042E-01,-2.637258E-03,1.38882E+03,3.604205E+03,9.578479E-02,3.244062E-03,-2.897042E-01,-2.637258E-03,1.939766E+00
2.04E-01,8.909672E-02,3.014671E-03,-2.839173E-01,1.954589E-02,9.551381E-02,3.230382E-03,-2.546589E-01,-4.24461E-03,1.394815E+03,6.657655E+03,9.551381E-02,3.230382E-03,-2.546589E-01,-4.24461E-03,1.937068E+00
2.05E-01,8.881039E-02,3.046659E-03,-2.982669E-01,8.731475E-03,9.527548E-02,3.235573E-03,-2.635426E-01,-2.412512E-02,1.402135E+03,1.042868E+04,9.527548E-02,3.235573E-03,-2.635426E-01,-2.412512E-02,1.945028E+00
2.06E-01,8.850019E-02,3.032134E-03,-3.14073E-01,2.874435E-03,9.498672E-02,3.182131E-03,-2.626645E-01,-4.148772E-02,1.415673E+03,1.033899E+04,9.498672E-02,3.182131E-03,-2.626645E-01,-4.148772E-02,1.918737E+00
2.07E-01,8.818225E-02,3.052407E-03,-3.158171E-01,1.205592E-02,9.475015E-02,3.152598E-03,-2.558153E-01,-4.220808E-02,1.422813E+03,5.096307E+03,9.475015E-02,3.152598E-03,-2.558153E-01,-4.220808E-02,1.905685E+00
2.08E-01,8.786856E-02,3.056246E-03,-3.13457E-01,5.735313E-03,9.447509E-02,3.097715E-03,-2.704058E-01,-1.546331E-02,1.425865E+03,6.020426E+03,9.447509E-02,3.097715E-03,-2.704058E-01,-1.546331E-02,1.877981E+00
2.09E-01,8.755533E-02,3.063878E-03,-3.179051E-01,-1.002341E-03,9.420933E-02,3.121671E-03,-2.767422E-01,9.825619E-03,1.434854E+03,7.693819E+03,9.420933E-02,3.121671E-03,-2.767422E-01,9.825619E-03,1.897829E+00
