,mass_A,,,,mass_C,,,,mass_B,,mass_C,,,,
t,x,y,vx,vy,x,y,vx,vy,θ,ω,x,y,vx,vy,θ
2.4E-02,1.326398E-01,3.090508E-03,-1.126502E-01,4.0668E-02,1.395433E-01,3.030997E-03,-7.060841E-02,1.312876E-02,8.711503E+01,8.633549E+03,1.395433E-01,3.030997E-03,-7.060841E-02,1.312876E-02,1.244317E+00
2.5E-02,1.325194E-01,3.178901E-03,-1.310199E-01,5.50512E-02,1.394869E-01,3.066751E-03,-8.158882E-02,3.337423E-03,9.073609E+01,6.021161E+03,1.394869E-01,3.066751E-03,-8.158882E-02,3.337423E-03,1.259499E+00
2.6E-02,1.323778E-01,3.20061E-03,-1.427884E-01,1.272842E-02,1.393801E-01,3.037672E-03,-8.458619E-02,-3.612944E-02,9.915735E+01,1.117326E+04,1.393801E-01,3.037672E-03,-8.458619E-02,-3.612944E-02,1.248516E+00
2.7E-02,1.322339E-01,3.204358E-03,-1.385547E-01,6.137105E-03,1.393177E-01,2.994492E-03,-8.454129E-02,1.439323E-03,1.130826E+02,7.893819E+03,1.393177E-01,2.994492E-03,-8.454129E-02,1.439323E-03,1.231325E+00
2.8E-02,1.321007E-01,3.212884E-03,-1.256927E-01,-4.920809E-03,1.39211E-01,3.040551E-03,-8.106124E-02,1.417995E-02,1.14945E+02,6.526633E+03,1.39211E-01,3.040551E-03,-8.106124E-02,1.417995E-02,1.251216E+00
2.9E-02,1.319825E-01,3.194516E-03,-1.278483E-01,-3.379126E-02,1.391556E-01,3.022852E-03,-9.268301E-02,4.820906E-03,1.261359E+02,1.072799E+04,1.391556E-01,3.022852E-03,-9.268301E-02,4.820906E-03,1.24443E+00
3E-02,1.31845E-01,3.145302E-03,-1.39501E-01,-4.430381E-02,1.390256E-01,3.050192E-03,-8.39811E-02,7.075278E-03,1.36401E+02,1.168169E+04,1.390256E-01,3.050192E-03,-8.39811E-02,7.075278E-03,1.256855E+00
3.1E-02,1.317035E-01,3.105909E-03,-1.310015E-01,-2.250557E-02,1.389876E-01,3.037002E-03,-8.229881E-02,-5.638565E-03,1.494993E+02,1.198311E+04,1.389876E-01,3.037002E-03,-8.229881E-02,-5.638565E-03,1.251764E+00
3.2E-02,1.315833E-01,3.099612E-03,-1.219838E-01,-5.936165E-03,1.388614E-01,3.038237E-03,-8.99274E-02,-3.484399E-03,1.603672E+02,9.829534E+03,1.388614E-01,3.038237E-03,-8.99274E-02,-3.484399E-03,1.253411E+00
3.3E-02,1.314595E-01,3.094036E-03,-1.412492E-01,-8.045832E-03,1.388077E-01,3.030034E-03,-9.224225E-02,-5.33153E-03,1.691583E+02,1.032776E+04,1.388077E-01,3.030034E-03,-9.224225E-02,-5.33153E-03,1.250511E+00
3.4E-02,1.313009E-01,3.08352E-03,-1.643897E-01,-1.245804E-02,1.386769E-01,3.027574E-03,-9.530834E-02,-1.259724E-02,1.810227E+02,9.738E+03,1.386769E-01,3.027574E-03,-9.530834E-02,-1.259724E-02,1.250674E+00
3.5E-02,1.311307E-01,3.06912E-03,-1.372844E-01,-9.733521E-03,1.386171E-01,3.004839E-03,-9.510582E-02,-7.140178E-03,1.886343E+02,7.758071E+03,1.386171E-01,3.004839E-03,-9.510582E-02,-7.140178E-03,1.241821E+00
3.6E-02,1.310263E-01,3.064053E-03,-1.208441E-01,-3.58432E-03,1.384867E-01,3.013293E-03,-1.219623E-01,9.460764E-03,1.965388E+02,7.624838E+03,1.384867E-01,3.013293E-03,-1.219623E-01,9.460764E-03,1.246486E+00
3.7E-02,1.30889E-01,3.061952E-03,-1.143267E-01,-4.071749E-02,1.383732E-01,3.023761E-03,-1.047681E-01,-1.394085E-02,2.03884E+02,5.95659E+03,1.383732E-01,3.023761E-03,-1.047681E-01,-1.394085E-02,1.25184E+00
3.8E-02,1.307976E-01,2.982618E-03,-9.600947E-02,-4.728152E-02,1.382772E-01,2.985412E-03,-1.263424E-01,-1.712363E-02,2.08452E+02,7.003837E+03,1.382772E-01,2.985412E-03,-1.263424E-01,-1.712363E-02,1.236827E+00
3.9E-02,1.30697E-01,2.967389E-03,-1.11089E-01,-1.093293E-02,1.381205E-01,2.989513E-03,-1.600109E-01,2.494538E-02,2.178917E+02,7.009488E+03,1.381205E-01,2.989513E-03,-1.600109E-01,2.494538E-02,1.23993E+00
4E-02,1.305755E-01,2.960753E-03,-8.429436E-02,6.841845E-03,1.379571E-01,3.035302E-03,-1.996894E-01,1.594028E-02,2.22471E+02,4.543944E+03,1.379571E-01,3.035302E-03,-1.996894E-01,1.594028E-02,1.260406E+00
4.1E-02,1.305284E-01,2.981072E-03,-9.378729E-02,9.923276E-03,1.377211E-01,3.021394E-03,-2.294762E-01,6.728627E-03,2.269796E+02,6.141524E+03,1.377211E-01,3.021394E-03,-2.294762E-01,6.728627E-03,1.256781E+00
4.2E-02,1.303879E-01,2.980599E-03,-1.452329E-01,-1.060964E-02,1.374982E-01,3.04876E-03,-2.523038E-01,1.611169E-02,2.34754E+02,7.157582E+03,1.374982E-01,3.04876E-03,-2.523038E-01,1.611169E-02,1.270216E+00
4.3E-02,1.30238E-01,2.959853E-03,-1.274269E-01,1.182424E-03,1.372165E-01,3.053617E-03,-2.276289E-01,1.38414E-02,2.412947E+02,3.772898E+03,1.372165E-01,3.053617E-03,-2.276289E-01,1.38414E-02,1.27485E+00
4.4E-02,1.30133E-01,2.982964E-03,-1.113343E-01,1.329182E-02,1.370429E-01,3.076442E-03,-1.722253E-01,1.122362E-02,2.422998E+02,8.043094E+02,1.370429E-01,3.076442E-03,-1.722253E-01,1.122362E-02,1.286003E+00
4.5E-02,1.300153E-01,2.986437E-03,-1.324536E-01,5.717671E-03,1.368721E-01,3.076064E-03,-1.520463E-01,1.123091E-02,2.429033E+02,4.311063E+03,1.368721E-01,3.076064E-03,-1.520463E-01,1.123091E-02,1.287449E+00
4.6E-02,1.298681E-01,2.994399E-03,-1.523035E-01,3.797547E-03,1.367388E-01,3.098904E-03,-1.325476E-01,1.323591E-02,2.50922E+02,4.218846E+03,1.367388E-01,3.098904E-03,-1.325476E-01,1.323591E-02,1.298269E+00
4.7E-02,1.297076E-01,2.995721E-03,-1.560365E-01,3.518731E-05,1.36607E-01,3.102536E-03,-1.321144E-01,2.941668E-03,2.51341E+02,1.741374E+03,1.36607E-01,3.102536E-03,-1.321144E-01,2.941668E-03,1.301044E+00
4.8E-02,1.29556E-01,2.99447E-03,-1.62153E-01,7.458838E-03,1.364746E-01,3.104788E-03,-1.475293E-01,-3.407846E-03,2.544047E+02,6.067754E+03,1.364746E-01,3.104788E-03,-1.475293E-01,-3.407846E-03,1.30325E+00
4.9E-02,1.293853E-01,3.010228E-03,-1.596626E-01,2.038091E-02,1.363119E-01,3.095721E-03,-1.588943E-01,-1.055982E-02,2.634765E+02,7.314611E+03,1.363119E-01,3.095721E-03,-1.588943E-01,-1.055982E-02,1.300996E+00
5E-02,1.292367E-01,3.035232E-03,-1.443298E-01,8.447433E-04,1.361568E-01,3.083668E-03,-1.561352E-01,-5.654407E-03,2.690339E+02,4.436661E+03,1.361568E-01,3.083668E-03,-1.561352E-01,-5.654407E-03,1.297408E+00
5.1E-02,1.290967E-01,3.011918E-03,-1.384126E-01,-4.958764E-03,1.359997E-01,3.084412E-03,-1.591908E-01,7.082713E-03,2.723499E+02,4.207976E+03,1.359997E-01,3.084412E-03,-1.591908E-01,7.082713E-03,1.29922E+00
5.2E-02,1.289599E-01,3.025314E-03,-1.453419E-01,3.831921E-03,1.358384E-01,3.097833E-03,-1.622324E-01,1.209863E-02,2.774499E+02,8.030199E+03,1.358384E-01,3.097833E-03,-1.622324E-01,1.209863E-02,1.30642E+00
5.3E-02,1.28806E-01,3.019582E-03,-1.772844E-01,6.288598E-03,1.356752E-01,3.108609E-03,-1.695421E-01,4.073499E-03,2.884103E+02,9.43026E+03,1.356752E-01,3.108609E-03,-1.695421E-01,4.073499E-03,1.312539E+00
5.4E-02,1.286053E-01,3.037891E-03,-2.080157E-01,2.303385E-02,1.354993E-01,3.10598E-03,-1.687008E-01,-4.173998E-03,2.963104E+02,9.65947E+03,1.354993E-01,3.10598E-03,-1.687008E-01,-4.173998E-03,1.313131E+00
5.5E-02,1.2839E-01,3.065649E-03,-2.137758E-01,9.73709E-03,1.353378E-01,3.100261E-03,-1.641912E-01,-1.552736E-03,3.077292E+02,8.750144E+03,1.353378E-01,3.100261E-03,-1.641912E-01,-1.552736E-03,1.312278E+00
5.6E-02,1.281778E-01,3.057365E-03,-2.148069E-01,-1.382082E-02,1.35171E-01,3.102875E-03,-1.664041E-01,3.953082E-03,3.138107E+02,5.923382E+03,1.35171E-01,3.102875E-03,-1.664041E-01,3.953082E-03,1.315004E+00
5.7E-02,1.279603E-01,3.038008E-03,-2.026199E-01,-8.794069E-03,1.35005E-01,3.108167E-03,-1.637952E-01,2.716175E-03,3.19576E+02,7.875078E+03,1.35005E-01,3.108167E-03,-1.637952E-01,2.716175E-03,1.318865E+00
5.8E-02,1.277725E-01,3.039777E-03,-1.907616E-01,5.247673E-04,1.348434E-01,3.108307E-03,-1.677403E-01,-3.938766E-03,3.295609E+02,1.337017E+04,1.348434E-01,3.108307E-03,-1.677403E-01,-3.938766E-03,1.320505E+00
5.9E-02,1.275788E-01,3.039057E-03,-1.789594E-01,8.392919E-03,1.346695E-01,3.10029E-03,-1.680468E-01,-6.235741E-03,3.463163E+02,1.158881E+04,1.346695E-01,3.10029E-03,-1.680468E-01,-6.235741E-03,1.3188E+00
6E-02,1.274146E-01,3.056563E-03,-1.713325E-01,5.252196E-03,1.345073E-01,3.095836E-03,-1.779251E-01,-1.750703E-02,3.527385E+02,6.926276E+03,1.345073E-01,3.095836E-03,-1.779251E-01,-1.750703E-02,1.318494E+00
6.1E-02,1.272362E-01,3.049562E-03,-1.68622E-01,8.269632E-03,1.343136E-01,3.065276E-03,-1.965634E-01,-8.529391E-03,3.601689E+02,6.474966E+03,1.343136E-01,3.065276E-03,-1.965634E-01,-8.529391E-03,1.307364E+00
6.2E-02,1.270774E-01,3.073102E-03,-1.659474E-01,5.758771E-02,1.341142E-01,3.078777E-03,-2.040468E-01,4.421461E-03,3.656884E+02,4.993742E+03,1.341142E-01,3.078777E-03,-2.040468E-01,4.421461E-03,1.315073E+00
6.3E-02,1.269043E-01,3.164737E-03,-1.72614E-01,2.170209E-02,1.339056E-01,3.074119E-03,-1.757682E-01,-6.100715E-03,3.701563E+02,8.467776E+03,1.339056E-01,3.074119E-03,-1.757682E-01,-6.100715E-03,1.315129E+00
6.4E-02,1.267321E-01,3.116507E-03,-1.799953E-01,3.425678E-03,1.337626E-01,3.066575E-03,-2.000718E-01,1.463912E-02,3.82624E+02,1.23842E+04,1.337626E-01,3.066575E-03,-2.000718E-01,1.463912E-02,1.313305E+00
6.5E-02,1.265454E-01,3.172532E-03,-1.972163E-01,3.780994E-03,1.335054E-01,3.103397E-03,-2.344849E-01,7.174295E-03,3.949247E+02,1.391839E+04,1.335054E-01,3.103397E-03,-2.344849E-01,7.174295E-03,1.331628E+00
6.6E-02,1.263377E-01,3.124584E-03,-2.092964E-01,3.568433E-03,1.332936E-01,3.08144E-03,-2.252354E-01,-1.158869E-02,4.104607E+02,1.264924E+04,1.332936E-01,3.08144E-03,-2.252354E-01,-1.158869E-02,1.32431E+00
6.7E-02,1.261268E-01,3.179669E-03,-1.918798E-01,2.26987E-02,1.330549E-01,3.080219E-03,-2.181272E-01,4.696773E-03,4.202232E+02,9.706067E+03,1.330549E-01,3.080219E-03,-2.181272E-01,4.696773E-03,1.326159E+00
6.8E-02,1.259539E-01,3.169982E-03,-1.690035E-01,1.459623E-03,1.328574E-01,3.090833E-03,-2.151918E-01,1.385237E-03,4.298729E+02,1.017363E+04,1.328574E-01,3.090833E-03,-2.151918E-01,1.385237E-03,1.332705E+00
6.9E-02,1.257888E-01,3.182588E-03,-1.738927E-01,2.15337E-02,1.326246E-01,3.08299E-03,-2.351606E-01,1.955222E-02,4.405705E+02,7.992504E+03,1.326246E-01,3.08299E-03,-2.351606E-01,1.955222E-02,1.331658E+00
