id,cost,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f30,velocity_scene1_f50,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,velocity_scene4_f50,velocity_scene_wheel_f10,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f30,cost_scene1_f50,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,cost_scene4_f50,cost_scene_wheel_f10,cost_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping
ce1be42a,7.352447529397544,0.07412246377329239,0.21809959818962202,0.355358866618306,0.3100204636197833,3.399960690836574,0.4633639401990482,3.1335181788096587,0.019171380285069033,0.010218043731060396,0.10774909744222252,0.10440025014659426,0.08349343235521876,0.20369291093099237,0.3671124512826549,0.09768873267786952,0.33113330172887107,0.6372545654481775,0.15270879078999888,0.46733213644956767,2.874995975861199,0.0007662486862354859,0.5241984662891391,7.148536084504396e-07,0.008387968179676476,0.45497525716576326,0.028341948106453733,0.08701140132019258,3.0181648293830126,0.017783801572367544,0.0013875787127014868,0.08549128720519149,0.0064788908573051324,0.001260540680259195,0.003609912935419857,1.9510986342929388,0.8134347196714374,0.9975353611060864,0.0006428989088065455,0.12863072464038056,5.2957550237253415,0.400166799949202,1.3020061813092716,4.1032256636524654e-10
158e2eff,1.673343088398899,0.09807062314179922,0.18194144611414897,0.26143176990226985,0.3170620180805901,0.036255726759770325,1.441213505315907,0.03671095556369759,0.08632674427095585,0.04909145424479139,0.12210931521480334,0.12301109996580295,0.12925073159225592,0.1669035892609903,0.2496700174892007,0.10628247369270583,0.2679210525838447,0.410091783430259,0.16326660966157114,0.47085742649960904,0.0002677480269866858,0.0002819470401170437,0.0357060316926666,1.4406148829439283,3.2124484772609424e-05,0.0005664978872062473,2.6724968777054922e-05,0.00029012845687504855,0.03639410213804549,0.08590433310315569,0.000422411167800154,0.037189701835559655,0.005002722591480271,0.0008299636263681513,0.0010315424692305423,1.9917062764293512,0.8043138174673925,0.9640889261917287,0.0008059132394498703,0.16222713286652424,5.224497781336474,0.4999809310060508,1.2902077365116196,3.9216473974273565e-10
d1449a60,3.6576260358281036,0.06532180313811743,0.15191792110040123,0.2529501155157768,0.3174994220083828,2.7494501132766613,0.6209056587130796,0.024311330965564603,0.08900315574760695,0.06021765685635949,0.10778186018609756,0.027965892371895243,0.11009935667972445,0.15004773802451443,0.1956066685969648,0.10537470906395084,0.24970832148008265,0.40376731600329696,0.16352735059734738,0.47147149341941824,0.08377295889911915,6.827684558419886e-05,2.665608877531958,0.4702815771706468,0.021262709538541983,0.1293613720038908,0.00023213644987660063,0.0014495337352649742,0.022629660780423028,0.08843527059599561,0.000567885151611343,0.04839112252823633,0.007737155881896867,0.0008190423178406307,0.001110436002954513,1.904944464571487,0.8690967668325594,0.9842692942125849,0.00034226577119725055,0.3194801532350173,5.031235313398757,0.44519177267228616,1.0779056447868591,2.3855706545486084e-10
de070530,10.04912017881309,0.05937689394176917,0.1873486117867711,0.2944313141090365,0.3167124010884413,8.305846469156602,1.0247288824557852,0.2307996357038595,0.0830672042274571,-0.015485498192042705,0.09350954250291313,0.10010663751443707,0.12210677280094523,0.1916235894387339,0.24831547312063418,0.12119002616972471,0.3146673177083231,0.4474365984490617,0.1628931155320268,0.4705316866448558,7.896887850837267,0.06092294610702099,0.3480356722123151,1.0238953534266337,8.082883750609105e-05,0.0007527001916454051,0.004949269467622274,0.02499252783698264,0.20085783839925458,0.08252781212408161,0.0005393921033754923,0.07708039269321554,0.008769944405537257,0.001069321447692815,0.0012086681329648136,1.943823681716419,0.8005362584122729,0.9739710286090757,0.0004206556282477345,0.35466783303355953,5.265912727638038,0.5507266781004125,1.4204832521394555,3.304185175633527e-10
8e30ce44,2.6250425348453197,0.10002507361864256,0.19290056683767043,0.32105775782083595,0.32096646693990905,0.3491284845438358,0.1595388672087363,1.9209485974323377,0.07129041227132657,0.06293760819991426,0.12387935826332963,0.1132582543926838,0.0987337868455374,0.1897533197500597,0.2902145939174142,0.09045472361588856,0.29221737939503667,0.5805011704515826,0.16096770763887241,0.48096522624094573,0.16683434798467245,6.248172493440221e-05,0.18223165483422898,0.14448822793406307,2.389545063765572e-05,0.015026743824035571,0.09747807816807603,0.0008891490308506017,1.822581370233411,0.06631002418280987,0.0049803880885166945,0.05700020703570142,0.008394178951130067,0.001438977342441427,0.0024330298408846976,1.8693799585257755,0.8121688359222945,0.9883121084138112,0.0006908123431921258,0.12754027567911258,5.18651838948521,0.4522171121403079,1.1924300149160434,4.997052188026049e-10
25621e70,12.995865096921875,0.06335271898828627,0.1961415408010393,0.29217375747873875,0.3158180500917015,11.131148476251651,0.9628889178058907,0.3422248064470179,0.052979336033096444,-0.02697837343569747,0.09308628758588297,0.12395024281467333,0.1209784496101794,0.19117660476071435,0.27626956803222413,0.09655217465889818,0.3259463634379558,0.45402273433936224,0.1591297574286806,0.47250634275472236,10.963065730510634,0.06077347667614413,0.10730926906487237,0.956284403964122,0.00021229671361618107,0.006392217128152502,0.0423910952979563,0.06318360960363659,0.23665010154542504,0.052302878301466516,0.0006764577316299281,0.11504049386323441,0.0066286466280368415,0.0014253907311045154,0.0016309014370801628,1.898495071739776,0.8256950046417656,0.9973663069945528,0.0004871361163324436,0.4307983899154586,4.821392831628452,0.537029634277805,1.3849262126614985,3.4038954613903136e-10
62d50ea5,0.957968056372731,0.08571563141431936,0.1705183803395749,0.2739621714306298,0.32130201060582314,0.4585599300757508,0.2037862796443084,0.14546756312424208,0.08660296259147542,0.03985074292867845,0.11669197079274021,0.10060418052153941,0.09984473319735127,0.17242511498058896,0.23928529284078448,0.09595937655525755,0.2970632257370741,0.42886391199955776,0.16287905593020732,0.47972496528143893,0.15653202461930224,6.446071385840294e-06,0.3020214593850627,0.17391671768387265,4.622778082344491e-05,0.029823334179612294,0.04095986087772995,0.002740705052059335,0.10176699719445281,0.08252771021064226,0.00407525238083316,0.07433251884670063,0.005062501506299832,0.0009342256802614723,0.0016258304725711385,1.9658055502987095,0.8089738098924921,0.972560197959994,0.0004147236451838239,0.3334091626531617,5.263682573455412,0.40123678231373594,1.448861972310003,3.9029383468513073e-10
b1005aff,2.5687261011838705,0.07118169040361826,0.15016912628011045,0.2559925209760183,0.3163944473755591,1.781032091336856,0.5544073741318579,0.013247130575385093,0.09084331479796597,0.057994472693515806,0.10741264383006624,0.048137954687272735,0.10712941071203133,0.15085644815515825,0.1925215199731418,0.10184842217537397,0.27507255309671946,0.3910565876559615,0.1637746535316174,0.46901424121950075,0.03714981856841902,5.619891464349658e-05,1.7438260738537936,0.3667398794201092,0.018364401667324115,0.1693030930444246,0.007228046934300642,0.0007638797227173509,0.0052552039183670985,0.09061460687797027,0.00022870791999569256,0.10062629481951658,0.005538653238870377,0.0009000220255122777,0.001068285750115048,1.7757339040919062,0.8241588824435743,0.9875412899203982,0.0004940733388000466,0.16090546726722438,5.00205523952485,0.40000204986617666,1.320459247555929,2.8607653817345126e-10
cb83878b,5.428507285767952,0.10418928465944217,0.24598893359396623,0.3646383906781761,0.30855656052653424,0.1895970193382407,1.6772916746428723,3.3366978555280644,0.03183571190982538,0.05900085346053812,0.11898291781979128,0.13458408269799713,0.094628871883873,0.20584850098691299,0.4374894279111127,0.10118360248009045,0.3510405737034501,0.6416909958509879,0.15471623377327798,0.46239688727979056,0.1850802281820693,0.002337389409190797,0.0021794017469806254,0.07321847198587945,0.010914326790097139,1.5931588758668958,0.009659613191521692,0.20518527053225916,3.1218529718042833,0.02733697016468877,0.004498741745136607,0.06122461370564226,0.005239097468583474,0.001596999004924712,0.004297913814531323,1.9044224086100399,0.8000225088066601,0.967365200157161,0.00041130519567199195,0.11634938650942597,5.193791741712837,0.41141481627378607,1.3035814918554427,5.649263734577777e-10
504e3004,55.38508510448488,0.021407144018295396,0.20036014325283094,0.35311731815826547,-0.201062844562924,14.98865050168182,0.2160976955295089,2.3803835253200267,36.16708021151484,-0.025491597863059733,0.0023882981230026554,0.08732473179494327,0.08382791097924347,0.188206852176816,0.32904566660243334,0.09476072498541523,0.3913000629552105,0.5732911665341707,-0.18075562169544007,-0.22137006743040796,10.653108911829976,3.8108528601306975,0.5246887297211454,0.00040244937550552255,0.0004226128256355095,0.21527263332836785,0.05116474473364245,0.6125471354286884,1.716671645157696,25.418058935671173,10.74902127584367,0.04080218321752288,0.005883352505586503,0.0007356079827366281,0.0036934140986717304,1.9984169116447164,0.8045398513897842,0.9859599103156084,0.0005849343196578201,0.17187916358547212,5.2117675713409986,0.5822352810448412,1.45370587825177,2.6664167219571125e-10
