id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f30,velocity_scene1_f50,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,velocity_scene4_f50,velocity_scene_wheel_f10,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f30,cost_scene1_f50,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,cost_scene4_f50,cost_scene_wheel_f10,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
289b61b5,15.195367910144137,0.1,0.0,-0.0031207160392333483,0.0,0.0,0,15.194988152025001,0,0,,,,-0.002489466254754591,-0.006101719603874331,-0.0007709622590711227,,,,,,,,,5.900261098377404,5.022892564633855,4.271834489013741,,,,,,,,,0.01988897903356912,0.00732928629904996,0.00827129930470068,,,,,,,,,0.06331927233960226,0.09550366804998425,0.07663852174046362,,,,,,,,,134.9697964118055,138.16638934096014,87.22582314299642,,,,,,,,,30.75884062090024,27.932190135101603,27.820381542623146,,,,,,0.0002614979762194783,0.005432328662224165,0.0003011476334516712,0.0037728856464702113,0.22052369946140576,0.4908369567187846,0.10992052932513735,0.00016129413330830879,0.48480943809223176,5.647127733018558,0.8050681908295749,1.1296814335170355,5.372165803452657e-11,0.5467934358961211
372f9c4a,14.688432046398848,0.1,0.0,0.0004297661268938649,0.0,0.0,0,14.688372959665331,0,0,,,,0.0009757146012486788,0.0007146670793368512,-0.0004010832999039355,,,,,,,,,5.361906371842903,5.224240936891238,4.1022256509311905,,,,,,,,,0.00018828290555985877,0.0002753155355287684,0.0005222002871704157,,,,,,,,,0.0,0.0,0.0,,,,,,,,,124.72267722088321,158.87598352808257,54.13778841868534,,,,,,,,,4.073519705101899,3.5162823758991504,3.5637609262259007,,,,,,0.000664127954459555,0.004205325564594854,0.008198115685048054,0.008920451827200753,0.28754272438327566,0.4949734631215149,0.36959099402395507,0.00018593960128774045,0.4948157857018022,5.095652485047435,0.8565049851174205,1.0268087652828286,1.1149834080621329e-11,0.6815897637955074
bcd1a08b,1000000.0,0.1,0.0,0.0,0.0,0.0,0,3000000.0,0,0,,,,0.0,0.0,0.0,,,,,,,,,1000000.0,1000000.0,1000000.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.009023287603830216,0.0005593166969550576,0.006391618023644451,0.0027348062864465503,0.09880028203548076,0.2714184987983925,0.018783112227817977,0.0006436157124550062,0.4176849502091097,5.847658444995787,0.8321434456200326,0.9898196240214481,6.849860016788594e-11,0.2851016485913516
f2080646,1000000.0,0.1,0.0,3.9372004798773014e-05,0.0,0.0,0,13.681312307829849,0,0,,,,0.00013637835222286282,0.0,-1.826233782654377e-05,,,,,,,,,4.891611320816364,4.610240484248602,4.179460502764884,,,,,,,,,0.0029254165317464764,0.0014371708419909333,0.0004960155951041151,,,,,,,,,0.0,0.0,0.0,,,,,,,,,50.487132634808354,41.94706340549552,89.47487689044699,,,,,,,,,11.544582480631313,10.240572392433986,10.743293890007818,,,,,,0.0005351482618581149,0.0033950034419202805,0.005475648275380821,0.0026707779668415396,0.43217338392949395,0.2746997744943372,0.9105078397538883,5.752471833005536e-05,0.512429643712363,5.801583039545268,1.0860752497491715,1.0798687100855888,1.7436937266835086e-10,0.935000265208531
ba8fb344,1000000.0,0.1,0.0,0.0,0.0,0.0,0,3000000.0,0,0,,,,0.0,0.0,0.0,,,,,,,,,1000000.0,1000000.0,1000000.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0023079966298254497,0.006314805525845742,0.003437203991768564,0.0014023638813385445,0.22414696446476468,0.4704778441866776,0.134792215827855,0.0021037611660941584,0.5485609754672106,4.831707353520143,0.8008514669333174,0.9515748929234585,9.16769640648269e-11,0.5418398296771152
cc8d0daf,1000000.0,0.1,0.0,0.0,0.0,0.0,0,3000000.0,0,0,,,,0.0,0.0,0.0,,,,,,,,,1000000.0,1000000.0,1000000.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0044095379854800975,0.003740143416186299,0.002398899685410297,0.0018691959390213905,0.20674662254521883,0.8267722958910894,0.6905236474442814,0.00096141098705326,0.33082392698032537,5.434700748818536,0.9771325458659189,1.1999870959943626,1.0534010063847581e-11,0.9463210696060287
dc60f0ea,1000000.0,0.1,0.0,-0.014233045476092202,0.0,0.0,0,18.395053410574143,0,0,,,,-0.017323812677716533,-0.01824078462870615,-0.00713453912185393,,,,,,,,,7.4386215107313385,5.11825171784712,5.838180181995684,,,,,,,,,0.019163289564140377,0.019679189725115034,0.02339992235294767,,,,,,,,,0.08039422150587296,0.06985121419652845,0.0741472602976356,,,,,,,,,70.56082704090873,49.66415990736213,51.48426867101341,,,,,,,,,34.889994174228256,33.00594957715786,32.60687838759028,,,,,,0.007232913834852856,0.004601701680193526,0.0034584629674142414,0.001753452568306742,0.2969415226847262,0.13080210310208518,0.9334093061608497,0.00010045831718846358,0.30635006410050813,6.0633135851145745,0.9449994540205522,0.9679597801927375,5.218611948898835e-11,0.9420261680314216
cf7bc12e,14.84221625932923,0.1,0.0,0.0015282543596901992,0.0,0.0,0,14.841455040497804,0,0,,,,0.0021361895499361185,-0.003177954194152509,0.005626527723286988,,,,,,,,,5.028858433431594,4.566679533498393,5.245917073567816,,,,,,,,,0.014878157620996873,0.01607732970047464,0.009764784802301625,,,,,,,,,0.03019474518731268,0.09353989135004774,0.08312908257172645,,,,,,,,,89.71083178552098,105.71112191662662,161.7867268284303,,,,,,,,,20.845072059231132,19.819843472075085,23.62184821649489,,,,,,0.003734471380160317,0.0009729900434423199,0.005410137777201251,0.006367951307223459,0.16025218281491654,0.5744668877213439,0.6697384470576251,8.978223993413058e-05,0.9609819435604814,5.0628586409287095,1.0386003568459308,0.8347491081936477,2.943752967719421e-11,0.8593957996657433
1236b4e1,13.388624358642923,0.3,0.0,0.004258576218913801,0.0,0.0,0,13.38754450052369,0,0,,,,0.0035862985788906224,0.009415925286654376,-0.0002264952088035961,,,,,,,,,5.1604328946992375,3.8850903270419743,4.342021278782479,,,,,,,,,0.011757513004474734,0.008697481964902585,0.002731850170692086,,,,,,,,,0.07280104284819527,0.0714662704417913,0.06320443648215684,,,,,,,,,149.1715709162677,102.66474014502325,80.53554788768353,,,,,,,,,23.29783264854849,35.85102999678011,25.92375660104588,,,,,,0.0043836732428544,0.004775987557656925,0.004087510418431579,0.008818386253011415,0.14406493243339816,0.3542686773875132,0.04609161500051974,0.0006416279946749045,0.6312444736564435,5.538081316159789,0.812884467885795,1.0967451043881795,6.887261045021572e-12,0.3840268677416443
629a915b,1000000.0,0.3,0.0,-0.0005943369757251555,0.0,0.0,0,2000004.3165248588,0,0,,,,0.0,0.0,-0.0017830109271754664,,,,,,,,,1000000.0,1000000.0,4.316524858769111,,,,,,,,,0.0,0.0,0.006720697837824124,,,,,,,,,0.0,0.0,0.09115185155380252,,,,,,,,,0.0,0.0,74.93383114301255,,,,,,,,,0.0,0.0,17.318445445215037,,,,,,0.0006303903107128187,0.0013998597604933708,0.007746855405626493,0.021053288409016577,1.4250223059969553,0.9823871229844054,0.442293394049748,0.0001165804201904438,0.6291469057653768,5.120892725480032,0.8153922746404154,0.9645632980670941,1.5711483496368638e-12,0.9901329527992085
