,mass_B,,,,
t,x,y,θ,ω,α
2.166667E-02,-3.886364E+00,-1.143567E+01,2.512299E+02,1.248867E+04,3.845332E+06
2.2E-02,-3.422677E+00,-1.181877E+01,2.538492E+02,1.09334E+04,9.735389E+05
2.233333E-02,-2.407017E+00,-1.185079E+01,2.585188E+02,1.459437E+04,4.766917E+06
2.266667E-02,-1.382607E+00,-1.228505E+01,2.635787E+02,1.400679E+04,-5.365278E+06
2.3E-02,-4.715275E-01,-1.259911E+01,2.678567E+02,1.087815E+04,-1.778569E+06
2.333333E-02,1.818114E-01,-1.253713E+01,2.708308E+02,1.199144E+04,4.078741E+06
2.366667E-02,1.283928E+00,-1.252915E+01,2.75851E+02,1.479191E+04,2.247323E+06
2.4E-02,2.355313E+00,-1.247456E+01,2.806921E+02,1.316813E+04,-6.101942E+06
2.433333E-02,3.211639E+00,-1.23035E+01,2.846297E+02,1.055481E+04,-1.291463E+05
2.466667E-02,3.886267E+00,-1.21563E+01,2.877286E+02,1.246376E+04,5.843435E+06
2.5E-02,4.791465E+00,-1.132154E+01,2.929389E+02,1.554698E+04,6.460221E+06
2.533333E-02,5.964937E+00,-1.117448E+01,2.980933E+02,1.619033E+04,2.594924E+06
2.566667E-02,7.118998E+00,-1.06614E+01,3.037325E+02,1.742426E+04,2.290617E+06
2.6E-02,8.10695E+00,-9.761585E+00,3.097095E+02,1.777992E+04,1.255813E+06
2.633333E-02,9.038587E+00,-8.855649E+00,3.155857E+02,1.808125E+04,2.346054E+06
2.666667E-02,9.864558E+00,-7.772784E+00,3.217636E+02,1.937468E+04,-2.954772E+05
2.7E-02,1.0636E+01,-6.517192E+00,3.285022E+02,1.832937E+04,-3.255255E+06
2.733333E-02,1.125411E+01,-5.493075E+00,3.339832E+02,1.653264E+04,-2.154596E+06
2.766667E-02,1.169079E+01,-4.365439E+00,3.395239E+02,1.71173E+04,-1.367121E+06
2.8E-02,1.226368E+01,-3.195649E+00,3.453948E+02,1.598271E+04,-3.151441E+06
2.833333E-02,1.236882E+01,-2.141115E+00,3.501791E+02,1.446411E+04,1.786416E+06
2.866667E-02,1.276774E+01,-1.108615E+00,3.550375E+02,1.708033E+04,4.9151E+06
2.9E-02,1.255576E+01,3.432531E-01,3.61566E+02,1.858382E+04,-5.996286E+06
2.933333E-02,1.252822E+01,1.63307E+00,3.674267E+02,1.308168E+04,-1.166809E+07
2.966667E-02,1.253775E+01,2.275578E+00,3.702871E+02,9.527187E+03,7.700683E+05
3E-02,1.24673E+01,3.057225E+00,3.737782E+02,1.400388E+04,1.645778E+07
3.033333E-02,1.23459E+01,4.401768E+00,3.79623E+02,2.089291E+04,6.500869E+06
3.066667E-02,1.140403E+01,5.988967E+00,3.877068E+02,1.947522E+04,-6.084862E+06
3.1E-02,1.07514E+01,6.877524E+00,3.926065E+02,1.49554E+04,-9.332958E+06
3.133333E-02,1.01324E+01,7.824725E+00,3.97677E+02,1.415909E+04,-8.66174E+06
3.166667E-02,9.462716E+00,8.534002E+00,4.020459E+02,9.376469E+03,-7.354072E+06
3.2E-02,9.317123E+00,8.974844E+00,4.03928E+02,8.004151E+03,5.469755E+06
3.233333E-02,8.612397E+00,9.360006E+00,4.07382E+02,1.374606E+04,7.692828E+06
3.266667E-02,7.663278E+00,1.020358E+01,4.130921E+02,1.418369E+04,1.861212E+06
3.3E-02,7.00805E+00,1.072485E+01,4.168378E+02,1.335853E+04,4.178531E+06
3.333333E-02,6.001168E+00,1.128548E+01,4.219977E+02,1.768182E+04,1.888594E+06
3.366667E-02,4.489747E+00,1.147161E+01,4.286257E+02,1.556119E+04,-3.961818E+06
3.4E-02,3.679439E+00,1.157933E+01,4.323719E+02,1.320946E+04,-4.141457E+06
3.433333E-02,2.718413E+00,1.219345E+01,4.37432E+02,1.413078E+04,1.872357E+06
3.466667E-02,1.816425E+00,1.259326E+01,4.417924E+02,1.37769E+04,-6.166095E+05
3.5E-02,7.50134E-01,1.268819E+01,4.466166E+02,1.411893E+04,-2.168452E+06
3.533333E-02,-2.67293E-01,1.270744E+01,4.51205E+02,1.233515E+04,-1.801707E+06
3.566667E-02,-1.062026E+00,1.25423E+01,4.5484E+02,1.235286E+04,1.999964E+06
3.6E-02,-2.08033E+00,1.251171E+01,4.594402E+02,1.422572E+04,2.621295E+05
3.633333E-02,-3.190044E+00,1.249334E+01,4.643238E+02,1.271827E+04,-1.3192E+06
3.666667E-02,-3.992914E+00,1.234823E+01,4.679191E+02,1.248996E+04,1.079309E+06
3.7E-02,-4.853151E+00,1.163007E+01,4.726505E+02,1.419994E+04,2.885091E+06
3.733333E-02,-5.958661E+00,1.150244E+01,4.773857E+02,1.417585E+04,3.317217E+06
3.766667E-02,-6.749776E+00,1.075964E+01,4.82101E+02,1.612002E+04,3.038095E+06
3.8E-02,-7.808274E+00,9.946675E+00,4.881324E+02,1.693512E+04,3.391613E+05
3.833333E-02,-8.838856E+00,9.349736E+00,4.933911E+02,1.573836E+04,-1.909361E+06
3.866667E-02,-9.62498E+00,8.478209E+00,4.986246E+02,1.580244E+04,-2.311916E+06
3.9E-02,-1.041255E+01,7.585706E+00,5.039261E+02,1.444067E+04,-1.164602E+06
3.933333E-02,-1.085836E+01,6.718898E+00,5.082517E+02,1.439128E+04,4.592444E+06
