,mass_B,,,,
t,x,y,θ,ω,α
8.666667E-02,6.434369E+00,-1.270176E+01,2.968655E+02,1.623915E+02,8.912541E+04
8.8E-02,6.604148E+00,-1.271711E+01,2.974434E+02,6.225194E+02,2.218688E+05
8.933333E-02,6.869315E+00,-1.263824E+01,2.985256E+02,7.746494E+02,1.653626E+05
9.066667E-02,7.116992E+00,-1.257456E+01,2.995091E+02,9.898665E+02,2.936618E+05
9.2E-02,7.539556E+00,-1.246635E+01,3.011652E+02,1.585968E+03,2.65929E+05
9.333333E-02,8.057953E+00,-1.206487E+01,3.037384E+02,1.782311E+03,3.119306E+05
9.466667E-02,8.580618E+00,-1.184579E+01,3.059181E+02,2.240034E+03,3.99052E+05
9.6E-02,9.222125E+00,-1.110345E+01,3.097118E+02,3.016065E+03,4.340018E+05
9.733333E-02,1.004206E+01,-1.041307E+01,3.139609E+02,3.338087E+03,1.823301E+05
9.866667E-02,1.091789E+01,-9.620889E+00,3.186134E+02,3.517131E+03,9.845227E+04
1E-01,1.171054E+01,-8.716083E+00,3.233399E+02,3.581702E+03,-3.462105E+04
1.013333E-01,1.236027E+01,-7.674275E+00,3.281646E+02,3.454741E+03,-1.305353E+05
1.026667E-01,1.295275E+01,-6.727675E+00,3.325526E+02,3.195247E+03,2.748103E+05
1.04E-01,1.353824E+01,-5.834623E+00,3.366852E+02,4.048091E+03,2.908094E+05
1.053333E-01,1.403677E+01,-4.198558E+00,3.433475E+02,4.348098E+03,-2.342512E+05
1.066667E-01,1.417752E+01,-2.941142E+00,3.482802E+02,3.177212E+03,1.055573E+05
1.08E-01,1.455959E+01,-2.09287E+00,3.5182E+02,4.333248E+03,7.944254E+05
1.093333E-01,1.511056E+01,-4.338583E-02,3.598355E+02,5.87004E+03,2.74484E+05
1.106667E-01,1.533265E+01,2.011363E+00,3.674735E+02,4.902938E+03,2.292928E+05
1.12E-01,1.500562E+01,3.439501E+00,3.7291E+02,5.992278E+03,3.939748E+05
1.133333E-01,1.406114E+01,6.100215E+00,3.834529E+02,6.779661E+03,9.044687E+05
1.146667E-01,1.173232E+01,7.046447E+00,3.909891E+02,7.538948E+03,5.233102E+05
1.16E-01,1.142523E+01,1.086367E+01,4.035568E+02,8.944118E+03,-3.759505E+05
1.173333E-01,8.880839E+00,1.26081E+01,4.148401E+02,6.420916E+03,-1.801748E+06
1.186667E-01,7.679455E+00,1.367299E+01,4.206792E+02,3.719253E+03,-1.273748E+06
1.2E-01,6.636639E+00,1.407683E+01,4.247581E+02,3.118791E+03,-6.032529E+05
1.213333E-01,5.719233E+00,1.489598E+01,4.28996E+02,2.341477E+03,-7.577409E+05
1.226667E-01,5.07909E+00,1.475244E+01,4.31002E+02,9.322577E+02,-7.58536E+05
1.24E-01,4.957275E+00,1.480027E+01,4.31482E+02,2.854209E+02,-2.171272E+05
1.253333E-01,4.81345E+00,1.460851E+01,4.317631E+02,3.883476E+02,4.601631E+05
1.266667E-01,4.726771E+00,1.500746E+01,4.325176E+02,1.447878E+03,3.752913E+05
1.28E-01,3.780514E+00,1.474994E+01,4.356241E+02,1.705049E+03,1.630829E+04
1.293333E-01,3.387978E+00,1.475055E+01,4.370644E+02,1.173494E+03,3.013856E+05
1.306667E-01,2.924675E+00,1.470799E+01,4.387535E+02,2.454941E+03,7.430682E+05
1.32E-01,1.655882E+00,1.478791E+01,4.436109E+02,3.501385E+03,3.943208E+05
1.333333E-01,4.91539E-01,1.474343E+01,4.480905E+02,3.30418E+03,-1.348919E+04
1.346667E-01,-6.187461E-01,1.462833E+01,4.52422E+02,3.44215E+03,-1.121114E+05
1.36E-01,-1.846974E+00,1.447891E+01,4.572696E+02,3.139332E+03,-2.548627E+05
1.373333E-01,-2.733597E+00,1.433873E+01,4.607936E+02,2.599317E+03,1.887239E+04
1.386667E-01,-3.562992E+00,1.40797E+01,4.642011E+02,3.161514E+03,1.607649E+04
1.4E-01,-4.822324E+00,1.382894E+01,4.692243E+02,2.939781E+03,-3.438683E+05
1.413333E-01,-5.470653E+00,1.351284E+01,4.720405E+02,1.945336E+03,-2.213202E+05
1.426667E-01,-6.207696E+00,1.367726E+01,4.744119E+02,2.339963E+03,3.290306E+05
1.44E-01,-7.035457E+00,1.307698E+01,4.782804E+02,2.993791E+03,3.819834E+05
1.453333E-01,-7.827122E+00,1.233581E+01,4.823953E+02,3.277454E+03,2.418683E+05
1.466667E-01,-8.848159E+00,1.173327E+01,4.870203E+02,3.653785E+03,2.360658E+05
1.48E-01,-9.876377E+00,1.091556E+01,4.921387E+02,3.920805E+03,2.69764E+05
1.493333E-01,-1.085135E+01,9.951885E+00,4.974757E+02,4.324214E+03,3.782044E+05
1.506667E-01,-1.188447E+01,8.739606E+00,5.0367E+02,4.964007E+03,2.593237E+05
1.52E-01,-1.295824E+01,7.26793E+00,5.107131E+02,5.088475E+03,1.312138E+05
1.533333E-01,-1.373375E+01,5.762074E+00,5.172392E+02,5.173235E+03,5.378934E+05
1.546667E-01,-1.440226E+01,3.991828E+00,5.245084E+02,6.482878E+03,5.041864E+05
1.56E-01,-1.517608E+01,1.454098E+00,5.345269E+02,6.865173E+03,4.649764E+05
1.573333E-01,-1.581412E+01,-7.777338E-01,5.428155E+02,7.243467E+03,1.504588E+05
1.586667E-01,-1.517458E+01,-3.739262E+00,5.538428E+02,7.729746E+03,2.99445E+05
1.6E-01,-1.479329E+01,-6.410269E+00,5.634282E+02,7.671809E+03,-1.656965E+05
1.613333E-01,-1.295811E+01,-8.83975E+00,5.74301E+02,7.584516E+03,-5.048315E+05
1.626667E-01,-1.116228E+01,-1.064961E+01,5.836536E+02,6.208827E+03,-1.605209E+06
1.64E-01,-9.595395E+00,-1.17894E+01,5.908578E+02,3.436225E+03,-1.855363E+06
1.653333E-01,-9.001401E+00,-1.186614E+01,5.928168E+02,8.961476E+02,-1.332727E+06
1.666667E-01,-8.845142E+00,-1.184404E+01,5.932476E+02,3.998816E+01,-3.399125E+05
1.68E-01,-8.848607E+00,-1.170992E+01,5.929235E+02,-3.852094E+01,1.284841E+05
1.693333E-01,-8.768161E+00,-1.169715E+01,5.931449E+02,4.420691E+02,4.137654E+05
1.706667E-01,-8.563512E+00,-1.183103E+01,5.941023E+02,1.064942E+03,6.068937E+05
1.72E-01,-7.97561E+00,-1.181752E+01,5.959847E+02,2.031581E+03,7.872815E+05
1.733333E-01,-7.41707E+00,-1.260167E+01,5.995199E+02,3.211825E+03,5.228273E+05
1.746667E-01,-6.030793E+00,-1.267202E+01,6.045496E+02,3.53174E+03,6.936226E+05
1.76E-01,-5.121395E+00,-1.329854E+01,6.089378E+02,4.710006E+03,1.008959E+06
1.773333E-01,-3.105267E+00,-1.356873E+01,6.171096E+02,6.595382E+03,6.748644E+05
1.786667E-01,-8.420827E-01,-1.386928E+01,6.265255E+02,6.517973E+03,-7.971881E+05
1.8E-01,1.084936E+00,-1.381365E+01,6.344908E+02,4.463289E+03,-1.604334E+06
1.813333E-01,2.026172E+00,-1.36756E+01,6.384276E+02,2.019172E+03,-1.364198E+06
1.826667E-01,2.395173E+00,-1.375874E+01,6.398753E+02,8.134561E+02,-3.474608E+05
1.84E-01,2.53929E+00,-1.357272E+01,6.405968E+02,1.072276E+03,5.0511E+05
1.853333E-01,2.995127E+00,-1.325299E+01,6.427347E+02,2.25761E+03,6.397519E+05
1.866667E-01,3.984633E+00,-1.335161E+01,6.466171E+02,2.892134E+03,3.587244E+05
1.88E-01,4.917539E+00,-1.318969E+01,6.504471E+02,3.084792E+03,4.467932E+04
1.893333E-01,5.96333E+00,-1.288029E+01,6.548432E+02,3.102556E+03,-2.971599E+05
1.906667E-01,6.776423E+00,-1.236686E+01,6.587205E+02,2.294131E+03,-3.741012E+05
1.92E-01,7.255436E+00,-1.209375E+01,6.609609E+02,1.922729E+03,-4.407721E+03
1.933333E-01,7.721977E+00,-1.151415E+01,6.638478E+02,2.405069E+03,2.687167E+05
1.946667E-01,8.418985E+00,-1.102176E+01,6.673744E+02,2.669681E+03,-8.213962E+04
1.96E-01,8.953724E+00,-1.031208E+01,6.70967E+02,2.22577E+03,-2.81987E+05
1.973333E-01,9.342716E+00,-9.910844E+00,6.733098E+02,1.777396E+03,5.118598E+04
