,mass_B,,,,
t,x,y,θ,ω,α
0E+00,1.625E+01,-4.25E+00,-1.465675E+01,,
1.333333E-03,1.671612E+01,-3.584793E+00,-1.210382E+01,3.202646E+03,
2.666667E-03,1.706908E+01,-1.829089E+00,-6.116361E+00,3.919768E+03,-3.008829E+05
4E-03,1.740571E+01,-5.01724E-01,-1.651108E+00,2.215172E+03,-1.065329E+06
5.333333E-03,1.730893E+01,-6.32099E-02,-2.092356E-01,8.671158E+02,-5.900008E+05
6.666667E-03,1.743166E+01,2.011725E-01,6.612004E-01,7.313593E+02,1.172584E+04
8E-03,1.754802E+01,5.333987E-01,1.741056E+00,9.337422E+02,1.856051E+05
9.333333E-03,1.737299E+01,9.564524E-01,3.15118E+00,1.226363E+03,2.971911E+05
1.066667E-02,1.762336E+01,1.545365E+00,5.011358E+00,1.711573E+03,6.194245E+05
1.2E-02,1.751076E+01,2.372333E+00,7.715375E+00,2.829907E+03,7.472291E+05
1.333333E-02,1.722981E+01,3.83799E+00,1.255778E+01,3.856055E+03,1.039942E+06
1.466667E-02,1.749915E+01,5.685206E+00,1.799819E+01,5.368566E+03,7.315409E+05
1.6E-02,1.626943E+01,8.244654E+00,2.687395E+01,6.207112E+03,1.285985E+05
1.733333E-02,1.533518E+01,1.055949E+01,3.455049E+01,5.443774E+03,-3.073559E+05
1.866667E-02,1.385656E+01,1.22122E+01,4.139068E+01,5.333135E+03,-5.089054E+05
2E-02,1.228285E+01,1.401684E+01,4.877218E+01,4.357822E+03,-6.309111E+05
2.133333E-02,1.126284E+01,1.495255E+01,5.301154E+01,3.271858E+03,-2.525361E+05
2.266667E-02,9.905276E+00,1.554645E+01,5.749713E+01,3.81474E+03,2.398818E+05
2.4E-02,8.359572E+00,1.653779E+01,6.318418E+01,4.056854E+03,-3.979422E+04
2.533333E-02,6.932766E+00,1.743492E+01,6.831541E+01,3.617672E+03,-3.789486E+05
2.666667E-02,5.501815E+00,1.780793E+01,7.28313E+01,3.057264E+03,5.62655E+03
2.8E-02,4.347942E+00,1.806619E+01,7.646812E+01,3.465973E+03,4.246053E+05
2.933333E-02,2.512941E+00,1.804939E+01,8.20739E+01,4.417192E+03,4.496436E+05
3.066667E-02,5.488871E-01,1.793748E+01,8.82473E+01,4.621569E+03,2.528568E+04
3.2E-02,-1.356961E+00,1.7643E+01,9.439808E+01,4.471953E+03,-3.188703E+04
