,mass_B,,,,
t,x,y,θ,ω,α
2.166667E-02,-1.355353E+01,-5.224757E-01,1.822076E+02,1.644562E+04,5.023204E+06
2.2E-02,-1.281045E+01,-2.080654E+00,1.892253E+02,1.713836E+04,-2.551021E+06
2.233333E-02,-1.289914E+01,-3.128539E+00,1.936332E+02,1.300011E+04,-6.985331E+06
2.266667E-02,-1.265968E+01,-4.087033E+00,1.978921E+02,1.295187E+04,-2.851763E+06
2.3E-02,-1.237449E+01,-5.067016E+00,2.022678E+02,1.142418E+04,-2.640979E+05
2.333333E-02,-1.210555E+01,-5.776175E+00,2.055082E+02,1.194637E+04,5.220462E+06
2.366667E-02,-1.129133E+01,-6.580158E+00,2.10232E+02,1.558199E+04,7.953249E+06
2.4E-02,-1.040277E+01,-7.529292E+00,2.158962E+02,1.729103E+04,-3.364419E+06
2.433333E-02,-8.899793E+00,-7.945983E+00,2.217594E+02,1.376867E+04,-5.217836E+06
2.466667E-02,-8.536738E+00,-8.559205E+00,2.250753E+02,1.233686E+04,-3.879858E+06
2.5E-02,-7.103288E+00,-8.460551E+00,2.299839E+02,1.269995E+04,4.991044E+06
2.533333E-02,-6.891219E+00,-9.327215E+00,2.335419E+02,1.423531E+04,7.530341E+06
2.566667E-02,-5.496157E+00,-9.321002E+00,2.394741E+02,1.887332E+04,3.756006E+06
2.6E-02,-4.299794E+00,-9.714084E+00,2.461241E+02,1.696465E+04,1.595827E+06
2.633333E-02,-3.574622E+00,-1.025564E+01,2.507839E+02,1.831155E+04,4.150719E+06
2.666667E-02,-2.192307E+00,-1.061596E+01,2.583318E+02,2.155202E+04,4.220075E+06
2.7E-02,-8.751792E-01,-1.031839E+01,2.651519E+02,2.022738E+04,-3.916136E+06
2.733333E-02,3.362314E-01,-1.060031E+01,2.718168E+02,1.915117E+04,8.087448E+06
2.766667E-02,1.518123E+00,-1.091342E+01,2.779194E+02,2.452339E+04,2.155241E+05
2.8E-02,3.247313E+00,-9.896733E+00,2.881657E+02,2.238467E+04,1.271854E+07
2.833333E-02,4.201713E+00,-9.974773E+00,2.928425E+02,2.77654E+04,-1.898721E+05
2.866667E-02,6.074303E+00,-8.156445E+00,3.066759E+02,2.914141E+04,-1.903873E+06
2.9E-02,6.971728E+00,-7.669869E+00,3.122701E+02,2.047531E+04,-1.024904E+07
2.933333E-02,8.126953E+00,-6.740862E+00,3.203262E+02,2.500926E+04,9.105341E+06
2.966667E-02,9.174779E+00,-5.52521E+00,3.289429E+02,2.620728E+04,5.376269E+05
3E-02,1.011877E+01,-4.129873E+00,3.377977E+02,2.550136E+04,-1.8159E+07
3.033333E-02,1.094603E+01,-2.740552E+00,3.459438E+02,1.508309E+04,-2.107613E+07
3.066667E-02,1.154293E+01,-2.484481E+00,3.478531E+02,8.529263E+03,-1.324216E+06
3.1E-02,1.249173E+01,-1.837935E+00,3.5163E+02,1.57114E+04,2.942372E+07
3.133333E-02,1.313454E+01,-3.83552E-01,3.583273E+02,2.788339E+04,7.867854E+06
3.166667E-02,1.26798E+01,2.285782E+00,3.702189E+02,2.419668E+04,-1.726151E+07
3.2E-02,1.290898E+01,3.328506E+00,3.744585E+02,1.207512E+04,-2.405671E+07
3.233333E-02,1.276012E+01,4.212352E+00,3.78269E+02,9.841879E+03,2.648717E+06
3.266667E-02,1.25728E+01,4.831208E+00,3.810197E+02,1.282531E+04,-2.971336E+06
3.3E-02,1.188023E+01,6.006141E+00,3.868192E+02,1.039521E+04,5.155406E+06
3.333333E-02,1.210739E+01,6.42403E+00,3.879499E+02,1.233097E+04,3.469218E+06
3.366667E-02,1.096768E+01,7.691032E+00,3.950399E+02,1.688846E+04,4.524128E+06
3.4E-02,1.047512E+01,8.545991E+00,3.992088E+02,1.277925E+04,-7.115376E+06
3.433333E-02,9.95156E+00,9.463295E+00,4.035594E+02,1.287401E+04,-1.160077E+06
3.466667E-02,9.433605E+00,1.040072E+01,4.077915E+02,1.201374E+04,-2.486812E+06
3.5E-02,8.607282E+00,1.084744E+01,4.115685E+02,1.108204E+04,-7.837003E+05
3.533333E-02,8.013489E+00,1.152111E+01,4.151795E+02,1.143206E+04,-1.283301E+05
3.566667E-02,7.213568E+00,1.209603E+01,4.191899E+02,1.130671E+04,-1.398617E+06
3.6E-02,6.4276E+00,1.24625E+01,4.227173E+02,1.0254E+04,-3.754273E+06
3.633333E-02,5.734257E+00,1.289504E+01,4.260259E+02,8.952564E+03,-1.642611E+06
3.666667E-02,5.160437E+00,1.322609E+01,4.286857E+02,8.80924E+03,-2.857062E+06
3.7E-02,4.343638E+00,1.328838E+01,4.318987E+02,7.70085E+03,1.550465E+06
3.733333E-02,3.906583E+00,1.346374E+01,4.338196E+02,8.744577E+03,3.730909E+06
3.766667E-02,2.958502E+00,1.360136E+01,4.377284E+02,1.136818E+04,4.047457E+06
3.8E-02,2.056728E+00,1.35969E+01,4.413984E+02,1.092643E+04,2.301941E+04
3.833333E-02,1.187078E+00,1.360318E+01,4.450127E+02,1.13399E+04,-2.588345E+06
3.866667E-02,2.484685E-01,1.366514E+01,4.489583E+02,9.665005E+03,-2.030187E+06
3.9E-02,-3.514407E-01,1.382609E+01,4.514561E+02,9.069732E+03,1.726905E+06
3.933333E-02,-1.221727E+00,1.39509E+01,4.550048E+02,1.146062E+04,4.467719E+06
3.966667E-02,-2.26087E+00,1.412064E+01,4.590965E+02,1.208309E+04,-9.886504E+04
4E-02,-3.250053E+00,1.401034E+01,4.630602E+02,1.130699E+04,-1.929838E+06
4.033333E-02,-4.123748E+00,1.38025E+01,4.666345E+02,1.066526E+04,6.674376E+05
4.066667E-02,-4.960362E+00,1.350341E+01,4.701704E+02,1.166756E+04,4.655482E+06
4.1E-02,-6.020834E+00,1.326495E+01,4.744128E+02,1.391088E+04,3.654874E+06
4.133333E-02,-7.047316E+00,1.248439E+01,4.794443E+02,1.439131E+04,3.811885E+05
4.166667E-02,-7.822882E+00,1.159482E+01,4.840071E+02,1.378172E+04,-9.370871E+05
4.2E-02,-8.721873E+00,1.091315E+01,4.886321E+02,1.38914E+04,3.124276E+06
4.233333E-02,-9.614647E+00,1.021424E+01,4.93268E+02,1.561232E+04,9.34279E+05
4.266667E-02,-1.056235E+01,9.168666E+00,4.990403E+02,1.528874E+04,-2.409423E+05
4.3E-02,-1.13493E+01,8.410158E+00,5.034605E+02,1.445764E+04,-2.489991E+06
4.333333E-02,-1.185901E+01,7.216416E+00,5.086787E+02,1.443483E+04,1.198484E+06
4.366667E-02,-1.230133E+01,6.24522E+00,5.130837E+02,1.454677E+04,-2.455769E+06
4.4E-02,-1.270696E+01,5.037047E+00,5.183766E+02,1.366825E+04,-3.483474E+06
