timestamp,elapsed_min,n_eval,id,cost,vel_scene2_f10_flat,lateral_scene2_f10_flat,tumble_scene2_f10_flat,yaw_scene2_f10_flat,best_trial_scene2_f10_flat,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-25T00:51:57,0.1,16,e09d66ab,0.963745,0.0748,0.005604,0.294802,3.8,1,0.2831963151345367,0.006649411271590921,6.302451826025337e-05,0.005513930963246465,2.563441712340729,0.6998387383011304,0.5236539522693897,0.00014023520944824616,0.4023496386748282,4.455626774345244,0.6273389957427091,1.4976855069698178,1.1866723166684713e-09,29.331703337326307,3.262275630286203e-06,0.0019313266458459578,0.8569670039126831
2026-02-25T00:52:10,0.3,64,91fbb32b,0.676708,0.0848,0.010882,0.014208,164.0,2,0.512998902819457,0.0006481365394842584,0.00015782106596003923,0.005107297329637058,1.6072976570125075,0.3719709632555318,0.30107812712373216,0.000263047651563127,0.7393059713786896,4.034196425808675,0.5855221134245456,1.4417938958962357,1.0705977353972388e-10,29.725017906433152,3.827576331880265e-05,0.0018079293378304821,0.5610266616051655
2026-02-25T00:52:26,0.6,144,3e1f3329,0.663759,0.0556,0.004346,0.030022,19.6,1,0.5039916735406335,0.000958806411372052,2.357512059020226e-05,0.012964474505278845,1.9428997192126873,0.5878155819246942,0.22145015491606665,0.00022472046519352867,0.8776913282545488,3.5295552165413557,0.5042492759109003,1.4999305248833048,3.912302741772036e-10,30.453721820891438,6.791249789524063e-06,0.0028935038243086443,0.6790717401459678
2026-02-25T00:52:46,0.9,240,be5b60af,0.661717,0.0847,0.008318,0.015645,162.9,2,0.51613809673833,0.003290051329826,2.3989223456800064e-05,0.010120421593484506,3.9108353614343443,0.6136864038452546,0.588109779949791,8.586538004448773e-05,0.87818591339063,3.6388963453439227,0.566140137018434,1.2915508979663635,2.1609952244440333e-10,30.229934205408664,4.749189604538673e-06,0.0015094542084461825,0.8408223968934394
2026-02-25T00:52:50,0.9,256,17ada61c,0.348283,0.0913,0.051099,0.014976,30.2,0,0.970128627586414,0.0012894102143697593,7.192627571700752e-06,0.0071979096629936675,5.479651561132311,0.8373820608202444,0.7937340265896079,0.00019179160263324205,0.42421076324275775,3.3441771230749184,0.6547154491004027,1.4949458385088992,1.3308003353880762e-10,30.033948923445568,3.5258612354099344e-06,0.0006197641367960688,0.9663780790784369
2026-02-25T00:53:22,1.5,416,c3e2b493,0.238365,0.0895,0.035355,0.011052,10.0,2,1.0967845048088032,7.18995544456814e-05,1.0017871272582058e-06,0.004564121949474941,2.149591318416463,0.8664480976071932,0.3257068336322894,0.0007634448490332007,0.21727023268941606,2.506416691509355,0.7053342635306594,1.3954321080141927,1.3722102883667824e-10,31.23671975423047,1.6538778596474379e-06,0.0002923994635104858,0.9099142941777597
2026-02-25T00:53:42,1.8,512,d707efcc,0.165746,0.0800,0.026752,0.008170,3.2,0,1.2296327863904877,3.440676827186931e-05,1.0223583759065754e-06,0.002789290681223378,4.182524962423254,0.9278953251291853,0.13588523726522508,0.0010417948405185796,0.2541848404140853,2.787512455702161,1.002478463777502,1.4315678535302383,1.53988686556048e-10,30.40652623265484,2.3799370406464293e-06,0.0014419262441278825,0.9376796974582113
2026-02-25T00:54:13,2.3,656,2b3e275f,0.159920,0.0779,0.021205,0.011088,2.9,1,1.2294165875783798,0.0001745926563367155,3.902450106228657e-06,0.005036629265512038,4.783345613015713,0.6193193926179857,0.7445899131456102,0.0006144016684866557,0.7839046030229648,2.0472410901483267,0.6608622111645542,1.4065275911346335,1.0710492495601218e-10,30.80925250927892,3.6535631773308013e-06,3.0546087675448385e-05,0.9026958740134633
2026-02-25T00:54:43,2.8,800,0b52a5c9,0.153358,0.0943,0.005638,0.011911,1.7,0,1.1624464773220011,0.00011610390728991871,5.094483095355447e-06,0.005068350838596803,7.680453909014752,0.6612015632408739,0.847628171990709,0.0011412159836525222,0.4189537715732188,2.9160638393678746,0.8254549902213516,1.1137459822997409,1.2615660551663057e-10,30.114358561747952,3.2240932686708555e-06,0.00013384501825431243,0.9482919000471227
2026-02-25T00:54:56,3.0,864,dc1b972b,0.133579,0.0760,0.013199,0.009986,9.9,0,1.4044133590527306,0.00015182425745358384,5.157344877661782e-06,0.00340911943996831,6.221725502287072,0.6740543213221756,0.7785330259539712,0.0008701239460984933,0.5046128559154681,3.1298971536546105,0.8863656907156435,1.2458713353987398,1.3026356976818807e-10,30.36495313645375,2.165796461280094e-06,0.00015120202891101032,0.9277359435372476
2026-02-25T00:54:59,3.1,880,422369bc,0.068204,0.0783,0.004581,0.009245,22.5,0,1.0520869621007998,0.0002571854275276316,3.2690828569512233e-06,0.004233696636555596,5.652167598697463,0.7284990157998223,0.8441697496513002,0.001048602387594121,0.4174520928229184,2.9190556053562142,0.6794043255365062,1.2238710986651058,1.1244221353287878e-10,30.237152101399047,4.215988480137149e-06,5.812518047914403e-05,0.9576075166872028
2026-02-25T00:57:53,6.0,1792,1f1e71f7,0.059515,0.0779,0.002799,0.008469,29.8,2,1.1309344923383193,8.49061969699514e-05,3.320957840262997e-06,0.0031192586260848495,8.022345448758152,0.38273948792374013,0.79992111676775,0.0008696777413137654,0.05971513578909778,3.0592440062185173,0.8993172185105474,1.348381210177643,1.0015608621603169e-10,29.77204383581711,6.094697253727932e-06,0.0006372297958003509,0.8764192139687383
