id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f30,velocity_scene1_f50,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,velocity_scene4_f50,velocity_scene_wheel_f10,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f30,cost_scene1_f50,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,cost_scene4_f50,cost_scene_wheel_f10,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
cc7c8b13,9.53168838524872,0.2,0.0,0.0,0.0,-6.408793733484228e-05,0,0,0,9.531685075327722,,,,,,,,,,-0.00031037113702121164,0.00018219526235152707,,,,,,,,,,4.9311636977901845,4.600521377537537,,,,,,,,,,0.0008106237998576556,0.0005717927680132462,,,,,,,,,,0.0,0.0,,,,,,,,,,59.76656056164986,29.759899657358275,,,,,,,,,,2.81786401448627,2.9158241606592075,0.0002614979762194783,0.005432328662224165,3.0114763345167153e-06,0.0037728856464702113,0.22052369946140576,0.4908369567187846,0.10992052932513735,0.00016129413330830879,0.48480943809223176,5.647127733018558,0.8050681908295749,1.1296814335170355,5.372165803452657e-11,0.5467934358961211
4a6c6c2e,9.516222344606868,0.2,0.0,0.0,0.0,0.00021780008342553198,0,0,0,9.516217326584009,,,,,,,,,,0.00044929028385002056,-1.3690116998956609e-05,,,,,,,,,,4.913873574231446,4.602343752352563,,,,,,,,,,4.0701982855172156e-05,0.00035564579995065983,,,,,,,,,,0.0,0.0,,,,,,,,,,44.264745043746295,35.78492263508958,,,,,,,,,,3.627339968264392,3.0322051309881197,0.000664127954459555,0.004205325564594854,8.198115685048053e-05,0.008920451827200753,0.28754272438327566,0.4949734631215149,0.36959099402395507,0.00018593960128774045,0.4948157857018022,5.095652485047435,0.8565049851174205,1.0268087652828286,1.1149834080621329e-11,0.6815897637955074
5db9b70a,1000000.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2000000.0,,,,,,,,,,0.0,0.0,,,,,,,,,,1000000.0,1000000.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.009023287603830216,0.0005593166969550576,6.39161802364445e-05,0.0027348062864465503,0.09880028203548076,0.2714184987983925,0.018783112227817977,0.0006436157124550062,0.4176849502091097,5.847658444995787,0.8321434456200326,0.9898196240214481,6.849860016788594e-11,0.2851016485913516
32f4cd15,9.88792527909968,0.2,0.0,0.0,0.0,1.7655486881938395e-05,0,0,0,9.887925185372895,,,,,,,,,,-3.848093207692053e-05,7.379190584079732e-05,,,,,,,,,,4.954783877947116,4.933141307425779,,,,,,,,,,0.00013248338456154773,0.0003945159181178683,,,,,,,,,,0.0,0.0,,,,,,,,,,77.49133993996918,112.01685831648777,,,,,,,,,,2.288558388107313,2.3605108082173554,0.0005351482618581149,0.0033950034419202805,5.475648275380827e-05,0.0026707779668415396,0.43217338392949395,0.2746997744943372,0.9105078397538883,5.752471833005536e-05,0.512429643712363,5.801583039545268,1.0860752497491715,1.0798687100855888,1.7436937266835086e-10,0.935000265208531
8e932095,1000000.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2000000.0,,,,,,,,,,0.0,0.0,,,,,,,,,,1000000.0,1000000.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0023079966298254497,0.006314805525845742,3.437203991768564e-05,0.0014023638813385445,0.22414696446476468,0.4704778441866776,0.134792215827855,0.0021037611660941584,0.5485609754672106,4.831707353520143,0.8008514669333174,0.9515748929234585,9.16769640648269e-11,0.5418398296771152
be0638b8,1000000.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2000000.0,,,,,,,,,,0.0,0.0,,,,,,,,,,1000000.0,1000000.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0044095379854800975,0.003740143416186299,2.398899685410299e-05,0.0018691959390213905,0.20674662254521883,0.8267722958910894,0.6905236474442814,0.00096141098705326,0.33082392698032537,5.434700748818536,0.9771325458659189,1.1999870959943626,1.0534010063847581e-11,0.9463210696060287
a916beaa,9.81305437249674,0.2,0.0,0.0,0.0,-0.00022031206268568644,0,0,0,9.813048589787897,,,,,,,,,,-0.0004757870269006007,3.516290152922783e-05,,,,,,,,,,5.105190687224,4.707857902563897,,,,,,,,,,0.0016305897762201402,0.0010953704584646061,,,,,,,,,,0.0,0.0,,,,,,,,,,96.08798031082038,89.52409914016482,,,,,,,,,,5.109662826572751,4.83456580024107,0.007232913834852856,0.004601701680193526,3.4584629674142376e-05,0.001753452568306742,0.2969415226847262,0.13080210310208518,0.9334093061608497,0.00010045831718846358,0.30635006410050813,6.0633135851145745,0.9449994540205522,0.9679597801927375,5.218611948898835e-11,0.9420261680314216
b571f4ec,9.552806873593179,0.2,0.0,0.0,0.0,-5.8555850689888043e-05,0,0,0,9.552806849103527,,,,,,,,,,-4.272051767277071e-06,-0.00011283964961249901,,,,,,,,,,4.948800347417752,4.604006501685776,,,,,,,,,,0.000159092605270313,0.00014660615857314702,,,,,,,,,,0.0,0.0,,,,,,,,,,78.9968704162768,10.397900415028557,,,,,,,,,,2.407374693809394,2.545508625916109,0.003734471380160317,0.0009729900434423199,5.410137777201257e-05,0.006367951307223459,0.16025218281491654,0.5744668877213439,0.6697384470576251,8.978223993413058e-05,0.9609819435604814,5.0628586409287095,1.0386003568459308,0.8347491081936477,2.943752967719421e-11,0.8593957996657433
5d80bc6b,9.873560718346717,0.4,0.0,0.0,0.0,5.664283418333987e-06,0,0,0,9.873560677537593,,,,,,,,,,3.3761041532431666e-05,-2.2432474695763693e-05,,,,,,,,,,5.033528824937544,4.84003185260005,,,,,,,,,,8.326726921797274e-05,9.386496113904576e-05,,,,,,,,,,0.0,0.0,,,,,,,,,,91.92927402418378,104.01842573684654,,,,,,,,,,1.7581288216632094,1.604837003285622,0.0013274638529502168,0.0015002367348084461,2.4937329056075433e-05,0.015482696411820792,0.3494629670796149,0.5149707623485582,0.4356343666201134,6.665605100313758e-05,0.5099713852407893,5.805629643898069,0.8304436148272256,0.8055658300851065,1.270816967568112e-11,0.7262226036484185
b4a99761,9.565659106151006,0.4,0.0,0.0,0.0,1.4378836881086196e-06,0,0,0,9.565659064437062,,,,,,,,,,3.20601398996384e-05,-2.918437252342116e-05,,,,,,,,,,4.934768417221053,4.630890647216009,,,,,,,,,,0.00020338252256873936,2.7876661844176075e-05,,,,,,,,,,0.0,0.0,,,,,,,,,,75.02210288952818,75.15338622385798,,,,,,,,,,1.1990222150826229,1.1929333784615748,0.006594447243812692,0.011243898645678744,3.8177948265773186e-05,0.006470098367318222,0.1559528015253857,0.7245573788753086,0.21545108600612603,0.00016925320168185117,0.9797582635751501,5.631316747365432,0.9783872115507849,0.9648491969023217,2.3183885783870084e-10,0.7838802456203966
