param_name,param_value,ctrl_freq,trial,rng_seed,jitter_value,terrain,crash,success,max_x,vx_m_s
sliding_friction,0.01,30.0,2,1348789750,0.0,flat,False,True,0.06746564318915621,0.023264014892585456
sliding_friction,0.01,30.0,3,868844232,0.0,flat,False,True,0.039082051507386514,0.013341708420895108
sliding_friction,0.01,30.0,4,488237601,0.0,flat,False,True,0.06009137286799463,0.02072116305770237
sliding_friction,0.01,30.0,1,1729396381,0.0,flat,False,True,0.06364088045928118,0.02194513119262866
sliding_friction,0.01,30.0,0,61858251,0.0,flat,False,True,0.08481702311836303,0.029247249350932317
sliding_friction,0.01,50.0,3,477406642,0.0,flat,False,True,0.10856684770684874,0.037436844036616526
sliding_friction,0.01,50.0,0,1817904309,0.0,flat,False,True,0.11664996761715304,0.04022412676430752
sliding_friction,0.01,50.0,2,957352160,0.0,flat,False,True,0.1020052681074345,0.03517423038164631
sliding_friction,0.01,10.0,1,826289186,0.0,flat,False,True,0.059254654814915333,0.02039014747864447
sliding_friction,0.01,10.0,4,1732614054,0.0,flat,False,True,0.05490524586855114,0.018932843402721937
sliding_friction,0.01,50.0,4,96800011,0.0,flat,False,True,0.09299829453015458,0.032068377423963734
sliding_friction,0.01,10.0,0,1306234704,0.0,flat,False,True,0.0531902487447215,0.018341465084160017
sliding_friction,0.01,50.0,1,1337958791,0.0,flat,False,True,0.11438596549417195,0.039443436377072726
sliding_friction,0.01,10.0,2,445682555,0.0,flat,False,True,0.0664536409588826,0.022915048606284242
sliding_friction,0.01,10.0,3,2113220685,0.0,flat,False,True,0.06388028531750072,0.022027684592014655
sliding_friction,0.03760603093086394,10.0,0,1234276660,0.0,flat,False,True,0.11273270255865991,0.038873345707838326
sliding_friction,0.03760603093086394,30.0,0,842839070,0.0,flat,False,True,0.16110038521646722,0.055551856969154635
sliding_friction,0.03760603093086394,10.0,1,853670029,0.0,flat,False,True,0.1188526017043798,0.04098365575808661
sliding_friction,0.03760603093086394,10.0,2,373724511,0.0,flat,False,True,0.12385787242096259,0.04270961117760043
sliding_friction,0.03760603093086394,50.0,0,451401480,0.0,flat,False,True,0.36696498123871096,0.1265396487009629
sliding_friction,0.03760603093086394,30.0,2,2129770569,0.0,flat,False,True,0.19309204356648524,0.06658346329674644
