id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f20,velocity_scene1_f30,velocity_scene2_f10,velocity_scene2_f20,velocity_scene2_f30,velocity_scene4_f10,velocity_scene4_f20,velocity_scene4_f30,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f20,cost_scene1_f30,cost_scene2_f10,cost_scene2_f20,cost_scene2_f30,cost_scene4_f10,cost_scene4_f20,cost_scene4_f30,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene_wheel_f30,best_trial_scene1_f10,best_trial_scene1_f20,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f20,best_trial_scene2_f30,best_trial_scene4_f10,best_trial_scene4_f20,best_trial_scene4_f30,best_trial_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
95f27bf5,1000000.0,0.8,0.012776949842679021,-0.0041963891920940065,-0.0051691070669492,0.0,1000011.3344862004,16.373356666305163,1000012.123171631,1000000.0,0.04073421642271909,0.0,-0.0024033668946820286,-0.0011101795081183239,-0.0072567841874758895,-0.004222203880687805,-0.00987172599980674,0.0,-0.005635595201040858,0.0,5.578917473858142,1000000.0,5.75556872642018,5.207417084119523,5.844665436311985,5.321274145873656,6.473839462069855,1000000.0,5.649332169009552,1000000.0,0.0020557306804676045,0.0,0.05581646064189665,0.022116660984427872,0.00027381879129314917,0.0016905875523537017,0.00784794085456258,0.0,0.04547525788011046,0.0,0.09843833622755871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.03470626115985,0.0,57.99654614844025,161.09634140958278,80.98747510485143,52.596620808104284,22.109601336636718,0.0,160.69998222932364,0.0,2,0,2,2,0,2,2,0,2,0,0.10922400563707867,0.0003482021615764987,1.1908753339098443e-06,0.0025756284169018476,2.717252807491437,0.44329494398422126,0.016722794587003622,1.3389736845124238e-05,0.27256879389174926,5.31976208851171,0.7376795817863468,1.3355189768163913,3.4367018258701816e-10,0.45260293600206075
3d3cdcbd,1000000.0,0.8,0.0018410480668698134,-0.011512602561344782,0.0,0.0,2000003.059628779,2000009.6106884112,3000000.0,1000000.0,0.00552314420060944,0.0,0.0,0.0,-0.03453780768403435,0.0,0.0,0.0,0.0,0.0,3.0596287791600405,1000000.0,1000000.0,1000000.0,9.610688411168196,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.6330328674494532,0.0,0.0,0.0,0.03389236320668297,0.0,0.0,0.0,0.0,0.0,0.049191561029466854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.961789457092998,0.0,0.0,0.0,141.4640568452099,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,0,0,0.19106808766185648,0.0002986204972938838,7.289342861491438e-06,0.004316295147710436,3.1862387449554035,0.44702533211701256,0.5105171988244361,1.4582233097600445e-05,0.2817585795567833,4.988876939729035,1.048962561027245,1.104045680395582,1.57107450456641e-10,0.7292773588656258
208ff644,1000000.0,0.8,-0.0003468326419084486,0.10860695398424496,0.1549170499472701,0.001425282085364102,16.695808999780837,1.7572386130494992,11.915830052242155,4.849429094310769,-0.005140798803822849,-0.0013396717078472452,0.005439972585944748,0.08283030057958116,0.09732518263306256,0.1456653787400911,0.1104325601013263,0.13939441166699204,0.21492417807349196,0.001425282085364102,7.917010072244111,5.287241180590683,3.491557746946042,1.5502296481774525,0.039295566493352196,0.16771339837869445,1.6204278377765906,0.5879591065935651,9.707443107871999,4.849429094310769,0.004244682215894479,0.0012510583909990979,1.9110125254151802e-05,0.0007637405610626086,0.001648322611671416,0.03462306507632185,0.0016153415303066052,0.0033290266078884827,0.010621919817871658,0.01495721361889232,0.0,0.0,0.0,0.15507153829666576,0.0,0.12499450823337566,0.14968488402329858,0.0,0.0,0.0,18.127230507481208,18.745696562226772,153.86146363937567,11.742133518087162,177.2586245252595,169.733570637576,174.3134533925295,172.99004834793107,42.175150452811415,10.84427958428053,0,1,1,0,0,1,0,0,1,2,0.9142310779251592,8.900912073465882e-05,6.278074143440176e-06,0.0021234154080910423,1.6784630885997274,0.2454187818679637,0.1728450976359358,3.071686448256355e-05,0.21092195924340268,5.440080515698047,0.9897270559615113,1.0208165914012743,3.9761359637241095e-10,0.3758271616804753
57920078,1000000.0,0.8,-0.0016231272987529835,0.03482513549847365,-0.00010274427711136112,0.04860178100662137,17.308545581661768,10.318534558236678,15.02060509956485,1.1673814013677137,-0.0036020197020425362,-0.00058568343620756,-0.0006816787580088544,-0.002424339294811809,0.0036024449425728884,0.10329730084765988,0.00038271399488447165,-0.0002443071682060761,-0.0004466396580124789,0.04860178100662137,6.973890498516543,5.124629736304358,5.210025346840867,5.457301038665304,4.605244808325704,0.25598871124566985,4.946849544700714,5.023660806530328,5.050094748333809,1.1673814013677137,0.003802510125109037,0.006323861740711274,0.012644563551935155,0.0015237166048996408,0.009170398054410774,0.0084734583149948,0.012584350777311046,0.00983730267457956,0.015293901411105563,0.0803050126215977,0.0,0.0,0.0017995455634055425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.888385234410778,4.518299780026154,9.991766294713372,15.26781384214354,20.66984025073264,7.039095601139128,9.104346827795222,27.171225047637414,179.21035729200347,120.62050974191794,1,2,2,2,1,0,2,1,2,0,0.16785008745634575,0.00026262978111975087,5.7216498812569606e-06,0.0020934456659462736,4.068662765091876,0.24837790503249915,0.9846499625959245,7.2129612566188e-06,0.29793506933778807,5.412435272427736,0.8468812683717714,1.223435607207232,6.965211876603555e-10,0.9883641077322597
0d438b6b,9.68908314673041,0.8,0.04307606081277421,0.10266532496582065,0.09649397831384388,-0.0013385250145652805,2.6580982044563948,1.1599278215841562,0.38185082660336134,5.143719676858612,0.029118439723163615,0.04878537274179926,0.051324369973359735,0.07703387739459482,0.10289305062590991,0.12806904687695722,0.07184695010057272,0.12488659499098606,0.09274838984997288,-0.0013385250145652805,1.0729588092848856,0.005042487355555314,1.580096907815954,0.8874399305843168,0.11390169695422547,0.1585861940456139,0.10286272387553054,0.20637453575304046,0.07261356697479031,5.143719676858612,0.0032811480360391753,0.010567560284782092,0.0011611036327752698,0.004094666068127165,0.001978655269991896,0.015325998183351886,0.004654449370669948,0.0056800174557198125,0.02195331892988621,0.0012723658204168075,0.0,0.0,0.06437527175124014,0.0,0.0,0.1500764682779095,0.10278158115241105,0.0,0.06674163885973722,0.0,3.8101427972631092,6.416680179613984,169.21991726691243,5.188694481839972,6.183228133965769,158.94962875747385,168.84642527263995,6.192508332547134,157.74610913110044,4.984203033421637,2,0,1,2,0,0,1,2,2,2,0.4034393008634044,0.00038111481257181994,4.326962558300123e-06,0.0014223138966539307,2.7439525782162173,0.4249346697842815,0.2948806916583469,6.251709069254527e-05,0.331117925618107,4.83050986081266,0.838679971233698,0.9347623057495738,4.735963456068027e-10,0.5944808440378624
33653ffa,1000000.0,0.8,0.006760336316950003,0.011151907485844556,0.036271094815896916,0.0,2000000.750041104,12.863265282244548,6.690491300971617,1000000.0,0.0,0.0,0.02028100895085001,0.00015181357647903198,-0.0012994439018004479,0.03460335278285508,0.03438013857544287,0.07252099221858438,0.0019121536536634968,0.0,1000000.0,1000000.0,0.7500411038085673,4.972157245322447,5.146767290115103,2.744340746806998,1.3782290428534774,0.522925755701254,4.7893365024168855,1000000.0,0.0,0.0,0.010460161851482519,0.01130940311894659,0.018954363454837784,0.020640368658405236,0.012933862713630763,0.007485338585919784,0.002036734739784219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02694318685948987,0.06884319233949748,0.0,0.0,0.0,0.0,33.01210848796504,9.755959779333752,169.09991536090638,175.65185134170625,178.26566770512062,176.5173417398619,18.257926170688684,0.0,0,0,2,2,1,2,2,0,2,0,0.5949397042611223,0.0002783381867847204,3.487122509116375e-06,0.0016899424684462755,2.614086405558087,0.7462484706139474,0.8052580699260121,3.9079261453309045e-05,0.13114917727902112,5.192305897991696,0.6017507567191582,1.4917370515105821,1.5382695586514022e-10,0.9505034116011413
5e4428b8,138.21340935246934,0.8,0.09030469142281435,0.1319868473137664,0.16216454597734734,0.44041230695761285,49.22675063153969,4.44410038943678,14.191168198806682,68.27415205108308,0.05593584684574841,0.10953848767818648,0.10543973974450817,0.09347785993994985,0.13193172679867815,0.17055095520267113,0.09329389797675962,0.16543603840042945,0.22776370155485295,0.44041230695761285,16.39582767637622,8.801970849192148,24.028952105971317,2.768280161967787,1.2905443870041453,0.3852758404648474,0.45909749985163073,1.9277491796295294,11.804321519325523,68.27415205108308,0.0010404201546356827,0.0032860514288980225,0.002863660435483476,0.010427413378009391,0.0017792641150387362,0.012115258114692171,0.009522146324129543,0.013920903322857895,0.05055013436814214,0.025169173468756183,0.0,0.14499258490989045,0.14709750796504337,0.14233865119763495,0.15886810810194943,0.0,0.0,0.1645861619769399,0.0,0.0,8.926376422127598,171.43784395143004,173.92416938209908,179.3841420047071,173.6636898196279,7.944102788713261,7.755577773781497,177.03478360594823,9.13193709625331,1.892881360008032,1,0,1,1,0,1,0,1,2,1,0.80061749347797,0.0003152034169682389,4.343000011785844e-06,0.0016263553257290864,3.2483247650280798,0.11860797034953857,0.9893180603261925,1.0078419662059891e-05,0.10867248917697658,5.569473599769319,0.5315603360672229,0.9716298618536764,3.377421093557931e-10,0.9904860917042664
d5f3661e,1000000.0,0.8,0.03662815410918521,0.12669656718462224,0.13311567149016917,0.000632760589049394,7.646552798870923,3.7352953552990327,7.7199950965883595,4.932769557485659,0.002539854342172221,0.045515458539598354,0.06182914944578506,0.09491607047347056,0.12204587448927598,0.1631277565911202,0.06979442179715421,0.13456902505283735,0.19498356762051594,0.000632760589049394,3.805139857180441,0.0746254695209658,3.7667874721695167,2.8217313642813786,0.6667382176491073,0.24682577336854677,0.13015935298553288,0.5811776711017538,7.008658072501072,4.932769557485659,0.0006124410757477312,0.0016909364214877367,0.010014683881636892,0.009018931892851216,0.0024057113894012513,0.023652907176779037,0.011898081737978494,0.018552756852116617,0.0011916070086451023,0.0007142122919127328,0.0,0.06750554401884046,0.0,0.0,0.0,0.0,0.12683815878080457,0.14149142037003132,0.14883025204774042,0.0,19.76916108194668,175.26554292872538,0.9968597038648485,4.796006679090729,2.4916789125231147,1.0307152619317892,177.19605582589497,165.2729527962971,171.07477305322857,7.09692943627469,0,1,1,2,0,2,2,0,1,2,0.5384862045957248,0.00012408088376759767,5.680478858697545e-06,0.0035259720308254716,2.2435681016929836,0.5187141677891658,0.7861691800835681,9.42139387920733e-06,0.7124886692150941,4.969200633257801,0.7400586508562773,0.6687801218934173,2.435936973140172e-10,0.8970076389661867
b1eb26ab,1000000.0,1.5,-0.0004503450024714425,-0.0021340059894965594,0.0012616163284628337,-0.0012437174350208285,1000010.5372999946,15.963536398854227,14.61042049550384,5.133475007828825,-0.0004071663111019321,0.0,-0.0009438686963123952,-0.003208276924527842,-0.002956472636837545,-0.00023726840712429167,-0.00021529154554680505,0.001369449108670691,0.002630691422264615,-0.0012437174350208285,5.206725741179752,1000000.0,5.330574253446695,5.6094730876678325,5.336240009480734,5.017823301705661,5.030114520281117,4.868941883106429,4.711364092116293,5.133475007828825,0.005135184417790298,0.0,0.016674975142179346,0.004565219945521175,0.008378162522133284,0.00588162307791589,0.0008139274813146226,0.0017607540929116877,0.004811718668555745,0.001868822834610143,0.0,0.0,0.04107377547202098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658278930728061,0.0,169.0703613071716,1.5515285556470964,9.949465091536013,17.3785282423795,6.0453024095886745,9.365001660815238,1.4351172199676943,7.9771107662013545,2,0,0,2,2,0,1,0,2,1,0.26344892792533986,0.000149163677242138,5.466932196251514e-06,0.0007046034593874286,2.46718841407315,0.13358555982212889,0.4930685632573958,4.1461940987691875e-05,0.02429441770112995,5.214802148463953,0.7207437124649079,1.0850314491766488,1.1205644258908626e-09,0.560737976169767
830b426a,1000000.0,1.5,-0.0004820040696465885,0.015550266069581964,-0.00030186630844989505,0.0,15.605810493176712,10.461631242933446,15.137224763511014,1000000.0,-0.0012883856356112374,-0.0013448502450168851,0.0011872236716883573,0.05075717225075936,-0.002035063690326591,-0.002071310351686878,-0.0009232600727617863,0.0005804351177881356,-0.0005627739703760345,0.0,5.668989615228666,5.288858390281738,4.647962487666309,0.0746709875433387,5.23060020223965,5.156360053150457,5.129822640304385,4.944355503459911,5.063046619746717,1000000.0,0.0056373330628297896,0.0222008575729377,0.014416803452917683,0.04828612036470301,0.01932720218036066,0.0014409480213511527,0.006658613430660281,0.01085190021771178,0.0134364417932141,0.0,0.0005695899106028847,0.0,0.0,0.052164973398478504,0.0,0.0,0.0,0.0,0.0,0.0,140.4056657218452,12.78414371489026,13.540822136488224,130.4341953590103,12.231536337836761,4.179011597467154,0.30464237616299256,14.524350474238235,17.613001113898957,0.0,1,0,1,0,1,2,1,0,2,0,0.2151311314266671,0.0009536402078519794,4.578673786531776e-06,0.0013249418951101013,1.7760413488426596,0.6056801221232211,0.12331102442178798,2.5939926828668494e-05,0.19763607275229422,4.812083520868604,1.3114482248135908,1.0494089600171628,9.258176382629852e-10,0.6542917791116388
c2679856,1000000.0,1.5,-2.1165598491543062e-05,-0.00230187187815326,0.00965767336266114,0.0,2000005.015225558,15.875427334038989,12.339223918238018,1000000.0,0.0,-6.349679547462919e-05,0.0,-0.0020898690459184317,-0.0030362618831398245,-0.001779484705401524,-0.00047881414727102284,-0.0004309382832274005,0.029882772518481843,0.0,1000000.0,5.015225557978943,1000000.0,5.393020978643575,5.34539811979295,5.1370082356024644,5.0673353760499955,5.041723198796284,2.230165343391737,1000000.0,0.0,0.04233530172070298,0.0,0.0015830289784190318,0.0020492117004224323,0.05315192191598863,0.015436600967862223,0.0109912121851425,0.06471436673375358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.181854613908214,0.0,1.5420524631558663,44.675343339202286,34.92710817547431,11.78564326946971,12.427017078069012,131.60359494450788,0.0,0,2,0,2,2,2,0,0,1,0,0.25047286987750506,8.609742052587196e-05,3.1354818155115614e-06,0.0010001290078161258,1.6600928488203068,0.4760659855937721,0.28988140062288237,2.6320809184683024e-05,0.033103359638142184,4.868647409156783,0.6586616237419087,1.1299161435596978,3.826476303320442e-10,0.6279157233837566
09c2e374,1000000.0,1.5,0.0,-0.00213877402951356,-0.0011964458934075096,-0.0011619289232312016,3000000.0,1000010.6916474239,15.453356255689478,5.124695843518473,0.0,0.0,0.0,0.0,-0.005235120911868947,-0.0011812011766717339,-0.002173470693596326,-0.0009031246227349448,-0.0005127423638912582,-0.0011619289232312016,1000000.0,1000000.0,1000000.0,1000000.0,5.602734592897644,5.088912831016843,5.308201135537096,5.0874457964755235,5.057709323676859,5.124695843518473,0.0,0.0,0.0,0.0,0.0022732232391960497,0.006473880588237214,0.006035111658608903,0.00781451297344332,0.02116729396559629,0.0074563889250641915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.907831843903,37.21492412592157,5.157268766383869,6.066741969619096,16.79949299705303,29.45444047115035,0,0,0,0,1,1,2,0,2,1,0.11545995660366318,8.192470576389329e-05,2.8197849552285124e-06,0.000924185834245124,1.0971608889216953,0.12484042252894428,0.688490618344821,3.875197677376166e-05,0.5715870292571941,5.325816888283969,0.7381565918195343,0.7326008269456031,4.71541717411148e-10,0.7273107321105492
f600e14d,1000000.0,1.5,0.03948697857269166,0.13886171026257907,0.22538048750566372,-0.0013722172688640643,1000009.2586838978,4.753818755910135,45.01884152467393,5.147363245471817,0.0,0.0410096955909251,0.07745124012714988,0.08188209837401737,0.14909733290173519,0.1856056995119846,0.10911075864082787,0.24099702674520834,0.32603367713095494,-0.0013722172688640643,1000000.0,0.154064696629154,9.104619201120556,1.438216376541494,2.384796078899719,0.9308063004689221,1.5189051313803914,8.897715822901892,34.602220570391644,5.147363245471817,0.0,0.006499263413525508,0.0032080721632798894,0.0024135398371676452,0.0031115864973550044,0.0077438790247805955,0.0034534475780979316,0.01567333425365656,0.015509312911121597,0.0011665923949751023,0.0,0.0655942024713106,0.127726164547712,0.13393472044693208,0.1553000151967613,0.1690568935850279,0.14657237609309612,0.16243421972645508,0.0,0.0,0.0,144.82376686796778,173.38495986259915,177.68272955098607,178.93886403552472,175.75373842620124,164.84614337201504,169.2751390139622,13.912068892712819,23.026393736968462,0,0,0,2,1,2,2,0,2,1,0.7471269040075302,0.000470919884010123,2.226497683922384e-06,0.004779438669133328,2.9756233936993453,0.4975572683533102,0.5187517343889346,3.191409132074357e-05,0.28062004505602206,5.3659654039575955,0.7493684384938404,1.0365553616586922,5.142293088999795e-10,0.7581484316527056
