timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f20,vel_scene1_f30,vel_scene2_f10,vel_scene2_f20,vel_scene2_f30,vel_scene4_f10,vel_scene4_f20,vel_scene4_f30,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene_wheel_f30,best_trial_scene1_f10,best_trial_scene1_f20,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f20,best_trial_scene2_f30,best_trial_scene4_f10,best_trial_scene4_f20,best_trial_scene4_f30,best_trial_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-23T13:09:21,0.8,8,0d438b6b,9.689083,0.0291,0.0488,0.0513,0.0770,0.1029,0.1281,0.0718,0.1249,0.0927,-0.0013,0.003281,0.010568,0.001161,0.004095,0.001979,0.015326,0.004654,0.005680,0.021953,0.001272,0.000000,0.000000,0.064375,0.000000,0.000000,0.150076,0.102782,0.000000,0.066742,0.000000,3.8,6.4,169.2,5.2,6.2,158.9,168.8,6.2,157.7,5.0,2,0,1,2,0,0,1,2,2,2,0.4034393008634044,0.00038111481257181994,4.326962558300123e-06,0.0014223138966539307,2.7439525782162173,0.4249346697842815,0.2948806916583469,6.251709069254527e-05,0.331117925618107,4.83050986081266,0.838679971233698,0.9347623057495738,4.735963456068027e-10,0.5944808440378624
2026-02-23T13:20:18,11.7,120,c4314844,8.719898,0.0234,0.0546,0.0311,0.0529,0.1205,0.1457,0.0684,0.1312,0.0415,-0.0003,0.003092,0.009861,0.017868,0.004696,0.001094,0.014264,0.001128,0.001307,0.003962,0.003379,0.000000,0.000000,0.022062,0.073720,0.131132,0.129685,0.111227,0.143660,0.025537,0.000000,10.2,16.3,167.1,171.0,172.0,167.9,179.2,169.3,175.1,3.8,0,2,1,1,1,2,2,0,0,2,0.30685908178254634,0.00019945854050036326,6.476698604210332e-06,0.002729533399564138,3.4759355224331516,0.19529613652340166,0.8529382473905421,2.3908587714402358e-05,0.2899092216162496,5.488180341152403,1.0936419168428255,0.6614942710902427,9.910527421644591e-10,0.8815735456807905
2026-02-23T13:23:29,14.9,152,d0d6bd9e,8.204436,0.0267,0.0541,0.0491,0.0561,0.0797,0.1630,0.0659,0.0906,0.0831,-0.0002,0.001537,0.002435,0.011990,0.008838,0.000040,0.003528,0.003799,0.008113,0.003640,0.002033,0.017232,0.000000,0.098050,0.000000,0.077171,0.139514,0.112700,0.079100,0.060474,0.000000,177.5,3.2,5.5,4.0,179.2,151.2,178.7,175.3,179.8,3.0,1,1,0,2,0,1,2,0,1,1,0.2860305045876775,8.039565150632441e-05,4.753551106688742e-06,0.0033165328509151227,3.290861797378003,0.1179851073177291,0.6417751943844927,1.2170442406536766e-05,0.24657657253570642,5.66026402461863,0.9648644667476013,0.7336658707388978,8.662488602693863e-10,0.6839762089994725
2026-02-23T13:24:16,15.7,160,caa74cf3,7.965932,0.0168,0.0558,0.0432,0.0658,0.0979,0.1638,0.0651,0.0983,0.1264,-0.0002,0.000040,0.002595,0.027504,0.003795,0.011625,0.006345,0.001604,0.000149,0.018469,0.001151,0.000000,0.000000,0.035651,0.000000,0.104825,0.152931,0.000000,0.092663,0.103622,0.000000,7.3,8.0,5.6,2.7,179.3,178.2,11.8,175.8,162.6,2.9,0,0,0,1,2,2,1,0,0,2,0.30531576446370845,0.00021653220555853446,8.829881633574581e-06,0.002455297302771978,2.9760157191514964,0.07064025209856988,0.8167065388184165,1.5114650580178501e-05,0.3741230542244751,5.39666723746125,0.9307084935193709,0.7625892703825414,8.632250422883484e-10,0.8295727644704212
2026-02-23T13:26:40,18.1,184,81743a15,6.869504,0.0206,0.0553,0.0385,0.0521,0.1001,0.1378,0.0605,0.1075,0.0546,0.0018,0.002319,0.000940,0.002791,0.006233,0.016889,0.007204,0.001560,0.001679,0.028948,0.000734,0.013205,0.077762,0.012136,0.083707,0.117292,0.119186,0.000000,0.100330,0.051105,0.000000,170.2,179.3,1.5,179.5,162.5,178.5,0.8,174.2,156.0,1.5,1,1,0,2,0,0,2,0,1,0,0.3032368375076034,0.00012610894560491392,6.366302322171189e-06,0.0024451958489648306,3.211695493801535,0.002072839944968334,0.8531117669752392,2.225114273000485e-05,0.27165236009218113,5.644055459023521,0.9726580757650658,0.6964081213979666,1.0587891466781692e-09,0.8533309315954012
2026-02-23T13:33:23,24.8,248,59ae0a94,6.356981,0.0206,0.0467,0.0343,0.0509,0.1050,0.1422,0.0512,0.1020,0.0905,-0.0003,0.002957,0.011924,0.008771,0.004895,0.015381,0.019332,0.006014,0.007506,0.004706,0.005751,0.009473,0.000000,0.125545,0.000000,0.117350,0.000000,0.071883,0.090735,0.096076,0.000000,176.4,0.1,176.7,14.4,179.7,12.0,178.1,171.3,174.9,22.0,1,0,0,0,2,1,1,2,0,2,0.30566129416818033,0.0001797127341952702,4.7122972016661746e-06,0.002157007327582394,4.0212324472251115,0.0899075307128244,0.6978502734707401,2.2277887711074862e-05,0.3186664785762634,5.8832523964105885,1.0353773330735523,0.708808719538892,7.516023307811687e-10,0.724946024261194
2026-02-23T14:10:16,61.7,608,085d4ff9,6.263487,0.0231,0.0471,0.0316,0.0536,0.0888,0.1576,0.0608,0.1282,0.0816,0.0018,0.001419,0.001654,0.017885,0.002494,0.010267,0.010713,0.006109,0.001388,0.011968,0.000669,0.021092,0.059177,0.134782,0.000000,0.104680,0.001444,0.000000,0.123012,0.062388,0.000000,175.2,173.1,13.4,3.6,179.7,7.5,6.5,169.1,173.6,12.3,0,1,1,2,1,1,1,1,1,2,0.3251102223413925,0.000117494666612687,6.632539758819194e-06,0.0016183390998714513,8.537425344298395,0.09442193996508855,0.5493914877447558,1.8367467231233086e-05,0.44159687122977626,5.669910783676067,1.0378473837227096,0.7716323542973699,1.1396328858070694e-09,0.5918838784879038
2026-02-23T14:12:39,64.1,632,48977982,6.262664,0.0235,0.0518,0.0332,0.0485,0.0935,0.1338,0.0725,0.1163,0.0880,0.0008,0.000085,0.007058,0.003062,0.008086,0.006664,0.002203,0.005743,0.000890,0.001157,0.000927,0.000000,0.072278,0.165568,0.000000,0.116845,0.143008,0.107083,0.121407,0.066747,0.000000,0.2,177.4,176.4,0.5,179.4,174.9,176.0,169.7,160.4,5.6,0,0,0,2,0,1,0,1,2,2,0.32045645006649803,0.0001112620109208937,7.187017352963394e-06,0.001566745036737749,9.387655941641052,0.098551127295297,0.5504053657381943,1.8791268586823772e-05,0.45016874418923114,5.605861455933034,1.0473671850469304,0.7808009355921357,1.155455634841557e-09,0.5946583832340382
