,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
0E+00,5.935398E-02,1.311032E-03,,,6.666398E-02,1.271304E-03,,,-1.877877E+00,,-3.11387E-01
1E-03,5.931731E-02,1.368229E-03,-1.360931E-02,2.692835E-02,6.663562E-02,1.240893E-03,-1.393825E-02,-1.356455E-02,-3.005552E+00,-5.360684E+02,-9.968251E-01
2E-03,5.932677E-02,1.364888E-03,-3.941341E-03,-2.331581E-03,6.66361E-02,1.244174E-03,-1.642201E-03,1.642652E-03,-2.950014E+00,4.822496E+01,-9.461563E-01
3E-03,5.930943E-02,1.363565E-03,-1.23213E-02,-4.690873E-03,6.663234E-02,1.244178E-03,-2.299058E-03,-5.489334E-03,-2.909102E+00,7.942983E+01,-9.340267E-01
4E-03,5.930212E-02,1.355507E-03,3.647292E-03,-1.423108E-03,6.663151E-02,1.233196E-03,-3.716814E-04,-2.878766E-03,-2.791154E+00,5.353637E+01,-9.560494E-01
5E-03,5.931672E-02,1.360719E-03,2.930274E-03,1.107295E-03,6.66316E-02,1.23842E-03,-5.416855E-03,4.123341E-03,-2.802029E+00,-4.682749E+01,-9.578503E-01
6E-03,5.930752E-02,1.358302E-03,-7.280809E-04,-1.93909E-03,6.662021E-02,1.242024E-03,-1.020946E-02,9.621418E-03,-2.884809E+00,-4.771357E+01,-9.10982E-01
7E-03,5.931526E-02,1.356841E-03,9.855663E-04,1.456258E-03,6.661118E-02,1.257663E-03,-1.02322E-02,1.254773E-02,-2.897456E+00,5.053128E+01,-7.788089E-01
8E-03,5.930949E-02,1.361215E-03,-8.774431E-03,3.007554E-03,6.659952E-02,1.265991E-03,-3.158973E-03,2.525912E-02,-2.783747E+00,1.290843E+02,-7.48369E-01
9E-03,5.929772E-02,1.362856E-03,-1.291174E-02,4.303521E-03,6.660486E-02,1.308181E-03,-3.677649E-02,6.290281E-02,-2.639288E+00,2.813068E+02,-4.287E-01
1E-02,5.928367E-02,1.369822E-03,-7.330228E-03,8.518406E-03,6.652597E-02,1.391796E-03,-8.554011E-02,6.436235E-02,-2.221133E+00,6.533391E+02,1.738443E-01
1.1E-02,5.928305E-02,1.379893E-03,1.027389E-03,4.881626E-03,6.643378E-02,1.436906E-03,-1.125835E-01,6.197869E-02,-1.33261E+00,1.047498E+03,4.568132E-01
1.2E-02,5.928572E-02,1.379585E-03,-3.549249E-03,1.332532E-03,6.63008E-02,1.515754E-03,-8.22513E-02,5.239092E-02,-1.261365E-01,1.490667E+03,1.112018E+00
1.3E-02,5.927596E-02,1.382558E-03,-5.395388E-03,1.866885E-02,6.626928E-02,1.541688E-03,-1.789984E-02,5.017137E-02,1.648725E+00,1.47579E+03,1.303516E+00
1.4E-02,5.927493E-02,1.416923E-03,-8.566573E-02,2.704728E-02,6.626513E-02,1.614835E-03,-1.608707E-02,5.990807E-02,2.825444E+00,2.440791E+03,1.621771E+00
