,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
0E+00,6.263872E-02,2.537264E-03,,,6.937832E-02,2.220106E-03,,,-1.974934E+00,,-2.694284E+00
1E-03,6.25754E-02,2.575946E-03,-3.481753E-02,2.087655E-02,6.93646E-02,2.289524E-03,-1.160577E-02,3.36656E-02,-2.612308E+00,-4.081428E+02,-2.415761E+00
2E-03,6.256908E-02,2.579018E-03,-7.185082E-04,1.068723E-03,6.935511E-02,2.287438E-03,-1.498713E-03,-2.443555E-03,-2.79122E+00,-4.471476E+01,-2.460353E+00
3E-03,6.25724E-02,2.57396E-03,1.583442E-03,-5.706149E-03,6.93616E-02,2.284637E-03,5.339733E-03,-4.654954E-03,-2.701737E+00,-5.660974E+00,-2.440196E+00
4E-03,6.257225E-02,2.567605E-03,-5.082705E-04,5.754862E-04,6.936579E-02,2.278128E-03,-1.108151E-03,-1.071297E-03,-2.802542E+00,1.114273E+01,-2.439936E+00
5E-03,6.257428E-02,2.572808E-03,-2.446385E-04,-4.126898E-04,6.935938E-02,2.282494E-03,-2.632909E-03,-3.711832E-04,-2.679452E+00,9.100613E+01,-2.450013E+00
6E-03,6.257115E-02,2.570648E-03,-2.238693E-03,4.493278E-04,6.935992E-02,2.281254E-03,-3.280871E-03,5.721201E-06,-2.620529E+00,9.263015E+00,-2.440952E+00
7E-03,6.25698E-02,2.573706E-03,-2.123492E-04,1.633788E-04,6.935282E-02,2.282506E-03,-4.133157E-03,1.159293E-03,-2.660926E+00,2.733135E+01,-2.458245E+00
8E-03,6.257249E-02,2.573612E-03,2.124021E-03,1.90373E-03,6.935165E-02,2.283572E-03,-5.625243E-03,2.433272E-03,-2.565867E+00,2.032536E+02,-2.449851E+00
9E-03,6.257405E-02,2.577514E-03,-5.220166E-04,2.61179E-03,6.934157E-02,2.287372E-03,-7.466017E-03,1.066193E-03,-2.254419E+00,1.164209E+03,-2.454918E+00
1E-02,6.257145E-02,2.578836E-03,-4.663397E-03,5.37993E-05,6.933672E-02,2.285704E-03,-1.790089E-02,-3.838591E-03,-2.374479E-01,3.482436E+03,-2.481005E+00
1.1E-02,6.256472E-02,2.577621E-03,-7.438234E-03,-1.575639E-03,6.930577E-02,2.279695E-03,-2.172044E-02,-1.280271E-02,4.710453E+00,6.465928E+03,-2.530589E+00
1.2E-02,6.255657E-02,2.575684E-03,-1.244471E-02,-6.74545E-03,6.929328E-02,2.260099E-03,-3.099205E-02,-4.799863E-02,1.269441E+01,1.0186E+04,-2.682096E+00
1.3E-02,6.253983E-02,2.564131E-03,6.824466E-03,5.771047E-03,6.924379E-02,2.183698E-03,-6.387326E-02,-6.342716E-02,2.508244E+01,1.376076E+04,-3.247909E+00
1.4E-02,6.256957E-02,2.587669E-03,1.698482E-02,-2.920939E-03,6.916553E-02,2.133245E-03,-5.769039E-02,-2.767914E-02,4.021592E+01,1.66406E+04,-3.94113E+00
1.5E-02,6.25738E-02,2.558289E-03,5.005482E-03,-5.275098E-02,6.912841E-02,2.128339E-03,-8.232033E-02,1.262303E-04,5.836364E+01,1.974491E+04,-3.752939E+00
1.6E-02,6.257959E-02,2.482167E-03,1.036979E-02,1.72681E-02,6.900089E-02,2.133497E-03,-1.182024E-01,-6.510396E-04,7.970574E+01,1.45569E+04,-3.108048E+00
1.7E-02,6.259454E-02,2.592825E-03,1.474796E-02,1.027092E-01,6.8892E-02,2.127037E-03,-1.69856E-01,9.342246E-02,8.747744E+01,6.673797E+03,-4.230141E+00
1.8E-02,6.260908E-02,2.687586E-03,4.134607E-02,7.672061E-02,6.866118E-02,2.320342E-03,-1.092183E-01,7.91415E-02,9.305333E+01,4.892148E+03,-3.472472E+00
1.9E-02,6.267801E-02,2.746382E-03,-9.174159E-03,2.194032E-02,6.867434E-02,2.285436E-03,-8.352544E-02,5.841198E-02,9.726174E+01,3.162545E+03,-4.395755E+00
2E-02,6.259073E-02,2.731467E-03,-1.143375E-01,-5.258262E-03,6.849413E-02,2.437166E-03,-9.931344E-02,7.608844E-02,9.937842E+01,5.213767E+03,-2.853988E+00
2.1E-02,6.244828E-02,2.735393E-03,-1.363239E-01,5.717641E-03,6.847571E-02,2.437613E-03,6.504094E-03,2.473188E-02,1.076893E+02,5.248755E+03,-2.828351E+00
2.2E-02,6.231809E-02,2.742902E-03,-1.096926E-01,2.241439E-03,6.850714E-02,2.48663E-03,-6.722164E-02,8.11513E-02,1.098759E+02,6.046048E+03,-2.371109E+00
2.3E-02,6.222889E-02,2.739876E-03,-1.125572E-01,-5.02484E-03,6.834127E-02,2.599915E-03,-8.456082E-02,5.985535E-02,1.197814E+02,7.976952E+03,-1.311724E+00
2.4E-02,6.20958E-02,2.731361E-03,-1.17825E-01,-1.030224E-02,6.833802E-02,2.606341E-03,-6.468728E-02,8.63854E-03,1.258298E+02,6.211611E+03,-1.147379E+00
2.5E-02,6.199324E-02,2.719272E-03,-7.849769E-02,-1.770535E-02,6.821189E-02,2.617193E-03,-7.987919E-02,-7.72349E-03,1.322046E+02,7.855183E+03,-9.40425E-01
2.6E-02,6.193881E-02,2.69595E-03,-1.072535E-01,-6.27241E-02,6.817826E-02,2.590894E-03,-8.926989E-03,3.006944E-03,1.415402E+02,7.79895E+03,-9.646264E-01
2.7E-02,6.177874E-02,2.593823E-03,-8.517737E-02,-6.760107E-02,6.819404E-02,2.623206E-03,-7.550677E-02,2.678953E-03,1.478025E+02,7.015354E+03,2.624211E-01
2.8E-02,6.176853E-02,2.559804E-03,-8.093328E-02,-7.860075E-02,6.802733E-02,2.595307E-03,-8.493784E-02,-1.061522E-02,1.555709E+02,6.615667E+03,3.250094E-01
2.9E-02,6.161687E-02,2.436622E-03,-1.321482E-01,-8.401508E-02,6.802416E-02,2.601976E-03,-1.682439E-02,9.63014E-03,1.610338E+02,5.652257E+03,1.478313E+00
3E-02,6.150424E-02,2.391773E-03,-8.636443E-02,4.542718E-02,6.799368E-02,2.614567E-03,-8.259773E-02,5.467525E-02,1.668754E+02,4.266976E+03,1.966291E+00
3.1E-02,6.144414E-02,2.527476E-03,-9.675132E-02,6.611724E-02,6.785897E-02,2.711326E-03,-7.033602E-02,8.093151E-02,1.695678E+02,2.776521E+03,1.641659E+00
3.2E-02,6.131073E-02,2.524008E-03,-1.293997E-01,-1.387149E-02,6.785301E-02,2.77643E-03,-7.607108E-02,3.706778E-02,1.724285E+02,3.857643E+03,2.209563E+00
3.3E-02,6.118534E-02,2.499733E-03,-1.152037E-01,1.783013E-02,6.770683E-02,2.785462E-03,-7.90703E-02,3.416073E-03,1.772831E+02,6.069855E+03,2.508721E+00
3.4E-02,6.108033E-02,2.559668E-03,-1.106672E-01,4.308739E-02,6.769486E-02,2.783262E-03,-1.717005E-02,-5.427791E-03,1.845682E+02,6.760433E+03,1.936057E+00
3.5E-02,6.096492E-02,2.58709E-03,-1.303878E-01,9.331494E-03,6.767249E-02,2.774606E-03,-5.934028E-02,-9.595497E-03,1.908039E+02,7.670788E+03,1.601339E+00
3.6E-02,6.081955E-02,2.578331E-03,-1.255915E-01,-1.024489E-02,6.757618E-02,2.764071E-03,-6.174568E-02,-7.821504E-02,1.999098E+02,9.725511E+03,1.574667E+00
3.7E-02,6.071373E-02,2.5666E-03,-8.082236E-02,-1.496197E-03,6.754899E-02,2.618176E-03,-3.447573E-02,-7.345451E-02,2.10255E+02,1.129061E+04,4.323208E-01
3.8E-02,6.065791E-02,2.575339E-03,-1.011736E-01,-2.236985E-02,6.750723E-02,2.617162E-03,-8.646803E-02,-8.015537E-02,2.22491E+02,1.390634E+04,3.498567E-01
3.9E-02,6.051139E-02,2.521861E-03,-1.528562E-01,-5.21872E-02,6.737606E-02,2.457866E-03,-1.426926E-01,-1.410992E-01,2.380676E+02,1.566068E+04,-5.341181E-01
4E-02,6.035069E-02,2.471521E-03,-1.065873E-01,2.894805E-02,6.722185E-02,2.334964E-03,-1.897356E-01,-2.965134E-02,2.538123E+02,8.50916E+03,-1.138543E+00
4.1E-02,6.029821E-02,2.579757E-03,-6.82262E-02,6.125793E-02,6.699659E-02,2.398563E-03,-2.272629E-01,8.12809E-02,2.550859E+02,4.106939E+03,-1.549498E+00
4.2E-02,6.021424E-02,2.594037E-03,-6.327193E-02,1.698638E-02,6.676732E-02,2.497526E-03,-1.998091E-01,1.02724E-01,2.620262E+02,3.073595E+03,-8.437674E-01
4.3E-02,6.017167E-02,2.61373E-03,-6.713276E-02,9.928346E-03,6.659697E-02,2.604011E-03,-1.59411E-01,4.916151E-02,2.612331E+02,3.387278E+03,-8.666305E-02
4.4E-02,6.007997E-02,2.613893E-03,-7.117742E-02,2.223307E-02,6.64485E-02,2.595849E-03,-9.444776E-02,3.449967E-03,2.688008E+02,6.247311E+03,-1.623431E-01
4.5E-02,6.002931E-02,2.658196E-03,-8.190933E-02,5.148604E-02,6.640807E-02,2.610911E-03,-8.040839E-02,8.346338E-03,2.737278E+02,7.312581E+03,-4.247176E-01
4.6E-02,5.991615E-02,2.716866E-03,-1.354473E-01,4.424094E-02,6.628768E-02,2.612541E-03,-1.37868E-01,2.8897E-04,2.834259E+02,6.102869E+03,-9.38048E-01
4.7E-02,5.975842E-02,2.746678E-03,-1.701483E-01,2.369656E-02,6.613234E-02,2.611489E-03,-1.575239E-01,-3.361423E-03,2.859335E+02,5.7105E+03,-1.215043E+00
4.8E-02,5.957586E-02,2.764259E-03,-1.79012E-01,6.526241E-03,6.597263E-02,2.605819E-03,-1.580803E-01,-6.933436E-03,2.948469E+02,8.506393E+03,-1.418854E+00
4.9E-02,5.940039E-02,2.75973E-03,-1.651071E-01,-8.982582E-03,6.581618E-02,2.597622E-03,-1.57814E-01,-7.192207E-03,3.029463E+02,8.774356E+03,-1.447389E+00
5E-02,5.924456E-02,2.746109E-03,-1.552205E-01,-1.745986E-02,6.565593E-02,2.59125E-03,-1.038999E-01,-1.029951E-02,3.123956E+02,1.035307E+04,-1.383647E+00
5.1E-02,5.908995E-02,2.72481E-03,-1.560003E-01,-3.787191E-02,6.560838E-02,2.577023E-03,-8.272483E-02,-1.711893E-03,3.236524E+02,1.055998E+04,-1.298803E+00
5.2E-02,5.893256E-02,2.670365E-03,-1.856375E-01,-6.655751E-02,6.549048E-02,2.587826E-03,-5.966215E-02,1.251032E-02,3.335156E+02,8.819315E+03,-7.210991E-01
5.3E-02,5.871868E-02,2.591695E-03,-2.147854E-01,-6.77067E-02,6.548905E-02,2.602044E-03,-7.952472E-02,1.27482E-02,3.41291E+02,6.466528E+03,8.757413E-02
5.4E-02,5.850299E-02,2.534952E-03,-1.914422E-01,-4.920532E-03,6.533143E-02,2.613322E-03,-7.788975E-02,8.386358E-03,3.464487E+02,3.665819E+03,6.575587E-01
5.5E-02,5.833579E-02,2.581854E-03,-1.960326E-01,8.416925E-02,6.533327E-02,2.618816E-03,-8.050262E-02,9.528663E-03,3.486227E+02,1.989893E+03,3.026444E-01
5.6E-02,5.811093E-02,2.703291E-03,-1.938233E-01,6.692126E-02,6.517042E-02,2.63238E-03,-1.65089E-01,8.802225E-03,3.504284E+02,2.568119E+03,-5.755013E-01
5.7E-02,5.794815E-02,2.715697E-03,-1.59368E-01,-1.681807E-02,6.50031E-02,2.636421E-03,-1.618669E-01,-6.111648E-03,3.537589E+02,4.421705E+03,-6.438024E-01
5.8E-02,5.779219E-02,2.669654E-03,-1.093645E-01,-5.703963E-02,6.484669E-02,2.620156E-03,-1.049083E-01,-1.136087E-02,3.592718E+02,6.637439E+03,-4.020093E-01
5.9E-02,5.772942E-02,2.601618E-03,-7.799766E-02,-5.428756E-02,6.479328E-02,2.613699E-03,-8.211404E-02,-2.392064E-03,3.670338E+02,8.294862E+03,9.799411E-02
6E-02,5.763665E-02,2.558914E-03,-1.466664E-01,-7.814564E-02,6.468246E-02,2.615372E-03,-1.175847E-01,-1.086431E-02,3.758616E+02,1.023838E+04,4.591003E-01
6.1E-02,5.743609E-02,2.445326E-03,-1.4245E-01,-7.465505E-02,6.455811E-02,2.59197E-03,-7.843006E-02,-3.818448E-02,3.875106E+02,1.257589E+04,1.179567E+00
6.2E-02,5.735175E-02,2.409604E-03,-1.112298E-01,-8.325945E-02,6.4524E-02,2.536928E-03,-8.826264E-02,-6.915462E-02,4.010134E+02,1.382628E+04,1.017026E+00
6.3E-02,5.721363E-02,2.278807E-03,-1.345227E-01,3.517965E-04,6.438158E-02,2.453661E-03,-1.627442E-01,-1.665965E-02,4.151631E+02,8.52505E+03,1.397385E+00
6.4E-02,5.708271E-02,2.410308E-03,-1.29417E-01,1.517698E-01,6.420023E-02,2.504446E-03,-2.183575E-01,9.086478E-02,4.180635E+02,1.503273E+03,7.577605E-01
6.5E-02,5.695479E-02,2.582347E-03,-1.161904E-01,1.417885E-01,6.394487E-02,2.635391E-03,-2.372956E-01,1.272927E-01,4.181697E+02,1.275074E+03,4.347762E-01
6.6E-02,5.685033E-02,2.693885E-03,-8.414089E-02,7.627088E-02,6.372564E-02,2.759031E-03,-2.5384E-01,7.382687E-02,4.206136E+02,4.14759E+03,5.428824E-01
6.7E-02,5.678651E-02,2.734889E-03,-5.941587E-02,3.309567E-02,6.343719E-02,2.783044E-03,-2.260348E-01,1.708851E-02,4.264648E+02,6.734971E+03,4.148548E-01
6.8E-02,5.673149E-02,2.760076E-03,-1.062923E-01,2.140532E-02,6.327357E-02,2.793208E-03,-1.799636E-01,4.389081E-02,4.340835E+02,7.289585E+03,2.901675E-01
