,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
3.2E-02,6.366917E-02,2.293493E-03,-2.053107E-02,7.565588E-04,7.058638E-02,2.320042E-03,-1.589575E-01,-1.726265E-02,2.86637E+02,3.373762E+03,2.199111E-01
3.3E-02,6.364344E-02,2.310413E-03,-3.665075E-02,7.913659E-03,7.03977E-02,2.324829E-03,-1.939604E-01,2.613618E-02,2.867755E+02,6.611762E+02,1.222879E-01
3.4E-02,6.359587E-02,2.30932E-03,-6.167878E-02,5.202189E-04,7.019846E-02,2.372314E-03,-1.82159E-01,5.290755E-02,2.879593E+02,4.931117E+03,5.466366E-01
3.5E-02,6.352008E-02,2.311453E-03,-7.688758E-02,1.179093E-03,7.003338E-02,2.430644E-03,-1.29327E-01,3.26849E-02,2.966378E+02,2.398684E+02,1.048371E+00
3.6E-02,6.34421E-02,2.311678E-03,-1.127586E-01,9.588721E-03,6.99398E-02,2.437684E-03,-8.217905E-02,-6.918657E-04,2.884391E+02,2.709282E+02,1.110964E+00
3.7E-02,6.329456E-02,2.330631E-03,-1.467091E-01,4.94487E-03,6.986902E-02,2.42926E-03,-8.866726E-02,-1.479755E-02,2.971796E+02,4.322359E+03,8.594809E-01
3.8E-02,6.314868E-02,2.321568E-03,-1.250709E-01,5.985984E-03,6.976247E-02,2.408089E-03,-9.551151E-02,-3.289358E-02,2.970838E+02,2.749992E+02,7.494987E-01
3.9E-02,6.304442E-02,2.342603E-03,-1.247357E-01,1.55659E-02,6.9678E-02,2.363473E-03,-1.035384E-01,-2.602537E-02,2.977296E+02,3.542825E+03,1.802601E-01
4E-02,6.289921E-02,2.3527E-03,-1.608797E-01,1.177171E-02,6.955622E-02,2.356764E-03,-1.230794E-01,-2.392451E-03,3.041695E+02,3.434515E+03,3.49842E-02
4.1E-02,6.272266E-02,2.366146E-03,-1.800338E-01,1.600752E-02,6.943184E-02,2.358688E-03,-1.455625E-01,3.441123E-02,3.045987E+02,2.887448E+03,-6.369194E-02
4.2E-02,6.253914E-02,2.384715E-03,-1.805816E-01,1.68454E-02,6.92651E-02,2.425587E-03,-1.569006E-01,5.865863E-02,3.099443E+02,3.965967E+03,3.481693E-01
4.3E-02,6.23615E-02,2.399837E-03,-1.769754E-01,1.428207E-02,6.911804E-02,2.476005E-03,-1.521311E-01,3.480629E-02,3.125306E+02,4.252267E+03,6.458839E-01
4.4E-02,6.218519E-02,2.413279E-03,-1.799665E-01,5.187396E-03,6.896083E-02,2.495199E-03,-1.539928E-01,1.448283E-02,3.184489E+02,6.096928E+03,6.926977E-01
4.5E-02,6.200157E-02,2.410212E-03,-1.856152E-01,-6.314805E-03,6.881005E-02,2.504971E-03,-1.357302E-01,-1.792023E-03,3.247244E+02,8.706974E+03,7.973803E-01
4.6E-02,6.181396E-02,2.400649E-03,-1.366509E-01,-1.199317E-05,6.868937E-02,2.491615E-03,-1.589541E-01,1.40908E-02,3.358628E+02,7.943532E+03,7.580154E-01
4.7E-02,6.172827E-02,2.410188E-03,-9.809784E-02,2.280245E-02,6.849214E-02,2.533153E-03,-1.441763E-01,4.034338E-02,3.406115E+02,6.114739E+03,1.041501E+00
4.8E-02,6.161776E-02,2.446254E-03,-1.245982E-01,4.825596E-02,6.840102E-02,2.572302E-03,-1.19756E-01,6.456992E-03,3.480923E+02,6.805951E+03,1.06456E+00
4.9E-02,6.147907E-02,2.5067E-03,-1.135762E-01,3.187056E-02,6.825263E-02,2.546067E-03,-1.343226E-01,-7.557329E-02,3.542234E+02,1.159549E+04,3.3299E-01
5E-02,6.139061E-02,2.509995E-03,-1.09123E-01,2.672343E-02,6.813238E-02,2.421155E-03,-1.448491E-01,-1.164574E-01,3.712833E+02,1.803029E+04,-7.549722E-01
5.1E-02,6.126082E-02,2.560147E-03,-1.410286E-01,1.91273E-02,6.796293E-02,2.313152E-03,-1.787743E-01,-4.073944E-02,3.90284E+02,1.982348E+04,-2.110583E+00
5.2E-02,6.110855E-02,2.54825E-03,-1.672517E-01,-2.368413E-02,6.777483E-02,2.339677E-03,-1.919073E-01,3.645315E-02,4.109303E+02,1.967305E+04,-1.792075E+00
5.3E-02,6.092632E-02,2.512778E-03,-2.125293E-01,1.150871E-02,6.757912E-02,2.386058E-03,-1.911953E-01,2.902366E-02,4.296301E+02,1.737161E+04,-1.091218E+00
5.4E-02,6.068349E-02,2.571267E-03,-2.756761E-01,3.212034E-02,6.739244E-02,2.397724E-03,-1.883076E-01,8.770148E-03,4.456735E+02,1.580136E+04,-1.481766E+00
5.5E-02,6.037497E-02,2.577019E-03,-2.735632E-01,1.028969E-02,6.72025E-02,2.403598E-03,-1.773428E-01,1.447352E-02,4.612328E+02,1.615249E+04,-1.45501E+00
5.6E-02,6.013637E-02,2.591847E-03,-2.542134E-01,3.252281E-03,6.703775E-02,2.426671E-03,-1.59085E-01,1.701914E-02,4.779784E+02,1.58577E+04,-1.371038E+00
