timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f20,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f20,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f20,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f20,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f20,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f20,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f20,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f20,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-22T13:51:29,31.8,328,3da41183,0.209137,0.0516,0.1012,0.1179,0.1542,0.0878,0.1257,0.1526,0.2558,0.1062,0.1623,0.2585,0.3587,0.1563,0.3097,0.4517,0.000747,0.003099,0.003021,0.006668,0.000649,0.000104,0.002874,0.005678,0.000329,0.001967,0.010230,0.009249,0.001024,0.000949,0.005987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0,2.3,3.1,13.4,2.0,2.6,2.2,4.8,0.6,1.5,6.9,2.5,1.1,1.4,2.0,1.99,8.09,12.99,11.21,2.82,6.43,6.42,7.00,1.37,1.35,1.92,3.11,0.13,0.12,0.19,np.float64(0.42512416529737346),np.float64(0.00015775213930193638),np.float64(1.2773367374429434e-05),np.float64(0.0028776678379499447),np.float64(7.301110578333871),np.float64(0.23309067554776775),np.float64(0.30881889729513246),np.float64(5.480583365654187e-05),np.float64(0.7291071537038986),np.float64(6.296916666941777),np.float64(0.5009394848209064),np.float64(1.4122329981057242),np.float64(5.752494768728734e-10),np.float64(0.4698958855607316)
2026-02-22T13:52:17,32.6,336,3f7eb83b,0.204476,0.0557,0.1005,0.1303,0.1599,0.0853,0.1313,0.1558,0.2685,0.1025,0.1820,0.2738,0.3938,0.1508,0.3021,0.4356,0.000047,0.001421,0.005445,0.011839,0.000629,0.003399,0.002724,0.015854,0.001158,0.004779,0.010589,0.003228,0.000445,0.000591,0.005400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.6,3.5,1.9,9.5,2.5,0.7,4.8,3.1,6.2,2.7,4.7,22.2,1.2,1.4,1.7,2.29,8.66,11.50,11.84,3.55,6.93,5.79,6.35,1.65,1.39,1.97,3.01,0.25,0.18,0.25,np.float64(0.4218845979736927),np.float64(0.00018768486492317006),np.float64(1.3314294696095948e-05),np.float64(0.0036876165078725664),np.float64(7.41366805579432),np.float64(0.1341105747646898),np.float64(0.3610149784437178),np.float64(5.625302359262095e-05),np.float64(0.7914966149980631),np.float64(6.219238743400287),np.float64(0.5008560407004577),np.float64(1.4154537127089233),np.float64(5.840407537445466e-10),np.float64(0.44667352545281414)
2026-02-22T13:54:44,35.0,360,ae68d337,0.192699,0.0569,0.1025,0.1292,0.1554,0.0891,0.1298,0.1583,0.2459,0.1038,0.1799,0.2734,0.3590,0.1515,0.3027,0.4456,0.000416,0.002660,0.003073,0.005797,0.000822,0.002899,0.000319,0.029553,0.000778,0.004854,0.006419,0.029806,0.000235,0.001841,0.005791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.4,1.8,3.6,9.0,1.2,1.5,2.1,15.3,1.9,0.7,3.4,0.2,1.2,1.5,0.6,2.18,7.81,12.22,10.85,3.00,5.97,5.81,6.66,1.61,1.34,1.77,2.87,0.28,0.17,0.19,np.float64(0.44388171836648144),np.float64(0.0001610368652952568),np.float64(1.1701133912273382e-05),np.float64(0.003502378563005948),np.float64(7.489904189097221),np.float64(0.19551436108535178),np.float64(0.3292721097478909),np.float64(6.026295661540245e-05),np.float64(0.7846681672766156),np.float64(6.23360834498794),np.float64(0.5179525602072356),np.float64(1.334588301753416),np.float64(6.08886095949628e-10),np.float64(0.46037611746168317)
2026-02-22T13:55:33,35.9,368,3d7e1bd2,0.183364,0.0570,0.1055,0.1204,0.1544,0.0894,0.1347,0.1496,0.2651,0.1006,0.1978,0.2883,0.3705,0.1476,0.3021,0.4576,0.000309,0.004223,0.002907,0.013280,0.000797,0.000889,0.001357,0.022135,0.002734,0.003381,0.007361,0.019229,0.000706,0.001798,0.007404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.1,1.2,5.2,13.1,0.7,1.9,2.0,11.1,0.9,2.1,1.9,5.8,1.7,1.2,0.6,2.15,6.83,12.61,10.85,2.35,6.21,6.06,6.06,1.67,1.47,1.67,2.65,0.29,0.19,0.18,np.float64(0.4474414717998233),np.float64(0.00012701870222984102),np.float64(1.0567505052708186e-05),np.float64(0.003497621608669056),np.float64(7.787375590903637),np.float64(0.14472617948766367),np.float64(0.4492966651859489),np.float64(6.0563854067871685e-05),np.float64(0.8047611360693299),np.float64(6.259450925058602),np.float64(0.5131824527968661),np.float64(1.2804118434596095),np.float64(5.720149761175494e-10),np.float64(0.5289529251981836)
2026-02-22T13:57:57,38.2,392,43aef756,0.169973,0.0543,0.1010,0.1305,0.1615,0.0856,0.1341,0.1606,0.2563,0.1017,0.1934,0.2735,0.3728,0.1465,0.2969,0.4365,0.001097,0.001704,0.003946,0.009958,0.001666,0.003360,0.007874,0.017213,0.001865,0.003482,0.013188,0.014053,0.001820,0.002706,0.002933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.1,0.7,8.1,15.1,0.8,0.8,2.5,6.7,2.6,1.3,2.7,12.3,1.2,0.5,1.1,2.59,8.48,12.73,12.15,4.12,8.04,7.05,7.68,1.73,1.41,1.91,2.80,0.21,0.14,0.22,np.float64(0.4288610481089219),np.float64(0.00010547548937318613),np.float64(1.3987958117644913e-05),np.float64(0.003553294614192713),np.float64(6.790067051192987),np.float64(0.15104676272419237),np.float64(0.4521130626749734),np.float64(4.93713553219584e-05),np.float64(0.7374769889799185),np.float64(6.253906851026759),np.float64(0.51236229581555),np.float64(1.3917198217393016),np.float64(6.184803605600736e-10),np.float64(0.5348243995905237)
2026-02-22T14:01:05,41.4,424,6be968d8,0.150573,0.0561,0.1058,0.1342,0.1563,0.0881,0.1366,0.1593,0.2637,0.1108,0.1829,0.2746,0.3808,0.1547,0.2968,0.4525,0.000416,0.002540,0.002205,0.015251,0.000837,0.003474,0.001746,0.012587,0.001208,0.001929,0.004454,0.016600,0.001429,0.001843,0.002533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.6,3.1,3.5,5.9,1.2,2.6,2.3,9.7,1.7,2.2,1.0,19.3,1.0,0.7,0.4,2.10,8.08,12.32,12.69,2.83,6.34,6.33,7.25,1.52,1.34,1.89,2.78,0.14,0.15,0.17,np.float64(0.4555419275084057),np.float64(0.00010587258069993626),np.float64(1.2272251988015864e-05),np.float64(0.003211498232538287),np.float64(6.238451630243636),np.float64(0.09986301173189319),np.float64(0.4454154470101185),np.float64(6.269015812738269e-05),np.float64(0.8074429213118512),np.float64(6.298395013962927),np.float64(0.5190597569928003),np.float64(1.3689191682955812),np.float64(6.228682426961333e-10),np.float64(0.5007533891869728)
2026-02-22T14:22:56,63.2,648,0e204ee9,0.147613,0.0567,0.1054,0.1256,0.1613,0.0885,0.1288,0.1546,0.2762,0.1061,0.1847,0.2722,0.3703,0.1501,0.2976,0.4554,0.000677,0.002286,0.002159,0.004253,0.000497,0.004405,0.002625,0.020481,0.001842,0.003577,0.009956,0.009552,0.000237,0.000623,0.002030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.2,2.9,1.5,5.0,1.5,1.1,3.8,2.1,1.4,3.9,6.6,5.0,0.9,0.5,1.6,1.93,7.26,11.97,12.18,2.65,5.82,6.53,7.84,1.68,1.30,1.74,3.05,0.23,0.21,0.18,np.float64(0.43608464315813994),np.float64(0.00011545306609153901),np.float64(1.1877419005274707e-05),np.float64(0.0034784469820266003),np.float64(7.524603489332185),np.float64(0.1343726139230383),np.float64(0.3898293256977884),np.float64(6.563230946229727e-05),np.float64(0.8009117255665396),np.float64(6.359599465738271),np.float64(0.5074144355515722),np.float64(1.3260282182222805),np.float64(6.02029456906005e-10),np.float64(0.47178057121038963)
2026-02-22T14:51:41,92.0,944,5970ec9a,0.145800,0.0567,0.1054,0.1286,0.1602,0.0892,0.1321,0.1562,0.2648,0.1066,0.1869,0.2771,0.3821,0.1453,0.2983,0.4482,0.000346,0.004506,0.004775,0.006194,0.000543,0.000808,0.002847,0.015833,0.000529,0.000997,0.009822,0.034294,0.002038,0.002896,0.001695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.3,2.1,4.7,5.7,1.4,2.3,1.8,6.8,1.6,2.1,0.9,2.1,1.2,0.4,1.5,1.97,6.77,11.05,10.94,2.62,5.49,6.00,6.50,1.59,1.35,1.73,2.80,0.24,0.17,0.14,np.float64(0.42472285672673726),np.float64(0.00011495207449109276),np.float64(1.2252620634662565e-05),np.float64(0.003874640400603303),np.float64(6.875966254418403),np.float64(0.12408206945823971),np.float64(0.3483691955543969),np.float64(7.38574959806515e-05),np.float64(0.7768237361436545),np.float64(6.383086654873769),np.float64(0.521882044765666),np.float64(1.2582363726951522),np.float64(5.489405150143511e-10),np.float64(0.4291900573731894)
2026-02-22T14:52:28,92.8,952,b755693c,0.144750,0.0548,0.1043,0.1299,0.1553,0.0882,0.1316,0.1518,0.2725,0.1054,0.1891,0.2785,0.3721,0.1452,0.3012,0.4522,0.000315,0.003290,0.002608,0.012548,0.000515,0.001238,0.002940,0.014162,0.003016,0.002414,0.004209,0.010239,0.000980,0.002219,0.004958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,0.9,3.1,3.0,1.9,0.4,4.9,4.1,1.3,3.0,5.3,10.6,0.8,1.2,1.5,2.16,6.55,11.68,9.56,2.37,6.03,5.78,6.34,1.84,1.32,1.77,2.91,0.26,0.19,0.16,np.float64(0.41744219153125095),np.float64(0.00012027890121322053),np.float64(1.2444802154033963e-05),np.float64(0.003893434588883524),np.float64(6.942235839580298),np.float64(0.13120748933690787),np.float64(0.35246458823003857),np.float64(7.447234650963384e-05),np.float64(0.8095119712632795),np.float64(6.373771869622243),np.float64(0.5205013686148559),np.float64(1.2443608461723683),np.float64(5.482417219642687e-10),np.float64(0.43739083740629303)
2026-02-22T14:53:15,93.5,960,456df1c7,0.135148,0.0566,0.1049,0.1237,0.1471,0.0867,0.1281,0.1539,0.2521,0.1047,0.1912,0.2722,0.3254,0.1449,0.3023,0.4554,0.000357,0.003629,0.002228,0.007570,0.001710,0.000798,0.004150,0.010715,0.001697,0.001727,0.009493,0.025616,0.000783,0.002097,0.005003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.6,0.9,0.9,9.4,0.5,1.1,4.7,5.0,0.6,2.9,6.4,14.6,1.3,1.3,1.5,2.14,6.95,11.11,10.65,2.38,6.41,5.57,6.92,1.85,1.38,1.79,2.75,0.25,0.18,0.14,np.float64(0.41376520632914765),np.float64(0.00012428449805110568),np.float64(1.194863025749951e-05),np.float64(0.003876302037001204),np.float64(6.801799867659778),np.float64(0.13925899554400623),np.float64(0.35659825064055256),np.float64(7.428111849120184e-05),np.float64(0.813866169086367),np.float64(6.379170442707553),np.float64(0.5218013674977159),np.float64(1.2359725779447734),np.float64(5.241993605300894e-10),np.float64(0.4461620721625416)
