timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f20,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f20,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f20,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f20,vel_scene_wheel_f30,vel_scene_wheel_f50,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,lateral_scene_wheel_f50,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,tumble_scene_wheel_f50,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,yaw_scene_wheel_f50,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-03-03T19:30:11,2.1,16,0fc313c8,1.384105,0.0623,0.1140,0.1318,0.1616,0.0896,0.1351,0.1669,0.2795,0.1005,0.1956,0.2650,0.3558,0.1494,0.2482,0.3228,0.7531,0.000141,0.000403,0.001327,0.012648,0.003397,0.002953,0.001800,0.005575,0.000181,0.001405,0.006440,0.009431,0.001472,0.001722,0.001014,0.020606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.8,2.8,2.4,3.4,1.8,2.1,0.8,1.7,0.6,2.2,2.8,2.0,0.6,1.1,0.7,1.4,0.5584606688425262,0.00021452894030717806,6.540483408501037e-06,0.0019047549773641285,5.033274353028418,0.411499163441829,0.9488389505134144,1.7799085465658988e-05,0.4443558695747375,5.051016068321785,0.5454807130167187,1.4945597866953397,3.722601686448038e-10,0.15502487310034374,1.8178669823879206e-06,4.6656336222585826e-05,0.969796795682899
2026-03-03T19:41:06,13.1,96,708c335a,1.253919,0.0576,0.0942,0.1194,0.1276,0.0899,0.1285,0.1472,0.2388,0.0963,0.1742,0.2386,0.3077,0.1603,0.2921,0.3954,0.8052,0.000540,0.002512,0.000235,0.006195,0.000927,0.000425,0.004062,0.001773,0.000461,0.000283,0.003846,0.008739,0.000409,0.000326,0.000254,0.000697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.8,0.5,3.1,4.8,4.1,1.6,0.5,1.9,1.8,0.9,5.0,6.1,0.9,0.9,0.8,4.3,0.4495489167697236,0.0001750621285993966,2.6837150523563e-06,0.0015435804062498644,4.334008987921816,0.12057177552935774,0.7681802438761205,6.613762548401177e-06,0.4185433950959413,4.9156442136749865,0.5011918683169126,1.419124764938902,4.652256218654991e-10,0.005227119890430476,8.407973974136967e-06,0.000522966853949584,0.7960543454503718
2026-03-03T19:54:31,26.5,192,dc368bb5,1.114858,0.0598,0.1230,0.1016,0.1432,0.0985,0.1284,0.1683,0.2545,0.0991,0.1810,0.2507,0.3328,0.1515,0.2706,0.3295,0.7572,0.000183,0.001791,0.001118,0.003220,0.001170,0.000888,0.001224,0.000858,0.001011,0.000120,0.002707,0.002809,0.000270,0.000508,0.001078,0.004437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.3,3.4,1.6,5.8,2.1,2.4,4.0,6.1,2.6,2.0,2.0,3.6,0.1,1.1,0.5,0.8,0.5113289903572829,0.00017817518015396012,1.6863648408881564e-06,0.0020747639765589087,4.288089899122888,0.4946152402910562,0.627862875017982,1.0834455839894983e-05,0.5434512965585706,5.009466636845083,0.5826533029987572,1.4011295505203096,4.4389553782733394e-10,0.5351457767205439,1.6007605417648533e-06,5.2687307341414924e-05,0.8118647822246838
2026-03-03T20:01:00,33.0,240,07f081e2,1.061788,0.0517,0.1016,0.0995,0.1563,0.0929,0.1277,0.1575,0.2558,0.1054,0.1650,0.2590,0.3542,0.1747,0.3066,0.3855,0.8449,0.000341,0.003144,0.002774,0.002238,0.000245,0.000941,0.003409,0.002339,0.001303,0.000245,0.002856,0.004376,0.001189,0.000668,0.000120,0.002190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.2,1.5,0.9,2.4,0.6,1.7,0.6,3.6,2.0,1.6,2.8,7.3,1.7,0.3,1.9,4.8,0.4030534493996302,0.00022365780226142772,1.5284435803046627e-06,0.0014633247405694604,2.708101332374326,0.4686597468189602,0.5836002118978953,9.769879493154517e-06,0.2816922256813327,4.816844844692769,0.534416082591284,1.4798845673405778,4.1989023122158434e-10,0.5728123310262236,1.8130091308377284e-06,0.0007539923411281218,0.7786916711441066
2026-03-03T20:39:28,71.4,528,faedd0e2,1.017890,0.0518,0.0965,0.1121,0.1379,0.0885,0.1175,0.1527,0.2588,0.1039,0.1520,0.2347,0.3384,0.1615,0.2866,0.3767,0.7834,0.000411,0.000618,0.001409,0.001404,0.000622,0.000363,0.001633,0.009262,0.000419,0.001183,0.007024,0.005936,0.001340,0.000188,0.000122,0.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.1,1.6,3.1,10.5,1.4,1.1,2.4,12.6,0.7,0.4,4.3,2.0,0.7,0.7,0.4,1.6,0.4339274673649196,0.00044169052558264247,1.0247460717501178e-06,0.0011274737789684554,2.6156522669483646,0.6465207380946781,0.7916144931974393,2.3200340130967287e-05,0.6201842230849048,5.312674363548159,0.525824655883399,1.4473983013657408,3.336248120694416e-10,0.36555516419136846,1.9371578784685737e-06,0.000313516565554901,0.9262608834143446
2026-03-03T20:45:37,77.6,576,a53da5e9,1.007032,0.0613,0.1078,0.1093,0.1406,0.0932,0.1267,0.1638,0.2432,0.1052,0.1598,0.2759,0.3287,0.1690,0.2949,0.3828,0.8149,0.000412,0.000257,0.001295,0.005587,0.000525,0.000375,0.003702,0.006294,0.000342,0.000502,0.006153,0.012941,0.000355,0.001521,0.000748,0.001741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.5,2.5,4.6,8.4,1.8,1.3,3.4,5.4,0.3,1.6,3.8,10.0,1.5,0.8,1.0,1.7,0.4865613121129869,0.0006255357562420784,1.1884307360711565e-06,0.0011545736452175295,3.298155964011519,0.7692861197287841,0.7337483349808995,1.2687226007351854e-05,0.6384756542015372,5.29946014257011,0.5418743959982711,1.4290031444388418,3.0405156526628365e-10,0.58833209557718,4.049027308307156e-06,0.0005192085368026089,0.9384986704012733
2026-03-03T20:49:51,81.8,608,654e1549,0.997191,0.0543,0.1001,0.1137,0.1461,0.0847,0.1330,0.1656,0.2526,0.0939,0.1753,0.2482,0.3276,0.1643,0.2779,0.3622,0.7833,0.000567,0.001270,0.000628,0.002848,0.000239,0.001827,0.002310,0.001227,0.000261,0.000429,0.004161,0.002687,0.000389,0.000202,0.000063,0.006486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0,3.1,1.1,5.2,2.5,1.6,1.6,1.4,0.7,4.1,1.6,1.0,0.7,0.3,0.1,2.0,0.47348147782284056,0.0006376487103496296,1.0404293395780456e-06,0.001451260258189779,2.3883330333281694,0.8969572716040148,0.638865336666086,1.5583785067232387e-05,0.4818551675863128,5.241027854770599,0.5114028965651627,1.499922690176098,3.228994893410336e-10,0.5266293164041876,3.0235993433451287e-06,0.00032878118994124795,0.9627238124380414
2026-03-03T21:00:24,92.4,688,dd4d903b,0.970839,0.0603,0.1017,0.1127,0.1444,0.0887,0.1250,0.1681,0.2408,0.0978,0.1619,0.2474,0.3245,0.1567,0.2797,0.3694,0.7646,0.000145,0.001548,0.001198,0.005203,0.000525,0.001828,0.001364,0.008254,0.000394,0.000884,0.000727,0.003188,0.001153,0.000289,0.000334,0.003334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.4,1.6,2.2,13.3,1.4,1.2,1.8,1.2,2.5,1.4,3.9,2.5,1.2,0.9,1.3,1.1,0.5122565168738114,0.0007911602695024738,1.0290386268537357e-06,0.001147622594359905,3.405757963649733,0.8315792333248392,0.8577696630864572,2.048825941703162e-05,0.6688391237815432,5.3388144489378355,0.5060666132122621,1.4847658802995114,3.1343416067156317e-10,0.4086891119217797,7.759224451754527e-06,7.561743350218871e-05,0.975959680646246
2026-03-03T21:04:42,96.7,720,57dba3cb,0.929936,0.0591,0.1194,0.1149,0.1310,0.0917,0.1286,0.1620,0.2482,0.1046,0.1672,0.2529,0.3752,0.1561,0.2685,0.3689,0.7634,0.000474,0.001041,0.001268,0.007418,0.001425,0.001526,0.000558,0.003773,0.000913,0.001998,0.010164,0.002548,0.001508,0.001158,0.000550,0.003168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.2,1.4,2.3,5.0,3.6,1.9,2.4,7.1,0.4,0.9,8.8,3.9,1.4,1.5,1.1,2.4,0.5437379059183619,0.0008190945557260217,1.01176100343151e-06,0.0013010167459839496,4.038951670420233,0.791801651404296,0.9389078700701134,1.9519385704137043e-05,0.6656865863706628,5.282907292766134,0.5713954267205781,1.3886090784519336,3.023883804951891e-10,0.49092096889980996,5.2602824542995646e-06,7.443035796005403e-05,0.9871868286493964
2026-03-03T21:27:12,119.2,880,f8202b89,0.854276,0.0541,0.1100,0.1174,0.1536,0.0980,0.1242,0.1563,0.2496,0.1095,0.1621,0.2549,0.3122,0.1657,0.2913,0.3650,0.8342,0.000173,0.000893,0.000957,0.002899,0.000122,0.000644,0.000630,0.004900,0.001173,0.001082,0.002892,0.005887,0.001183,0.000365,0.000370,0.014024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.2,1.6,8.3,5.6,2.0,1.9,1.8,2.0,0.3,1.0,4.0,1.8,0.8,1.0,1.6,0.6,0.42990195044644053,0.0011775738319396096,1.1064514495949086e-06,0.0011836212035655975,3.178794930590241,0.6893068722757808,0.899077112122382,2.372958776056436e-05,0.5089633298319957,5.209688350011967,0.5611022380561335,1.4533412389310887,3.583288946581954e-10,0.6128611279013974,7.418950939161203e-06,0.000653339698171814,0.96855404459513
2026-03-03T22:50:07,202.1,1472,7ec223ca,0.843834,0.0559,0.1055,0.1110,0.1342,0.0918,0.1209,0.1589,0.2451,0.1067,0.1604,0.2724,0.3090,0.1723,0.3062,0.3877,0.8408,0.000513,0.001282,0.002006,0.001661,0.001275,0.000556,0.001983,0.004504,0.001889,0.000074,0.003078,0.003298,0.000399,0.000564,0.000367,0.003551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.2,0.1,6.2,10.6,1.7,1.8,1.7,1.8,1.9,1.7,3.3,1.4,1.8,0.1,0.9,2.2,0.45019249850087484,0.0007319343198459238,1.101488653906595e-06,0.0011284759819635438,2.8685983708588507,0.7475909352342167,0.7879702358187047,2.48816539833416e-05,0.5616887212321048,5.013590339414863,0.5196282309697628,1.4975128734575036,4.0669479168587004e-10,0.5190571094278047,6.012187051037229e-06,0.0006021504876723967,0.9464029684969079
2026-03-03T23:17:54,229.9,1680,af0bffca,0.731481,0.0593,0.1085,0.1141,0.1435,0.0894,0.1260,0.1720,0.2462,0.1044,0.1740,0.2513,0.3327,0.1611,0.2884,0.3730,0.7886,0.000296,0.001044,0.001666,0.007727,0.001065,0.000803,0.001674,0.008165,0.000650,0.000380,0.000397,0.003707,0.002299,0.000299,0.000528,0.009056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6,1.6,5.9,7.8,0.6,2.7,1.7,6.0,0.6,1.0,2.5,4.5,0.9,1.4,0.6,2.0,0.5084529965725001,0.0007137235938185211,1.106503022580517e-06,0.0012854841665409413,2.852636404821272,0.6782601108831409,0.7987287591604838,1.745096778060691e-05,0.5611047862198973,5.117500059851075,0.5463082001750637,1.4175798615455018,2.979275402211801e-10,0.7125322972783777,7.1021919996769155e-06,0.00028603228554589897,0.9351631404139653
