id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f30,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,cost_scene1_f10,cost_scene1_f30,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,best_trial_scene1_f10,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f30,best_trial_scene2_f50,best_trial_scene4_f10,best_trial_scene4_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
f0159016,30.69424546347026,0.4,0.0022200480448033603,0.009006672860461114,0.009541576377140943,0.0,10.475518729431379,11.953166633749074,8.256518752600922,0,0.0007179777675203424,0.0037221183220863784,0.014808497771835603,0.004365516605331094,0.007846004204216649,0.011099356504865196,0.007983796249416688,4.834125471298345,5.641393258133034,2.997337476810162,4.6670218648530675,4.288807292085845,3.788238361005975,4.468280391594948,0.00134849770945558,0.008132874786009403,0.006414855666333899,0.0015679869475434976,0.0032829535951349365,0.005792704903791345,0.004324404537153715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6324033790529127,153.82017798217282,20.603300984816016,3.9202491698900483,1.2861620914214615,35.83491010957305,18.176149113298585,1,2,1,1,2,2,2,0.10922400563707867,0.00034820208005574717,1.1908765525488424e-06,0.0025756278266397467,2.717254502698928,0.44329497378016897,0.01672379991994426,1.338976414835725e-05,0.2725688743777399,5.319761515564224,0.7376760417696216,1.3355166621010959,3.4367129135368073e-10,0.3566654638863602,1.0106441604867881e-06,0.00019017408411480368,0.45260352487310473
894e9753,19.871730880692596,0.4,0.023120741110474807,0.04136162066861688,0.011379257166361907,0.0,3.684996784831721,7.801810306948152,8.00486605532229,0,0.030774558423416285,0.01546692379753333,0.0879264009240547,0.023459861189921646,0.0126985998918743,0.011535912493344687,0.011222601839379127,0.40042888238337493,3.284567902448346,0.5798718633133003,3.345762528544363,3.876175915090489,3.7438757087410015,4.260990346581289,0.002981202289836022,0.0014197486698040533,0.001706169375247354,0.008688366411179477,0.0018252258465391677,0.002822528366596863,0.0020847912303911535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4750795628660995,9.612686638981467,4.177547010442318,4.840291157680666,12.748487276868289,0.32737230545026336,0.41185844747765205,2,1,1,1,2,2,0,0.9079586985210921,0.00023771772979522173,4.073117843715369e-06,0.0017583872541047955,2.452912280183606,0.44679728085635345,0.38767867553684526,3.1626208919811073e-06,0.3468409690810082,4.659856797446569,0.9264319257427721,0.5923042959297288,7.610692273697358e-10,0.007161280317053575,1.192848070228941e-06,0.0001311478234313829,0.66122341044979
8d2994b0,33.30599976217129,0.4,0.005069917896806549,0.004387299888800667,0.009880477109327816,0.0,11.221484432235776,13.669467788100995,8.406309083229168,0,-0.0031606526015645203,0.013300488395177619,0.0034038013336627248,0.0037782223229980427,0.005979876009741232,0.006430696653913397,0.013330257564742237,6.032889188914205,5.188595243321572,4.494549797243064,4.721905703103016,4.453012287754916,4.2775206351945885,4.128788448034579,0.004670608099618879,0.010354459837423807,0.002666065392604739,0.0007761417412891002,0.0026937657984075357,0.005400457499216081,0.00222882146375628,0.1346299570361369,0.02685057954380759,0.0,0.005381881269737488,0.0,0.0,0.0,33.654820961979574,174.94471966476948,3.793701739092686,13.672290184919248,6.029662369520837,5.257380889818435,19.674390345263852,2,2,2,2,2,0,0,0.16998453778510667,0.0003854884909009398,3.4583108431817424e-06,0.0037451466200807753,1.3027329311390736,0.42865216452038185,0.5316950550214289,6.906773977870308e-06,0.3050242619681782,5.374549698103189,0.6091863106775455,1.1251197622019324,3.125224368754815e-10,0.3270123115063968,1.4599908665012513e-06,4.0216587571919405e-07,0.7323818138365896
cc878da7,28.014435907329673,0.4,0.004284373754759517,0.009125108642058722,0.017521681712723843,0.0,8.449652421715866,12.2641494789986,7.297703943551382,0,0.005291607291858662,0.0032771402176603732,0.0082298340003208,0.010653618635065311,0.008491873290790052,0.010772129223846575,0.02427123420160111,3.8431031467011287,4.606549275014737,3.8239794752741076,4.207535280175065,4.232634723549427,3.8214026661811564,3.4763012773702258,0.0004746938310273303,0.00034504788372742784,0.00013948226097760565,0.00020936474721528994,0.00021597867012549624,0.0009926244978504901,0.008292562303607373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47175084095043773,2.4880765851837814,1.531456307508929,1.2349600847741098,0.8234421617529599,2.2291159239482123,7.544073228449472,2,0,1,1,1,0,1,0.739231833374637,0.0003931060769367285,6.225377240134388e-06,0.0032341176701153303,2.792524299615044,0.6317764793258869,0.6520067601622622,1.231161821329291e-05,0.19683859392432962,5.204861513307721,0.582200877612878,1.4953187345946555,5.529052267405268e-10,0.35097799760421694,1.958585122587053e-06,3.664048430272669e-05,0.871795503380141
f3abe68b,22.171831937031868,0.4,0.01599952013138325,0.015147966473410532,0.019134497922298318,0.0,5.039684769483111,10.392235363949297,6.627064375038602,0,0.021745927648968676,0.010253112613797825,0.043348635396699524,0.0008198243856799706,0.0012754396378520999,0.025640151755610838,0.012628844088985798,1.2169416168285918,3.8227431526545192,0.5749594875541392,4.93659123028486,4.880684646110298,2.4545346299906856,4.172529745047916,0.002411884901009401,0.002902088333380007,0.0022805615799566786,0.0002686448331923369,0.0018270526070856346,0.0031605161716525593,0.00031992670339128386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629012951735512,2.1833508134888757,4.407449632587081,2.5227908470964295,0.32978318028930836,41.18695522283416,6.391472042315244,2,0,2,1,0,0,1,0.4625879112279735,0.00030723873194665074,4.55190313031257e-06,0.001962845668944716,2.4606488976408363,0.3408213958951491,0.9249732960188966,3.000374205330752e-05,0.5762646305566383,5.076115297631926,0.6140250886183544,0.9922698659802618,1.9015791482706335e-09,0.5364405202922068,1.093289561564384e-06,2.9491356308144426e-05,0.9504515046695465
953f48fb,25.857618580695682,0.4,0.0081015058454657,0.016757906578131643,0.014983788985659458,0.0,7.659768999033567,10.925252216677405,7.266079007306221,0,0.00884916074919992,0.00735385094173148,0.011702137755298032,0.021274566884380824,0.017297015094716074,0.02053028318818155,0.009437294783137366,3.150787535418356,4.508981463615211,3.9349018389596364,3.4858975107746675,3.504452866943101,2.89138098876793,4.37469801853829,0.0020435241473980162,0.009133653789277784,0.0007841261294035118,0.00871039581437114,0.0021792350326460194,0.014822972514367087,0.004780272756239597,0.0,0.1844809573346005,0.16761260504456468,0.0,0.0,0.0,0.0,17.349664751694455,0.9824322140347385,102.65764598026233,4.712824117906401,1.4837487694062659,9.304192308668576,36.71646192341357,1,0,0,2,2,1,0,0.5142411173312759,0.00017667599535734453,3.963352144976344e-06,0.001076296445754345,8.435111242874783,0.15275328364234414,0.45243822303013503,4.3670156062824034e-05,0.16276541690960522,5.159392926560562,0.5056919500651962,1.0870623775114483,2.493776690382151e-10,0.08992960330389511,1.0659247286576645e-06,9.682002719421689e-05,0.5360348386370157
29d116b9,28.87352036678264,0.4,0.008793623699979798,0.003831403916595011,0.010200412510003623,0.0,7.213860320675591,13.466691276871954,8.184827410155414,0,0.007881415172167998,0.009705832227791599,0.009809948254399157,0.0005020466150684276,0.0011822168803174488,0.010745211614828864,0.009655613405178383,3.3322970217753594,3.8815632989002324,3.6162076823889375,4.961139646953772,4.889343947529245,3.824179163112973,4.360648247042441,0.00014086568437508547,0.001290386286289315,0.0011515800448140664,0.0019158843048834172,0.0007419961958618745,0.0025863187950391714,0.0027671291689549253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.077042237727023,0.9666276071726608,5.891564121724358,29.15865231167737,21.47041097554503,0.10750440561245071,16.813273041285935,2,0,0,1,2,1,1,0.5688419392539755,0.0003603483807004159,1.9343522424998314e-06,0.006177871056333395,1.8440719822007703,0.5384105283365043,0.25534888358252134,9.628296437125786e-06,0.5154434947609585,4.814239551607999,0.583172342391833,0.6257874087063905,3.1777698949681026e-10,0.0003595770315896575,1.2874719221993062e-06,4.663217768976254e-05,0.6562513497108655
3d125eb9,19.423178258100336,0.4,0.025179175828165944,0.01671315242347104,0.02427282537651415,0.0,3.6843341266838046,9.818218083202941,5.868484809515395,0,0.015473417848300782,0.03488493380803111,0.029966720752031505,0.010049579120334223,0.010123157398047391,0.03440051722286099,0.014145133530167312,2.0450181629814974,1.6393159637023071,1.474943340433747,4.250658959457147,4.092615783312047,1.7901754330225554,4.0783093764928395,0.008121938276622881,0.00030142973377189327,0.002949058705589435,0.001999154399717452,0.003907799209085143,0.0010548463640108168,0.004500790859013796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.464425476581378,1.6844370239048827,3.330644640176065,1.839215667717347,13.699998988748309,1.4247647567629256,38.02683850723643,0,2,0,2,0,1,0,0.3359967016873329,0.0005723439583474335,2.9992394085725886e-06,0.001335628407452199,3.6479343910884414,0.5145071641543697,0.28550060009566186,2.244511560161798e-05,0.01521017447973937,5.766464054070173,0.5002947407226424,1.2785491718464599,1.3138714996614182e-09,0.021595758962689535,1.0363164613659564e-06,0.00011662319829727686,0.6530871100704323
e45c416d,20.34425139130384,0.4,0.0197755252282117,0.02511903730272244,0.014567599921222071,0.0,4.657799812455007,8.061735218375768,7.545333681233703,0,0.02502371216878719,0.014527338287636214,0.0386623700796335,0.02430587026749205,0.012388871561041764,0.013220399374607833,0.015914800467836308,0.8695160818387356,3.7882837306162718,0.8431348565074962,3.3164376184842634,3.9021627433840087,3.5757525653066184,3.969581115927084,0.006363178736946586,0.004202569089918669,0.008943291055526626,0.0030969841784212132,0.006437992840972542,0.005739903333179381,0.004288070769271055,0.0,0.0,0.0,0.0,4.238316816132527e-05,0.0,0.0,19.29232623944976,117.60509916180932,14.820830767047804,74.08243848548044,40.87587893208719,2.7533812408865845,7.771219476322388,0,0,2,0,0,0,2,0.5190989151775286,4.8294677105023846e-05,3.5233304244906003e-06,0.003997898253619279,1.6854771972986518,0.26916346247731054,0.3700624369973445,1.7523044706429918e-05,0.03823176564736598,5.6147873743042105,0.6023765192724204,1.3702357002670658,2.977858365766184e-10,0.1691356752174557,1.0454588302422456e-06,0.0007796680018428462,0.5395816063559584
1a4a045a,16.971820797111597,0.4,0.03570006872825723,0.028100920920055446,0.015539053867330222,0.0,1.9310514008349946,7.479983421069326,7.4464717614426945,0,0.022570352626567144,0.04882978482994731,0.04766671121335202,0.018472888969356806,0.018163162577457512,0.012744864495153543,0.018333243239506903,1.124052436353165,0.8069989644818295,0.37341328111615013,3.669531784397565,3.43703835555561,3.6227609528852818,3.8237108085574127,0.00339123874143742,0.0016829121117024428,0.003201648716190078,0.005455443308494559,0.010303302651321112,0.0036908799269574468,0.009194356417851242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.723134798531657,17.719404563666572,1.1048060994855966,3.8354228614439787,14.438537282110829,7.632051825860408,12.685714983970902,1,2,0,1,1,0,2,0.44392931399541935,0.00016290215712200796,1.3673043788819155e-06,0.0014105909349583423,8.037995190962317,0.023175449949216213,0.5231372096045935,3.59288724533923e-05,0.9835118224869126,5.2938460140752825,0.7499800057863468,0.984967502274831,6.440516235544308e-10,0.012380020635217962,1.0026894551318673e-06,0.00040264900898343334,0.5341364056150854
