timestamp,elapsed_min,n_eval,id,cost,vel_scene_wheel_f10,vel_scene_wheel_f30,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene_wheel_f10,yaw_scene_wheel_f30,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-17T12:55:21,0.2,8,908f5b8f,0.070458,0.1610,0.4714,0.007936,0.002057,0.000000,0.000000,0.5,1.2,0.01,0.04,0.00026149798,0.0054323287,0.00030114763,0.0037728856,0.2205237,0.49083696,0.10992053,0.00016129413,0.48480944,5.6471277,0.50296534,1.1127861,5.3721658e-11,0.54679344
2026-02-17T12:55:41,0.6,24,875ba2b7,0.035012,0.1562,0.4657,0.001050,0.004408,0.000000,0.000000,1.8,0.4,0.02,0.04,0.00050082749,0.010612133,0.00041613599,0.00059480106,0.31954528,0.0023889675,0.48516466,0.001769687,0.1152405,4.5023025,0.53564685,1.1750077,1.1537887e-11,0.48634607
2026-02-17T12:55:49,0.7,32,311cd701,0.024999,0.1534,0.4607,0.030491,0.002866,0.000000,0.000000,1.5,0.9,0.04,0.09,0.0045597526,0.0032795298,0.00018842421,0.0010798203,0.34809421,0.29813938,0.7447797,0.0012373521,0.35807409,4.4777314,0.55212314,1.1996971,2.9312912e-11,0.82079645
2026-02-17T12:56:10,1.0,48,dea17320,0.013051,0.1510,0.4413,0.001717,0.004861,0.000000,0.000000,1.1,2.0,0.05,0.17,0.0041279267,0.013513512,0.00013948476,0.0042967182,0.62837461,0.011610726,0.76440671,0.001812016,0.21393362,4.4255656,0.55223218,1.0722622,3.4464093e-11,0.76706568
2026-02-17T12:56:31,1.4,64,ab92cfaf,0.003461,0.1461,0.4395,0.001439,0.019580,0.000000,0.000000,0.4,0.5,0.03,0.11,0.0012007217,0.0084093868,0.00031797373,0.0025586623,0.34770358,0.032993491,0.61173831,0.0014982814,0.61111085,4.3642705,0.58905191,1.0335702,1.2098723e-11,0.62448725
2026-02-17T12:57:46,2.6,120,436ec5eb,0.001262,0.1443,0.4320,0.001529,0.005888,0.000000,0.000000,2.5,0.4,0.03,0.07,0.00024645316,0.0034480061,0.0011521603,0.0015100741,0.68350119,0.0013619702,0.53057113,0.00093017069,0.90655239,5.1589922,0.56854886,1.0300304,1.2428641e-11,0.53115742
2026-02-17T12:58:33,3.4,152,70b18d6c,0.000970,0.1436,0.4314,0.001873,0.003039,0.000000,0.000000,0.7,0.6,0.02,0.09,0.0001535512,0.0037295903,0.0012795828,0.0020129611,0.90662022,0.0019009289,0.22431391,0.00086279018,0.93676402,5.0602659,0.51563916,0.86701179,1.0790357e-11,0.225766
2026-02-17T13:01:22,6.2,264,2aad7a06,0.000307,0.1425,0.4396,0.001599,0.005514,0.000000,0.000000,0.6,1.6,0.03,0.08,0.00052298873,0.0011757416,0.0032407839,0.0020728487,0.43213294,0.0012285883,0.46229633,0.0011328264,0.82484445,4.741066,0.68612441,1.0978343,2.7609165e-11,0.46291071
2026-02-17T13:04:21,9.2,392,6a9defec,0.000144,0.1439,0.4513,0.001291,0.005208,0.000000,0.000000,0.7,2.3,0.02,0.15,0.00012733085,0.0013623928,0.014271716,0.0029726141,0.38730344,0.0010871233,0.67215612,0.0012297984,0.57620782,4.3331541,0.72036776,1.0982742,3.174478e-11,0.67244531
2026-02-17T13:06:43,11.6,496,af7d0d18,0.000089,0.1422,0.4419,0.001315,0.002796,0.000000,0.000000,2.3,2.2,0.01,0.25,0.00017475445,0.0010581124,0.033528223,0.00277372,0.21533107,0.0012089421,0.54945474,0.0015695737,0.69447011,4.825662,0.7941472,1.0948359,4.8394452e-11,0.54994448
