timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-03-04T11:15:49,0.9,16,bfded347,1.809348,0.0650,0.1143,0.1545,0.1111,0.1708,0.3124,0.1030,0.3192,0.3996,0.1655,0.3852,0.000403,0.000327,0.000996,0.001069,0.001183,0.006205,0.000448,0.002741,0.006004,0.002036,0.001072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,1.5,4.5,1.9,3.6,3.9,4.0,5.5,8.4,1.2,1.3,0.7471931025808787,0.0009547047466761746,1.378906324110742e-06,0.0018382321067527251,2.2692623605726783,0.9363391399896558,0.7238619517092463,1.3881967717390433e-05,0.6070382232114804,4.907480189895695,0.7189329388339956,1.136199564299715,3.988855134947891e-10,0.34736026268741305,1.9369712317210772e-06,0.00012887423118414324,0.9823484281690618
2026-03-04T11:17:33,2.6,48,be8916f0,1.408384,0.0511,0.1085,0.1231,0.0880,0.1349,0.2140,0.1065,0.2294,0.3107,0.1616,0.3155,0.000407,0.001004,0.001263,0.001604,0.000599,0.001374,0.000808,0.002351,0.000453,0.000287,0.000454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,1.4,17.1,2.8,1.6,5.9,0.6,10.5,3.6,0.8,1.4,0.3637868474694999,0.00043412906782442636,1.0281878106687503e-06,0.0011411675745976618,3.405271096576053,0.48673308375602975,0.42089576362606607,1.68515756138956e-05,0.9114936191917048,5.225493530463646,0.6420420131603712,1.3091813528117715,4.3111315524738663e-10,1.1197570903975713,2.060853093698894e-06,0.0003997856945677052,0.7027228648361691
2026-03-04T11:18:23,3.4,64,308407b9,1.365745,0.0564,0.0973,0.1476,0.0836,0.1361,0.1948,0.0995,0.2879,0.3431,0.1599,0.3502,0.001497,0.001700,0.001795,0.000520,0.000441,0.005259,0.000175,0.002120,0.000549,0.000183,0.000179,0.000000,0.000000,0.027499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.8,1.4,4.7,3.9,1.1,4.6,2.3,6.6,6.0,1.4,1.0,0.41636185979671986,0.0009091935112264138,1.000306439693758e-06,0.0009299617562926601,7.682148955500389,0.28012181496194655,0.7387161250782778,1.9619890407905064e-05,0.32790887093141324,5.003955414586175,0.6763733527200395,1.4588665617692267,7.092335952380673e-10,0.8570387776765066,7.808038750843482e-06,0.00030384219887629187,0.811833566729133
2026-03-04T11:20:06,5.1,96,449a5e1f,1.005260,0.0575,0.1099,0.1409,0.0906,0.1511,0.2211,0.1128,0.2233,0.3261,0.1697,0.3732,0.000280,0.001814,0.006799,0.000695,0.002323,0.003854,0.000557,0.004649,0.006383,0.001848,0.000904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6,1.7,9.2,1.2,2.1,3.5,1.2,0.8,10.9,0.4,1.1,0.42104057191068117,0.0005677480965923075,1.004730474698236e-06,0.0005543907322844622,3.5800144455457787,0.3467716485441171,0.7151757866161604,6.838376931798494e-06,0.7412582249120657,4.683631475924039,0.5242629595208987,1.3883055333472663,3.157392349956355e-10,0.7750190655340867,1.7617444157873554e-05,0.0006513739096403478,0.8138732310578942
2026-03-04T11:23:26,8.5,160,46cd8988,0.944829,0.0542,0.0978,0.1412,0.0761,0.1547,0.2594,0.0925,0.2822,0.3750,0.1532,0.3606,0.000501,0.001319,0.006383,0.000642,0.000401,0.002371,0.000562,0.001144,0.002630,0.000422,0.000278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.0,3.5,9.1,14.9,2.1,3.0,1.1,0.6,5.1,1.2,1.6,0.5014172189905685,0.0009054103181427559,1.1802443193430878e-06,0.0005586998904469702,2.1339558122093605,0.49875879008802226,0.677574681300138,1.2318229123943395e-05,0.5037208187268504,5.0303569321121735,0.7294763424820705,1.497858850542342,5.135102571903928e-10,1.0198980628846872,9.654815620110878e-06,6.78254718915622e-05,0.8383193856804961
2026-03-04T11:25:58,11.0,208,372f0b22,0.886777,0.0586,0.1085,0.1173,0.0964,0.1653,0.2729,0.1082,0.2588,0.3427,0.1760,0.4187,0.000429,0.001913,0.003215,0.000479,0.002799,0.006105,0.000653,0.004205,0.003498,0.000218,0.000917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.1,1.6,6.2,3.6,0.8,5.3,1.2,2.9,9.6,1.2,0.7,0.5387152147955718,0.0013780872483655086,1.177566501266689e-06,0.001196193211335311,1.7198748125701506,0.509142213854051,0.5185512680005498,3.9125420814403325e-05,0.6843644229414099,4.92525059686465,0.5427298381544585,1.4298595493334094,3.7210377559621147e-10,1.0970962833344098,2.3741517893054622e-05,0.0007078718031387854,0.7636252861411755
2026-03-04T11:29:23,14.4,272,6c3d3b7d,0.815964,0.0488,0.1141,0.1266,0.0881,0.1628,0.2424,0.1078,0.2504,0.2916,0.1743,0.3526,0.000678,0.000755,0.003228,0.000641,0.001275,0.004311,0.000810,0.003101,0.009094,0.000372,0.000403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6,1.8,4.7,1.1,2.0,5.3,2.3,2.3,4.8,1.7,1.1,0.4165107174916381,0.0007696407046237146,1.5958415199577886e-06,0.0011686073183609519,2.3994652223995536,0.9447307377184115,0.7018715901698452,6.072790836368119e-05,0.6303220000071801,4.975636905387491,0.5686031239356915,1.3630816345391237,3.2483018272714327e-10,0.4791794104007862,1.846610955637616e-05,0.0007473318922282559,0.9834524755644873
2026-03-04T11:31:06,16.1,304,928c3789,0.759941,0.0591,0.1159,0.1219,0.0824,0.1589,0.2441,0.0916,0.2587,0.3291,0.1583,0.3816,0.000310,0.003160,0.005718,0.001220,0.000986,0.013687,0.001162,0.003078,0.004489,0.001260,0.000671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6,2.3,8.3,1.6,1.5,0.9,2.0,7.9,0.7,1.0,1.5,0.49607833473781693,0.0005087786622797853,1.871311998320721e-06,0.0014279314304964273,2.311088901664644,0.7706686297874528,0.6148001411589397,8.878180341357071e-05,0.673118256969331,5.064874272082121,0.5023250655425062,1.4820972246370472,2.3729647748755504e-10,0.8312426324905865,1.8238157317279772e-05,0.0003985875568646135,0.911600108552184
2026-03-04T11:40:28,25.5,480,b86d8253,0.737630,0.0614,0.1146,0.1387,0.0939,0.1566,0.2460,0.1019,0.2473,0.3166,0.1621,0.3872,0.000011,0.002482,0.000846,0.000313,0.002990,0.003272,0.001133,0.001131,0.005177,0.000709,0.000161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.9,3.5,7.6,1.2,4.5,2.5,0.5,3.7,2.1,1.6,1.5,0.502822504551808,0.0005452945243443779,1.1432189857759816e-06,0.0011221854504855832,3.47423886171546,0.6469811076499684,0.557559218463793,7.803088361329622e-05,0.8477334298534728,4.607733145392824,0.5035215596940471,1.494964637458457,3.086331626981132e-10,0.5510206529855775,1.593519268861135e-05,0.0003405950491808673,0.8437542894497595
2026-03-04T11:43:02,28.1,528,3a5e50eb,0.664046,0.0496,0.1231,0.1414,0.0860,0.1613,0.2621,0.1012,0.2371,0.2962,0.1571,0.3346,0.000918,0.002719,0.002382,0.000606,0.001776,0.002661,0.001458,0.005764,0.004323,0.000758,0.000997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.9,1.9,14.5,0.6,1.3,4.8,0.6,8.6,9.6,0.7,1.2,0.43604899318283125,0.0005335205331464637,1.0800721036860719e-06,0.0014106057862309327,3.2295014352656137,0.5040427631505061,0.6774314361693163,8.212478075608495e-05,0.8869991639110063,4.759607984453444,0.5002004446523026,1.3592898022807698,2.5470578454366584e-10,0.8431757590039894,1.758411360596957e-05,0.0003339042085265066,0.8399520432444076
