param_name,param_value,ctrl_freq,n_trials,n_success,success_rate,mean_vx_mm_s,std_vx_mm_s
rolling_friction,1e-06,10.0,10,10,1.0,63.12174407961059,2.346323849833033
rolling_friction,1e-06,30.0,10,9,0.9,102.59013761443902,6.136038153048354
rolling_friction,1e-06,50.0,10,7,0.7,98.25239957315114,9.23887031438659
rolling_friction,5.623413251903491e-06,10.0,10,10,1.0,61.544596801349385,3.1744177090792407
rolling_friction,5.623413251903491e-06,30.0,10,8,0.8,83.12091378074655,22.829370064965943
rolling_friction,5.623413251903491e-06,50.0,10,8,0.8,94.39777307208192,14.156538595890625
rolling_friction,3.1622776601683795e-05,10.0,10,10,1.0,64.48941977073108,3.1171981509327154
rolling_friction,3.1622776601683795e-05,30.0,10,7,0.7,85.56933212765112,22.57282810175876
rolling_friction,3.1622776601683795e-05,50.0,10,9,0.9,93.06947872484757,18.308188106676077
rolling_friction,0.00017782794100389227,10.0,10,9,0.9,62.30399063666073,3.461877715620375
rolling_friction,0.00017782794100389227,30.0,10,9,0.9,79.97348233999023,23.673178659007505
rolling_friction,0.00017782794100389227,50.0,10,8,0.8,94.0290146550327,19.949290696260604
rolling_friction,0.001,10.0,10,0,0.0,0.0,0.0
rolling_friction,0.001,30.0,10,2,0.2,43.72304788507574,2.0161980372964408
rolling_friction,0.001,50.0,10,0,0.0,0.0,0.0
sliding_friction,0.01,10.0,10,0,0.0,0.0,0.0
sliding_friction,0.01,30.0,10,7,0.7,53.591501590757616,10.537683644138363
sliding_friction,0.01,50.0,10,10,1.0,71.37965666706222,16.36332807795255
sliding_friction,0.03760603093086394,10.0,10,1,0.1,54.929975569444956,0.0
sliding_friction,0.03760603093086394,30.0,10,8,0.8,59.27502493499862,11.706755832615485
sliding_friction,0.03760603093086394,50.0,10,10,1.0,71.05852196570429,11.457831657234676
sliding_friction,0.1414213562373095,10.0,10,1,0.1,49.404110757583595,0.0
sliding_friction,0.1414213562373095,30.0,10,8,0.8,60.20272135849754,8.216782935123613
sliding_friction,0.1414213562373095,50.0,10,10,1.0,82.73742065347919,17.663448162479508
sliding_friction,0.5318295896944989,10.0,10,10,1.0,58.42194285681029,3.9629440359735697
sliding_friction,0.5318295896944989,30.0,10,10,1.0,96.08845906091226,7.4534138249516815
sliding_friction,0.5318295896944989,50.0,10,5,0.5,92.49396689895983,5.368085275920724
sliding_friction,2.0,10.0,10,10,1.0,80.30416382052177,7.368444852767377
sliding_friction,2.0,30.0,10,4,0.4,111.19999590450148,33.124739766999966
sliding_friction,2.0,50.0,10,4,0.4,67.96100193996286,13.839316940970159
torsional_friction,1e-06,10.0,10,10,1.0,63.86415082257795,4.810264574121502
torsional_friction,1e-06,30.0,10,10,1.0,91.41926148817818,20.385590220495022
torsional_friction,1e-06,50.0,10,10,1.0,85.28355475635033,20.458496490705052
torsional_friction,3.1622776601683795e-05,10.0,10,10,1.0,60.515888989511495,6.838220721870611
torsional_friction,3.1622776601683795e-05,30.0,10,10,1.0,92.54035741062114,20.006586603811076
torsional_friction,3.1622776601683795e-05,50.0,10,6,0.6,84.2247908914814,18.924764586297538
torsional_friction,0.001,10.0,10,10,1.0,62.041370718998486,3.103236269036875
torsional_friction,0.001,30.0,10,10,1.0,74.41107043655789,14.575988438510352
torsional_friction,0.001,50.0,10,6,0.6,56.83176454499985,8.665602258072889
torsional_friction,0.03162277660168379,10.0,10,0,0.0,0.0,0.0
torsional_friction,0.03162277660168379,30.0,10,0,0.0,0.0,0.0
torsional_friction,0.03162277660168379,50.0,10,0,0.0,0.0,0.0
torsional_friction,1.0,10.0,10,0,0.0,0.0,0.0
torsional_friction,1.0,30.0,10,0,0.0,0.0,0.0
torsional_friction,1.0,50.0,10,0,0.0,0.0,0.0
