id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f30,velocity_scene1_f50,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,velocity_scene4_f50,velocity_scene_wheel_f10,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f30,cost_scene1_f50,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,cost_scene4_f50,cost_scene_wheel_f10,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
89548739,22.464234648390903,0.9,0.06837020145243665,0.09025371894202168,0.09303509672385642,-0.005762473644624263,2.654577788611168,4.457517329340293,5.092995336730483,10.10937904516237,0.04722527371235646,0.07607723950359292,0.08180809114136056,0.057700850562523144,0.1117700759967235,0.10129023026681841,0.06686635600153165,0.08130061266014157,0.130938321509896,0.0034904577887042688,-0.015015405077952796,0.030157633547086147,0.6447132138899793,1.9797069411741024,1.8513347597262308,0.7131820539163696,1.8930005156976921,0.8141299069274311,2.4783976199866635,1.8004678098163884,4.769485470917985,5.339893574244385,6.896721700402092e-05,0.0028191244281249445,0.005033993091240054,0.0040288656859047605,0.0026087206390305808,0.003605304473668625,0.002101392028535248,0.0030423892134648907,0.003214933604790248,0.011442618324803472,0.0038259763130800866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1937714060761575,6.4891436948421175,150.51706596558367,165.79054121188065,2.063964905199586,14.056993673677656,1.606559114175349,2.1509940671884022,4.741620725949192,67.01288072113316,100.81331841437418,0.11040031011072562,0.0008456500627570931,1.3255452326411214e-06,0.0014639547007595695,2.2080965841268876,0.7478576344439379,0.0685261607731833,1.5097631394244803e-05,0.6827685036648907,5.022380192152198,0.8744081029907393,1.3382078488750637,2.5114396948228495e-10,0.34167279640526976,8.977435483074596e-06,0.0009731766313774989,0.7651291301076861
486d419b,4.680763562017515,0.9,0.11775318683297935,0.19205247506505216,0.2648371817164317,0.27920713494954275,2.1698675024620537,2.0637945960966504,0.21543907844361615,0.10845936237142739,0.08393178150567736,0.13429823910645408,0.13502953988680663,0.13651714393527314,0.17518448350368496,0.26445579775619826,0.12108402331400392,0.28466692168996494,0.38876060014532626,0.15756116502139747,0.40085310487768805,2.043475242286877,0.08634539705690633,0.04004686311827055,2.0533436130345843,0.003022400413156942,0.007428582648909273,0.03211498621665354,0.007043477236204965,0.17628061499075764,0.050302970664202445,0.05815639170722494,0.00010203596879629423,0.0010858863411553218,0.00141668202091907,0.0012591439952267815,0.0022308309233688216,0.0071704000016262716,0.0010030182858187789,0.00960438553552508,0.0044444874094206315,0.0011717148850021754,0.0012193786505672033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924335779031362,2.7272792853909187,18.66674319130807,4.160973205946023,1.6060505076542557,3.8321562726282137,1.5921529293399737,1.0238410812348133,9.288519882287503,0.28130823679390754,0.9830095733701659,0.917737097259789,0.0005773257100808206,1.1019747662571754e-06,0.000999445362321938,1.9932866875946214,0.7513599415201224,0.4595338670838293,3.5660138548987467e-06,0.757040598368159,4.362475474034543,0.7896998645216544,1.0685797849535694,5.490624339981623e-10,0.7104931012430711,3.7645742411488376e-06,3.5443424549730996e-05,0.8655725157186216
f3fb52c1,15.533197946124744,0.9,0.05585989482389514,0.11061317211285582,0.15762601207732369,0.03080037665373145,3.948874958170554,2.323534255478404,1.761369880711655,7.4244571720523425,0.018854368930650386,0.0675133236139605,0.08121199192707454,0.044997109880573524,0.11241811539158356,0.17442429106641041,0.07301486044474188,0.17382464631549913,0.22603852947173003,0.03062375743848288,0.030976995868980013,1.995546822254169,0.9298262359459858,1.023501899970399,1.0541825072802509,0.6996403397149584,0.5697114084831947,0.6078315390255896,0.6742918981288475,0.4792464435572177,3.0901397564014377,4.334317415650905,0.0004956742812968588,0.002308004480960547,0.00464946490536786,0.00043313423256421165,0.0007159717482849455,0.002317654943444871,0.0011027673361227554,0.002444661417862833,0.0016475172265782406,0.0012514807703061061,0.00025295825636529077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0625864516384087,1.2264016169405905,10.77460789598451,0.25209706424867534,3.434231933270194,1.4663299206591838,0.37469564264874616,3.7480065002356517,4.648968787255702,6.300853818434391,0.31239649563751054,0.1718152120135526,0.0009362045352237015,1.0464930203026408e-06,0.002128694581877545,1.603125944942091,0.7332148251841507,0.6035502465684129,7.787734457894923e-06,0.7152238912553289,5.077168374691163,0.5025209665932574,1.4976776357090944,2.3113220411101292e-10,1.1253505717980268,2.721289728608415e-06,0.00032542653887223516,0.8941727282003968
bfded347,1.8093484207000545,0.9,0.11126006427242245,0.19812471190874245,0.27395279203830025,0.2753442542111459,0.38206365718314794,0.7498112897868748,0.4088239876610843,0.22326238626551098,0.06501768969882554,0.11426352410980097,0.15449897900864082,0.11112759774562786,0.17079654715090575,0.31244999082969366,0.10296629205066322,0.31924694346351273,0.39964514060072476,0.165511863121252,0.3851766453010398,0.36416923374064625,0.009142715617629613,0.008751707824872059,0.5633715552798567,0.012020330464589436,0.17441940404242873,0.03319450218480398,0.13215223034237647,0.24347725513390384,0.12141231632574413,0.10185006993976684,0.0004028157322784575,0.0003270805061019239,0.0009957680768134846,0.0010687740658077496,0.0011832140374817743,0.006205166642297061,0.0004481605021294711,0.002740868272096214,0.0060036512588161435,0.0020355859376238795,0.0010719002981200755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4551939072940636,1.458114674338133,4.516490184452742,1.9356119354865526,3.563878764252044,3.9251566265895352,4.029824258174115,5.517337609613537,8.424986531126482,1.1849208251302734,1.2863078958626732,0.7471931025808787,0.0009547047466761746,1.378906324110742e-06,0.0018382321067527251,2.2692623605726783,0.9363391399896558,0.7238619517092463,1.3881967717390433e-05,0.6070382232114804,4.907480189895695,0.7189329388339956,1.136199564299715,3.988855134947891e-10,0.34736026268741305,1.9369712317210772e-06,0.00012887423118414324,0.9823484281690618
1946d0a7,2.3569389146729476,0.9,0.08498710891236222,0.15043523930138283,0.25604003543701576,0.297919794544461,0.7545439090641676,0.41138545861227555,0.8741773074753326,0.2381658141139916,0.057119259700363474,0.09472761963703434,0.10311444739968882,0.0920936317282852,0.1594988336953028,0.19971325248056054,0.09324851875604515,0.23261923734312734,0.4422523502118748,0.17326947722174302,0.42257011186717897,0.0668296941436451,0.20394844828180314,0.4837657666387193,0.05713314215937305,0.06263347292126743,0.2916188435316351,0.1414001362693342,0.11735388173598876,0.6154232894700097,0.22046569382020953,0.01770012029378207,0.00037634181545564185,0.0014044496752032838,0.0009236942523269465,0.00041271278537185504,0.00024948590252824596,0.0013748228915347856,0.00028679946178577,0.0020473760886792866,0.004808804889050208,0.0007222296529468536,0.0005109131225425587,0.0,0.0,0.019584604641203415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7185166314255466,1.608043279163847,4.7097188973620865,1.072193384507478,1.2774077037095046,3.3875454427836322,1.4112111176310251,2.5081335265503126,10.383305294736788,0.3794602801909867,0.591743491435386,0.4675698218094304,0.000746165711906426,1.154009422253512e-06,0.0011156569727180147,1.9995736211752035,0.645384056558918,0.9806811025707534,3.3830725690893824e-05,0.9756696226296333,4.7787339742199,0.5037245467225315,1.4622246951959914,1.3718668920539576e-09,0.16189773999942314,1.2429880736833813e-05,0.0005214834227622803,0.9930511428516291
f6c8861a,2.074393948656852,0.9,0.10206500405067549,0.16819770415547475,0.23414790552739137,0.2322002260419243,0.4458445511042429,1.0311486956570504,0.0924464568686087,0.4350446521375482,0.06429720255963008,0.11558101934488584,0.1263167902475106,0.11796449944776193,0.1586169686037912,0.22801164441487112,0.1152279408062741,0.2607322932607506,0.32648348251514936,0.1470702761551656,0.317330175928683,0.3272037141657137,0.008772568503577698,0.10986826843495152,0.8729619736382808,0.068320387399427,0.08986633461934267,0.003893048880524996,0.08631076433184447,0.002242643656239239,0.0036634263820239316,0.4313812257555243,0.000465868483210004,0.003946835186741999,0.0009317567180731985,7.273981554558932e-05,0.002680363772828477,0.0033167623920422815,0.001056327151973844,0.0018048901778821378,0.009475774623250083,0.0014909275963704378,0.0005032106212824659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5261734377310927,0.7612116493629384,6.0199241895624995,0.5643503002494696,3.8661862306347032,3.740999969121003,1.0841734276129527,5.7257279863189385,12.457825799396844,0.6581750607364008,0.46140079618231516,0.5197793149401414,0.00042907861589365113,1.0910399911507114e-06,0.0006117534625445233,6.85454391689192,0.45731594430611305,0.5242934145771191,4.924029369453469e-05,0.5729650461967559,4.862011603148536,0.5529920254618119,1.499546648810171,1.908001712035438e-10,0.8882678635955251,1.1515300361325712e-05,5.723982008702695e-05,0.7417891915609629
bf118c5d,14.626568160672917,0.9,0.0672445844044669,0.2174635694129329,0.2485288886953527,0.11093899233611723,9.355462729440056,1.3899967985166188,0.1963352962600171,3.246393222853549,-0.01719873208123299,0.08614496145711507,0.1327875238375186,0.07736332147821065,0.17479573243129354,0.4002316543292945,0.09408743266475976,0.2969964070789077,0.3545028263423907,0.13326297775131354,0.08861500692092093,8.923661911867857,0.37624784801438677,0.05555296955781182,0.024612037684835702,0.012985925964011786,1.3523988348677713,0.12909594625293147,0.032953661763928915,0.03428568824315673,0.02417806956888692,3.2222151532846617,0.008228867635080638,0.005411281270261629,0.010954741768834646,0.0010248240640055879,0.006394026537295389,0.004234491577959737,0.0003925050580052938,0.005878038336482581,0.013903626389645256,0.004542266895238678,0.0007054466657339937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2807489165833164,16.869020574256012,3.9252767458980555,5.390284853560156,1.9664614772259594,6.533615438905065,3.419073286679431,6.9990797235387605,14.11652571983167,2.1229064822866803,3.6398979803404785,0.5749681686853132,0.0008751487949323465,1.0188252563104016e-06,0.0035114247796449063,1.4985306090162676,0.8429731890002732,0.3272040751295054,1.0856387681786014e-05,0.9256431240481092,4.516858228195973,0.7199044036129507,1.1020628977302311,2.3446351103550745e-10,0.7568185554703328,3.2808383657228458e-06,0.0005872960993130599,0.8943202810564614
22798338,5.48439949256305,0.9,0.08196056430247095,0.10917024468892898,0.21879819360268674,0.25409986331110074,2.8661322284569937,1.8523339153814877,0.4714660234403088,0.2522483268736685,0.04467228422756598,0.08660218929856249,0.11460721938128438,0.06397637115031755,0.11984737288529275,0.14368699003117663,0.0813399230499439,0.23837837224786707,0.3366762855102493,0.15398005082576546,0.354219675796436,0.08127424796889059,0.667616063915668,2.117241916572435,0.2669284110631998,0.5535250345707969,1.031880469747491,0.37647383584078575,0.08741583764619378,0.007576349953329271,0.02833546756919729,0.22391285930447122,2.5442102507607408e-05,0.0033866851390559677,0.004322424337115176,0.0003388504716320727,0.0018171270425636392,0.0014241552819017254,0.00025814355562834955,0.001004406817945379,0.005121748001337803,0.00025132271810220894,0.00024048068386730434,0.0,0.0,0.1138281274332813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905050155398939,1.582511117490836,178.77625079138886,1.5213307050400986,1.0414141117742695,2.003559349378621,0.9713618617251027,3.3411533198308976,4.91876237826288,1.2320923916164497,1.639607766411249,0.33961526906196926,0.0013900052067973327,1.0163885351228043e-06,0.0007591545118956942,2.9643860963633406,0.8190698248181386,0.3573557916426459,2.5307994838431574e-05,0.40248019458498707,5.4690827306581475,0.5944098307232888,1.3951753391296995,9.478736724884703e-10,0.8140585143427055,5.527403784680104e-06,4.3641811680950674e-05,0.883690535223131
06414296,12.187196473448328,0.9,0.04885307849519882,0.16847432331863008,0.22949249377645228,0.130717864253945,8.815670487734332,0.07836211906878376,0.2037397440409188,2.8150655034758296,-0.009872204480641706,0.07201245977145271,0.08441898019478544,0.07643894749208675,0.16310662281948193,0.2658773996443215,0.09298351807197758,0.24982767111093107,0.3456662921464481,0.14858592353424616,0.1128498049736438,7.114256470920118,0.773519331603821,0.9278946852103931,0.033022547882507004,0.04216843461288358,0.0031711365733931816,0.14540345838818472,0.042707928578550824,0.015628357074183242,0.01130096351094454,2.803764539964885,0.0009919452713950563,0.0007822309589960609,0.010054106871470606,0.0009440534690154091,0.000461296954631601,0.004375881326220299,0.0009116889793299236,0.01853215898659195,0.0035954276695745525,0.001925973093215146,0.0008715788717069416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232037944281359,12.067959796730836,13.552736211030592,3.5356334634101296,3.2138393126817038,4.647377830291734,1.0883197062507333,14.640278310817754,2.940160731804797,1.1192823284403133,9.715151737521541,0.5246894295761446,0.00011728935311977003,1.0516366539938804e-06,0.0022723554548562657,1.3696532431107642,0.5737261231410795,0.44191762854432853,1.975811276070977e-05,0.2950574099329608,5.317406050892185,0.739108580493538,1.3034888107090938,2.2177144615164678e-10,0.9674739355090857,5.329152099091837e-06,0.00011060978515782715,0.7620598721501164
9568c71a,2.290829369886192,0.9,0.11698123104878562,0.17898559162362349,0.24028104197550623,0.26526214265034204,0.47935485660312416,1.0071326043655855,0.11106954560186683,0.625781260117136,0.0662284939558688,0.12285357396613104,0.16186162522435707,0.11986956205860644,0.17500920981739057,0.24207800299487345,0.12662681238494125,0.2565702454677201,0.3376460680738574,0.1822988123832364,0.34822547291744765,0.430788814580473,0.0061245337870211745,0.042441508235630004,0.9712584265441804,0.0032750286163013005,0.03259914920510389,0.08400300952320881,0.02178831900198398,0.0052782170766740265,0.37274497947358853,0.25303628064354744,0.000822967518420103,0.0037750055146248593,0.011015819360041777,6.863544498823423e-05,0.0017327496325303185,0.004843493571613282,0.0019706961351275256,0.002332828897258226,0.004479803384064362,0.00034718691207403254,0.0003986577542074533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6053199339867334,4.218137082603728,2.5551353715381766,0.6324720277761017,0.5782858073362688,5.011035097259585,1.6848288413354722,7.243627996044474,4.534202052733317,0.7549269867947436,0.7115177847408598,0.4487102779876296,0.00039562721558537725,1.1638299211464664e-06,0.0008017622766466325,6.531839291006152,0.1889661893620307,0.5949924011515776,4.05116077252715e-05,0.665823078865034,4.996464690663257,0.6132479445652292,1.4568644765710863,4.64641768885328e-10,0.6985787976031765,6.9415505825006476e-06,0.0014041157856894634,0.6714656445285148
