timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f20,vel_scene1_f30,vel_scene2_f10,vel_scene2_f20,vel_scene2_f30,vel_scene4_f10,vel_scene4_f20,vel_scene4_f30,vel_scene_wheel_f10,vel_scene_wheel_f20,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,progress_scene1_f10,progress_scene1_f20,progress_scene1_f30,progress_scene2_f10,progress_scene2_f20,progress_scene2_f30,progress_scene4_f10,progress_scene4_f20,progress_scene4_f30,progress_scene_wheel_f10,progress_scene_wheel_f20,progress_scene_wheel_f30,best_trial_scene1_f10,best_trial_scene1_f20,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f20,best_trial_scene2_f30,best_trial_scene4_f10,best_trial_scene4_f20,best_trial_scene4_f30,best_trial_scene_wheel_f10,best_trial_scene_wheel_f20,best_trial_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-28T23:02:03,1.7,16,03e41c89,5.164444,0.0184,0.0554,0.0399,0.0406,0.0690,0.1232,0.0669,0.0931,0.1356,0.0019,0.0023,0.0669,0.000804,0.001113,0.000444,0.000017,0.001912,0.001225,0.001660,0.000594,0.001326,0.000099,0.000333,0.000702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6,3.2,17.9,0.5,2.0,0.1,4.7,13.1,23.0,0.8,2.5,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,2.0000,2.0000,0.0000,2.0000,1.0000,2.0000,0.0000,0.3917629527813426,0.0009284348351105143,2.54567079496109e-05,0.0020298216179917175,6.577219161696979,0.10031578168407229,0.5187919274519168,0.0007280423045268876,0.23138182199895777,4.024822172103407,0.6086152734201113,0.8503160316773598,2.8531522658786436e-10,30.59063234140142,3.0329836504373636e-05,4.380493563177579e-05,0.5670128122095184
2026-02-28T23:22:42,22.3,224,778f72ac,5.071903,0.0119,0.0413,0.0299,0.0417,0.0814,0.1080,0.0944,0.0863,0.1349,-0.0000,0.0017,0.0588,0.000900,0.001615,0.000033,0.001084,0.000576,0.000487,0.000220,0.000804,0.000825,0.000606,0.001114,0.001038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.2,2.3,6.2,0.1,2.0,4.6,0.2,2.1,15.2,0.1,2.6,1.5,0.1684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,2.0000,0.35442224415874646,0.0025942937691155092,2.799278708641439e-06,0.006374553398281589,3.5738004669216097,0.4921934051800888,0.22547951358855856,0.0004027178376322368,0.6649823210300575,3.5217912012167236,0.5144737476269178,1.1225411811536494,6.656442780960132e-10,30.85844848863043,4.571993494929559e-06,0.0006035662084336756,0.6066708412257857
2026-02-28T23:28:28,28.1,288,5dd3df63,3.627320,0.0217,0.0418,0.0359,0.0367,0.0570,0.1247,0.0405,0.0875,0.0919,0.0048,0.0008,0.0647,0.000815,0.004667,0.000411,0.001518,0.000312,0.000129,0.001430,0.000755,0.004878,0.000042,0.000046,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.9,2.1,2.9,0.8,1.0,2.9,2.1,15.5,13.6,0.1,0.1,1.4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.33731859978558376,0.001872604234709637,1.0912805329809856e-06,0.0038718503060314892,3.1327856142661608,0.42668178140889657,0.09002391526022985,0.0006139176969735277,0.5598978042660164,4.036644305456821,0.5269888464944504,0.8735387596944127,5.018335044888442e-10,31.213650489949714,6.60331274637498e-06,7.1963559310896065e-06,0.47828512974496196
2026-02-28T23:31:28,31.1,320,10c8b617,1.078397,0.0140,0.0491,0.0238,0.0383,0.0998,0.1036,0.0819,0.1124,0.0874,0.0009,0.0047,0.0770,0.000384,0.000442,0.007621,0.000232,0.000079,0.000882,0.000368,0.001017,0.001943,0.000107,0.000198,0.000067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.8,0.3,1.4,0.8,0.7,7.2,0.1,0.1,5.2,0.4,0.0,0.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,2.0000,2.0000,0.0000,0.3856849724676839,0.010508371731168434,3.469807806609825e-06,0.004920125282285647,1.8191913965531867,0.5883623388580277,0.052890918389625494,0.0005003282754104336,0.421417394662052,3.503562893260791,0.6067083787177427,0.9355528989932002,7.368720129323147e-10,31.151114627803608,2.4753103775661982e-05,0.00011126559506991183,0.6101289437077451
2026-03-01T00:55:10,114.8,1232,8ff6f6e7,0.957752,0.0208,0.0449,0.0360,0.0447,0.0809,0.1016,0.0682,0.1036,0.0825,0.0008,0.0037,0.0921,0.000357,0.002031,0.003868,0.000159,0.000996,0.001490,0.000971,0.003008,0.005537,0.000081,0.000836,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,0.8,0.8,1.5,10.0,3.8,1.8,15.7,4.7,0.1,1.9,0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,0.0000,1.0000,1.0000,0.0000,2.0000,2.0000,1.0000,1.0000,0.0000,0.38326971883172645,0.0013180488257263272,1.6042660825678952e-06,0.003998452084555871,2.868082425603111,0.6517314303929229,0.3124525718942886,9.976365842567111e-05,0.019902072320205674,3.9477994776337813,0.6164594706702552,0.7384316590616428,9.152852862723028e-10,30.927107267738975,1.2386571997787902e-05,0.00011425151447334342,0.7605175954194098
2026-03-01T01:24:55,144.5,1552,33039227,0.456944,0.0172,0.0432,0.0295,0.0381,0.0866,0.0941,0.0635,0.1056,0.0837,0.0003,0.0008,0.1023,0.000435,0.000875,0.000394,0.001303,0.000031,0.001430,0.000511,0.004868,0.000047,0.000105,0.000057,0.000343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0,3.0,0.9,10.8,0.1,1.4,14.1,0.4,9.8,0.4,0.0,1.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,2.0000,1.0000,1.0000,1.0000,2.0000,1.0000,0.0000,2.0000,1.0000,0.37210103314377124,0.0013475874388420856,1.3834183826091562e-06,0.0027087202136519065,2.8166405794213647,0.6412446010165705,0.24113139886359508,0.00014401650993612022,0.11576389287003436,3.8428085414675976,0.6194032603497331,0.7361204451464392,7.08272174954068e-10,30.97802630591761,1.4374848146604366e-05,9.267555231493319e-05,0.7277276790834257
2026-03-01T03:12:22,252.0,2720,3a955b39,0.381572,0.0171,0.0492,0.0254,0.0409,0.0761,0.1075,0.0772,0.0968,0.0804,0.0008,0.0047,0.0775,0.001688,0.000014,0.000240,0.000298,0.000028,0.002319,0.000551,0.000828,0.001268,0.000182,0.000591,0.001240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.4,0.4,6.5,0.7,0.0,0.5,0.9,17.5,9.0,0.2,0.4,13.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,2.0000,2.0000,1.0000,2.0000,2.0000,2.0000,2.0000,0.0000,2.0000,0.0000,0.36550693175099264,0.0007439921896970747,1.3314734063327221e-06,0.0035351334683929145,2.545764874895006,0.8118353461275428,0.29992007226608347,0.0001627682538760061,0.011163785299910264,4.201285153815749,0.5176603310604376,0.8859641886470087,7.587813179977304e-10,30.998030298090246,9.626614429795441e-06,0.00012140658044613591,0.8682397107076661
2026-03-01T03:16:52,256.5,2768,0cd7604a,0.209741,0.0178,0.0472,0.0287,0.0387,0.0903,0.0994,0.0719,0.0933,0.0697,0.0008,0.0027,0.0989,0.000816,0.002008,0.003096,0.000855,0.000830,0.000318,0.001987,0.003502,0.003862,0.000079,0.000057,0.000228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.1,2.5,1.8,0.4,0.0,1.6,1.8,2.0,16.7,0.0,1.8,0.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,2.0000,1.0000,2.0000,2.0000,2.0000,2.0000,1.0000,0.3538269717845615,0.0009439832605563792,1.184370293745579e-06,0.0035215513779414584,2.486068832292304,0.8004532134237461,0.2718945869584323,0.00015424821759198933,0.016477790836206513,4.172454417932378,0.5070010130351282,0.9001444100244883,7.348690979075259e-10,31.07393795572804,9.628751016495114e-06,0.00015470371843077625,0.8546817150800833
