id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,cost_scene1_f10,lateral_scene1_f10,tumble_scene1_f10,yaw_scene1_f10,progress_scene1_f10,best_trial_scene1_f10,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
20c3be9d,1000000.0,0.6,0.0,0.0,0.0,0.0,1000000.0,0,0,0,0.0,1000000.0,0.0,0.0,0.0,1.0,0,0.041234127288598224,0.013486762809544832,1.915144707147112e-05,0.003083524734121559,1.1800771193079116,0.20375770077179506,0.1710578554359613,0.00010291554174231395,0.8148767637551314,4.5560992625269865,0.5274132129694954,1.0575473788565029,6.265928165223029e-10,30.69399417282461,0.0008163816193944054,0.0004448462242599032,0.3399440950996272
238f8713,8.97765047908175,0.6,0.0465654809269187,0.0,0.0,0.0,8.97765047908175,0,0,0,0.0465654809269187,8.97765047908175,4.7721220037550544e-05,0.0,1.8224773232009712,0.0,0,1.4065984374430807,0.00713879221343475,0.00019763584032341796,0.0016321740449130636,1.0624259218499421,0.20764130949219264,0.5968138193083906,9.288337301855758e-06,0.8957488006058295,3.4562580656642283,1.2249374528909975,0.6682157530161417,2.3575102565399655e-09,31.308694680887612,0.00019544178170456412,1.72304943153612e-05,0.6804722444544213
47312dd8,1000000.0,0.6,0.0,0.0,0.0,0.0,1000000.0,0,0,0,0.0,1000000.0,0.0,0.0,0.0,1.0,0,0.08618049924767474,0.01597868903800854,0.00015046221690245503,0.005754712481016408,3.5414068940508208,0.18752070598652334,0.7536287144403104,3.414429572236018e-05,0.8502161911902124,4.647412900091927,0.872453340341376,0.8237810814897975,5.348024352763372e-10,32.00012379847921,0.0001137930156093598,6.296710472162915e-05,0.7997530689718267
370fbf45,2.214570835566014,0.6,0.03314380758265153,0.0,0.0,0.0,2.214570835566014,0,0,0,0.03314380758265153,2.214570835566014,2.016364267359562e-05,0.0,0.3512368673383437,0.0,2,0.9985299034580304,0.016508402420365983,0.0004008022969506036,0.004506457548593197,1.216453142918328,0.41275948235414095,0.8846323370304884,8.947835365723498e-05,0.7324169643377278,4.364599258766148,0.5487083663508775,1.2819933129230754,1.3840904734195853e-09,30.70347328329485,6.453483622814514e-05,1.5571984416096647e-06,0.9321629706444879
fd8050d3,1.9575626653373206,0.6,0.0096269760270135,0.0,0.0,0.0,1.9575626653373206,0,0,0,0.0096269760270135,1.9575626653373206,2.1107750786599313e-05,0.11327090273394508,0.055971422546062244,0.2559062561353865,1,0.4571412798682748,0.010947511021941744,0.00023785325430400112,0.001960585767556706,1.0651536475443582,0.0901276643335966,0.8981430080512584,0.0003948981727683171,0.9344405689089798,4.150022232639824,0.8778295922651105,0.6761751597287113,8.257675640787847e-09,30.39436907881487,0.0009998795482288182,0.00016209390414911065,0.9072333265308393
3d7a3854,0.003624015587491378,0.6,0.01936424886162953,0.0,0.0,0.0,0.003624015587491378,0,0,0,0.01936424886162953,0.003624015587491378,1.9307051025832305e-06,0.0,0.3225127923481608,0.0,0,0.5453449623945159,0.004353294308048063,0.00018883906779300978,0.0007202148953423294,4.154572403205594,0.025092708959494447,0.6673284488616068,0.0007381885857315426,0.6953159880132525,4.288818280854216,0.7330729461375973,0.7814965520560528,3.5885982183765e-10,31.604985951475037,0.0009905590744889868,6.445002084814537e-06,0.67560934642854
0d7a7b19,0.21393795939409793,0.6,0.024016347192815965,0.0,0.0,0.0,0.21393795939409793,0,0,0,0.024016347192815965,0.21393795939409793,2.4650656604768064e-05,0.0,0.5896859160685977,0.0,2,0.6452271821262812,0.014279940870024214,5.709819866505697e-05,0.013252779985733414,1.0500735311929996,0.3092286343836076,0.45272408088827276,5.939845843382014e-05,0.9822643286286049,3.713562655933279,0.54764885273215,0.6310135732223169,5.499004363900319e-10,31.38590377126638,0.00015540525280430983,0.00019965101260285614,0.6219121935781371
8aebac5c,7.015541310896333,0.6,-3.090275022763399e-05,0.0,0.0,0.0,7.015541310896333,0,0,0,-3.090275022763399e-05,7.015541310896333,0.00048286437131777953,0.0,0.029964151111698235,1.0,2,0.26829855363961913,0.030875733880887345,0.00011866955184432767,0.0010320918170049526,1.6369608086254315,0.28272287359072196,0.4855553343885849,0.0002434421808418211,0.5096815682878306,5.300603493370235,0.687054600609502,0.9942523432667075,5.624679256724336e-09,31.481303702720336,0.0003707031604261839,1.223744631017256e-05,0.6309520530202234
9b30db8b,0.013306759307797318,0.6,0.02092660419140061,0.0,0.0,0.0,0.013306759307797318,0,0,0,0.02092660419140061,0.013306759307797318,0.0002702586861308019,0.0,0.13462478032221736,0.0,0,0.5539580060011629,0.0005012113483914889,0.00015520642749075145,0.006416454970888153,1.1442987825421758,0.018801482228342364,0.5776320525602103,0.00016114198185813243,0.3927130159170976,5.047809027093631,0.5290956605948556,1.0961227618782199,4.927998569661992e-10,31.73699607133097,0.0003488091177102282,0.00042524707783631044,0.5855154328125649
32804ab9,0.06378108341185085,0.6,0.017652426230642834,0.0,0.0,0.0,0.06378108341185085,0,0,0,0.017652426230642834,0.06378108341185085,0.00013851870793324937,0.0,0.8953769252214326,0.0,2,0.42682483467159876,0.0038024791651769907,2.8332658311844594e-05,0.0011304310289899624,3.9378261833032293,0.317981129279715,0.7443103463741291,0.00053325147549929,0.4687206475354935,4.512906760045418,1.028885890757571,0.6680617011831638,1.7849023142300059e-09,31.288837508154455,0.0005418991341943504,0.0007489599084855476,0.8255404001445853
