timestamp,elapsed_min,n_eval,id,cost,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-17T23:06:01,0.1,8,77b1a785,12.731376,-0.0005,-0.0002,-0.0008,0.001454,0.001128,0.000925,0.000000,0.000000,0.000000,84.3,113.8,56.7,2.19,2.04,2.72,0.00066412795,0.0042053256,0.0081981157,0.0089204518,0.28754272,0.49497346,0.36959099,0.0001859396,0.49481579,5.0956525,0.85650499,1.0268088,1.1149834e-11,0.68158976
2026-02-17T23:06:09,0.3,16,53d36079,12.440393,-0.0007,0.0025,0.0002,0.002065,0.005025,0.002762,0.000000,0.000000,0.000000,105.8,27.1,21.2,2.29,2.37,2.43,0.0031601981,0.0040556882,0.01590338,0.0086158956,1.333344,0.20627116,0.41725659,0.00029769468,0.97320057,5.2367976,0.89412205,0.82502138,9.6865676e-12,0.53741802
2026-02-17T23:06:16,0.4,24,57836332,12.404785,0.0004,0.0023,0.0014,0.002312,0.005624,0.003394,0.000000,0.000000,0.000000,46.3,65.3,97.9,2.67,2.67,2.70,0.0030410497,0.0033530198,0.025372109,0.0075193476,1.3585684,0.75283713,0.28926874,1.922288e-05,0.95735827,5.0679672,0.8100184,0.9814469,3.033766e-12,0.8243047
2026-02-17T23:06:24,0.5,32,46a070eb,12.124491,0.0003,0.0019,0.0019,0.001683,0.005212,0.005279,0.000000,0.000000,0.000000,66.6,70.6,78.4,2.29,2.33,2.18,0.0028996994,0.00028633256,0.016643412,0.0095069524,2.4437943,0.38112995,0.054023081,3.3937345e-05,0.76414052,5.2485312,0.80400043,0.85057298,1.6849505e-11,0.41455781
2026-02-17T23:06:42,0.8,48,6a29de5a,11.648089,0.0072,0.0007,0.0054,0.005957,0.008892,0.001486,0.000000,0.000000,0.000000,75.4,37.7,62.6,2.61,2.45,2.37,0.0060463223,0.0004703949,0.0099037641,0.0086221565,0.9965007,0.13262233,0.51789396,6.2847142e-05,0.46699801,5.0399838,0.82405827,0.91953525,6.2106654e-12,0.58178019
2026-02-17T23:06:50,1.0,56,eae4d023,10.040742,0.0143,0.0224,0.0299,0.036285,0.013650,0.007532,0.000000,0.000000,0.000000,87.1,55.7,58.8,2.51,2.93,2.31,0.026033305,0.0019543076,0.026845498,0.0055825329,2.1672499,0.83967135,0.35740258,0.00020304244,0.72182188,4.8427856,0.82713634,0.86361049,1.2229903e-11,0.89693748
2026-02-17T23:07:34,1.7,96,0dd4d809,0.012819,0.1106,0.2601,0.3589,0.003647,0.005155,0.029396,0.000000,0.000000,0.000000,4.3,10.0,16.5,0.99,1.83,2.50,0.78097835,0.0013891301,0.047747034,0.0024802235,1.2792949,0.59767845,0.25617341,0.001232473,0.51494529,4.6821949,0.80416536,0.80448241,8.627551e-11,0.70071692
2026-02-17T23:10:48,4.9,272,7c6c24d2,0.007388,0.1176,0.2786,0.3133,0.002106,0.014701,0.026009,0.000000,0.000000,0.000000,11.6,1.6,26.7,1.64,2.59,3.46,0.62096552,0.00096666273,0.0087998047,7.6812501e-05,3.3556287,0.68222251,0.98933028,0.0049019942,0.20941124,4.0481304,1.0054721,1.0183197,9.7177783e-10,0.99651047
2026-02-17T23:11:05,5.2,288,3ed04628,0.004406,0.1178,0.2782,0.3253,0.004019,0.002253,0.025216,0.000000,0.000000,0.000000,5.2,13.7,33.5,1.21,2.45,3.49,0.68495438,0.001172719,0.0048387595,7.3406228e-05,2.6662523,0.99702663,0.35746777,0.001109932,0.21398716,4.5971697,0.91530121,1.0752207,6.7534317e-10,0.99805377
2026-02-17T23:13:50,8.0,440,f4e33d2e,0.002913,0.1132,0.2754,0.3252,0.002968,0.012257,0.020146,0.000000,0.000000,0.000000,2.2,7.0,6.3,1.31,2.55,3.35,0.57851194,0.00011068331,0.045652233,0.00021412392,9.7843805,0.94453648,0.63846984,0.0073167052,0.4202029,4.0358609,0.80606165,1.1171375,1.0234038e-09,0.97988442
2026-02-17T23:14:42,8.8,488,6582b8ed,0.001766,0.1177,0.2710,0.3313,0.001603,0.006380,0.006415,0.000000,0.000000,0.000000,4.7,12.2,11.7,1.43,2.79,3.68,0.61905758,0.00035875292,0.030556307,0.00017473314,5.8940197,0.84360995,0.37789114,0.013767816,0.55100886,3.8984243,0.82287416,1.1543799,9.3397901e-10,0.90267058
2026-02-17T23:14:51,9.0,496,5391784c,0.001098,0.1056,0.2686,0.3161,0.000902,0.005564,0.009017,0.000000,0.000000,0.000000,2.2,2.7,12.0,1.52,2.84,3.66,0.5085543,0.00035574117,0.026575543,0.00032844876,5.7191911,0.93886502,0.41623433,0.0048321212,0.40336208,4.0457669,0.82981593,1.1699503,1.1163335e-09,0.96426987
2026-02-17T23:15:26,9.6,528,aa4370a7,0.000797,0.1153,0.2826,0.3234,0.001175,0.002740,0.000934,0.000000,0.000000,0.000000,3.0,13.5,1.9,1.50,2.58,4.69,0.64394451,0.0002507973,0.026019428,0.00029740618,4.7436119,0.84669152,0.38715599,0.0086613426,0.3907488,4.0194028,0.88810752,1.1948829,1.1591971e-09,0.9060071
2026-02-17T23:17:10,11.3,624,ba1dcfae,0.000632,0.1107,0.2790,0.3297,0.002808,0.005341,0.004640,0.000000,0.000000,0.000000,2.1,3.8,13.4,1.27,2.61,3.49,0.61706799,0.00023015906,0.043845119,0.00049500972,3.5275731,0.95069592,0.20172871,0.0091402518,0.15241593,3.8995263,0.80804541,1.1956849,1.224033e-09,0.9606218
2026-02-17T23:19:46,13.9,768,fecc0260,0.000626,0.1133,0.2730,0.3349,0.003584,0.007214,0.001810,0.000000,0.000000,0.000000,1.1,6.1,9.3,1.19,2.70,3.76,0.62781626,0.00026420278,0.090163631,0.00032624548,6.4355152,0.87677982,0.21661665,0.0043898971,0.10985568,4.167731,0.80468275,1.1899689,1.2606111e-09,0.9034497
2026-02-17T23:20:12,14.3,792,6b00930f,0.000453,0.1089,0.2584,0.3119,0.002883,0.003944,0.001907,0.000000,0.000000,0.000000,1.9,14.8,35.9,1.18,3.15,3.61,0.61545244,0.00028306636,0.087311067,0.00037381967,5.9944763,0.8877443,0.24089394,0.0041534584,0.11378585,4.2305298,0.80040943,1.1993118,1.4228549e-09,0.91476193
