,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
3.200000E-02,3.503608E-03,3.290985E-03,-4.009040E-05,6.005939E-06,-3.333609E-03,3.290985E-03,-4.281087E-05,6.005768E-06,0.000000E+00,0.000000E+00,1.576461E-08
3.300000E-02,3.503568E-03,3.290989E-03,-4.026831E-05,4.461366E-06,-3.333652E-03,3.290989E-03,-4.299714E-05,4.461980E-06,0.000000E+00,0.000000E+00,2.090658E-08
3.400000E-02,3.503527E-03,3.290995E-03,-4.036687E-05,5.615642E-06,-3.333695E-03,3.290995E-03,-4.310404E-05,5.615507E-06,0.000000E+00,0.000000E+00,1.977327E-08
3.500000E-02,3.503487E-03,3.290999E-03,-4.054884E-05,4.084312E-06,-3.333739E-03,3.290999E-03,-4.329435E-05,4.084959E-06,0.000000E+00,0.000000E+00,2.519727E-08
3.600000E-02,3.503446E-03,3.291004E-03,-4.064298E-05,5.253693E-06,-3.333782E-03,3.291004E-03,-4.339682E-05,5.253597E-06,0.000000E+00,0.000000E+00,2.438901E-08
3.700000E-02,3.503405E-03,3.291008E-03,-4.082915E-05,3.734604E-06,-3.333826E-03,3.291008E-03,-4.359131E-05,3.735288E-06,0.000000E+00,0.000000E+00,3.011999E-08
3.800000E-02,3.503364E-03,3.291013E-03,-4.091892E-05,4.917954E-06,-3.333869E-03,3.291013E-03,-4.368940E-05,4.917900E-06,0.000000E+00,0.000000E+00,2.966328E-08
3.900000E-02,3.503323E-03,3.291016E-03,-4.110943E-05,3.410184E-06,-3.333913E-03,3.291016E-03,-4.388822E-05,3.410908E-06,0.000000E+00,0.000000E+00,3.572745E-08
4.000000E-02,3.503282E-03,3.291021E-03,-4.119487E-05,4.606454E-06,-3.333957E-03,3.291021E-03,-4.398197E-05,4.606444E-06,0.000000E+00,0.000000E+00,3.564958E-08
4.100000E-02,3.503241E-03,3.291024E-03,-4.138985E-05,3.109151E-06,-3.334001E-03,3.291024E-03,-4.418525E-05,3.109917E-06,0.000000E+00,0.000000E+00,4.207391E-08
4.200000E-02,3.503199E-03,3.291028E-03,-4.147099E-05,4.317372E-06,-3.334046E-03,3.291028E-03,-4.427470E-05,4.317412E-06,0.000000E+00,0.000000E+00,4.240329E-08
4.300000E-02,3.503157E-03,3.291031E-03,-4.167056E-05,2.829752E-06,-3.334090E-03,3.291031E-03,-4.448258E-05,2.830565E-06,0.000000E+00,0.000000E+00,4.921574E-08
4.400000E-02,3.503116E-03,3.291035E-03,-4.174745E-05,4.049033E-06,-3.334135E-03,3.291035E-03,-4.456777E-05,4.049125E-06,0.000000E+00,0.000000E+00,4.998154E-08
4.500000E-02,3.503074E-03,3.291038E-03,-4.195174E-05,2.570371E-06,-3.334179E-03,3.291038E-03,-4.478036E-05,2.571234E-06,0.000000E+00,0.000000E+00,5.721114E-08
4.600000E-02,3.503032E-03,3.291041E-03,-4.202439E-05,3.799888E-06,-3.334224E-03,3.291041E-03,-4.486133E-05,3.800035E-06,0.000000E+00,0.000000E+00,5.844365E-08
4.700000E-02,3.502990E-03,3.291044E-03,-4.223351E-05,2.329517E-06,-3.334269E-03,3.291044E-03,-4.507876E-05,2.330433E-06,0.000000E+00,0.000000E+00,6.612021E-08
4.800000E-02,3.502947E-03,3.291047E-03,-4.230195E-05,3.568508E-06,-3.334314E-03,3.291047E-03,-4.515553E-05,3.568715E-06,0.000000E+00,0.000000E+00,6.785061E-08
4.900000E-02,3.502905E-03,3.291049E-03,-4.251601E-05,2.105811E-06,-3.334360E-03,3.291049E-03,-4.537792E-05,2.106785E-06,0.000000E+00,0.000000E+00,7.600519E-08
5.000000E-02,3.502862E-03,3.291053E-03,-4.258026E-05,3.353574E-06,-3.334405E-03,3.291053E-03,-4.545050E-05,3.353843E-06,0.000000E+00,0.000000E+00,7.826560E-08
5.100000E-02,3.502819E-03,3.291055E-03,-4.279938E-05,1.897981E-06,-3.334451E-03,3.291055E-03,-4.567797E-05,1.899015E-06,0.000000E+00,0.000000E+00,8.693027E-08
