,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
1.000000E-03,3.337048E-03,3.338807E-03,0.000000E+00,-1.226250E-02,-3.500383E-03,3.338807E-03,0.000000E+00,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-03,3.337048E-03,3.326545E-03,0.000000E+00,-1.226250E-02,-3.500383E-03,3.326545E-03,0.000000E+00,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-03,3.337048E-03,3.304472E-03,0.000000E+00,-2.207250E-02,-3.500383E-03,3.304472E-03,0.000000E+00,-2.207250E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-03,3.336800E-03,3.294943E-03,-2.482700E-04,-9.529129E-03,-3.500631E-03,3.294943E-03,-2.482719E-04,-9.529650E-03,0.000000E+00,0.000000E+00,-4.370030E-06
5.000000E-03,3.336410E-03,3.292478E-03,-3.893204E-04,-2.465198E-03,-3.501021E-03,3.292477E-03,-3.893224E-04,-2.465510E-03,0.000000E+00,0.000000E+00,-6.983527E-06
6.000000E-03,3.335967E-03,3.291897E-03,-4.429857E-04,-5.810534E-04,-3.501464E-03,3.291896E-03,-4.429866E-04,-5.811799E-04,0.000000E+00,0.000000E+00,-8.043588E-06
7.000000E-03,3.335496E-03,3.291818E-03,-4.713353E-04,-7.914447E-05,-3.501935E-03,3.291817E-03,-4.713353E-04,-7.920277E-05,0.000000E+00,0.000000E+00,-8.532146E-06
8.000000E-03,3.335003E-03,3.291871E-03,-4.930066E-04,5.327575E-05,-3.502428E-03,3.291870E-03,-4.930061E-04,5.323543E-05,0.000000E+00,0.000000E+00,-8.869984E-06
9.000000E-03,3.334490E-03,3.291958E-03,-5.131963E-04,8.692025E-05,-3.502941E-03,3.291957E-03,-5.131956E-04,8.688277E-05,0.000000E+00,0.000000E+00,-9.184112E-06
1.000000E-02,3.333957E-03,3.292052E-03,-5.332816E-04,9.418705E-05,-3.503474E-03,3.292051E-03,-5.332809E-04,9.414888E-05,0.000000E+00,0.000000E+00,-9.503967E-06
1.100000E-02,3.333403E-03,3.292147E-03,-5.535913E-04,9.443671E-05,-3.504028E-03,3.292146E-03,-5.535906E-04,9.439740E-05,0.000000E+00,0.000000E+00,-9.833431E-06
1.200000E-02,3.332829E-03,3.292240E-03,-5.741715E-04,9.284459E-05,-3.504602E-03,3.292238E-03,-5.741708E-04,9.280427E-05,0.000000E+00,0.000000E+00,-1.017131E-05
1.300000E-02,3.332234E-03,3.292330E-03,-5.949948E-04,9.079252E-05,-3.505197E-03,3.292329E-03,-5.949943E-04,9.075139E-05,0.000000E+00,0.000000E+00,-1.051599E-05
1.400000E-02,3.331618E-03,3.292419E-03,-6.160174E-04,8.864810E-05,-3.505813E-03,3.292418E-03,-6.160169E-04,8.860631E-05,0.000000E+00,0.000000E+00,-1.086621E-05
1.500000E-02,3.330981E-03,3.292506E-03,-6.371935E-04,8.650783E-05,-3.506450E-03,3.292504E-03,-6.371932E-04,8.646550E-05,0.000000E+00,0.000000E+00,-1.122095E-05
1.600000E-02,3.330322E-03,3.292590E-03,-6.584804E-04,8.439585E-05,-3.507109E-03,3.292589E-03,-6.584802E-04,8.435307E-05,0.000000E+00,0.000000E+00,-1.157939E-05
1.700000E-02,3.329642E-03,3.292672E-03,-6.798382E-04,8.231703E-05,-3.507789E-03,3.292671E-03,-6.798381E-04,8.227390E-05,0.000000E+00,0.000000E+00,-1.194081E-05
1.800000E-02,3.328941E-03,3.292753E-03,-7.012306E-04,8.027121E-05,-3.508490E-03,3.292751E-03,-7.012307E-04,8.022780E-05,0.000000E+00,0.000000E+00,-1.230457E-05
1.900000E-02,3.328218E-03,3.292831E-03,-7.226246E-04,7.825691E-05,-3.509213E-03,3.292829E-03,-7.226247E-04,7.821329E-05,0.000000E+00,0.000000E+00,-1.267012E-05
2.000000E-02,3.327474E-03,3.292907E-03,-7.439898E-04,7.627243E-05,-3.509957E-03,3.292906E-03,-7.439901E-04,7.622866E-05,0.000000E+00,0.000000E+00,-1.303692E-05
2.100000E-02,3.326709E-03,3.292981E-03,-7.652988E-04,7.431606E-05,-3.510722E-03,3.292980E-03,-7.652992E-04,7.427219E-05,0.000000E+00,0.000000E+00,-1.340453E-05
2.200000E-02,3.325923E-03,3.293054E-03,-7.865266E-04,7.238613E-05,-3.511508E-03,3.293052E-03,-7.865271E-04,7.234221E-05,0.000000E+00,0.000000E+00,-1.377253E-05
2.300000E-02,3.325115E-03,3.293124E-03,-8.076505E-04,7.048108E-05,-3.512316E-03,3.293123E-03,-8.076510E-04,7.043716E-05,0.000000E+00,0.000000E+00,-1.414053E-05
