,mass_A,,,,mass_C,,,,mass_B,,mass_C
t,x,y,vx,vy,x,y,vx,vy,θ,ω,θ
1.000000E-03,3.473909E-03,3.338807E-03,0.000000E+00,-1.226250E-02,-3.364948E-03,3.338807E-03,0.000000E+00,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-03,3.473909E-03,3.326545E-03,0.000000E+00,-1.226250E-02,-3.364948E-03,3.326545E-03,0.000000E+00,-1.226250E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-03,3.473909E-03,3.304472E-03,0.000000E+00,-2.207250E-02,-3.364948E-03,3.304472E-03,0.000000E+00,-2.207250E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-03,3.473660E-03,3.294943E-03,-2.484611E-04,-9.529129E-03,-3.365196E-03,3.294943E-03,-2.484598E-04,-9.529650E-03,0.000000E+00,0.000000E+00,-4.369119E-06
5.000000E-03,3.473271E-03,3.292478E-03,-3.895178E-04,-2.465198E-03,-3.365586E-03,3.292477E-03,-3.895164E-04,-2.465510E-03,0.000000E+00,0.000000E+00,-6.982071E-06
6.000000E-03,3.472828E-03,3.291897E-03,-4.431400E-04,-5.810534E-04,-3.366029E-03,3.291896E-03,-4.431394E-04,-5.811799E-04,0.000000E+00,0.000000E+00,-8.041911E-06
7.000000E-03,3.472356E-03,3.291818E-03,-4.714634E-04,-7.914447E-05,-3.366501E-03,3.291817E-03,-4.714634E-04,-7.920277E-05,0.000000E+00,0.000000E+00,-8.530367E-06
8.000000E-03,3.471863E-03,3.291871E-03,-4.931244E-04,5.327575E-05,-3.366994E-03,3.291870E-03,-4.931247E-04,5.323543E-05,0.000000E+00,0.000000E+00,-8.868135E-06
9.000000E-03,3.471350E-03,3.291958E-03,-5.133123E-04,8.692025E-05,-3.367507E-03,3.291957E-03,-5.133127E-04,8.688277E-05,0.000000E+00,0.000000E+00,-9.182197E-06
1.000000E-02,3.470816E-03,3.292052E-03,-5.333995E-04,9.418705E-05,-3.368040E-03,3.292051E-03,-5.334000E-04,9.414888E-05,0.000000E+00,0.000000E+00,-9.501986E-06
1.100000E-02,3.470263E-03,3.292147E-03,-5.537127E-04,9.443671E-05,-3.368594E-03,3.292146E-03,-5.537132E-04,9.439740E-05,0.000000E+00,0.000000E+00,-9.831381E-06
1.200000E-02,3.469688E-03,3.292240E-03,-5.742971E-04,9.284459E-05,-3.369168E-03,3.292238E-03,-5.742975E-04,9.280427E-05,0.000000E+00,0.000000E+00,-1.016919E-05
1.300000E-02,3.469093E-03,3.292330E-03,-5.951249E-04,9.079252E-05,-3.369764E-03,3.292329E-03,-5.951253E-04,9.075139E-05,0.000000E+00,0.000000E+00,-1.051380E-05
1.400000E-02,3.468477E-03,3.292419E-03,-6.161520E-04,8.864810E-05,-3.370380E-03,3.292418E-03,-6.161523E-04,8.860631E-05,0.000000E+00,0.000000E+00,-1.086394E-05
1.500000E-02,3.467840E-03,3.292506E-03,-6.373327E-04,8.650783E-05,-3.371017E-03,3.292504E-03,-6.373329E-04,8.646550E-05,0.000000E+00,0.000000E+00,-1.121861E-05
1.600000E-02,3.467181E-03,3.292590E-03,-6.586241E-04,8.439585E-05,-3.371676E-03,3.292589E-03,-6.586242E-04,8.435307E-05,0.000000E+00,0.000000E+00,-1.157698E-05
