scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene1,50.0,14,-2.010445452565528,FALSE,-0.09,0.003,0.1,0.0000,0.0000,0.0005
scene1,50.0,15,-0.26112570829151494,FALSE,0.10,0.002,0.0,0.0000,0.0000,-0.0005
scene1,50.0,16,2.4509824171046173,FALSE,-0.23,0.052,0.9,0.0000,0.0000,0.0011
scene1,50.0,17,8.801409522497975,FALSE,0.03,0.001,0.4,0.0000,0.0000,-0.0001
scene1,50.0,18,7.883586854081911,FALSE,-0.09,0.016,2.6,0.0000,0.0000,0.0005
scene1,50.0,19,-7.277041314980351,FALSE,0.14,0.034,0.5,0.0000,0.0000,-0.0007
scene2,10.0,0,4.900663387426188,FALSE,-0.30,0.045,2.2,0.0000,0.0000,0.0015
scene2,10.0,1,-5.615446850970839,FALSE,0.10,0.062,0.3,0.0000,0.0000,-0.0005
scene2,10.0,2,8.12279141571046,FALSE,3.24,0.061,11.9,0.0000,0.0000,-0.0162
scene2,10.0,3,9.299121357387852,FALSE,1.56,0.016,9.4,0.0000,0.0000,-0.0078
scene2,10.0,4,-10.341948381751232,FALSE,0.35,0.029,1.1,0.0000,0.0000,-0.0017
scene2,10.0,5,-9.793735623519638,FALSE,-0.48,0.002,0.2,0.0000,0.0000,0.0024
scene2,10.0,6,-1.9070726552272173,FALSE,-0.04,0.041,0.1,0.0000,0.0000,0.0002
scene2,10.0,7,9.962383069250524,FALSE,-0.23,0.009,0.2,0.0000,0.0000,0.0012
scene2,10.0,8,-2.759358359004033,FALSE,-0.57,0.048,3.2,0.0000,0.0000,0.0028
scene2,10.0,9,-1.839847372401055,FALSE,-0.14,0.002,0.1,0.0000,0.0000,0.0007
scene2,10.0,10,3.3092473285595108,FALSE,-0.10,0.016,0.2,0.0000,0.0000,0.0005
scene2,10.0,11,-2.132586193512793,FALSE,-0.20,0.002,0.0,0.0000,0.0000,0.0010
scene2,10.0,12,-8.53881133890992,FALSE,0.39,0.068,2.0,0.0000,0.0000,-0.0019
scene2,10.0,13,-9.527539790161308,FALSE,0.34,0.067,0.0,0.0000,0.0000,-0.0017
scene2,10.0,14,-7.997527030766463,FALSE,2.75,0.023,1.8,0.0000,0.0000,-0.0137
scene2,10.0,15,0.43036884155951,FALSE,-0.01,0.001,0.1,0.0000,0.0000,0.0000
scene2,10.0,16,-3.1369079058062543,FALSE,-0.16,0.000,0.1,0.0000,0.0000,0.0008
scene2,10.0,17,9.442545398086175,FALSE,2.82,0.091,21.8,0.0000,0.0000,-0.0141
scene2,10.0,18,-10.399865574775403,FALSE,-0.33,0.002,0.2,0.0000,0.0000,0.0017
scene2,10.0,19,-9.056430722761714,FALSE,0.00,0.019,0.5,0.0000,0.0000,-0.0000
scene2,30.0,0,-1.2621757127247395,FALSE,-0.15,0.033,0.3,0.0000,0.0000,0.0008
scene2,30.0,1,8.90681591190776,FALSE,-0.24,0.131,1.3,0.0000,0.0000,0.0012
scene2,30.0,2,-3.931416972163044,FALSE,-0.10,0.028,2.3,0.0000,0.0000,0.0005
scene2,30.0,3,3.874387387819844,FALSE,-0.11,0.006,0.1,0.0000,0.0000,0.0006
scene2,30.0,4,-6.105198884067705,FALSE,0.01,0.013,2.0,0.0000,0.0000,-0.0001
scene2,30.0,5,2.345603593205691,FALSE,-0.20,0.002,0.1,0.0000,0.0000,0.0010
scene2,30.0,6,0.35304796878380884,FALSE,0.17,0.030,1.5,0.0000,0.0000,-0.0009
scene2,30.0,7,6.391202349757787,FALSE,-0.09,0.002,0.6,0.0000,0.0000,0.0005
scene2,30.0,8,-6.810941159659761,FALSE,-0.23,0.001,0.1,0.0000,0.0000,0.0012
scene2,30.0,9,-8.318176517366087,FALSE,0.08,0.020,7.7,0.0000,0.0000,-0.0004
scene2,30.0,10,4.640223806342169,FALSE,-0.44,0.003,0.0,0.0000,0.0000,0.0022
scene2,30.0,11,-8.267261203989486,FALSE,-0.21,0.048,2.7,0.0000,0.0000,0.0010
scene2,30.0,12,6.244010120522968,FALSE,-0.17,0.013,0.7,0.0000,0.0000,0.0008
scene2,30.0,13,-0.32211782209966117,FALSE,0.16,0.066,0.9,0.0000,0.0000,-0.0008
scene2,30.0,14,10.058000848423276,FALSE,-0.19,0.000,0.0,0.0000,0.0000,0.0010
scene2,30.0,15,-5.471984411278021,FALSE,-0.08,0.060,0.0,0.0000,0.0000,0.0004
scene2,30.0,16,-10.118404061464163,FALSE,-0.01,0.079,1.6,0.0000,0.0000,0.0001
scene2,30.0,17,5.581427733653891,FALSE,-0.04,0.032,0.6,0.0000,0.0000,0.0002
scene2,30.0,18,-3.468212835980188,FALSE,-0.21,0.065,6.1,0.0000,0.0000,0.0010
scene2,30.0,19,-0.8169731710414487,FALSE,-0.06,0.000,0.0,0.0000,0.0000,0.0003
scene2,50.0,0,-7.130485432405649,FALSE,0.02,0.008,0.0,0.0000,0.0000,-0.0001
scene2,50.0,1,4.426746318060174,FALSE,-0.06,0.093,4.0,0.0000,0.0000,0.0003
scene2,50.0,2,-6.493100377820527,FALSE,-0.23,0.084,1.4,0.0000,0.0000,0.0011
scene2,50.0,3,5.375181104670015,FALSE,-0.79,0.005,1.9,0.0000,0.0000,0.0039
scene2,50.0,4,-9.704218773293675,FALSE,-0.24,0.001,0.2,0.0000,0.0000,0.0012
scene2,50.0,5,-7.129851742056815,FALSE,-0.06,0.003,0.0,0.0000,0.0000,0.0003
scene2,50.0,6,0.6167241998598811,FALSE,-0.01,0.001,0.1,0.0000,0.0000,0.0000
scene2,50.0,7,-7.031863311718734,FALSE,0.02,0.010,0.0,0.0000,0.0000,-0.0001
scene2,50.0,8,7.047003803279797,FALSE,-0.07,0.005,0.9,0.0000,0.0000,0.0003
scene2,50.0,9,5.924353981362363,FALSE,-0.12,0.000,0.2,0.0000,0.0000,0.0006
scene2,50.0,10,2.783619311141669,FALSE,-0.66,0.045,5.2,0.0000,0.0000,0.0033
scene2,50.0,11,5.0847768037643455,FALSE,-0.82,0.030,1.4,0.0000,0.0000,0.0041
scene2,50.0,12,3.478832745335867,FALSE,-0.43,0.028,0.7,0.0000,0.0000,0.0022
scene2,50.0,13,1.802965265320226,FALSE,-0.60,0.077,3.0,0.0000,0.0000,0.0030
scene2,50.0,14,2.9675131166825954,FALSE,-0.80,0.045,2.3,0.0000,0.0000,0.0040
scene2,50.0,15,-8.62642962375691,FALSE,-0.05,0.034,0.1,0.0000,0.0000,0.0002
scene2,50.0,16,-1.061617632682782,FALSE,-0.07,0.005,0.2,0.0000,0.0000,0.0003
scene2,50.0,17,9.706730947825235,FALSE,-0.98,0.005,0.1,0.0000,0.0000,0.0049
scene2,50.0,18,-3.924370576246122,FALSE,-0.10,0.170,3.7,0.0000,0.0000,0.0005
scene2,50.0,19,-1.9911933957719852,FALSE,-0.36,0.025,3.0,0.0000,0.0000,0.0018
scene4,10.0,0,3.0438104246400983,FALSE,1.73,0.014,2.8,0.0000,0.0000,-0.0086
scene4,10.0,1,9.565043367816738,FALSE,-0.03,0.000,0.0,0.0000,0.0000,0.0002
scene4,10.0,2,-9.855761486977475,FALSE,5.98,0.025,4.3,0.0000,0.0000,-0.0299
scene4,10.0,3,-5.213547856147008,FALSE,-0.00,0.002,0.3,0.0000,0.0000,0.0000
scene4,10.0,4,4.870153262853123,FALSE,1.11,0.023,0.8,0.0000,0.0000,-0.0055
scene4,10.0,5,-0.7039529868720779,FALSE,-0.15,0.062,0.2,0.0000,0.0000,0.0007
scene4,10.0,6,-10.985254856601877,FALSE,1.22,0.033,1.4,0.0000,0.0000,-0.0061
scene4,10.0,7,-4.590846921869062,FALSE,0.02,0.000,0.0,0.0000,0.0000,-0.0001
scene4,10.0,8,-0.49334358912721255,FALSE,2.57,0.026,1.9,0.0000,0.0000,-0.0129
scene4,10.0,9,-6.252802723281179,FALSE,3.19,0.209,14.5,0.0000,0.0000,-0.0160
scene4,10.0,10,-5.614545853720571,FALSE,-0.07,0.001,0.1,0.0000,0.0000,0.0003
scene4,10.0,11,9.28362371300007,FALSE,-0.06,0.000,0.1,0.0000,0.0000,0.0003
scene4,10.0,12,7.65656672027204,FALSE,-0.01,0.002,0.4,0.0000,0.0000,0.0000
