id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f30,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f30,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene_wheel_f30,best_trial_scene1_f10,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f30,best_trial_scene2_f50,best_trial_scene4_f10,best_trial_scene4_f30,best_trial_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
84666a41,4.180363101055397,0.1,0.0,0.0,0.012509155164408443,0.0,0,0,4.180363101055397,0,,,,,,,0.012509155164408443,,,,,,,,4.180363101055397,,,,,,,,0.008278558241183996,,,,,,,,0.0,,,,,,,,1.7007396224248468,,,,,,,,0,,0.10922400563707867,0.00034820208005574717,1.1908765525488424e-06,0.0025756278266397467,2.7172545026989288,0.44329497378016897,0.01672379991994426,1.338976414835725e-05,0.2725688743777399,5.319761515564224,0.7376760417696216,1.3355166621010959,3.4367129135368073e-10,0.3566654638863602,1.0106441604867881e-06,0.00019017408411480368,0.45260352487310473
59a61a3f,4.218451041533424,0.1,0.0,0.0,0.011896825746179875,0.0,0,0,4.218451041533424,0,,,,,,,0.011896825746179875,,,,,,,,4.218451041533424,,,,,,,,0.00031358068796333164,,,,,,,,0.0,,,,,,,,6.8422285042390065,,,,,,,,0,,0.9079586985210921,0.00023771772979522173,4.073117843715369e-06,0.0017583872541047955,2.452912280183607,0.44679728085635345,0.38767867553684526,3.1626208919811073e-06,0.3468409690810082,4.659856797446569,0.9264319257427721,0.5923042959297288,7.610692273697358e-10,0.007161280317053575,1.192848070228941e-06,0.0001311478234313829,0.66122341044979
12a03928,3.747702460460993,0.1,0.0,0.0,0.019608909348886188,0.0,0,0,3.747702460460993,0,,,,,,,0.019608909348886188,,,,,,,,3.747702460460993,,,,,,,,0.009236188725343025,,,,,,,,0.0,,,,,,,,9.630794133022794,,,,,,,,2,,0.16998453778510667,0.0003854884909009398,3.4583108431817424e-06,0.0037451466200807753,1.3027329311390732,0.42865216452038185,0.5316950550214289,6.906773977870308e-06,0.3050242619681782,5.374549698103189,0.6091863106775455,1.1251197622019324,3.125224368754815e-10,0.3270123115063968,1.4599908665012513e-06,4.0216587571919405e-07,0.7323818138365896
38bbef19,4.090319841939549,0.1,0.0,0.0,0.01394985670879722,0.0,0,0,4.090319841939549,0,,,,,,,0.01394985670879722,,,,,,,,4.090319841939549,,,,,,,,0.002236202176585546,,,,,,,,0.0,,,,,,,,27.21197247090634,,,,,,,,1,,0.739231833374637,0.0003931060769367285,6.225377240134388e-06,0.0032341176701153303,2.792524299615045,0.6317764793258869,0.6520067601622622,1.231161821329291e-05,0.19683859392432962,5.204861513307721,0.582200877612878,1.4953187345946555,5.529052267405268e-10,0.35097799760421694,1.958585122587053e-06,3.664048430272669e-05,0.871795503380141
8fc85934,4.150889137192337,0.1,0.0,0.0,0.012985000776269143,0.0,0,0,4.150889137192337,0,,,,,,,0.012985000776269143,,,,,,,,4.150889137192337,,,,,,,,0.011059909946287041,,,,,,,,0.0,,,,,,,,1.3573597303594012,,,,,,,,0,,0.4625879112279735,0.00030723873194665074,4.55190313031257e-06,0.001962845668944716,2.460648897640837,0.3408213958951491,0.9249732960188966,3.000374205330752e-05,0.5762646305566383,5.076115297631926,0.6140250886183544,0.9922698659802618,1.9015791482706335e-09,0.5364405202922068,1.093289561564384e-06,2.9491356308144426e-05,0.9504515046695465
d0de32c7,3.447302908902256,0.1,0.0,0.0,0.02477474393738305,0.0,0,0,3.447302908902256,0,,,,,,,0.02477474393738305,,,,,,,,3.447302908902256,,,,,,,,0.002708090402350886,,,,,,,,0.0,,,,,,,,39.84942621036773,,,,,,,,2,,0.5142411173312759,0.00017667599535734453,3.963352144976344e-06,0.001076296445754345,8.435111242874786,0.15275328364234414,0.45243822303013503,4.3670156062824034e-05,0.16276541690960522,5.159392926560562,0.5056919500651962,1.0870623775114483,2.493776690382151e-10,0.08992960330389511,1.0659247286576645e-06,9.682002719421689e-05,0.5360348386370157
82c4fff7,4.6751114702525856,0.1,0.0,0.0,0.004824484530648244,0.0,0,0,4.6751114702525856,0,,,,,,,0.004824484530648244,,,,,,,,4.6751114702525856,,,,,,,,0.0032306308582823857,,,,,,,,0.0,,,,,,,,39.68372756382921,,,,,,,,0,,0.5688419392539755,0.0003603483807004159,1.9343522424998314e-06,0.006177871056333395,1.8440719822007707,0.5384105283365043,0.25534888358252134,9.628296437125786e-06,0.5154434947609585,4.814239551607999,0.583172342391833,0.6257874087063905,3.1777698949681026e-10,0.0003595770315896575,1.2874719221993062e-06,4.663217768976254e-05,0.6562513497108655
8078a7b3,4.110745119577734,0.1,0.0,0.0,0.013620113325962899,0.0,0,0,4.110745119577734,0,,,,,,,0.013620113325962899,,,,,,,,4.110745119577734,,,,,,,,0.00011493143621120645,,,,,,,,0.0,,,,,,,,12.451442728383563,,,,,,,,2,,0.3359967016873329,0.0005723439583474335,2.9992394085725886e-06,0.001335628407452199,3.6479343910884423,0.5145071641543697,0.28550060009566186,2.244511560161798e-05,0.01521017447973937,5.766464054070173,0.5002947407226424,1.2785491718464599,1.3138714996614182e-09,0.021595758962689535,1.0363164613659564e-06,0.00011662319829727686,0.6530871100704323
9799c637,3.854871656610428,0.1,0.0,0.0,0.017813667439513785,0.0,0,0,3.854871656610428,0,,,,,,,0.017813667439513785,,,,,,,,3.854871656610428,,,,,,,,0.00900225943336035,,,,,,,,0.0,,,,,,,,15.880980195142405,,,,,,,,2,,0.5190989151775286,4.8294677105023846e-05,3.5233304244906003e-06,0.003997898253619279,1.6854771972986522,0.26916346247731054,0.3700624369973445,1.7523044706429918e-05,0.03823176564736598,5.6147873743042105,0.6023765192724204,1.3702357002670658,2.977858365766184e-10,0.1691356752174557,1.0454588302422456e-06,0.0007796680018428462,0.5395816063559584
e160cf4a,3.8021353447732165,0.1,0.0,0.0,0.018689240191898684,0.0,0,0,3.8021353447732165,0,,,,,,,0.018689240191898684,,,,,,,,3.8021353447732165,,,,,,,,0.005225481157706598,,,,,,,,0.0,,,,,,,,2.1384551973671564,,,,,,,,2,,0.44392931399541935,0.00016290215712200796,1.3673043788819155e-06,0.0014105909349583423,8.037995190962318,0.023175449949216213,0.5231372096045935,3.59288724533923e-05,0.9835118224869126,5.2938460140752825,0.7499800057863468,0.984967502274831,6.440516235544308e-10,0.012380020635217962,1.0026894551318673e-06,0.00040264900898343334,0.5341364056150854
