id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,cost_scene1,cost_scene2,cost_scene4,velocity_scene1_f10,velocity_scene1_f30,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,cost_scene1_f10,cost_scene1_f30,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
fca4df70,370.68411179928194,4.7,-0.04296390977200357,0.028152297604975465,0.009457660785940855,305.18357240910484,50.860515644724316,14.237997188222565,-0.008562794355771432,-0.07736502518823571,0.03521428187661602,0.04696051729249675,0.0022820936458136172,0.018639581897359862,0.0002757396745218499,286.08575433266753,19.097818076437328,41.17800185987777,4.092300354670661,5.5902134301758855,9.256862235770484,4.98113495245208,0.23683243166866327,0.21442297009750666,0.7227486533688418,0.2438053457189054,0.2432193254402527,0.15912164343936935,0.0004037400331031154,0.11313482683461898,0.08048111991683575,0.06813951377610014,0.10343320886706119,0.03898249393173398,0.06343131086266092,0.00839601382689638,7.210562060258586,2.697664099190109,153.67452000180396,105.7182207348222,94.15545773805205,145.46290781342287,119.76903357515177,0.01176375572725996,0.005432326542538478,3.011486547979945e-06,0.0037728842054036192,2.4867862186253467,0.4908369567187846,0.10992052932513735,0.00016129468147122272,0.48480943809223176,4.647126778106082,0.5001055339059599,1.3242035837925887,5.372194690086089e-10,29.322224226856065,4.205373401219449e-05,0.003688862115971342,0.5467934358961211
fb640236,1000000.0,4.7,0.0009255058726874547,-0.0013951537824770921,-5.447707720986997e-05,9.59993552359988,16.293689201339,10.210540239547985,0.001634761021965587,0.00021625072340932227,0.0009253776308140471,-0.002747892705599374,-0.002362946272645949,0.0001873852423286168,-0.0002963393967483567,4.626394272298065,4.973541251301815,4.860573459553869,6.07888804186154,5.354227699923589,4.9781497444503096,5.2323904950976745,0.002288505290707919,0.00044109895245785955,0.0026311361348812026,0.0015410199427527552,0.002425985449384477,0.0008754635556027662,0.00011172239661428403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.817973285726065,7.466921044717924,62.65602787081767,117.59405591880456,77.87448946612899,44.88049594691131,54.474304286722855,0.3989299599124329,0.0028754305959368637,3.107742575856264e-05,0.0019970664111687566,2.219484260993437,0.4947205654391822,0.23583543454729194,1.4557173592413084e-05,0.5656814749429299,3.5472855812433237,1.303576533384627,0.5117323869110422,2.0212494857985175e-09,29.936924734919067,9.87970217109578e-06,0.001485949921619722,0.6138597769131879
3737683d,1000000.0,4.7,0.010672292322104641,-0.027813999419657596,0.042913338059560754,42.56103755152631,35.753337232552774,5.812899969658826,-0.06933026205667535,0.09067484670088463,-0.07734693554556567,0.0,-0.0060950627134071225,0.014407634918188993,0.07141904120093251,34.72339521032884,7.837642341197475,24.214881910031536,5.782394488941641,5.756060833579598,3.6471870330429783,2.165712936615848,0.1987934682902525,0.18020082642190077,0.28287185782889795,0.19467455259196395,0.09371590477059756,0.006172903052219111,0.17797496111418712,0.1629320429257506,0.09074892221289091,0.11743270058371252,0.0633197178136714,0.08411341778696467,0.08721353804786666,0.06596446002274348,31.119750149224508,167.4708497804072,32.58764040988964,5.866557323024276,6.900391118335222,95.14435836591117,127.96862905016671,0.024441931822848015,0.006436048279481231,2.3659566845784983e-05,0.007041248473218816,1.680535791347125,0.4745999619335129,0.39265032967921176,5.351274656248518e-05,0.5201488655273128,4.738440415671024,0.9510924208350054,1.0904372864258833,4.5852150348333655e-10,30.62835385251066,5.752306868910793e-06,0.002563014383677154,0.6808591950608216
59633ecf,1000000.0,4.7,0.0,0.0,0.0,1000005.0018319347,2000006.8799096784,1000005.0007773072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,5.0018319346992755,1000000.0,6.879909678313353,1000000.0,5.000777307182642,1000000.0,0.0,7.848282953292277e-07,0.0,1.8797598908431613e-06,0.0,8.353631495306574e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024528375501914e-05,0.0,0.049034677835468006,0.0,8.748576518413899e-06,0.0,0.2831963151345367,0.006649411271590921,6.302451826025337e-05,0.005513930963246465,2.563441712340729,0.6998387383011304,0.5236539522693897,0.00014023520944824616,0.4023496386748282,4.455626774345244,0.6273389957427091,1.4976855069698178,1.1866723166684713e-09,29.331703337326307,3.262275630286203e-06,0.0019313266458459578,0.8569670039126831
2dfbedb5,97.98609964353894,4.7,0.2059394738350531,0.013784150478911572,0.033005628844659296,75.90060333248809,11.790960717923836,5.1735565448735095,0.018795757943443073,0.3930831897266631,0.02700666967772367,0.013737270247326756,0.0006085115116842916,0.043382212737474904,0.02262904495184368,2.9227084173848406,72.97789491510325,1.9855943848377196,4.0994698944772,5.705896438608916,1.3680004482450185,3.8055560966284907,0.007556667604635919,0.14588365046717147,0.0016773308472828753,0.0023666545242335534,0.0048199970552045114,0.004502172703259426,0.010019307843308557,0.07981625844878949,0.0862918064248963,0.07136147633930373,0.08334047595197758,0.08051582427193031,0.07169750720252412,0.08320440838625523,152.0033686492075,24.78817542746514,122.28431675522769,159.48553003226402,56.92216633109541,103.08064256599322,91.21829745475324,0.12965132592047887,0.00440954256696339,3.740144925115205e-05,0.002398898570165392,2.2272637173664775,0.37720692028058617,0.8208786071876428,0.0006189053073219674,0.8154921054281207,4.241049748218919,0.9564686727587399,0.9428313646647972,7.648844970030432e-09,29.022599132846324,7.233175651755312e-05,0.0030135680907889886,0.8883623482660425
a0360237,1000000.0,4.7,0.0014911316027313624,0.002142358847238997,0.0012979623606806361,9.634665440078852,14.514811840629346,9.738638909951597,5.854200090215438e-05,0.0029237212045605705,0.00031272064866145083,0.005195347624291484,0.0009190082687640553,0.0017804348652695,0.0008154898560917725,4.986369604120581,4.648295835958272,4.9524391379062775,4.648500812952585,4.9138718897704825,4.7943288313743295,4.944310078577267,0.0008077360283018865,0.003989404603078071,0.0028131629949577006,0.00440170502696616,0.00039707505383688416,0.0008535533804619653,0.0006243141646621307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.300134907332183,25.09624488314297,8.295289938413491,4.743373585596028,48.39140871627469,18.98295832173824,16.738626225325156,0.15466705933639646,0.0017534612679889865,2.9694169337149663e-05,0.0008812276979862146,8.754964593019197,0.16866353876493567,0.30635006410050813,0.0011569282033163251,0.3652486623503528,4.379845796433312,0.8117120266312268,1.0481527569921387,3.0772450297082195e-10,30.233216005506492,6.368094893186273e-05,0.0016128483447042333,0.4233128819469772
0aa1b95f,1000000.0,4.7,0.0,0.0,0.0,2000000.0,3000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18299498069111522,0.005751810342450193,8.978457687923273e-06,0.016215600196930885,1.6165253331603107,0.5963078903305972,0.09174569612717409,9.309240636320319e-05,0.7492663021163812,3.804590171512374,0.626259624163648,0.5366733018343014,4.714660185296589e-10,30.014133825297836,7.855831031316124e-06,0.0031362453932536867,0.6333357293836513
63a2d6c8,72.0794598148525,4.7,0.01511523128559852,0.17695176662484732,0.011491216201094825,8.688317056209168,50.13041999273653,9.682167993528887,-0.0064571045842933,0.03668756715549034,0.0005746952467268053,0.11208476323091052,0.4181958413969046,0.0006716318508916658,0.022310800551297985,6.944018814315832,1.744298241893337,5.842754224975765,0.9953995543569114,43.29226621340385,5.60458103807934,4.077586955449547,0.005292492207456118,0.002449047423103601,0.00770810659039913,0.0012024853185822154,0.06990709762307704,0.0036811046809008636,0.0055568636948533055,0.07594997450739426,0.0830885951789006,0.006602931045491974,0.07781215856633746,0.0810985840539407,0.0,0.08205544562555721,149.20886076417966,84.75626825501006,165.91723243905628,14.626537348352763,7.717723431371977,6.771639787392461,169.36805944712327,0.07609302584082255,0.012436421626900373,1.8660300587226067e-05,0.0012628285000650817,3.4495809745950683,0.5698021295377115,0.12457694962748622,0.0003815354644282756,0.17961424262493098,5.3916310089493305,0.7656936811031314,1.2609085482027935,4.9485701127802635e-09,30.10953375675179,1.873927256982795e-05,0.0015367009867594415,0.6233824102811811
0545e456,1000000.0,4.7,0.0,0.0,0.019229772944143034,2000000.0,3000000.0,6.810755848341305,0.0,0.0,0.0,0.0,0.0,0.01817029183878803,0.020289254049498037,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,3.1037067479030824,3.707049100438223,0.0,0.0,0.0,0.0,0.0,0.0022555666270787865,0.0020465828937811185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4408456972254601,29.93783314479598,0.1571098326605085,0.00020188267190119564,2.4405574513723664e-05,0.007850931548062979,1.4628123766543868,0.2977474756763268,0.21665366779911166,0.0002525502387241734,0.06264569025419797,5.138836542672727,0.6049223166531627,1.3627789668143058,4.2250991474217887e-10,30.365226125362426,1.7632515255867954e-05,0.0004874144283956811,0.4498713954254556
752f321b,106.3580305941766,4.7,0.12323425429917428,0.09672498909434862,0.1232855740376266,30.25751919092762,50.15194453498637,21.259384337843386,0.14487597872031382,0.10159252987803473,0.25327145523581657,0.0323181261935447,0.0045853858536845935,0.23871722464312076,0.007853923432132462,28.416763821410505,1.840755369517116,42.503621102514096,2.9258679389471816,4.722455493525097,16.2004070017805,5.058977336062886,0.04064825598767208,0.003974469472063978,0.009806277593870497,0.0008839053374722595,0.0030448668655081268,0.019033653092499766,0.00407611323455734,0.07731321846607682,0.09613719773648118,0.0620820474379788,0.07578940289077968,0.09160969956453834,0.0798379422441532,0.02290680841775027,91.80651437063005,99.84734240803951,152.18395658377634,30.643908243297393,134.89047495629737,168.08138850297522,146.81819240958262,0.12105318024858247,0.0015315987081660307,4.455194380676011e-06,0.0013831526393737212,8.29821350126983,0.03292154681039448,0.38333196161303035,0.0008357399225481027,0.7987879731983928,4.603934275624513,1.1075249712512005,0.9347179061192497,1.5303148204041857e-09,29.91706756218591,2.7393334249826968e-05,0.004103962585180802,0.40359529410909983
