param_name,param_value,ctrl_freq,n_trials,n_success,success_rate,mean_vx_mm_s,std_vx_mm_s
rolling_friction,1e-06,10.0,5,5,1.0,93.58332065069526,1.174800946244556
rolling_friction,1e-06,30.0,5,5,1.0,162.98148965729533,4.419786954004861
rolling_friction,1e-06,50.0,5,5,1.0,278.6797791020002,11.408554309807444
rolling_friction,1.0518266254408054e-06,10.0,5,5,1.0,92.92801864366218,1.4922475079040174
rolling_friction,1.0518266254408054e-06,30.0,5,5,1.0,158.80639520359802,7.0764788099612606
rolling_friction,1.0518266254408054e-06,50.0,5,5,1.0,277.6805225491329,11.655571671454883
rolling_friction,1.1063392499861946e-06,10.0,5,5,1.0,91.88410081593233,1.923833040485445
rolling_friction,1.1063392499861946e-06,30.0,5,5,1.0,159.43570696265925,2.334017363020018
rolling_friction,1.1063392499861946e-06,50.0,5,5,1.0,273.1682802385983,4.554650165310601
rolling_friction,3.326167840001752e-05,10.0,5,5,1.0,91.78892363836552,1.6761176444736567
rolling_friction,3.326167840001752e-05,30.0,5,5,1.0,164.04251782705654,5.462376811447314
rolling_friction,3.326167840001752e-05,50.0,5,5,1.0,272.54428603517437,15.403179133681704
rolling_friction,0.001,10.0,5,5,1.0,17.078320733697275,0.20163807956203816
rolling_friction,0.001,30.0,5,5,1.0,33.9695719581599,0.47102061298445513
rolling_friction,0.001,50.0,5,5,1.0,52.1693118624013,1.047350104903267
sliding_friction,0.01,10.0,5,5,1.0,19.607471126583235,2.2962526005859725
sliding_friction,0.01,30.0,5,5,1.0,17.65250980113452,1.276938542300815
sliding_friction,0.01,50.0,5,5,1.0,27.24481279603423,4.499323034743088
sliding_friction,0.07018505539389912,10.0,5,5,1.0,39.72578769092227,2.0067483193172686
sliding_friction,0.07018505539389912,30.0,5,5,1.0,86.07429439086829,4.022902269175427
sliding_friction,0.07018505539389912,50.0,5,5,1.0,171.21490748682808,6.2111732574535266
sliding_friction,0.492594200064469,10.0,5,5,1.0,93.47979967761344,0.8616027973094345
sliding_friction,0.492594200064469,30.0,5,5,1.0,163.46321161165605,4.598560923086204
sliding_friction,0.492594200064469,50.0,5,5,1.0,282.6182185468081,8.869849016080249
sliding_friction,0.9925665721395911,10.0,5,5,1.0,136.2961168170817,0.5432218217227417
sliding_friction,0.9925665721395911,30.0,5,5,1.0,197.39541825415844,2.8324217933208016
sliding_friction,0.9925665721395911,50.0,5,5,1.0,338.162936679305,9.19162624181646
sliding_friction,2.0,10.0,5,5,1.0,154.38619972237046,15.079453503989162
sliding_friction,2.0,30.0,5,5,1.0,215.77490151688212,2.3742110825184586
sliding_friction,2.0,50.0,5,5,1.0,384.96580130782286,17.889567054880697
torsional_friction,1e-06,10.0,5,5,1.0,92.21222256243752,1.8298501547717507
torsional_friction,1e-06,30.0,5,5,1.0,164.01628735010826,3.6409940490211508
torsional_friction,1e-06,50.0,5,5,1.0,277.98538074085656,14.841055320506936
torsional_friction,2.4722909684549014e-05,10.0,5,5,1.0,91.91766879762005,1.2553263471599163
torsional_friction,2.4722909684549014e-05,30.0,5,5,1.0,159.95703901168912,3.795929366294358
torsional_friction,2.4722909684549014e-05,50.0,5,5,1.0,277.82130572780244,3.6233660779632166
torsional_friction,0.000611222263270368,10.0,5,5,1.0,94.41314348527773,1.6604032221055878
torsional_friction,0.000611222263270368,30.0,5,5,1.0,163.9026160762029,5.4707836392794205
torsional_friction,0.000611222263270368,50.0,5,5,1.0,271.87098053549255,9.585555626374633
torsional_friction,0.024722909684549026,10.0,5,5,1.0,92.76685613877285,1.5933036413539887
torsional_friction,0.024722909684549026,30.0,5,5,1.0,153.97383889076974,8.900516999295151
torsional_friction,0.024722909684549026,50.0,5,5,1.0,253.27378713275567,9.059291296190713
torsional_friction,1.0,10.0,5,5,1.0,89.79007231169335,2.1120151753645224
torsional_friction,1.0,30.0,5,5,1.0,157.09633930927174,11.267156609418114
torsional_friction,1.0,50.0,5,5,1.0,253.9686925999898,6.802832881105766
