param_name,param_value,ctrl_freq,trial,rng_seed,jitter_value,terrain,crash,success,max_x,vx_m_s
sliding_friction,0.01,30.0,1,420196764,0.0,flat,False,True,0.04749039654875232,0.016375998809688132
sliding_friction,0.01,30.0,2,2087734894,0.0,flat,False,True,0.05543759507464915,0.01911641209447982
sliding_friction,0.01,50.0,2,354134506,0.0,flat,False,True,0.09765194899322845,0.0336730858595063
sliding_friction,0.01,50.0,3,2121011523,0.0,flat,False,True,0.08030106300801929,0.02769002172667597
sliding_friction,0.01,30.0,0,800803395,0.0,flat,False,True,0.05457603072178162,0.01881932093831873
sliding_friction,0.01,30.0,3,1707128263,0.0,flat,False,True,0.05220170798388896,0.018000588959735067
sliding_friction,0.01,30.0,4,1227182745,0.0,flat,False,True,0.04625566179066455,0.015950228203450868
sliding_friction,0.01,50.0,0,1214686655,0.0,flat,False,True,0.0643760924566254,0.02219865257102329
sliding_friction,0.01,50.0,1,834080024,0.0,flat,False,True,0.06465831987725851,0.02229597237124149
sliding_friction,0.01,10.0,0,2045179848,0.0,flat,False,True,0.05711678318352163,0.019553104420931392
sliding_friction,0.01,50.0,4,1641066005,0.0,flat,False,True,0.08806236121065943,0.030366331451724078
sliding_friction,0.01,10.0,2,1184627699,0.0,flat,False,True,0.05919259370765847,0.020411239209310515
sliding_friction,0.01,10.0,4,324075550,0.0,flat,False,True,0.059289963092680635,0.020444814859318306
sliding_friction,0.01,10.0,1,1664573217,0.0,flat,False,True,0.06455534292467409,0.022260463077246877
sliding_friction,0.01,10.0,3,804021068,0.0,flat,False,True,0.044566428792373367,0.015367734066109093
sliding_friction,0.07018505539389912,10.0,0,1304876099,0.0,flat,False,True,0.1240377774557423,0.04277164739472761
sliding_friction,0.07018505539389912,50.0,2,955993555,0.0,flat,False,True,0.5160111127252911,0.17793486645318457
sliding_friction,0.07018505539389912,50.0,0,1816545704,0.0,flat,False,True,0.4987441481034592,0.1719807407215629
sliding_friction,0.07018505539389912,50.0,3,575386924,0.0,flat,False,True,0.5106740914747887,0.17609451429783804
sliding_friction,0.07018505539389912,30.0,0,913438509,0.0,flat,False,True,0.24805640066531037,0.08553668988083596
sliding_friction,0.07018505539389912,30.0,1,532831878,0.0,flat,False,True,0.26883535154603844,0.09270184535694774
sliding_friction,0.07018505539389912,30.0,2,52886360,0.0,flat,False,True,0.2505382356172666,0.08639249503662455
sliding_friction,0.07018505539389912,10.0,1,924269468,0.0,flat,False,True,0.10582199645978962,0.03649034360302768
sliding_friction,0.07018505539389912,50.0,1,1435939073,0.0,flat,False,True,0.49263475097716863,0.16987405205733022
sliding_friction,0.07018505539389912,30.0,4,1339817859,0.0,flat,False,True,0.24854447209749675,0.08570499037463437
sliding_friction,0.07018505539389912,10.0,3,63717319,0.0,flat,False,True,0.11647425466341876,0.04016353608702621
sliding_friction,0.07018505539389912,10.0,2,444323950,0.0,flat,False,True,0.11400590388128072,0.03931238064492098
sliding_friction,0.07018505539389912,50.0,4,95441406,0.0,flat,False,True,0.4645520553332206,0.1601903639042247
sliding_friction,0.07018505539389912,30.0,3,1819763377,0.0,flat,False,True,0.2321028087963645,0.08003545130529884
sliding_friction,0.07018505539389912,10.0,4,1830594336,0.0,flat,False,True,0.11584963265523675,0.03989103072490886
