param_name,param_value,ctrl_freq,n_trials,n_success,success_rate,mean_vx_mm_s,std_vx_mm_s
rolling_friction,1e-06,10.0,5,5,1.0,93.21122083957506,2.9563780344303052
rolling_friction,1e-06,30.0,5,5,1.0,161.58510526353317,4.984484764648519
rolling_friction,1e-06,50.0,5,5,1.0,286.5148953259526,4.140722347362037
rolling_friction,5.623413251903491e-06,10.0,5,5,1.0,93.39822146814998,1.7793077844471001
rolling_friction,5.623413251903491e-06,30.0,5,5,1.0,162.7917092208784,1.1426492353367539
rolling_friction,5.623413251903491e-06,50.0,5,5,1.0,276.2606132319903,12.154333988065371
rolling_friction,3.1622776601683795e-05,10.0,5,5,1.0,92.69383010002663,2.5115196775214375
rolling_friction,3.1622776601683795e-05,30.0,5,5,1.0,161.22905891306996,5.6470747033670605
rolling_friction,3.1622776601683795e-05,50.0,5,5,1.0,275.42372079679575,10.936368769098314
rolling_friction,0.00017782794100389227,10.0,5,5,1.0,84.79492497332066,1.1345441594859151
rolling_friction,0.00017782794100389227,30.0,5,5,1.0,147.6807352548013,3.1715519222828186
rolling_friction,0.00017782794100389227,50.0,5,5,1.0,246.63030844776432,6.305305714003186
rolling_friction,0.001,10.0,5,5,1.0,17.048909937429325,0.13908525601499352
rolling_friction,0.001,30.0,5,5,1.0,32.995219993050284,0.8602374750072509
rolling_friction,0.001,50.0,5,5,1.0,53.199902022042544,1.2268565337642254
sliding_friction,0.01,10.0,5,5,1.0,20.521437832765066,1.7487882913472845
sliding_friction,0.01,30.0,5,5,1.0,21.703853382948786,5.104631040322473
sliding_friction,0.01,50.0,5,5,1.0,36.86940299672136,2.9706990920960332
sliding_friction,0.03760603093086394,10.0,5,5,1.0,40.28941766750179,1.4409367611819206
sliding_friction,0.03760603093086394,30.0,5,5,1.0,61.42927227278248,5.881374617263433
sliding_friction,0.03760603093086394,50.0,5,5,1.0,127.729782310753,8.37701431999363
sliding_friction,0.1414213562373095,10.0,5,5,1.0,43.96637349162587,0.6723698339532507
sliding_friction,0.1414213562373095,30.0,5,5,1.0,119.39095450717518,2.4898760502344244
sliding_friction,0.1414213562373095,50.0,5,5,1.0,222.4352852470049,6.7466813754566495
sliding_friction,0.5318295896944989,10.0,5,5,1.0,94.94550424900285,1.8653638042678928
sliding_friction,0.5318295896944989,30.0,5,5,1.0,173.80191676874747,13.045685421607105
sliding_friction,0.5318295896944989,50.0,5,5,1.0,279.9307468013942,6.197367826750036
sliding_friction,2.0,10.0,5,5,1.0,158.43487638166215,14.416628832855904
sliding_friction,2.0,30.0,5,5,1.0,216.78138037799425,4.3091854145806066
sliding_friction,2.0,50.0,5,5,1.0,390.04183930775787,10.09245845194894
torsional_friction,1e-06,10.0,5,5,1.0,94.23387754584084,2.731285368838687
torsional_friction,1e-06,30.0,5,5,1.0,166.9514035622125,4.4540402876806615
torsional_friction,1e-06,50.0,5,5,1.0,279.4230319524569,10.639702983975688
torsional_friction,3.1622776601683795e-05,10.0,5,5,1.0,94.49072977733098,1.64675531946756
torsional_friction,3.1622776601683795e-05,30.0,5,5,1.0,164.00821006690316,4.796357733353057
torsional_friction,3.1622776601683795e-05,50.0,5,5,1.0,280.4865804103,12.327202567459729
torsional_friction,0.001,10.0,5,5,1.0,92.8764670477934,1.8796670919170901
torsional_friction,0.001,30.0,5,5,1.0,164.52408052917187,13.394180266161298
torsional_friction,0.001,50.0,5,5,1.0,266.0063736325133,13.249570219549177
torsional_friction,0.03162277660168379,10.0,5,5,1.0,92.62633051492871,1.2716351939076254
torsional_friction,0.03162277660168379,30.0,5,5,1.0,154.18322907698655,3.7645217481140247
torsional_friction,0.03162277660168379,50.0,5,5,1.0,249.56274169467514,5.410724478217732
torsional_friction,1.0,10.0,5,5,1.0,89.24785702255664,0.7315760536077766
torsional_friction,1.0,30.0,5,5,1.0,160.72882869705822,4.503325563091108
torsional_friction,1.0,50.0,5,5,1.0,251.9565840396834,9.219277692948879
