id,cost,avg_velocity,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width
c26b7bc3,5.771243745314674e-05,0.20240312975935834,0.00022706049889700098,3.903704304233535e-05,0.024084674310415024,0.001,0.6382667209259342,0.9172296125158822,0.9801591113845053,0.006639252455657293
c33699fa,0.0034043639353093682,0.2683469273853334,0.00022343924893822157,3.278797025825701e-05,0.010105486524413218,0.001,1.0818516192688108,0.9149015013474765,0.9722644801924344,0.0003791345404730298
89cb3d70,0.013114613631477237,0.3245190535739675,0.00015532283438673763,4.676683219952396e-05,0.00010690592403047503,0.0024105520297099583,0.7337628539573712,0.9405963239924467,0.9595471558725599,0.002984863587039148
2f8c8367,0.014857609773367338,0.33189179534885577,0.0001521714837210807,6.13504048713175e-05,0.0035183714914557716,0.0022992963689897157,0.727427752649477,0.8709768588812159,0.9969467296161969,0.006771166189224977
33681cd9,0.015852912463749935,0.33590834946003356,0.00022548926749503117,0.036693201392540856,0.003848976930694404,0.0016000859276772686,1.2614832301873982,0.9214952302040088,0.9935322746243064,0.0035263959853279896
65d28b04,0.029935700934455824,0.38301936577867757,0.00015494736315059223,7.924064768790637e-05,0.001915086146597387,0.0024632491113299685,1.2926029827997303,0.8260702797029191,0.9840433816025198,0.002832907880018821
1debfa6b,0.03654309804134332,0.40116249119883146,0.00022901358622070788,3.747334468956154e-05,0.0035141834017608877,0.004347185736329133,0.5815655330491604,0.9152447933703205,0.9676857385668023,0.006703557666479255
a9f0ec50,448.51268861400746,0.059966733803764355,0.00024985136732907177,0.00016782085225658968,0.0005335398243345354,0.03491350678088859,0.1,0.9532232073010067,0.9616474498345605,0.0018074232115923223
9d6b12b4,468.2546612469333,-0.024724035512603597,0.0002412785930512962,0.00013332814251444563,0.00010017636725737012,0.034905840469021385,0.6174920836303045,0.9103485641994769,0.9688526272825242,0.0017853034168799366
1828ee1c,509.14359355787855,-0.025302147250112,0.002003774433933117,8.914260698836728e-05,0.0004891368067753352,0.034614670556110574,0.2209730603431287,0.9788787157427172,0.9708319718340341,0.00019336021982924254
01033f17,522.9648250234802,-0.01427287831838218,0.0001817138254200154,0.00016225471479025766,0.0004740058628395231,0.034907796706921325,1.5506690012194297,0.9390291990024116,0.966408911742501,0.0004964338620751137
b1e518b3,543.0753759712851,-0.024086351911016993,0.0002491291570788591,0.062295648784218394,6.264449473720767e-05,0.07282230280263871,0.5485766838013201,0.9461808948003507,0.992461673602625,0.0036745853628626524
6dabb463,562.2444670650945,0.05852964505781785,0.0002651783689314345,0.0039101559468571,0.0005024304019502139,0.03493009484175624,0.8550222566623932,0.9553492404210053,0.9620571220795949,0.0004964006889834645
be801d7d,574.3001533087208,-0.0720805433282901,0.00023914869225864714,7.260887966612833e-05,0.0012750170137765574,0.08102388315854751,0.5050951952166735,0.9317600454584637,0.9652126038415785,0.0007576401377321168
13557876,604.8617820984393,-0.0043371741768239835,1.0,1e-05,0.0006226611186771146,0.03003810984467535,0.10863307537594534,0.99,0.999,0.0001
f889b2d6,615.3105725124851,-0.013498335662970866,0.001656102836084275,0.05047084055954792,0.0004534329697941252,0.04898413281280271,0.9334909461037938,0.9430651663211012,0.981352478309067,0.000102492997294261
f6468b73,617.6060706448626,-0.01130142853689202,0.01084354380985258,0.00012705645329288707,0.0001531418971165477,0.01736142696723725,0.1297091728082685,0.8804462813342102,0.9693491943906029,0.00038634593707206726
9fba918c,628.1527481017789,0.005826523300338761,0.09609812947036424,5.416754583247461e-05,0.013145103232150136,0.060088165636702225,0.9470822304218233,0.8189952340054206,0.9725031957063275,0.0004649617447336334
38778b33,648.5241465568405,-0.0059533135845475154,0.0009753026791752966,0.00013315927801448016,0.0005379322099339285,0.03485706908676786,0.1,0.9699212372614288,0.9618397913275634,0.0010650105004762762
335f496c,691.0894797203786,0.03458121784833966,0.011435780278433413,1.0672476836323728e-05,1.2366582530130827e-05,0.05295269136558054,0.8597358462589856,0.8088664760105869,0.9977140204232315,0.00029210748185657135
fb0ac9f2,710.2614653159371,-0.038652720655679346,1.1649969967638908e-05,0.05872283616443731,0.0017912362571043672,0.039156233751451705,0.13033587921840697,0.8438698268682083,0.9618102478352746,0.0023255572624036797
09296daf,718.5213212420531,-0.010500954928358664,0.9992017028981468,0.0324637909583811,0.00047937174586691335,0.08741948620644159,1.9510872942258024,0.99,0.9806897875969454,0.0059811536812177345
02a2aa12,720.5948777792536,0.05470137813220572,2.7325178109791903e-05,0.0725360839292898,0.0009580790774102812,0.0917904676440816,1.3058268203233874,0.99,0.9708361649087457,0.0001
9eb03834,721.9381731031467,-0.04518260780107093,0.42760083984078123,0.002449015987799913,0.0001963688290346027,0.08769116043264863,0.39502275978202783,0.8062786827948022,0.9618386458030249,0.007200355272284572
b38dadf5,740.6731220001595,0.029574348725448143,0.000251813175535382,0.0001789192785672182,9.641374983933136e-05,0.03519044081756836,0.8021982866668255,0.8980659194977948,0.9701958211756202,0.0018053154173139974
e12c2526,761.8490491997851,0.02375526317139421,0.04304430316862465,0.00026503169773193906,0.0026865017600822888,0.08848050129223764,0.5129443879046767,0.922145165648789,0.9886723361369653,0.00041441152612434884
7c71c95a,772.6895369914387,-0.009196558172379332,0.4176874287755632,0.0001867819606893129,3.5099353441059965e-05,0.03485650487792921,0.11691099860757026,0.8142067523131262,0.9795685778728829,0.0038102459406948877
50a76836,776.0388296956261,0.02420118684330064,2.838129270112671e-05,0.002975390947349387,0.00033872555658521504,0.09833985769487205,0.986849497171162,0.963388677279901,0.9833350693908012,0.0007961566078062951
9429e1ec,824.1717491150687,0.0287264512342357,0.00019795807376650728,1.875286298367866e-05,0.00015385385372160203,0.03480625689804085,0.6279128357116731,0.9696641189888421,0.9672779179485376,0.0016533738201281783
da12d27e,827.4256391895499,0.015503832793473732,0.00015331086668545155,0.04224161106534425,5.6431818976186485e-05,0.03878784422113439,0.6897273978235824,0.9633114128297123,0.9932141867864656,0.0001399939474187019
4726c4e2,870.5020031594607,-0.028000910340334407,0.0005255777850955582,0.0005643114572039044,0.00040377785499631324,0.03629080797763911,0.14489492140489535,0.9350178662545787,0.9626210694131037,0.00025638767226698097
0f1ec38c,884.0053646698018,-0.03272639405173115,6.885790359301323e-05,1.2290893230024249e-05,0.000532597138257871,0.04138774414658794,0.1,0.9413023700422498,0.9546477944892515,0.0033573592746509082
af68650c,898.7606311491498,-0.020881029677615272,0.007115736737626982,0.0012115379992469594,0.06993395623207721,0.08460885101913701,1.5199082092610239,0.9025415051539252,0.9787508071175286,0.008521393381383606
0e3d04f4,906.2494475639705,0.04150919045953795,5.180051644243017e-05,0.004013783023846255,1.6813042706040666e-05,0.07247787845441567,1.8832501471299257,0.8001479655097927,0.9986183664052697,0.0017177621112338384
28198072,908.4484940486175,-0.0503906114736977,0.1688665002302823,0.00010109478229293822,0.0005494578558340885,0.06422702276073701,0.4146040560617609,0.99,0.9574877095179367,0.0001
23448578,939.7801640448092,0.006461801744333791,0.0018946445921337372,0.00030951178800825495,0.0004174636155011178,0.06269655417095583,1.4649287378821751,0.9557881312650743,0.9666856313489554,0.0001483366975452278
c79d0244,943.662170184111,-0.07649312207451306,0.018947743710859884,0.0009787560779683493,0.0004880754219908207,0.03510798388728912,1.0965394972324476,0.8031471824256055,0.9926404075723035,0.0001577934818635163
4c56b3f2,953.8054961156945,-0.014878270211074332,0.006894481952587277,1.3342990285187938e-05,0.023395864551222487,0.045525659203606815,0.8507854484034476,0.9760651845008209,0.9856363277969646,0.0004498643077694105
5dbc5c5b,971.5922584759261,0.01674974863934367,0.0014305232262656585,0.0007444473429328042,0.00044674396685353494,0.03518026559557415,0.40160083292672333,0.9756925048318393,0.9767278906456806,0.005961380380820544
061fc610,974.8985422309318,-0.03834386454446169,0.01911588028478382,0.00016994586010974375,0.0014975741953127367,0.004597094671875544,0.1,0.819605692322671,0.961632645471925,0.0018679857577489816
5658f93f,978.4794269543457,-0.024492361400790946,0.0002246870906988787,0.0035984973643579153,0.0949452367746454,0.08953423264827812,1.9157340376004133,0.8,0.9866921578777696,0.0046554476956908826
01f0a16b,981.626346553214,-0.028912380863597403,0.17130776683456891,0.00017446697331626417,0.020549300185938004,0.037234163030237216,1.110564990601381,0.962645766524108,0.9714152385828488,0.0023632799645658276
7c731f51,991.0188350888795,-0.07273901592473882,1.175977773812774e-05,6.242659053860574e-05,0.007004349545230065,0.07922737851258939,1.2513239520839219,0.9759971669175364,0.9819027742495953,0.006759574377750831
8c300647,1081.1305534936178,0.03418598181707434,0.011219752813215716,0.02151689729808335,4.936948694960462e-05,0.03971500014975085,0.4462485667973185,0.943518667960354,0.970832637850071,0.00026054534945804014
23e6ce17,1094.646714890139,0.004389347626921692,0.010426202053455602,1.4349656712913436e-05,0.00045087022035961643,0.03260093722137178,0.16564310792042625,0.8178110450128041,0.9572009439222304,0.0016084824779638634
3ca48d21,1099.4656168723923,-0.019514773972349547,0.0004367642342190935,0.011883768290892143,1.0807527398753426e-05,0.014303722515738894,1.7184866939515626,0.8734332645449598,0.9522845347454685,0.001165406347418797
49200de2,1103.5050475083556,-0.01957279331784944,0.05093530392214564,0.015548369788034715,0.0009763762243657725,0.039307897185426925,1.1824361786762603,0.805116573865742,0.9972619746666272,0.006160963847403326
47948e0d,1129.8612484426308,-0.0029935917291895493,0.00646501708069136,0.00012610077079881562,0.00010010110938226011,0.029751758968340192,0.27218740209114467,0.87855859526568,0.9631933390659315,0.0003870040307970802
9c638ddf,1138.9728115616797,0.23771560450643303,0.018789429160520947,0.0008801833489912772,0.031550063675262814,0.011804682757047543,0.3895042390493686,0.8586667745511537,0.9530878308223653,0.00368957440879849
14dca35c,1399.33182406125,0.15049205915008704,0.00016114811656258975,0.00042777699643027644,0.00017755713248469266,0.002476003257989764,0.31834525922978485,0.9846307854890124,0.9774598034000525,0.0007246782164182328
