timestamp,elapsed_min,n_eval,id,cost,vel_scene_wheel_f20_step,lateral_scene_wheel_f20_step,tumble_scene_wheel_f20_step,yaw_scene_wheel_f20_step,best_trial_scene_wheel_f20_step,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-25T03:09:22,0.1,16,cdd27e6b,0.016719,0.0012,0.003191,0.013521,179.9,2,0.07609302584082255,0.012436421626900373,1.8660300587226067e-05,0.0012628285000650817,3.4495809745950683,0.5698021295377115,0.12457694962748622,0.0003815354644282756,0.17961424262493098,5.3916310089493305,0.7656936811031314,1.2609085482027935,4.9485701127802635e-09,30.10953375675179,1.873927256982795e-05,0.0015367009867594415,0.6233824102811811
2026-02-25T03:09:29,0.2,48,eaae13b3,0.015439,0.0032,0.000303,0.015086,180.0,0,0.32427195916375295,0.0015409121956293762,1.0519991987283392e-05,0.00197182018245424,9.944042933219583,0.1931215152148978,0.49790136748249997,0.0033852098208460198,0.8232721294412573,4.169932482295704,1.0159957300051212,1.1180492214129643,1.539598988666038e-09,29.63095909786287,5.165266736648277e-06,0.0002832997555353973,0.5948176260448594
2026-02-25T03:09:31,0.2,64,e64ef00a,0.013160,0.0014,0.000874,0.012276,179.4,1,0.1219706282967033,0.0010249298316995174,4.191607302999477e-05,0.0011050524728377367,7.5996883329917235,0.36069783982008,0.7327953102516014,0.00017961935234123218,0.29893810498273715,4.020508453287409,1.3274240269730222,0.9748621452058683,4.292488153537998e-09,30.756510008051904,2.5648183756112074e-06,0.00034409274622203734,0.8291021851026183
2026-02-25T03:09:46,0.5,144,20a97be6,0.012707,0.0031,0.000097,0.012562,179.9,1,0.21644210368808434,0.00472726891404909,7.831670857821682e-06,0.009125014478563166,9.463366713143568,0.6231375214412623,0.0875901489620326,9.495354292213288e-05,0.5049350770057102,3.7287145217077473,0.6494411797181411,1.0751349803091643,2.6159578042206732e-09,29.914215981437675,3.8142262361678376e-06,1.8767650711521404e-05,0.6561382030615268
2026-02-25T03:09:52,0.6,176,eb8bafa5,0.012657,0.0014,0.000514,0.012133,179.4,1,0.17920682126156756,0.0012724680735386336,1.5255350528360492e-06,0.015977192397922616,3.4760948171290993,0.4248557976759254,0.07001202078188246,0.00021123616894759374,0.30924651244259355,3.9135003137907853,0.5569914695148565,0.9440683809717861,2.9390771951276267e-09,29.677727292773245,8.521239948724993e-06,0.000229776994543353,0.4651158043195395
2026-02-25T03:09:55,0.6,192,5138fc29,0.011585,0.0048,0.000261,0.011210,180.0,1,0.3428353420993487,0.0021995849922298956,1.1136080282265468e-05,0.021951136893378777,3.329903176145258,0.16098679919725473,0.05545261176163768,0.0010684268129180355,0.2899901243985849,3.7056495756859076,0.7508365445263042,1.1926912988479579,3.331157573397728e-09,30.073063135889736,1.8914083443569583e-06,0.0006116765654392102,0.20750672722308217
2026-02-25T03:10:09,0.8,272,ee825d91,0.010336,0.0013,0.000106,0.010222,180.0,1,0.26703319855647256,0.0059966635708452315,5.408163506088011e-06,0.0086602103805952,9.626249539878552,0.4726010168545299,0.06435168073986974,7.230023171401471e-05,0.3817432282176765,4.265489742439351,0.8274275595346365,1.0575755478451987,3.27968695457331e-09,29.749850712351517,1.0511426461330633e-06,0.0003172936167416993,0.5065335926723651
2026-02-25T03:10:15,0.9,304,11859af9,0.009973,0.0014,0.000307,0.009657,179.9,1,0.27413987375321774,0.046897080091770606,7.187583545225437e-06,0.011846862805503164,4.038329930440139,0.1441094947885414,0.11150858859772396,7.753124830501812e-05,0.25671984226824074,3.5663131343598877,0.700711924856505,1.3115397867403702,4.533395813430401e-09,29.753563740734585,1.1825305431246943e-06,0.0002991072476340004,0.23953748616000428
2026-02-25T03:10:27,1.1,368,67eb35c9,0.009930,0.0014,0.000314,0.009607,180.0,0,0.13356516112220773,0.021147546656066992,9.319037536331916e-06,0.016885769328855334,3.3156978105031722,0.0030065744690730683,0.28420909229908115,4.6945253817445454e-05,0.53426334129331,3.6171585977426464,0.6066716938877534,1.206211192357818,5.716863809450018e-09,30.07967570153182,1.062880347561496e-06,0.0001811372152211755,0.28633275005813946
2026-02-25T03:10:30,1.2,384,db278028,0.009417,0.0015,0.000057,0.009350,179.9,2,0.12386121914897856,0.02106550050871855,1.0557829571625953e-05,0.013124936725874062,3.8103558660943206,0.17697889170151856,0.3256932114229491,2.730341958045965e-05,0.7409098137615404,3.7449351709359515,0.7669238821034214,1.140389186544078,5.419102109564785e-09,29.866827712575976,1.6894804616252073e-06,0.00012151356515699661,0.4449987102109835
