timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-19T14:22:41,0.5,8,d62de7b3,1.885056,0.0509,0.1437,0.1441,0.1316,0.2031,0.2656,0.1356,0.2930,0.3829,0.1576,0.4785,0.003200,0.011808,0.021950,0.000170,0.007540,0.034833,0.005171,0.019318,0.022764,0.002787,0.026232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.9,4.3,6.1,2.0,4.3,26.3,0.8,7.1,25.4,2.0,3.2,2.60,6.01,6.34,1.33,3.56,4.92,0.75,1.89,2.43,0.06,0.14,1.3867592,9.0204449e-05,5.1540781e-06,0.0021274613,1.1143918,0.2294185,0.18991208,4.4369357e-05,0.53168495,5.6576584,0.72544777,0.97454906,3.8359216e-10,0.37574224
2026-02-19T14:26:35,4.4,64,ee2d5d9d,0.293745,0.0427,0.1049,0.1290,0.0740,0.1516,0.2298,0.0942,0.2344,0.2895,0.1327,0.3921,0.000563,0.000481,0.015709,0.000826,0.002106,0.013036,0.001477,0.015696,0.025142,0.001326,0.006398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,4.5,5.0,3.1,2.5,10.0,1.8,6.2,9.0,1.4,3.0,3.21,12.64,10.87,4.92,6.77,7.42,2.40,2.96,2.93,0.33,0.44,0.29939138,0.0001069699,2.7856192e-05,0.0028741368,6.3199914,0.63623899,0.18504461,1.3749654e-05,0.35513603,5.3617509,0.73668673,0.92689967,5.7122706e-10,0.7035325
2026-02-19T14:32:42,10.6,152,5ed91214,0.113410,0.0522,0.1166,0.1403,0.0795,0.1515,0.2772,0.0926,0.2548,0.3722,0.1470,0.4700,0.000511,0.002282,0.008397,0.001293,0.005407,0.014955,0.005117,0.008515,0.006489,0.002056,0.004278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.7,1.5,7.7,3.0,4.8,5.8,3.5,0.8,2.8,0.7,1.4,2.39,11.11,10.57,3.36,5.56,5.76,1.85,2.28,2.53,0.17,0.21,0.40984442,0.00013095503,8.9612009e-06,0.0033349149,4.2522643,0.45622826,0.39448689,3.4638498e-05,0.61249953,5.1941687,0.62212487,1.0010829,5.512837e-10,0.67069964
2026-02-19T14:33:19,11.2,160,6d150793,0.063023,0.0537,0.1262,0.1366,0.0854,0.1706,0.2277,0.1044,0.2702,0.3313,0.1318,0.4084,0.000554,0.004631,0.005232,0.001222,0.003351,0.013509,0.001995,0.003231,0.024388,0.001033,0.009891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.4,4.6,8.1,2.0,4.2,6.4,2.4,6.8,20.5,0.8,6.7,2.70,10.58,10.52,3.84,4.89,7.67,2.00,2.60,3.00,0.18,0.36,0.44623195,0.00011356471,9.5735508e-06,0.0029965652,4.9345896,0.44443449,0.49863984,3.5073791e-05,0.35830687,5.154936,0.75217994,0.95458804,5.3930485e-10,0.72141172
2026-02-19T14:42:17,20.1,280,7fb91d40,0.060751,0.0544,0.1117,0.1326,0.0856,0.1449,0.2449,0.1088,0.2556,0.3359,0.1419,0.4692,0.000103,0.004875,0.008135,0.000814,0.001672,0.002102,0.002255,0.013189,0.016132,0.000986,0.006412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.1,3.1,17.4,0.5,1.7,0.6,0.9,10.0,12.5,0.7,0.7,2.00,10.36,9.64,3.20,5.59,6.35,1.42,2.58,2.83,0.15,0.17,0.42399832,0.00018036011,8.0347079e-06,0.0024418546,3.0642013,0.41722466,0.29225626,4.3424147e-05,0.57118304,5.3144071,0.70036672,0.9479127,5.1387141e-10,0.58751518
2026-02-19T14:42:53,20.7,288,161d4b1c,0.036194,0.0508,0.1259,0.1472,0.0765,0.1614,0.2646,0.1024,0.2822,0.3315,0.1438,0.4675,0.000630,0.006414,0.008119,0.001233,0.004906,0.015799,0.002324,0.005052,0.023157,0.001566,0.007542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.2,15.9,16.8,0.6,1.7,11.6,6.0,4.3,15.7,1.3,0.2,2.54,11.00,12.51,4.73,5.58,7.53,2.08,2.98,2.96,0.16,0.24,0.41027159,0.00016583558,9.1285737e-06,0.003181498,4.0902538,0.50693356,0.31777534,3.5324194e-05,0.58973488,5.2442374,0.66964605,1.0352184,5.4458746e-10,0.66358614
2026-02-19T14:43:31,21.4,296,e6920f8b,0.020576,0.0540,0.1220,0.1440,0.0822,0.1573,0.2455,0.1097,0.2645,0.3594,0.1470,0.4567,0.001230,0.005818,0.007822,0.001693,0.002787,0.023503,0.000864,0.011758,0.029396,0.001701,0.002507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.9,3.8,5.3,3.7,0.8,10.2,2.2,1.7,11.4,1.3,4.4,2.25,9.92,10.92,4.82,5.69,6.97,1.84,2.59,2.77,0.12,0.21,0.44368603,0.00012982517,7.4256891e-06,0.002662751,3.6032902,0.5086456,0.32084524,4.2190298e-05,0.54849659,5.1770185,0.68179942,1.0422199,5.2993276e-10,0.66626224
2026-02-19T14:46:36,24.4,336,2a50327b,0.018114,0.0530,0.1239,0.1385,0.0805,0.1621,0.2420,0.1053,0.2671,0.3384,0.1471,0.4604,0.000380,0.006881,0.013108,0.001012,0.004546,0.009703,0.000281,0.006159,0.039264,0.001536,0.002248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.5,2.8,12.0,2.1,4.4,8.0,0.7,8.6,18.4,0.3,1.8,2.47,11.55,11.27,4.30,5.50,6.37,2.05,2.54,2.95,0.17,0.28,0.43185085,0.00014284562,8.4809585e-06,0.0028865455,2.9314783,0.42573627,0.37679716,3.643549e-05,0.60587169,5.3910483,0.66869351,1.0392318,5.6701087e-10,0.64207953
2026-02-19T14:47:50,25.7,352,f77383f8,0.016438,0.0490,0.1218,0.1419,0.0818,0.1604,0.2713,0.1018,0.2670,0.3070,0.1477,0.4529,0.000310,0.002478,0.009744,0.000052,0.001517,0.002362,0.002766,0.002316,0.016575,0.002230,0.004504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.5,4.1,7.4,4.1,7.2,6.8,1.1,10.4,7.1,1.2,1.6,2.50,11.05,14.57,4.79,5.16,7.42,2.13,2.65,2.90,0.13,0.25,0.42364466,0.00013777079,7.4913051e-06,0.0032788726,2.4608459,0.45517332,0.34336429,3.5568583e-05,0.59214265,5.3875678,0.66361048,1.0586731,5.7735997e-10,0.64221301
2026-02-19T14:48:59,26.8,368,9bcd7e49,0.009474,0.0518,0.1168,0.1473,0.0830,0.1612,0.2676,0.1076,0.2737,0.2839,0.1439,0.4262,0.000441,0.003105,0.013866,0.000584,0.003376,0.014378,0.001557,0.001673,0.006212,0.002842,0.004280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.7,1.2,9.5,1.7,0.7,16.0,1.6,12.7,28.0,0.6,4.0,2.52,12.20,11.30,4.34,6.02,7.12,2.25,2.87,2.96,0.16,0.32,0.41238956,0.00014931723,8.1874158e-06,0.0031131436,3.2104113,0.38310746,0.36686511,3.8849967e-05,0.70574779,5.4365793,0.68792445,1.0509986,5.5060185e-10,0.60938712
