timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene2_f10,vel_scene4_f10,vel_scene_wheel_f10,lateral_scene1_f10,lateral_scene2_f10,lateral_scene4_f10,lateral_scene_wheel_f10,tumble_scene1_f10,tumble_scene2_f10,tumble_scene4_f10,tumble_scene_wheel_f10,yaw_scene1_f10,yaw_scene2_f10,yaw_scene4_f10,yaw_scene_wheel_f10,pitch_rms_scene1_f10,pitch_rms_scene2_f10,pitch_rms_scene4_f10,pitch_rms_scene_wheel_f10,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,solimp_dmax
2026-02-18T12:39:38,0.3,8,75fc8594,147.849075,0.3033,-0.0001,-0.0001,0.0004,0.745549,0.000151,0.000219,0.000041,0.000000,0.000000,0.000000,0.000000,101.5,70.8,117.9,44.3,9.84,4.56,2.44,3.63,0.00066412795,0.0042053256,8.1981157e-05,0.0089204518,0.28754272,0.49497346,0.36959099,0.0001859396,0.49481579,5.0956525,0.85650499,1.0268088,1.1149834e-11,0.68158976
2026-02-18T12:39:52,0.5,16,a1e4866c,19.606506,0.0461,-0.0000,0.0000,-0.0001,0.442578,0.000411,0.000065,0.000544,0.056796,0.000000,0.000000,0.000000,67.3,66.0,18.5,56.6,6.21,4.99,2.65,3.74,0.00066187793,0.0039139304,6.6373118e-05,0.008673565,1.7807313,0.33441871,0.40006043,0.00039309271,0.53993218,5.8752861,0.86313384,0.93956859,1.2305643e-11,0.60065144
2026-02-18T12:40:53,1.5,40,763e6320,14.806066,0.0535,-0.0000,-0.0000,-0.0000,0.034547,0.000430,0.000059,0.000014,0.000000,0.000000,0.000000,0.000000,20.7,6.6,2.5,87.7,8.37,6.52,2.87,1.04,0.003345361,0.00165589,6.4993253e-05,0.0046281026,1.944764,0.4367456,0.472418,0.00013690258,0.62335899,5.8116417,0.91128009,0.80176863,2.1254972e-10,0.70278987
2026-02-18T12:41:14,1.9,48,941b17d3,14.697493,0.0456,-0.0013,-0.0000,0.0000,0.001178,0.000931,0.000032,0.000007,0.000000,0.000000,0.000000,0.000000,2.3,1.3,5.4,1.1,4.56,8.45,2.11,0.79,0.003284314,0.0022920507,2.0665072e-05,0.0028275924,2.1998036,0.18017824,0.45144114,0.00013983854,0.47532312,5.9496149,0.9576868,0.87885346,7.7487968e-10,0.55023437
2026-02-18T12:41:53,2.5,64,377f651b,14.692732,0.0441,-0.0012,-0.0001,0.0000,0.000854,0.000348,0.000091,0.000010,0.000000,0.000000,0.000000,0.000000,0.8,1.3,0.4,0.9,3.19,9.96,1.84,0.90,0.0033488706,0.0018413169,6.1829254e-05,0.0035411506,8.450918,0.064113508,0.29392047,2.9009648e-05,0.90226722,6.0152176,0.80121387,0.82235615,5.91425e-10,0.33916031
2026-02-18T12:42:56,3.6,88,9bcc3422,7.371387,0.0040,0.0252,0.0660,0.0979,0.001592,0.003462,0.003065,0.000170,0.000000,0.000000,0.000000,0.000000,2.3,0.6,1.2,1.3,7.06,11.39,1.52,0.11,0.019884496,0.00055234224,1.1719404e-05,0.00056663438,2.3917128,0.58434476,0.53833613,8.8429268e-05,0.77341243,6.0132929,0.9134974,0.83948509,3.9796283e-09,0.80805316
2026-02-18T12:43:43,4.3,104,a2737a76,2.245628,0.0794,0.0977,0.0874,0.1753,0.003101,0.007018,0.002011,0.001453,0.077604,0.081592,0.078828,0.083291,1.5,2.0,2.5,3.1,42.04,44.06,42.35,41.01,0.14892238,0.0011804444,3.1372675e-06,0.00071023507,3.5131246,0.8230587,0.77514448,5.269579e-05,0.92506469,6.2655339,0.95369368,0.87513997,1.6901118e-08,0.96013626
2026-02-18T12:44:04,4.7,112,d188b39b,1.097458,0.0651,0.0995,0.0844,0.1378,0.007760,0.002348,0.005585,0.011116,0.082793,0.086613,0.081935,0.056571,2.4,1.3,2.1,1.2,40.30,46.97,47.25,43.19,0.11019987,0.0026322822,2.4929027e-05,0.00022913266,5.2980427,0.86462177,0.84977473,8.9370313e-05,0.84847991,6.092324,0.92178078,0.99591307,2.7907109e-08,0.97957779
2026-02-18T12:44:24,5.0,120,8fa16f87,0.936795,0.0653,0.0942,0.0953,0.1289,0.018217,0.005757,0.011440,0.010487,0.071276,0.065355,0.051529,0.080197,1.1,97.0,0.9,2.1,43.27,45.41,44.04,45.61,0.062064049,0.001436848,3.4015674e-05,0.0002069151,6.6665704,0.57027096,0.98255763,0.00043062296,0.96014871,6.4747213,1.1175622,0.9747479,3.1293118e-08,0.99240625
2026-02-18T12:44:45,5.4,128,76f37c13,0.736558,0.0583,0.0930,0.0899,0.1700,0.005128,0.007866,0.003448,0.008062,0.082379,0.084819,0.082738,0.083342,1.6,5.6,2.8,1.4,37.28,33.83,42.84,43.37,0.092903615,0.016802919,3.0191399e-05,0.00074581316,4.3789467,0.63160794,0.61575768,3.0801042e-05,0.98875693,5.6121626,1.1207897,1.0250879,2.5994062e-08,0.85838661
