param_name,param_value,ctrl_freq,trial,rng_seed,jitter_y,crash,success,max_x,vx_m_s
sliding_friction,0.01,30.0,4,1266255439,0.002422257528394283,False,True,0.3388998562368481,0.07710017121141373
sliding_friction,0.01,30.0,5,885648808,-0.002431522475244949,False,True,0.317779868849432,0.054697635761797536
sliding_friction,0.01,30.0,3,1746200957,0.002764325227429406,False,True,0.19885291804398653,0.044264326215730725
sliding_friction,0.01,30.0,1,359930571,0.0012290091774592449,False,True,0.17348728317039236,0.04516527083684179
sliding_friction,0.01,10.0,1,850707048,0.0019209088457732837,False,False,0.08866699383028735,0.0
sliding_friction,0.01,30.0,0,839876089,0.0014804805394286703,False,False,0.12346420962405649,0.0
sliding_friction,0.01,10.0,7,416534249,-9.039641474506595e-05,False,False,0.09470221485876722,0.0
sliding_friction,0.01,10.0,0,1231313679,0.0025384523836741854,False,False,0.1434776546899911,0.0
sliding_friction,0.01,30.0,2,2126807588,0.0007765795020059536,False,False,0.09589952757038789,0.0
sliding_friction,0.01,10.0,3,2137638547,0.00022301702955770204,False,False,0.1432610696076023,0.0
sliding_friction,0.01,10.0,6,896479767,-0.0025053272994899145,False,False,0.04335416994947234,0.0
sliding_friction,0.01,10.0,2,370761530,0.00018516357016112135,False,False,0.08514395580143236,0.0
sliding_friction,0.01,10.0,5,1277086398,-0.0021077440589789883,False,False,0.13791182334909402,0.0
sliding_friction,0.01,10.0,4,1657693029,0.000718439139057911,False,False,0.04487247877587199,0.0
sliding_friction,0.01,10.0,9,1703465748,-0.0010594425222849378,False,False,0.0868643860780017,0.0
sliding_friction,0.01,10.0,8,35927618,0.000249687500698773,False,False,0.07656392695560384,0.0
sliding_friction,0.01,50.0,0,448438499,0.00032062410146900403,False,True,0.5322617731287085,0.07897449549886101
sliding_friction,0.01,30.0,7,25096659,0.0012125101601635144,False,True,0.2823741531257955,0.056682286578226805
sliding_friction,0.01,50.0,3,1255424480,0.0018710043111309334,False,True,0.2523055213929979,0.057361796830386724
sliding_friction,0.01,50.0,2,1735369998,0.0016111275920321615,False,True,0.48805295233075296,0.0723744460246946
sliding_friction,0.01,30.0,6,405703290,-0.0009735865152406642,False,True,0.2146342136565946,0.04683427731652633
sliding_friction,0.01,50.0,1,2115976629,-0.0026498571615886125,False,True,0.2628636313401834,0.05743513653051678
sliding_friction,0.01,50.0,6,14265700,0.002763247150205996,False,True,0.5860904719568876,0.10825498937444716
sliding_friction,0.01,30.0,9,1312028158,0.002956685050431912,False,True,0.3675917008780449,0.05039654321476637
sliding_friction,0.01,50.0,5,494211218,0.0015753050166957203,False,True,0.42569104354279774,0.08601289848078238
sliding_friction,0.01,50.0,4,874817849,0.0017668102953549616,False,True,0.33283932090822693,0.06915692483688271
sliding_friction,0.01,50.0,9,920590568,-0.002014129380954673,False,True,0.3963498529425572,0.07147441011290609
sliding_friction,0.01,50.0,8,1301197199,0.0006032313014516294,False,True,0.3694599235344466,0.0663471194059434
sliding_friction,0.01,30.0,8,1791973676,-0.0018274486803599456,False,False,0.14742598662766251,0.0
sliding_friction,0.01,50.0,7,1781142717,-0.0012604705175209164,False,True,0.2605023716359402,0.046404349575201266
sliding_friction,0.08000240982496128,10.0,0,583603979,0.0018776787169458497,False,False,0.11142559870191895,0.0
sliding_friction,0.08000240982496128,30.0,1,616880608,0.0021104360913310966,False,True,0.3366818817178913,0.07578659470106863
sliding_friction,0.08000240982496128,30.0,0,997487239,-0.0008349055285681601,False,True,0.2689933770273308,0.05701249693573639
sliding_friction,0.08000240982496128,30.0,5,1043259958,-0.00034505435149908203,False,True,0.2622407445377439,0.060090963298184905
sliding_friction,0.08000240982496128,10.0,1,202997348,0.00021232434347539858,False,False,0.14663610472494643,0.0
sliding_friction,0.08000240982496128,30.0,4,1423866589,-0.001191408495059402,False,True,0.27243843438937365,0.05152689260730399
sliding_friction,0.08000240982496128,10.0,2,1870535478,-0.0008807114121022856,False,False,0.12506582994907653,0.0
sliding_friction,0.08000240982496128,10.0,3,1489928847,-0.0006711060556605689,False,False,0.11110184953358196,0.0
sliding_friction,0.08000240982496128,10.0,8,1535701566,0.0009938288845069221,False,False,0.07597721542849512,0.0
sliding_friction,0.08000240982496128,10.0,7,1916308197,-0.0003891022351211887,False,False,0.0859066259658437,0.0
sliding_friction,0.08000240982496128,10.0,4,1009983329,0.0003594832228356864,False,False,0.0719249223585703,0.0
sliding_friction,0.08000240982496128,10.0,6,248770067,0.0013327285963997655,False,False,0.110879108851046,0.0
