param_name,param_value,ctrl_freq,n_trials,n_success,success_rate,mean_vx_mm_s,std_vx_mm_s
rolling_friction,1e-06,10.0,10,10,1.0,63.12174407961061,2.346323849833033
rolling_friction,1e-06,30.0,10,9,0.9,102.59013761443902,6.136038153048354
rolling_friction,1e-06,50.0,10,7,0.7,98.25239957315114,9.23887031438659
rolling_friction,1.2161258462064779e-06,10.0,10,10,1.0,61.544596801349385,3.1744177090792407
rolling_friction,1.2161258462064779e-06,30.0,10,8,0.8,83.12091378074655,22.829370064965943
rolling_friction,1.2161258462064779e-06,50.0,10,8,0.8,94.39777307208192,14.156538595890625
rolling_friction,1.4789620738114217e-06,10.0,10,10,1.0,63.19729680060051,5.444896777382072
rolling_friction,1.4789620738114217e-06,30.0,10,9,0.9,87.9903852911212,22.16123979458945
rolling_friction,1.4789620738114217e-06,50.0,10,7,0.7,90.91338866162002,17.626755757604595
rolling_friction,3.845727595412111e-05,10.0,10,10,1.0,64.30052972441189,2.232599201347162
rolling_friction,3.845727595412111e-05,30.0,10,8,0.8,87.19949551607618,24.730190722067686
rolling_friction,3.845727595412111e-05,50.0,10,6,0.6,96.61479369207495,7.257243877887277
rolling_friction,0.001,10.0,10,0,0.0,0.0,0.0
rolling_friction,0.001,30.0,10,2,0.2,43.72304788507574,2.0161980372964408
rolling_friction,0.001,50.0,10,0,0.0,0.0,0.0
sliding_friction,0.01,10.0,10,0,0.0,0.0,0.0
sliding_friction,0.01,30.0,10,7,0.7,53.591501590757616,10.537683644138363
sliding_friction,0.01,50.0,10,10,1.0,71.37965666706222,16.36332807795255
sliding_friction,0.08000240982496128,10.0,10,0,0.0,0.0,0.0
sliding_friction,0.08000240982496128,30.0,10,8,0.8,57.25814302908863,9.259914332724984
sliding_friction,0.08000240982496128,50.0,10,10,1.0,77.818619709915,13.982985339587405
sliding_friction,0.6400385577801061,10.0,10,9,0.9,63.174241114485056,4.017048184981732
sliding_friction,0.6400385577801061,30.0,10,9,0.9,88.79534182258612,21.193285148038292
sliding_friction,0.6400385577801061,50.0,10,7,0.7,95.50109865843334,16.105672929673098
sliding_friction,1.1314049299699078,10.0,10,9,0.9,76.14632727430602,11.011670951486458
sliding_friction,1.1314049299699078,30.0,10,9,0.9,118.67728984076348,19.56805494193158
sliding_friction,1.1314049299699078,50.0,10,9,0.9,87.27604484493607,27.152348063639725
sliding_friction,2.0,10.0,10,10,1.0,80.30416382052177,7.368444852767377
sliding_friction,2.0,30.0,10,4,0.4,111.19999590450148,33.124739766999966
sliding_friction,2.0,50.0,10,4,0.4,67.96100193996286,13.839316940970159
torsional_friction,1e-06,10.0,10,10,1.0,63.86415082257795,4.810264574121502
torsional_friction,1e-06,30.0,10,10,1.0,91.41926148817818,20.385590220495022
torsional_friction,1e-06,50.0,10,10,1.0,85.28355475635034,20.458496490705052
torsional_friction,4.849351284006162e-06,10.0,10,9,0.9,62.4199068008562,6.596899533367705
torsional_friction,4.849351284006162e-06,30.0,10,6,0.6,103.18287554984964,2.3238728008803764
torsional_friction,4.849351284006162e-06,50.0,10,7,0.7,94.33730366844168,22.313977554391816
torsional_friction,2.351620787569221e-05,10.0,10,10,1.0,65.3526126418703,2.4777043002708266
torsional_friction,2.351620787569221e-05,30.0,10,8,0.8,88.92264570011156,18.136038978325978
torsional_friction,2.351620787569221e-05,50.0,10,8,0.8,90.31043973450593,13.235086345050803
torsional_friction,0.0048493512840061615,10.0,10,8,0.8,50.06076162202424,2.4050363608336998
torsional_friction,0.0048493512840061615,30.0,10,4,0.4,43.808679025311356,2.514923310118694
torsional_friction,0.0048493512840061615,50.0,10,0,0.0,0.0,0.0
torsional_friction,1.0,10.0,10,0,0.0,0.0,0.0
torsional_friction,1.0,30.0,10,0,0.0,0.0,0.0
torsional_friction,1.0,50.0,10,0,0.0,0.0,0.0
