param_name,param_value,ctrl_freq,trial,rng_seed,jitter_y,crash,success,max_x,vx_m_s
sliding_friction,0.01,30.0,4,926713289,0.002422257528394283,False,True,0.3388998562368481,0.07710017121141373
sliding_friction,0.01,30.0,5,546106658,-0.002431522475244949,False,True,0.317779868849432,0.054697635761797536
sliding_friction,0.01,30.0,1,20388421,0.0012290091774592449,False,True,0.17348728317039236,0.04516527083684179
sliding_friction,0.01,30.0,3,1307319920,0.002764325227429406,False,True,0.19885291804398653,0.044264326215730725
sliding_friction,0.01,10.0,1,1264764874,0.0019209088457732837,False,False,0.08866699383028735,0.0
sliding_friction,0.01,30.0,0,500333939,0.0014804805394286703,False,False,0.12346420962405649,0.0
sliding_friction,0.01,10.0,3,404212725,0.00022301702955770204,False,False,0.1432610696076023,0.0
sliding_friction,0.01,10.0,5,1790483111,-0.0021077440589789883,False,False,0.13791182334909402,0.0
sliding_friction,0.01,10.0,7,929930962,-9.039641474506595e-05,False,False,0.09470221485876722,0.0
sliding_friction,0.01,10.0,8,449985444,0.000249687500698773,False,False,0.07656392695560384,0.0
sliding_friction,0.01,10.0,4,23606094,0.000718439139057911,False,False,0.04487247877587199,0.0
sliding_friction,0.01,10.0,0,1744710392,0.0025384523836741854,False,False,0.1434776546899911,0.0
sliding_friction,0.01,10.0,2,884158243,0.00018516357016112135,False,False,0.08514395580143236,0.0
sliding_friction,0.01,10.0,6,1310537593,-0.0025053272994899145,False,False,0.04335416994947234,0.0
sliding_friction,0.01,30.0,2,1787265438,0.0007765795020059536,False,False,0.09589952757038789,0.0
sliding_friction,0.01,10.0,9,69378813,-0.0010594425222849378,False,False,0.0868643860780017,0.0
sliding_friction,0.01,50.0,0,9557462,0.00032062410146900403,False,True,0.5322617731287085,0.07897449549886101
sliding_friction,0.01,30.0,7,1833038157,0.0012125101601635144,False,True,0.2823741531257955,0.056682286578226805
sliding_friction,0.01,50.0,6,1822207198,0.002763247150205996,False,True,0.5860904719568876,0.10825498937444716
sliding_friction,0.01,50.0,2,1395827848,0.0016111275920321615,False,True,0.48805295233075296,0.0723744460246946
sliding_friction,0.01,50.0,5,55330181,0.0015753050166957203,False,True,0.42569104354279774,0.08601289848078238
sliding_friction,0.01,50.0,1,1776434479,-0.0026498571615886125,False,True,0.2628636313401834,0.05743513653051678
sliding_friction,0.01,30.0,6,66161140,-0.0009735865152406642,False,True,0.2146342136565946,0.04683427731652633
