timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene1_f50,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,vel_scene4_f50,vel_scene_wheel_f10,vel_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-25T12:24:18,0.6,8,ceb6252f,1.509676,0.0654,0.1252,0.1574,0.0983,0.1741,0.2869,0.0794,0.2874,0.4135,0.1565,0.4589,0.000783,0.002199,0.017732,0.001250,0.000245,0.010822,0.000773,0.008137,0.043861,0.003357,0.004758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.9,3.8,7.8,1.9,1.7,5.1,0.5,4.2,8.0,1.4,1.7,1.92,10.70,8.39,2.96,3.39,7.54,1.08,1.46,2.74,0.13,0.13,0.6002178135060692,0.0003145392152728513,5.061891280742423e-06,0.0027372686279007684,3.069212248262374,0.5416674238523249,0.641145047811937,1.571296051592018e-05,0.24167916655353822,5.218173481004148,0.5063018943166766,1.2906241765717217,5.252323317629268e-10,0.15048899880210848,1.1830023649223516e-06,3.664048430272669e-05,0.8354609707955132
2026-02-25T12:24:52,1.1,16,5e6c674b,0.777019,0.0488,0.1205,0.1449,0.0698,0.1576,0.2391,0.1031,0.2772,0.3911,0.1471,0.3971,0.000905,0.003769,0.010096,0.003923,0.002467,0.013046,0.002305,0.007566,0.015455,0.000728,0.005703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.0,1.3,37.0,1.5,2.1,4.9,1.2,9.4,10.7,1.8,2.7,2.52,11.43,12.86,5.13,7.95,7.35,1.97,2.61,3.48,0.23,0.44,0.3598208930542594,0.0002310900608288798,7.849312299341864e-06,0.0027752865921463316,2.904459858199234,0.5042194413888388,0.540197922621239,1.8403074019054933e-05,0.24598819942855324,5.142657996946633,0.5466610852790826,1.3439261897900632,4.835055623479402e-10,0.07386829303831526,1.3851197971949629e-06,3.881085773517303e-05,0.7719850494343234
2026-02-25T12:25:25,1.7,24,e0b0c529,0.504686,0.0539,0.1098,0.1406,0.0762,0.1480,0.2281,0.1013,0.2509,0.3432,0.1576,0.4469,0.000217,0.002226,0.004292,0.001071,0.005373,0.015844,0.000165,0.014372,0.024921,0.002036,0.003479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.3,2.2,30.3,1.9,8.8,4.9,1.2,3.8,6.1,0.0,1.1,1.94,12.89,12.20,4.14,6.39,8.12,1.22,2.33,3.15,0.10,0.14,0.39106761121421785,0.00014199152027811785,5.886707298029916e-06,0.0015045951701435955,2.587056194223233,0.6211748765662848,0.7722101656335392,1.2482966313987949e-05,0.6066482287219611,5.125267061547918,0.5094679650092077,1.4583689031992702,5.425957428709503e-10,3.93177206032197e-05,1.0149215691726876e-06,0.0005174122566923302,0.9136302668626166
2026-02-25T12:29:22,5.6,80,a8756333,0.364313,0.0512,0.1171,0.1421,0.0754,0.1521,0.2747,0.0971,0.2835,0.3418,0.1577,0.4259,0.000032,0.006750,0.007294,0.001317,0.005862,0.013074,0.000379,0.006906,0.013665,0.000525,0.005582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.1,7.8,11.3,0.7,3.8,12.7,2.4,7.0,5.7,1.2,5.7,2.08,12.04,10.58,4.08,5.64,7.44,1.79,2.35,3.46,0.10,0.28,0.4308209661051762,0.0002471064764109003,6.9509296548663385e-06,0.0024459554297239414,2.2900640533925958,0.6391457074018909,0.7307404475549175,1.4039011262724217e-05,0.6079878202459377,4.859010210436904,0.5663947270797441,1.2091054058418804,4.657628993115193e-10,0.14253449401206095,1.1664088414438855e-06,0.0001490646893796882,0.9027634606323909
2026-02-25T12:30:31,6.8,96,925cbeb1,0.249474,0.0553,0.1056,0.1448,0.0805,0.1650,0.2589,0.1043,0.2722,0.3143,0.1455,0.4246,0.000257,0.000432,0.007604,0.001682,0.006620,0.010188,0.001825,0.012072,0.054373,0.001749,0.006620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,2.6,4.4,1.1,2.4,4.3,2.7,9.5,8.3,1.1,2.1,2.57,15.55,12.00,4.22,5.91,7.84,2.01,2.99,3.14,0.26,0.28,0.4199197879696204,0.0001397251382737596,5.8762977230254985e-06,0.0019749874526485615,2.865440565968217,0.6744622526976387,0.9593219939285053,2.2943964115497775e-05,0.5623716024872661,4.807486876983163,0.6713563476458069,1.1577714303337792,5.645954062598463e-10,0.11623319882225522,1.1306570448871178e-06,0.00032948193274424606,0.986661841339341
2026-02-25T12:32:49,9.1,128,ae83de96,0.238997,0.0509,0.1155,0.1325,0.0871,0.1716,0.2641,0.1091,0.2838,0.3664,0.1590,0.4449,0.001293,0.003604,0.003395,0.001928,0.009736,0.017831,0.002518,0.011424,0.011328,0.002741,0.004879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.1,1.0,13.5,2.0,2.6,3.8,0.9,3.1,20.2,0.6,2.2,2.34,9.14,9.35,3.08,5.72,8.01,1.53,2.52,3.22,0.04,0.25,0.5462020214505386,0.00020472761998026695,7.277083227847335e-06,0.0018569718065538873,2.2167993360315665,0.8674234362022238,0.8108235252045763,2.1759290989593854e-05,0.6473180768836959,5.06988904894511,0.6204692060184664,1.2428473869257906,5.160062646014909e-10,0.22965181575681787,1.5093029073209416e-06,0.0007956969073402453,0.9748385506677257
2026-02-25T12:33:57,10.2,144,6d642762,0.207412,0.0558,0.1190,0.1417,0.0830,0.1613,0.2571,0.1054,0.2719,0.3572,0.1465,0.4755,0.000347,0.003513,0.015212,0.001717,0.005004,0.016745,0.000837,0.011145,0.006918,0.001402,0.007908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0,2.1,13.6,6.0,0.6,1.8,0.7,4.0,3.8,1.1,1.2,2.45,12.19,10.02,4.26,5.87,6.36,1.76,2.50,2.71,0.07,0.19,0.4764055359153559,0.0002047030021329868,6.43624616205468e-06,0.002057170299558192,3.1180256834361315,0.6060847312898636,0.7794053958420646,2.1177747440277417e-05,0.5909265007849812,5.0788181505482735,0.7091156507448475,0.9795364794196723,5.793792833447751e-10,0.016590175213695182,1.5361960779233615e-06,0.0010561461886054193,0.9130264766875364
2026-02-25T12:44:36,20.9,296,2b50dd3c,0.133755,0.0537,0.1144,0.1476,0.0874,0.1645,0.2658,0.1086,0.2934,0.3326,0.1474,0.4479,0.001320,0.003438,0.011468,0.001229,0.000451,0.008272,0.002249,0.007894,0.012517,0.001693,0.010323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.8,5.4,10.8,0.9,5.0,11.3,4.7,7.3,13.5,0.2,2.9,2.47,12.57,11.15,3.74,5.12,8.29,1.68,2.77,3.34,0.17,0.24,0.5291195984671662,0.0001457243083262644,6.232305622663436e-06,0.002115226304904945,2.063636013846004,0.46075391104040436,0.9226615361786693,4.1462357704999156e-05,0.5025953909735825,4.952287536218813,0.7266790593677661,1.0478239436661763,6.023756572464482e-10,0.020091295844375533,1.1043713444606356e-06,0.0010997641696220647,0.9582032697045864
2026-02-25T14:22:12,118.5,1632,3f69672c,0.127636,0.0539,0.1251,0.1431,0.0807,0.1650,0.2645,0.1083,0.2723,0.3117,0.1491,0.4277,0.000566,0.003750,0.012229,0.005242,0.004033,0.013771,0.000460,0.010496,0.003698,0.002216,0.006712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.0,5.5,13.1,2.5,2.5,16.5,3.7,8.9,42.4,1.5,7.2,2.62,12.61,12.69,4.43,6.19,7.25,1.95,2.78,2.88,0.13,0.37,0.4067415162382437,0.0001598832061548777,4.591348631378625e-06,0.002046553443113131,3.8186561171444096,0.43524706654498085,0.988954449244754,4.6887126279039634e-05,0.6473380150564967,5.037567575958023,0.6545005423370444,1.1389204964634818,5.324867233622363e-10,0.16236228774673808,1.0341954878538795e-06,0.0006920906564202648,0.993663097364424
