id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f20,velocity_scene1_f30,velocity_scene1_f50,velocity_scene2_f10,velocity_scene2_f20,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f20,velocity_scene4_f30,velocity_scene4_f50,velocity_scene_wheel_f10,velocity_scene_wheel_f20,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f20,cost_scene1_f30,cost_scene1_f50,cost_scene2_f10,cost_scene2_f20,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f20,cost_scene4_f30,cost_scene4_f50,cost_scene_wheel_f10,cost_scene_wheel_f20,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f20,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f20,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f20,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f20,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
41f12ba7,2.0519493288523547,0.6,0.08804999334232948,0.12018050404181357,0.23025086346066823,0.2878442873422434,0.4678612976681322,1.364019417410637,0.17426096779446834,0.015337560300503468,0.040915854422229704,,0.10157363509362356,0.12166049051113516,0.06270409064177525,,0.1245919952908198,0.1732454261928457,0.1026980622410953,,0.23927213398120653,0.34878239415970275,0.14735473324576498,,0.4283338414387218,0.20174110671491127,,0.10410512818200497,0.16201506277121597,0.3034596128844871,,0.469047011620643,0.591512792905507,0.03519631884591698,,0.0831705866962194,0.055894062252331955,0.004389912471965164,,0.010947647828538304,0.00048540842434395304,,0.0020675441476012426,0.011625571170787701,0.002455976750721592,,0.006419631685601651,0.011239134946047887,0.0016809612489444962,,0.0014018264077668642,0.009997026314118439,0.0006719658299032367,,0.002879347229531649,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.3516692508143069,,3.6425379488988208,31.9193148103124,2.074427337977628,,8.13538260182384,16.577772093073925,1.1331780205354332,,2.505970870907156,30.109587614917054,1.6120388861372632,,1.2495194665499425,2.1800827096275555,,12.347310303988305,10.373718242027612,4.651584270390696,,6.552841192382761,7.050505560947905,1.8049046722585818,,1.9648368542678238,2.839674521567334,0.23131201501705922,,0.26418388074269833,0.2307159396484594,0.0002960299152014914,2.0327980291935163e-06,0.002442761494678056,3.027565870055387,0.44742667107946593,0.3134771523439055,1.638652681925287e-05,0.2795443067802434,5.275623482132399,0.50891930013299,1.1896200342840475,4.140928500492816e-10,0.15333273194318014,1.0026504838922423e-06,0.00019017408411480368,0.6206144369754328
18657861,1.9556611583521515,0.6,0.10831001140523144,0.16199841752863478,0.2404793543392921,0.3119263924124039,1.0147441122272636,0.7081333861903832,0.09981082712062075,0.06784579211208046,0.07084070787328264,,0.13459518555148275,0.11949414079092896,0.1086036819342509,,0.17033101242814558,0.2070605582235079,0.1094526216182128,,0.2551571280507481,0.35682831334891535,0.133199512415712,,0.49065327240909573,0.7357738647249017,,0.08982636793853367,0.18914387956382814,0.46614778493866665,,0.01338685975226534,0.22859874149945125,0.002850536086046458,,0.025973084753353012,0.07098720628122128,0.02438598479810014,,0.04345980731398032,0.0003192026551635879,,0.0057646176183243575,0.029801356570452436,0.0013423819322424685,,0.007110152300027079,0.009855037517958819,0.002416436476019624,,0.011547621233346902,0.04848891585511877,0.001391704991441906,,0.01452090675177602,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.172568091310672,,2.7592850131795075,23.224529548223003,2.830723260863698,,3.19930436165302,6.762843042105947,5.387131408595338,,8.226418817395496,18.380479514695722,2.1870854761060396,,1.6051600029143847,2.011910856248039,,7.823350272046312,7.56908819629068,1.8251189948132953,,3.960812126840975,5.749756688696259,0.9864267764208167,,1.7458429010831287,2.7780125938035556,0.03648360200943623,,0.09915290169769521,0.6651990143032538,0.00024459676410475205,4.094430126069717e-06,0.002018351375039492,2.876533597919,0.4491778246175582,0.5089810054992285,7.963867343344754e-06,0.3166803541318775,4.945671123073572,0.7898182166079848,0.8180138511983639,6.162233995650465e-10,0.0017903200792633938,1.0450721707969293e-06,0.0001311478234313829,0.7294849511944359
3989d73e,9.151027548608047,0.6,0.07340896608026422,0.14246876954507826,0.19640901564801247,0.08033480167035825,1.4897358329662058,0.7391012903570559,0.5174420846706285,6.294258100800651,0.03354086971959422,,0.08792039646107899,0.09876563206011946,0.05861171653210824,,0.14447213209458898,0.22432246000853753,0.0976351159350458,,0.25548581120342795,0.23610611980556365,0.014939043282295329,,0.14573056005842117,0.594798787906263,,0.3362575834099267,0.5586794616500161,0.43671120205052943,,0.1914010725187929,0.1109890157877335,0.08325158299561608,,0.02496831327659826,0.4092221883984142,4.011590664859135,,2.2826674359415153,0.0021275952207282624,,0.003463607664579527,0.01304326971048662,0.0017110572470494267,,0.004997569757354183,0.01564299482197929,0.0009981963228021574,,0.010128207439019604,0.037049844421917694,0.0033084959098394883,,0.005557036847393943,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.504140675116325,,17.082976078034278,11.001336557834207,5.140736073482617,,4.904983160371308,27.159570552984174,1.6556109998127713,,2.5814664393376634,6.5018837670825445,25.388536453087283,,7.931220322186985,2.933594350955069,,12.036075662690694,12.38149563830372,5.446071104487296,,7.394176780068184,7.3772990277902695,2.3782228813820834,,2.9720314565333426,3.0128723545526337,0.7861454708339796,,0.7639530313311202,0.28782151809519835,0.00031147674556008864,3.7727844163199077e-06,0.0029456010345736946,1.434170372307407,0.4401052664495723,0.5809891952415203,1.1768959586269185e-05,0.2957720005754625,5.303017573401881,0.6311954090753714,1.0844215843344658,3.9487543847691863e-10,0.1385061557531984,1.0992273731511936e-06,4.0216587571919405e-07,0.7653399581954765
ceb6252f,1.5096757543400614,0.6,0.1159906090140815,0.18645189185485278,0.2601259331799099,0.30770821958588407,0.4176302683504432,0.2106434789025265,0.7920454957535581,0.046172539015696235,0.06538549147702238,,0.12522576811075115,0.15736056745447094,0.09834802119468292,,0.17410420585744368,0.2869034485124317,0.07944086543711887,,0.2874429626635589,0.4134939714390518,0.1565468159306369,,0.45886962324113123,0.38381541962758675,,0.015136513865017822,0.018678334857838673,0.16575079469079268,,0.004682157847521206,0.04021052636421261,0.42439527408583677,,0.011090603587732863,0.35655961807998854,0.04350956381847649,,0.0026629751972197476,0.0007832360423719251,,0.0021986135216455825,0.01773190450109372,0.001249658648586756,,0.00024481655356540507,0.010821505621260878,0.0007727321579530973,,0.008137179914636333,0.04386052441685026,0.0033569899061833427,,0.0047578622485748515,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.9376391477171268,,3.8163992575010206,7.814427849338378,1.8771865858802947,,1.653269754419965,5.119989121298131,0.5248624378515874,,4.190017421149832,8.011110366666715,1.377270614920597,,1.724055854907006,1.9221510274298605,,10.704507310167472,8.386962241041442,2.9588451949404115,,3.387515916791097,7.544500644729342,1.0816975225423437,,1.4552457060096846,2.7351889436720316,0.13002088391679553,,0.12766951222822198,0.6002178135060692,0.0003145392152728513,5.061891280742423e-06,0.0027372686279007684,3.069212248262374,0.5416674238523249,0.641145047811937,1.571296051592018e-05,0.24167916655353822,5.218173481004148,0.5063018943166766,1.2906241765717217,5.252323317629268e-10,0.15048899880210848,1.1830023649223516e-06,3.664048430272669e-05,0.8354609707955132
38888ae6,1.5988301015532285,0.6,0.08958366136217084,0.15331761535275276,0.2168970802305291,0.3135420036822378,0.7868604519649929,0.38380364909245784,0.339503913240219,0.04042020627338776,0.06295844072003862,,0.09741048939084138,0.10838205397563251,0.09255563264151676,,0.14236010869804533,0.2250371047186962,0.08459094446078388,,0.25599380604028293,0.3101064901905204,0.15345744069523187,,0.4736265666692437,0.26371181223209045,,0.16084418669950876,0.36230445303339365,0.06322436585375892,,0.21498808415533263,0.10559119908336627,0.30111856411308596,,0.024433876554890054,0.013951472572243008,0.025674707679157457,,0.014745498594230296,0.0003011764541712881,,0.0006351389657663634,0.002876554461697179,0.0004008248915923683,,0.001995960258213005,0.00042857051477157354,0.0016989477601931668,,0.006595433211949034,0.03994622400619557,0.0013462731543381783,,0.0022351186465696636,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.8594672093576694,,3.9162961574883752,3.592319582097913,1.0542306119147749,,3.4775612625790515,8.538897569154079,0.9466484398116912,,1.2047976501129254,10.738300659583208,1.3126129390703334,,1.2879263672501204,2.9796221753453214,,17.463002483690442,10.73367649051965,3.064288977506239,,7.077240394825311,7.333996533336733,1.2948037387810303,,2.1546974577198736,2.6881698521904114,0.10507471941599228,,0.15136874758963303,0.4748054439499056,0.0002780724108620003,4.328390966345824e-06,0.002132468321727367,2.881066397515141,0.39618988213695594,0.7776283157402542,2.4529469795492058e-05,0.43139218486969255,5.15380037316625,0.6336147980457759,1.0179966362236306,9.74054613470595e-10,0.24322026014610343,1.0225482278694472e-06,2.9491356308144426e-05,0.8656519642861452
1bb6af25,2.227284433559034,0.6,0.10312276977750878,0.14986312696871398,0.22327543959720977,0.30092920570923315,1.1147621828163252,0.9002263326072677,0.10441730032018218,0.03118707341860528,0.07247610093008647,,0.12121197635681104,0.11568023204562881,0.10670260635194893,,0.14227466279403742,0.20061211176015567,0.10162615929006935,,0.2615089738759297,0.3066911856256303,0.1543940235352578,,0.4474643878832085,0.8634111528322072,,0.002374310586628742,0.24897671939748942,0.3989899161133981,,0.21599257241528125,0.2852438440785883,0.04365131470558428,,0.012185865193500501,0.0485801204210974,0.030558506476046837,,0.0006285669425584443,0.0011776726484777561,,0.003907931959466057,0.037600961910364314,0.001094083363397353,,0.0027128865766466665,0.014776402684334977,0.0037606807510894096,,0.005873971574867292,0.00496201715274113,0.0010322603865257358,,0.007334696108667574,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.626621830910874,,3.3694613838829537,28.568037899569124,1.0062019829228217,,3.9268977000705085,8.669852776370394,1.7073722492810546,,1.1765300612878673,25.40362624545678,1.672127592586855,,1.1718621827375872,1.2804095521179482,,8.113471266626883,7.386814333593584,1.4804082315340594,,3.658542692246512,5.692525389127596,1.009056925542125,,1.9182922078496518,2.6076013920644914,0.041169635658418795,,0.15336287555984118,0.5006127997551909,0.00021086703601117047,4.0388833203578156e-06,0.0015790848410087033,5.334255939473967,0.30215582601055346,0.5413607792458734,2.959326079592151e-05,0.22464257804617602,5.195439187630568,0.5684722716162516,1.0653928919892237,3.5033179916605245e-10,0.024475367350981814,1.0160887300392563e-06,9.682002719421689e-05,0.6798871557557485
2a38e24c,3.719661502178452,0.6,0.07760415019577782,0.17460231372303148,0.2629227387764377,0.30773244086191087,1.8889414240797964,0.10269412405425582,1.5481325701388613,0.05376280163379661,0.05517135923566921,,0.11967146031759915,0.05796963103406511,0.07766797704826398,,0.1622800763333849,0.2838588877874456,0.08371543727607762,,0.22720370767752618,0.47784907137570926,0.15759518964790065,,0.45786969207592115,0.030090280128012747,,0.0012505329023962972,1.8576006110493872,0.02210852002690047,,0.04737151087699749,0.033214093150357865,0.3231968199113389,,0.16140713123805725,1.063528618989465,0.05062278928708033,,0.00314001234671628,0.0008570196219017798,,0.0032661025404562803,0.022592488812732705,0.0013852879726233937,,0.01272854174882552,0.014013277684982573,0.011945090334739164,,0.04884856693750091,0.01912495027352886,0.0023476101068210646,,0.012122078686062951,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.714161340648233,,6.07758450947812,34.563806424715175,4.375976303021022,,10.60354218199436,4.248526657781481,4.062609892160957,,3.5385029184950954,12.174301119091144,1.3013887201034613,,1.8350779562662578,1.5839617424732129,,6.327213546735683,4.723402991320548,2.9509440044566224,,5.50182358830623,3.724877377271009,1.0107348229342819,,2.1219025516849612,1.599444411192679,0.054782672448560416,,0.0999933574222296,0.526519371648979,0.0003011488489790599,2.8211129519540704e-06,0.0037831967776847833,2.4941201839205895,0.49498444835763356,0.4428161095220665,1.3895531911729899e-05,0.40098161697185264,5.022862500154287,0.5061306301824793,0.8347554075866948,3.9818722968703907e-10,8.989425789741453e-05,1.0652080544036e-06,4.663217768976254e-05,0.7185691885730943
5a7dd170,1.7373860522979538,0.6,0.08515465270549238,0.13320885380461325,0.231836594405095,0.3057727369848291,0.6691161647796755,0.861233741013715,0.10113890598179993,0.06199565616379916,0.055801250500159646,,0.09287203785261537,0.10679066976370213,0.08248878781396533,,0.12063208880353102,0.19650568479634345,0.09837784463183508,,0.25980144732004273,0.3373304912634072,0.15911070992659562,,0.45243476404306254,0.04038151936328505,,0.2367278534321919,0.3920067919841986,0.00036545242409144956,,0.5390724416640136,0.32179584692561,0.07492703732853921,,0.01496693491214978,0.011244933741110954,0.06174151213852315,,0.0002541440252760072,0.0007085467711169585,,0.0013431526072880456,0.0075328307271367596,0.00013550533453499962,,0.003241387486311762,0.0022162356859554916,0.001100756699540754,,0.008976289191055755,0.00735345114108791,0.0018016598298541701,,0.0022517992141674087,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.8213847467944153,,2.7438173058536965,2.766940443935711,1.3328138872735258,,3.4327161975316227,15.09586077401877,1.7967629963522473,,6.757800530969482,4.883414195017283,0.3414380746707773,,1.3817636592249167,2.651669794845004,,14.132070655000286,10.739253658389913,2.9530078734879965,,5.729658358850786,7.3817559012241905,1.1886336227446679,,1.4282109476896518,2.7008900946544054,0.02382497265065312,,0.1367968461941028,0.40465606803395615,0.0003795320633903831,3.5134642856870757e-06,0.001759066812606046,3.5079383448049013,0.48303276626656627,0.45789196777863683,2.1215895751899727e-05,0.13940015224029156,5.498974751385374,0.547788381576988,1.1611362891567296,8.096597507275918e-10,0.005398939740672384,1.008958025551254e-06,0.00011662319829727686,0.7197021210010688
f7352045,1.5544901280021446,1.1,0.08766915364090326,0.14788982735637662,0.2319912312219874,0.3116370691479152,0.6974096961699378,0.4714491981611856,0.25140787133099407,0.08780883302111557,0.05941382613753598,,0.09840335912683268,0.10519027565834109,0.08804795655950341,,0.13329639421887896,0.2223251312907475,0.08829063957407891,,0.2644570692788371,0.3432259848130462,0.16176668212088047,,0.46150745617495,0.1286853711796651,,0.14619301377483007,0.4225313112154426,0.01697852298840989,,0.33234934200474336,0.1221213331680323,0.2255768536370597,,0.007290778453013225,0.018540239240921127,0.08407717480530473,,0.003731658215810838,0.0005729152586830293,,0.0008088544373672101,0.002007097087160317,0.0006798457109759336,,0.0017645163927766407,0.014371401532612451,0.0014832565120886023,,0.006588500372651713,0.035106979011946586,0.0022045375796462675,,0.008448213711747499,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.9045512615507848,,2.9230318824418715,0.5111643676106693,1.6183573580455473,,1.8833560548617816,5.513823115867929,1.3023969626145082,,7.065248715076255,9.443986618398815,0.7699399794190982,,1.9816343124796127,2.9307874349259606,,15.694961691437713,10.932600261120653,3.1673285339645285,,7.10715898099401,7.175480968287413,1.76231625238637,,1.389912171089637,2.807089564468855,0.02782868159057262,,0.13887040663347108,0.4732413657229576,0.0003459918746316604,9.939511981978916e-06,0.0020046571471838514,2.2117257579717218,0.6152678422862726,0.8159446710385455,1.3186170207489323e-05,0.024996767148159123,5.1290184574898285,0.5164399940894822,1.28637617204657,9.052960639333554e-10,0.26815423086846313,1.1017291335934466e-06,0.00018119935801323318,0.9291064016828459
e6416ab8,1.0447779377809168,1.1,0.0957957376353487,0.1361019974277978,0.23440641013200017,0.30476315019465183,0.15300163819308518,0.7673677364314976,0.03670241344708382,0.05967591839889573,0.05120398653144417,,0.11271888000196428,0.1234643463726376,0.08297812261216499,,0.12273999599769803,0.20258787367353034,0.10662489133658112,,0.2587800532654555,0.3378142857939639,0.15882476320691724,,0.4507015371823865,6.2464478569943455e-06,,0.012696559349456654,0.14029883239577154,0.0003123597503229635,,0.5012151894153805,0.26584018726579417,0.011944069859923356,,0.016979995651085687,0.0077783479360747755,0.05953003247527491,,0.00014588592362081788,0.0003744741946782427,,0.0005537615257758731,0.0037280589709656445,0.00019976585702960364,,0.0035012209968036116,0.001695141619343991,0.00182820012597578,,0.0061106640292844456,0.02814704082596486,0.0008321888705139387,,0.0024807473693686014,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.620360471452612,,8.74123937884642,9.027892271524637,0.8273695393201346,,0.7278625672706233,28.846653507687947,1.3389086399507955,,5.056847265405734,14.917370385521115,1.5726717006660007,,1.5221617906205829,1.752135075834503,,10.749085744393788,10.509784594581769,2.23382340641902,,5.9111960665936065,6.656457556515115,1.3327978500311826,,1.6834868574802546,2.894902521806838,0.03358208959837717,,0.1331507736126951,0.38961481714614216,0.00014709598275965032,4.86609499370429e-06,0.0017473883809873572,2.467321921471084,0.45537839251256707,0.5016438234593266,1.6792055389665684e-05,0.5186297259827278,5.519131064946043,0.5123239663566924,1.2694999995899365,5.599687109981383e-10,0.11439143366219547,1.0147971264867233e-06,3.449829030071776e-05,0.7285342936487815
