scene,freq,trial,seed,velocity_mps,target_mps,cot,energy_ext_J,distance_m,robot_mass_kg,total_time_s,avg_power_ext_W
scene1,10.0,4,77781,0.056276651708567035,0.0512,13.434949268526173,0.002355955002349976,0.17355004413236083,0.00010300000000000002,2.900000000000169,-0.00016916473579973047
scene1,10.0,7,77784,0.05719599115706259,0.0512,14.400956666030979,0.0025658995516578383,0.17633644264511436,0.00010300000000000002,2.900000000000169,-0.0001733212498802093
scene1,10.0,1,77778,0.05736047703707524,0.0512,13.613784338107552,0.0024321356550568995,0.1768083193436913,0.00010300000000000002,2.900000000000169,-0.00017488374232136751
scene1,20.0,1,77878,0.10402730056224094,0.1264,7.313541995366923,0.002260295816515857,0.30586606059035426,0.00010300000000000002,2.900000000000169,-9.492731408121615e-05
scene1,20.0,5,77882,0.10045143821055746,0.1264,6.8203678331606765,0.0020355866877097015,0.2953762499533311,0.00010300000000000002,2.900000000000169,-7.355218326332527e-05
scene1,20.0,8,77885,0.1001355347919119,0.1264,7.301397804987567,0.002183198634198457,0.2959245582356166,0.00010300000000000002,2.900000000000169,-7.556370913047099e-05
scene1,30.0,5,77982,0.11906235960340364,0.1187,7.461842845318219,0.0026541061611312002,0.35201888255495606,0.00010300000000000002,2.900000000000169,-3.9042380034925977e-05
scene1,30.0,0,77977,0.12254135469880958,0.1187,7.373418116010078,0.0026891094127719888,0.360938641289947,0.00010300000000000002,2.900000000000169,-3.068643397970931e-05
scene1,30.0,8,77985,0.12300630735252287,0.1187,6.347119561735519,0.0023449068301072316,0.3656307221916858,0.00010300000000000002,2.900000000000169,-1.0741058380924865e-05
scene1,50.0,4,78081,0.1476820599046323,0.1483,7.092138517267512,0.003189206528270138,0.4450401600028706,0.00010300000000000002,2.900000000000169,0.00015081749967046367
scene1,50.0,9,78086,0.14742440795267156,0.1483,6.9714588115438,0.003156444355844871,0.44809308277159354,0.00010300000000000002,2.900000000000169,0.0001455201296247731
scene1,50.0,1,78078,0.14326570770987923,0.1483,6.5345359074829075,0.002923880227153976,0.442831593261533,0.00010300000000000002,2.900000000000169,0.00015290073943691855
scene2,10.0,8,78185,0.08307762352759161,0.0832,3.2042044599694055,0.0008026743803108017,0.2431984901579117,0.00010500000000000002,2.900000000000169,8.67780255671361e-06
scene2,10.0,3,78180,0.08307039061533755,0.0832,3.368352526747338,0.0008449528582224432,0.24353233628674645,0.00010500000000000002,2.900000000000169,6.106980392864832e-06
scene2,10.0,9,78186,0.08347693970352607,0.0832,3.54877891688398,0.0008927772074511636,0.24423384317582975,0.00010500000000000002,2.900000000000169,2.8564673683386072e-06
scene2,20.0,6,78283,0.13890468902085998,0.1131,2.5552365779231,0.0010665215341221865,0.40521004847949627,0.00010500000000000002,2.900000000000169,5.0196193740003964e-05
scene2,20.0,9,78286,0.14152047251075564,0.1131,2.443553018745607,0.0010396201686464787,0.413042388321203,0.00010500000000000002,2.900000000000169,4.920941432292066e-05
scene2,20.0,3,78280,0.143200123668547,0.1131,2.319719462049666,0.000996878077387606,0.41720381668298356,0.00010500000000000002,2.900000000000169,5.398951653962384e-05
scene2,30.0,1,78378,0.17932381127089336,0.1796,2.6607598831148223,0.0014385705337292987,0.5248886356545434,0.00010500000000000002,2.900000000000169,9.839750306923782e-05
scene2,30.0,8,78385,0.18008271562938444,0.1796,2.31220406085342,0.001251425629413835,0.525436912439861,0.00010500000000000002,2.900000000000169,0.00011326444751984881
scene2,30.0,4,78381,0.17810349886908047,0.1796,2.6912159501682447,0.0014408626371360171,0.5197754048155183,0.00010500000000000002,2.900000000000169,0.00010644797091074538
scene2,50.0,7,78484,0.26473160636744913,0.2633,3.0661556116865336,0.0024718908784525356,0.7826665918542859,0.00010500000000000002,2.900000000000169,0.0002780293085187706
scene2,50.0,2,78479,0.27293486455454363,0.2633,3.0331361529845493,0.00252111120482157,0.8069410155835097,0.00010500000000000002,2.900000000000169,0.00028162491936447215
scene2,50.0,1,78478,0.27430572840271616,0.2633,3.0255282939626817,0.0025203463678814524,0.808724693959651,0.00010500000000000002,2.900000000000169,0.0002811145618534063
scene4,10.0,7,78584,0.11214387678115735,0.1121,1.5046506086634737,0.0005257513595225375,0.3267753089395016,0.000109,2.900000000000169,3.601633567568409e-05
scene4,10.0,4,78581,0.11015285644404946,0.1121,1.536486819073157,0.000527277271521545,0.3209332447638737,0.000109,2.900000000000169,3.685574123718777e-05
scene4,10.0,9,78586,0.11002926549253626,0.1121,1.586784782319869,0.0005448311857815297,0.3211060041310414,0.000109,2.900000000000169,3.613062245015518e-05
scene4,20.0,6,78683,0.18792101356921628,0.1841,1.7074758658523201,0.0009999498086012235,0.5476815644804676,0.000109,2.900000000000169,7.158907773206004e-05
scene4,20.0,1,78678,0.19241860638612795,0.1841,1.6511868564228103,0.0009872353993261307,0.5591508522929293,0.000109,2.900000000000169,7.334347162495005e-05
scene4,20.0,5,78682,0.19404447923330095,0.1841,1.6899687084874597,0.001019347167361929,0.5640894168648461,0.000109,2.900000000000169,7.364819979490254e-05
scene4,30.0,3,78780,0.2906588426236435,0.2747,1.543060899193683,0.001405748838317664,0.8519795322170334,0.000109,2.900000000000169,0.00012905547111271605
scene4,30.0,1,78778,0.29347037304071605,0.2747,1.5595789895883037,0.0014302083061302874,0.8576229906417747,0.000109,2.900000000000169,0.00012906030648708215
scene4,30.0,8,78785,0.29544390967461626,0.2747,1.5287369524782024,0.0014134050156856795,0.8646460451891012,0.000109,2.900000000000169,0.00011977999648114405
scene4,50.0,7,78884,0.3341426258859144,0.3274,1.9929818956629828,0.0021534786753371828,1.0105125618283224,0.000109,2.900000000000169,0.00029449787180383296
scene4,50.0,3,78880,0.33564384693399557,0.3274,1.9765735921315915,0.0020958667780029234,0.9916426096708699,0.000109,2.900000000000169,0.00030421301815976396
scene4,50.0,8,78885,0.3170742532079489,0.3274,2.2071023223813717,0.002243863194794557,0.9507764192464039,0.000109,2.900000000000169,0.0002815906423427435
scene_wheel,10.0,2,78979,0.16343717799570526,0.1432,0.8178503544568421,0.00034962787307290806,0.4788746000517895,9.1e-05,2.900000000000169,1.7139339348766332e-06
scene_wheel,10.0,1,78978,0.1637413782721571,0.1432,0.7248960999941104,0.0003172103946949687,0.4901863882804707,9.1e-05,2.900000000000169,7.090484062498061e-06
