id,cost,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f30,velocity_scene1_f50,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,velocity_scene4_f50,velocity_scene_wheel_f10,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f30,cost_scene1_f50,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,cost_scene4_f50,cost_scene_wheel_f10,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f30,pitch_rms_scene1_f10,pitch_rms_scene1_f30,pitch_rms_scene1_f50,pitch_rms_scene2_f10,pitch_rms_scene2_f30,pitch_rms_scene2_f50,pitch_rms_scene4_f10,pitch_rms_scene4_f30,pitch_rms_scene4_f50,pitch_rms_scene_wheel_f10,pitch_rms_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping
5c8c3c5f,1.1122877506243884,0.08784166545175702,0.17536589138994893,0.2636501959688063,0.31932050524842176,0.4017739270414059,0.2728912864398079,0.268408079711418,0.09417345035440193,0.055409921609039244,0.11394070363436523,0.0941743711118666,0.10391742897673481,0.16176008304851885,0.26042016214459307,0.09588359329757673,0.24383326519360643,0.4512337294152359,0.16401075828977035,0.47463025220707317,0.006270370430025381,3.7857916590496686e-05,0.39546569869479004,0.26968672354153544,5.088626890163638e-06,0.0031994742713823544,0.04161490621322104,0.007819128463975051,0.2189740450342219,0.09287544751393792,0.0012980028404640156,0.0010068756114326896,0.005807029325206639,0.048554587642487435,0.0004904828227711856,0.0017931810527648468,0.05275472217928409,0.004620112500587813,0.026164349151542032,0.03219316932799488,0.0037974340177086997,0.007408035520378839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.517599959756539,4.7787240957455435,4.70381109723737,2.1851793706228286,2.3256739698899667,4.693345142229422,0.3741701203522392,1.8900637932837228,2.218433573579802,0.020887080714948006,0.11055412225186718,0.031419128521437766,0.00011200186335151865,3.713942149469403e-05,0.0016801739423246208,1.5317473534334014,0.9188258860598852,0.9989733614812008,0.003741062419910065,0.7574646352715633,2.0304488237253415,0.5014259899945579,1.0274698813092715,4.0302783212054575e-10
ad2e72b1,1.662669201122853,0.09027247785388502,0.17026957049409996,0.25698591668290705,0.3148376525210688,0.15872570833953747,1.3244407931211328,0.016779414512336194,0.08179502700782668,0.046803778297485145,0.11378055893385963,0.11023309633031028,0.12710413392550807,0.1544320358854911,0.22927254167130073,0.12324329644713364,0.26295338260956663,0.38476107099202095,0.16272931802648882,0.4669459870156488,0.015227285231148947,1.3144015413176784e-05,0.14348527909297534,1.308443501308854,0.00823924165519314,0.00775805015708576,0.012085812798978812,0.0016377311271030535,0.0030558705862543294,0.08105416147537906,0.0007408655324476186,0.0009645949662975732,0.0028667796633751654,0.017706580365737794,0.0036040357049157055,0.001659883917747105,0.02219137795796562,0.0018787718636869,0.03692799656251594,0.031723978911422326,0.0046859517995607,0.020167010396004874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0508221988760083,5.582715573408445,6.546787748553415,1.6607423408971127,3.1185067319884467,4.908636577743701,0.8184385387255313,1.7367283873794788,2.659775145076173,0.027196728216861657,0.12691307767168533,0.013667685443089732,6.474799178104667e-05,2.4453291692746733e-05,0.0010000970731152282,1.6140087250810218,0.8761463685503234,0.9730451016538274,0.004761347513468598,0.7940204728665242,1.959191581336474,0.6110929264738932,1.0156714365116195,3.8519281620972907e-10
9a805fdf,3.335963650601194,0.06530650067719844,0.13970998869854415,0.23513355003047406,0.31385024762039615,2.017373909684957,1.027481167324479,0.058231918192349595,0.08009961354801308,0.05816106436456431,0.08957550775331,0.04818292991372102,0.11294460213450255,0.1404322253090538,0.16575313865207603,0.1085499252570111,0.22562204591671758,0.3712286789176935,0.16257836656722546,0.4651221286735668,0.04083747230985487,0.09640915556699967,1.8801272818081023,0.5804571549881141,0.07099545257762856,0.3760285597587365,9.191558871334569e-07,0.056450548448958145,0.0017804505875043172,0.07971754889763347,0.0003820646503796103,0.0012958161224394462,0.010759189606129167,0.039215679446598706,0.00297164734360081,0.0016127363855300684,0.04646817994199218,0.0007041712145548339,0.03012109834481405,0.032837669077187506,0.0029941724277270524,0.015023739176727832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1906624888708586,5.020008457233857,3.493274530708873,1.4331674810344646,1.8489582923875987,3.6630381333372872,0.31143703691665003,1.4367270141820798,2.374142663123635,0.020330155264613403,0.12182980014701293,0.017784349115742074,0.00013375803881666507,2.413151621415307e-05,0.0010416711765512709,1.4766135196011887,0.9893987877673686,0.9912100365201996,0.001991662447560425,0.8999918910749019,1.7659291133987571,0.5352449517904998,0.8033693447868591,2.343159865151764e-10
5ff6e9fd,8.07392369929578,0.05926744768412825,0.17374017096571884,0.2758596502977395,0.31518398723732355,6.199412852852966,1.3802327006303168,0.10300977494685457,0.0648988737063254,-0.005735839817954679,0.0863014601306542,0.0972367227396852,0.12754368569394292,0.17795473994883887,0.21572208725437467,0.13232133900545712,0.30950230458146066,0.3857553073063008,0.16074954493693122,0.4696184295377159,5.676966853042844,0.14247877198297942,0.3799672278271431,1.3408231112485056,0.00012101722338082157,0.039288572158430304,0.08072749692902087,0.01373370561862781,0.00854857239920588,0.06455603873318792,0.0003428349731374668,0.0024458705637741703,0.0065124379988499665,0.016139454383924366,0.0009829116393260603,0.010654889618998388,0.05495272320252577,0.004449874749943687,0.015809780203384933,0.06866030084603024,0.0014263624624313422,0.00968945245215945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6789408489167745,6.47165083115496,6.828849388204006,2.1903076977537443,4.018581807961692,5.227028677312274,0.6462358008335812,1.9585071942195673,2.7974161905667936,0.021675032028375,0.11467270728920569,0.028328018487993555,0.0001516126315821697,3.1505512341746716e-05,0.0010665270367935483,1.5217046508015795,0.8405133516492861,0.9833463952301589,0.002447817131129709,0.8933529143050841,2.0006065276380376,0.6618386735682551,1.1459469521394554,3.245443213267091e-10
c5cf43bd,1.4397250308039855,0.09885272005650754,0.16239021401949288,0.2586741254229968,0.31464636430446413,0.6256282890259303,0.48905677023643795,0.15433441112385238,0.08270144464042647,0.0687822823430104,0.1207320234557936,0.10704385437071862,0.10976522567557657,0.15019294526182134,0.22721247112108073,0.10178588229654756,0.23892245140748886,0.435314042564954,0.16276983278667434,0.4665228958222539,0.43966606428057364,1.0378517399612954e-05,0.18595184622795702,0.4575500676530519,0.020848116505662276,0.010658586077723794,0.007452281908006696,0.015183696232608032,0.13169843298323766,0.081444693954682,0.0012567506857444825,0.0012764160595304394,0.002451996008654721,0.019244906666547403,0.0029135102886990627,0.00392545982943454,0.052433101785265945,0.0048296555363924925,0.007791241419767458,0.05028184223835426,0.004760710848231736,0.03303373886532093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5918265969116412,5.020503599097342,5.80914295345889,2.9275858090045617,2.2285192518378754,4.9343041760300155,0.4537040743732542,1.6581507896165113,2.404270664106175,0.01937181547401419,0.12249352456565238,0.02094829647733402,0.00014511649126862643,4.2396716646429644e-05,0.0013705359749001604,1.440986334845884,0.9140711095294232,0.9940617180787673,0.004019873203897037,0.7560096127157765,1.92121218948521,0.5633291076081504,0.9178937149160434,4.908214354802655e-10
40a71d8f,6.215404019121283,0.06730611426986582,0.17824867833268768,0.2601523676436744,0.3143067990415088,4.580247385964044,1.2317856269377747,0.0680096574484847,0.08148600659934581,0.0010361446255282853,0.09049574580962683,0.11038645237444238,0.1257259546604374,0.1707398385821382,0.2382802417554874,0.1306372855712692,0.2663390396517664,0.3834807777079875,0.1627213396606677,0.46589225842234994,4.35146871676154,0.08592601833955243,0.14285265086295135,1.2216822567817243,4.919004919383801e-05,0.010054180106856573,0.06341012403790144,0.00013127145233491862,0.004468261958248329,0.08099977188961832,0.0004862347097274834,0.0012055600015160044,0.006539273455062884,0.03517765401239748,0.000870995045007535,0.004961496870244342,0.038323502717398136,0.002020396360649212,0.009523853210667297,0.062273326208245626,0.0021185692395210122,0.021210479164418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4098751700926515,5.6585303110840695,6.4880935025692095,1.7191590848710083,3.873682415902559,5.500215386377642,0.799794576343655,1.851139838877634,2.761517446344279,0.021162607265478674,0.11099981734582856,0.042278835423116,0.00011459440477985272,4.1996413115549286e-05,0.0011679680197298785,1.4701014480598844,0.9551746026485,0.9989465694679135,0.0028346705729759177,0.8374082700845414,1.5560866316284516,0.6259176388099625,1.1103899126614984,3.3433808447862564e-10
2db7583d,2.3370959734211367,0.07738350217158524,0.16946902291928656,0.2545609023829543,0.3152969385081002,1.3127174846438983,0.8189879170408874,0.01705971073086538,0.08749015275812115,0.05095633583872071,0.11040039065466267,0.07079378002137232,0.11779303145598155,0.150691083274394,0.23992295402748406,0.10117823725412918,0.26872768836861183,0.39377678152612183,0.16333795312849322,0.4672559238877072,1.179236377310333e-05,9.6167188586381e-05,1.3126095250915388,0.7983671021179641,0.019044588215477262,0.0015762267074459805,0.00997232171860619,0.0002407320742873267,0.006846656937971866,0.08659322537186967,0.0008969273862514872,0.0025763128844668885,0.009370850419531094,0.05360339804839144,0.0010489957061815577,0.003976156900106519,0.033918788696292,0.004384942436200464,0.01475304509426786,0.031849636292265435,0.008096084686115682,0.027170315404422458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6782591906435727,5.735476402431239,5.10351783180651,1.9028102335581414,1.8617490791573486,4.637794608164706,0.8364359734507861,1.259357404787048,2.6795696293735656,0.020415444655924347,0.1381968167700131,0.027318140120656174,5.913280616647881e-05,2.752517380340605e-05,0.0011667472412577545,1.7885584172621811,0.9008307795093357,0.9821676253508476,0.0024132986110141042,0.8988444195654031,1.9983763734554125,0.503601811412124,1.1743256723100028,3.833551721918792e-10
48c5b3ce,1.6512007242864521,0.074168656710666,0.1454512674942888,0.24671591055497774,0.3138780250086843,0.7304892415599576,0.7414483398455395,0.008833231227686141,0.08066660104290421,0.04477873691286681,0.09481480041595487,0.08291243280317631,0.11026367125813524,0.13732515961406308,0.18876497161066802,0.1049281299252619,0.25506919850502496,0.38015040323464633,0.16262849711376792,0.46512755290360064,0.036117193393766,0.06805855531924225,0.6263134928469494,0.47598529678545215,0.09249298814010773,0.17297005491997963,0.0005515145479533254,2.63496228448871e-05,0.008255367056887928,0.08018232121369548,0.00048427982920872697,0.0033386052461532112,0.005387634922935668,0.04023020238043552,0.0011833365664097662,0.005569110625061469,0.027091176953299607,0.0015630425607762557,0.004699485422602977,0.06720657425274931,0.0032485166681101275,0.021764036862918557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.522719464800849,5.139609046495592,5.279704056934631,2.1982617450998854,2.108021975891285,4.555218839383132,0.5932552560586345,1.3399324691798427,2.280054998537473,0.021181997956704432,0.12495696419675725,0.03698143510206138,9.218422392563706e-05,2.651742849991602e-05,0.0010302205562028395,1.3473402804120147,0.951638947140442,0.9935334656344164,0.00287503863382748,0.7926988072672243,1.7367490395248502,0.5005482829174686,1.0459229475559289,2.809906557709666e-10
aad2552b,1.1226416755660582,0.07688643174863868,0.15449811586480144,0.2588051573895233,0.31809633159111406,0.5105280983733322,0.2418527116882105,0.18809437662774317,0.10085444913408982,0.04773745641402827,0.08989795564627273,0.09302388318561504,0.09974097946469454,0.14440443233712494,0.21934893579258483,0.09692630212001524,0.2428876525322784,0.4366015175162763,0.16475008872359492,0.47144257445863313,0.0022402114568875484,0.09909583904816684,0.4091920478682778,0.1659464275827465,0.04648783546986608,0.029418448635597883,0.033583490949755504,0.014233371209728314,0.14027751446825937,0.10009190995112488,0.0007625391829649465,0.0006427603103278355,0.003112800482830334,0.0072379900662060785,0.00127069281999518,0.005090343481840341,0.06987813821908187,0.005334586561574162,0.014721459432970726,0.078059859766864,0.00837921907256892,0.01473840937555092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917755691091886,5.047223295200721,4.62986307120376,1.0962346634291926,1.9852617435491924,4.074466271787351,0.37505631330013395,1.822653631663401,2.125558452307264,0.020814429165567416,0.09626254964127173,0.026361301383628792,0.00013610630710874668,4.357737739013566e-05,0.0018978435076582756,1.1995729854891328,0.982111738952861,0.9822977745673144,0.002657314776163888,0.8828435607020273,1.9806682442424302,0.5126618765027725,0.9108817944998061,3.9229793888456344e-10
00e128ca,12.752529223048265,0.04489181894191399,0.18925159442944217,0.25149782344079924,0.31638737481168,10.582042437419043,1.5664233891514097,0.07459807675842861,0.06264615302977132,-0.020514911016841546,0.04977892801106301,0.10541143983152051,0.1311561855385292,0.17679979343795432,0.25979880431184305,0.09365681431221182,0.29222209671207444,0.3686145592981115,0.16037473380772488,0.47240001581563507,9.222442378563144,1.1269997224902784,0.23260033636561894,1.5659819970738162,5.578672231879683e-05,0.0003856053552747354,0.06183051719133362,0.0025164544323448435,0.010251105134750147,0.06146435834760003,0.0011817946821712983,0.007046490159484137,0.00155774181206652,0.015900450942079147,0.003837812010750709,0.005791729225051587,0.019422606734704327,0.005539533315189708,0.04731989900150142,0.09843594688266372,0.0003986695421221468,0.0038486987355269135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7941889321600266,5.023742808410963,5.772888869466671,2.1109384442389674,2.9290259896740887,5.760732357906827,0.9257577732393284,2.0731399782584305,2.6494636584372726,0.022495636231865915,0.08985037654721093,0.03158054586772599,0.00012751497533418734,3.7350547873375946e-05,0.0017344613326480025,1.5469298334344062,0.9107690342784378,0.9847904065577576,0.005491826341576963,0.8734437471092081,1.8727889906261195,0.6504894755180664,1.016874043807474,1.685526833357392e-10
