id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,cost_scene1,cost_scene2,cost_scene4,velocity_scene1_f10,cost_scene1_f10,lateral_scene1_f10,tumble_scene1_f10,yaw_scene1_f10,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
3da98647,3.9537863073323303,0.8,0.0047537365232081,0.0,0.0,3.9537863073323303,0,0,0.0047537365232081,3.9537863073323303,0.0025456165306642848,0.0,11.028521911482246,0.14022059295296876,0.00021830822270529858,1.0145846002150316e-06,0.0009396320009878933,3.284143020546289,0.32025540165820615,0.01036838592800876,1.403453836783671e-05,0.8632409928398613,5.502068488155826,0.5101953004162368,1.4539686822391746,6.567808677780874e-10,0.00153568034909647,1.2878501021637004e-06,0.00025376366414582726,0.32730221914770036
4cb73a27,0.016100186427405724,0.8,0.04048777615387388,0.0,0.0,0.016100186427405724,0,0,0.04048777615387388,0.016100186427405724,0.002947399601696056,0.0,8.708885764774646,1.1656275224556811,0.0001490391300615572,1.6845679337802537e-06,0.0006414890059025576,2.964652275661294,0.32375770873439064,0.35959124786420954,3.314914569042382e-06,0.9375130875431296,4.842163770038171,1.1689520146019814,0.7142742502153286,1.4544587231078303e-09,0.3363456028329652,1.0003947038708737e-06,8.6720417710332e-05,0.566892558984357
d6a9b9bb,3.571104838178452,0.8,0.006648201988266904,0.0,0.0,3.571104838178452,0,0,0.006648201988266904,3.571104838178452,0.007657218721074223,0.0,7.32118657104289,0.21822430464839604,0.00024168525158855617,1.4755409245694282e-06,0.001366291968203586,1.0816425886723366,0.30561259239841904,0.5036076273487932,7.239364585991568e-06,0.8956963804302995,5.556856670694791,0.8517063995367549,1.2470897164875323,5.972350288145707e-10,0.7512030733879209,1.0473545861295593e-06,7.693770635764852e-06,0.6552610264387957
c2bf54f3,0.08338630743514583,0.8,0.03737772101962338,0.0,0.0,0.08338630743514583,0,0,0.03737772101962338,0.08338630743514583,0.005810064298286037,0.0,1.90722460954266,0.9490178042903924,0.0002464611612227304,2.5443093445158553e-06,0.001179860081635086,3.3751160147779564,0.5087369072039241,0.6239193324896265,1.2904475110251694e-05,0.787510712386451,5.387168485899323,0.5603192112463315,1.4762020390380477,1.0566421570662107e-09,0.0026941621269691305,1.1927386044659834e-06,1.531578887916081e-05,0.8151830562047923
7e6b27a7,0.6317370070909766,0.8,0.027666023307225805,0.0,0.0,0.6317370070909766,0,0,0.027666023307225805,0.6317370070909766,0.005283844327438919,0.0,1.1117872218780311,0.5938653396469283,0.0001926259070789141,1.8636636014436465e-06,0.000716078846665961,2.9740029486290127,0.21778182377318628,0.8968858683462608,3.144855012830695e-05,0.9130632509812403,5.258422270223528,0.8565451774775638,1.1142398202658617,3.634056246684298e-09,0.1122497584106828,1.6293887974728626e-06,5.7307832351392365e-05,0.919252563407766
73427cc2,0.05959066234010439,0.8,0.03823765231591167,0.0,0.0,0.05959066234010439,0,0,0.03823765231591167,0.05959066234010439,0.003164808533031254,0.0,5.70536903893814,0.660177165014265,0.00011076850125357219,1.6454970285087055e-06,0.0003926508995283372,9.80256979360518,0.03197924190656906,0.4243507953574993,4.577306022737634e-05,0.7534375353717266,5.3416998991521645,0.7262601246185152,1.2090323317970482,4.700933941933987e-10,0.5141203651854191,1.5312252635230296e-06,5.9291811299591797e-05,0.44271718544655014
7d41cb02,0.590377344464802,0.8,0.028173223769912416,0.0,0.0,0.590377344464802,0,0,0.028173223769912416,0.590377344464802,0.003383073719532624,0.0,3.8258197005452224,0.7302731075780245,0.00022592344805305445,1.0779513640622458e-06,0.0022537904282860016,2.2287923798504226,0.41537095621454145,0.2272614559098856,1.0091939952529026e-05,0.9681436284406805,4.996546524199601,0.5593477464673764,0.7477573629919904,6.072949710158789e-10,0.38267105706022697,1.010583506613824e-06,8.043174867655574e-05,0.5482118777268381
ea561ecf,1.0882870015929922,0.8,0.022897021999545786,0.0,0.0,1.0882870015929922,0,0,0.022897021999545786,1.0882870015929922,0.004219353662276159,0.0,6.850048475528323,0.43134891882088006,0.00035883585848464655,1.335740472521264e-06,0.0004872595256543328,4.408986444959185,0.39146759203240694,0.25741317242302614,2.3525943593269722e-05,0.5829526837599577,5.948771026661776,0.6848423193570383,1.4005191261320598,2.510904126724001e-09,0.43991101593259957,1.0456134813061756e-06,7.498906888168558e-05,0.548086108372326
d2539eb6,5.305005009568239,0.8,-0.0012895569108083756,0.0,0.0,5.305005009568239,0,0,-0.0012895569108083756,5.305005009568239,0.002241374757482133,0.0,12.41779744990817,0.6664135531642338,3.027875400180285e-05,1.4964989558613473e-06,0.0014584999808358245,2.037110682234687,0.14612389035534773,0.34197500932470876,1.8366854003465086e-05,0.4755298991079314,5.797094346895813,0.5406293156892414,1.4771503212064916,5.686323847901868e-10,0.5933264370989797,1.0364537958570304e-06,0.000664759815879516,0.4380939834122913
d24d81dc,0.6740264024562866,0.8,0.02716159556311454,0.0,0.0,0.6740264024562866,0,0,0.02716159556311454,0.6740264024562866,0.0018738698386840966,0.0,4.468991185553617,0.5699116350344764,0.00010213287752465821,1.0004425002952198e-06,0.0005146071063067759,9.559406086145298,0.14063604342370106,0.49504978193195787,3.765900081385004e-05,0.4853505896900634,5.476152986666885,0.9925000946455562,1.1069374565604309,1.2308295596813306e-09,0.32443129919307057,1.128933072914043e-06,0.0004930937853488697,0.5660144777487892
edeaad1a,0.014047620241298487,0.8,0.04064504892849243,0.0,0.0,0.014047620241298487,0,0,0.04064504892849243,0.014047620241298487,0.002115119604368483,0.0,2.3045707129529256,1.0005338210276378,0.00030673498794092733,3.212188616075341e-06,0.0007922785471657945,7.010676457774083,0.20233611279947178,0.4010592338733057,3.008853758094064e-05,0.9183126225423549,5.767172150451253,0.6648284209500328,1.221694997622857,7.161791358551324e-10,0.40017427824788204,1.2218020715341192e-06,1.84924726817437e-05,0.5222064743651312
9fba937b,0.1333423439993018,0.8,0.03713516493345579,0.0,0.0,0.1333423439993018,0,0,0.03713516493345579,0.1333423439993018,0.003717394985172864,0.0,6.098447831616958,0.4269588151943028,0.00017898368794753365,1.0550025127816395e-06,0.0012252366094455814,1.9733787448540794,0.07580497880572276,0.5504739947856606,2.634839100155007e-05,0.7343170514099424,5.475753319911424,1.2805254220068154,1.178185959804845,9.710981403260678e-10,0.708009040201748,1.0330209269731377e-06,1.8261914972321687e-05,0.5844952566840763
5f6126a4,0.0275775986742059,0.8,0.04143109530766384,0.0,0.0,0.0275775986742059,0,0,0.04143109530766384,0.0275775986742059,0.004169869411296639,0.0,6.1386187574124795,0.9894399306118493,7.249637150986824e-05,1.8411741817269435e-06,0.00086247714592245,4.04128782118854,0.33804615163102725,0.7113011557826316,7.753415311441731e-06,0.5318942499127359,5.198024646446898,1.0421614386849638,1.4810634373150713,6.637799676406054e-10,0.5056270570650541,1.6012492929454507e-06,1.867831714986404e-05,0.8088235589350602
c49552c7,1.7341740159901462,0.8,0.04969369708108137,0.0,0.0,1.7341740159901462,0,0,0.04969369708108137,1.7341740159901462,0.003477943082683322,0.0,5.206634411489609,0.5364256342658476,0.00021786085591486975,2.5843838737295377e-06,0.00035957508507085157,4.960317008771261,0.64148221665135,0.5230768557988408,2.993637479273311e-05,0.8252583132178134,5.578467094951849,1.3384572874867855,1.1816695970895852,1.4755663874365674e-09,0.7301905766054997,1.0796047908356639e-06,7.698869553642022e-05,0.828962263827752
5185991b,2.0275323173668967,0.8,0.015590624298750626,0.0,0.0,2.0275323173668967,0,0,0.015590624298750626,2.0275323173668967,0.007345169678724214,0.0,26.45569406324961,0.44365178417773504,0.00018617556026408468,1.4029970136091385e-06,0.0005954450364371249,8.96848719244178,0.508658263702723,0.6564802055597699,4.676764990248111e-05,0.8748976298557731,5.679588558346387,0.5607709821022401,0.9198231732165538,2.767506668981958e-09,0.4756903489830221,2.120187280161581e-06,3.8825174581054855e-05,0.8311487397266977
