scene,freq,trial,seed,velocity_mps,target_mps,cot,energy_ext_J,distance_m,robot_mass_kg,total_time_s,avg_power_ext_W
scene1,10.0,2,77779,0.05888273543490909,0.0512,3.9637541084496215,0.0006995460580269989,0.17466398979782383,0.00010300000000000002,2.900000000000169,5.469872240789631e-05
scene1,10.0,9,77786,0.05888536299720198,0.0512,4.012633237912697,0.0007075249031827386,0.17450425953772117,0.00010300000000000002,2.900000000000169,5.396191888607179e-05
scene1,10.0,6,77783,0.05894197131545623,0.0512,3.9599363738803204,0.0006993561878828353,0.1747849287388294,0.00010300000000000002,2.900000000000169,5.4346897867554196e-05
scene1,20.0,5,77882,0.09204827791304884,0.1264,4.637291031414936,0.0012631869488345755,0.26958582019204047,0.00010300000000000002,2.900000000000169,0.00015911718287083226
scene1,20.0,7,77884,0.09196080432018405,0.1264,4.3575402984694644,0.0011890935359924124,0.2700650435743245,0.00010300000000000002,2.900000000000169,0.0001652745980658414
scene1,20.0,0,77877,0.09189523822235783,0.1264,4.294722988186035,0.0011697334819958038,0.2695538456827726,0.00010300000000000002,2.900000000000169,0.00016949893063300344
scene1,30.0,2,77979,0.10793823081886228,0.1187,4.650519700576131,0.001516334943636431,0.32269142341641766,0.00010300000000000002,2.900000000000169,0.00027243604239815907
scene1,30.0,0,77977,0.10567228729942797,0.1187,4.795856851616085,0.001513759829136112,0.3123809435642662,0.00010300000000000002,2.900000000000169,0.00026828677052467056
scene1,30.0,1,77978,0.10452991964736921,0.1187,4.686503885689406,0.0014762141917602752,0.3117411711430159,0.00010300000000000002,2.900000000000169,0.00026646316820533214
scene1,50.0,7,78084,0.08551781435362363,0.1483,7.854159228489828,0.0021013767142182413,0.2647878064318461,0.00010300000000000002,2.900000000000169,0.0005477312156327639
scene1,50.0,6,78083,0.08449007332469942,0.1483,7.8154615932777425,0.002058805041800739,0.2607079998967486,0.00010300000000000002,2.900000000000169,0.0005392638557679572
scene1,50.0,4,78081,0.08051770364925233,0.1483,8.111449228394573,0.0020599996918255945,0.2513404967832481,0.00010300000000000002,2.900000000000169,0.000535958614648877
