scene,freq,trial,seed,velocity_mps,target_mps,cot_signed,cot_abs,energy_ext_signed_J,energy_ext_abs_J,distance_m,robot_mass_kg,total_time_s,avg_power_ext_W
scene1,10.0,2,77779,0.05888273543490909,0.0512,2.777397866818307,4.262946015095256,0.0004901711045000451,0.0007523491616406589,0.17466398979782383,0.00010300000000000002,2.900000000000169,0.00016902451879310913
scene1,10.0,9,77786,0.05888536299720198,0.0512,2.8138495303864612,4.326720043887618,0.0004961501583915233,0.0007629060516238005,0.17450425953772117,0.00010300000000000002,2.900000000000169,0.0001710862615143084
scene1,10.0,6,77783,0.05894197131545623,0.0512,2.7703036310344973,4.2685795828380355,0.0004892576051114141,0.0007538650278370191,0.1747849287388294,0.00010300000000000002,2.900000000000169,0.00016870951900392606
scene1,20.0,5,77882,0.09204827791304884,0.1264,4.6455996178054955,5.613719311912722,0.0012654501878292211,0.0015291636693039504,0.26958582019204047,0.00010300000000000002,2.900000000000169,0.00043636213373418874
scene1,20.0,7,77884,0.09196080432018405,0.1264,4.553165283807561,5.39249599303748,0.0012424760384160492,0.0014715141315934717,0.2700650435743245,0.00010300000000000002,2.900000000000169,0.00042844001324688854
scene1,20.0,0,77877,0.09189523822235783,0.1264,4.5320796753560915,5.30907441881883,0.001234381205474632,0.001446007605888175,0.2695538456827726,0.00010300000000000002,2.900000000000169,0.00042564869154295174
scene1,30.0,2,77979,0.10793823081886228,0.1187,4.939408764291647,5.598981433657349,0.0016105292725179922,0.0018255876210081343,0.32269142341641766,0.00010300000000000002,2.900000000000169,0.000555354921557896
scene1,30.0,0,77977,0.10567228729942797,0.1187,5.1057536213272705,5.818904295584209,0.001611575359432801,0.001836673579878582,0.3123809435642662,0.00010300000000000002,2.900000000000169,0.0005557156411836921
scene1,30.0,1,77978,0.10452991964736921,0.1187,4.898211654449732,5.601493885426835,0.0015429005789633706,0.0017644292996268557,0.3117411711430159,0.00010300000000000002,2.900000000000169,0.0005320346824011313
scene1,50.0,7,78084,0.08551781435362363,0.1483,9.988399141868031,10.442633044257619,0.002672391628234753,0.0027939217013490834,0.2647878064318461,0.00010300000000000002,2.900000000000169,0.0009215143545636542
scene1,50.0,6,78083,0.08449007332469942,0.1483,10.138580144118537,10.59780307487541,0.0026707776205266956,0.002791749424158354,0.2607079998967486,0.00010300000000000002,2.900000000000169,0.0009209578001815655
scene1,50.0,4,78081,0.08051770364925233,0.1483,10.259101908632662,10.72727249946633,0.002605421814909574,0.0027243193442762275,0.2513404967832481,0.00010300000000000002,2.900000000000169,0.0008984213154860076
scene2,10.0,3,78180,0.08280039095541628,0.0832,2.0865378656621556,2.5794867031151596,0.0005262003956023126,0.0006505163150726522,0.2448311053355186,0.00010500000000000002,2.900000000000169,0.00018144841227664895
scene2,10.0,5,78182,0.08252858214283021,0.0832,2.039263556141137,2.5022574399011,0.0005142879227976932,0.0006310517231558595,0.2448356536842742,0.00010500000000000002,2.900000000000169,0.00017734066303367696
scene2,10.0,0,78177,0.08406408875842357,0.0832,2.085112964445267,2.5895899352650895,0.000533114608422405,0.00066209756874287,0.24821766634750564,0.00010500000000000002,2.900000000000169,0.00018383262359392204
scene2,20.0,6,78283,0.11529207995551571,0.1131,3.249429339151061,3.853471517013469,0.0011334466145598607,0.0013441450142143616,0.33863798070531637,0.00010500000000000002,2.900000000000169,0.0003908436601930326
scene2,20.0,5,78282,0.11947289451432352,0.1131,3.2567048254699773,3.8701694630466483,0.001172862894646267,0.0013937947718505404,0.3496314914548516,0.00010500000000000002,2.900000000000169,0.0004044354809124823
scene2,20.0,8,78285,0.12094885239615445,0.1131,3.0136433585520503,3.531502144045064,0.0011029701951918887,0.0012925025113155514,0.355315059569278,0.00010500000000000002,2.900000000000169,0.00038033455006614635
scene2,30.0,2,78379,0.17770850754603634,0.1796,2.7620673028880076,2.9941614323716204,0.0014791988272195027,0.0016034946268829373,0.5199169671850004,0.00010500000000000002,2.900000000000169,0.0005100685611101436
scene2,30.0,4,78381,0.16965849365187435,0.1796,2.857028094382804,3.1918131837719637,0.001465747070030889,0.001637502561279636,0.49806522154554944,0.00010500000000000002,2.900000000000169,0.0005054300241485529
scene2,30.0,5,78382,0.16790137062301144,0.1796,2.8636036634046618,3.162313147886263,0.0014490583978805807,0.0016002132146403876,0.4912636971880673,0.00010500000000000002,2.900000000000169,0.0004996753096139642
scene2,50.0,4,78481,0.19487310792596368,0.2633,4.294064188252894,4.458718765983774,0.002541663299632027,0.0026391226013536577,0.5746338156706949,0.00010500000000000002,2.900000000000169,0.0008764356205627168
scene2,50.0,7,78484,0.18863254457017928,0.2633,4.40390906713179,4.569239260923646,0.002552997961758937,0.0026488418225956724,0.5627996499499255,0.00010500000000000002,2.900000000000169,0.0008803441247444096
scene2,50.0,8,78485,0.18688078703680183,0.2633,4.473843620941357,4.622751296652503,0.002545110197805537,0.002629821796174774,0.5522903881356721,0.00010500000000000002,2.900000000000169,0.0008776242061397891
scene4,10.0,3,78580,0.09878751543000051,0.1121,1.719621244704293,2.4044476924601033,0.0005289851771118777,0.0007396496131745412,0.28768366010879487,0.000109,2.900000000000169,0.0001824086817627058
scene4,10.0,1,78578,0.0965131449535097,0.1121,1.7306981665880692,2.390078584705437,0.0005200659031002353,0.0007182063294640426,0.2810227907314684,0.000109,2.900000000000169,0.00017933307003455346
scene4,10.0,9,78586,0.09506303248170067,0.1121,1.7465489355220112,2.434621509952088,0.0005171494581181504,0.000720886296963792,0.2769107464019829,0.000109,2.900000000000169,0.00017832739935107593
scene4,20.0,1,78678,0.18427556535278988,0.1841,1.796096084994126,2.2596677735485584,0.0010288344834187657,0.0012943762563262123,0.5356985125876761,0.000109,2.900000000000169,0.00035477051152369164
scene4,20.0,4,78681,0.18586910361470663,0.1841,1.777878346660368,2.2955485361049606,0.0010289656549044754,0.0013285726817333673,0.5412567595392308,0.000109,2.900000000000169,0.0003548157430704881
scene4,20.0,3,78680,0.18178198326512424,0.1841,1.8239791112278485,2.3817750006950793,0.0010320083596052968,0.0013476095730951508,0.5291366574544267,0.000109,2.900000000000169,0.0003558649515880126
scene4,30.0,4,78781,0.24020536223047753,0.2747,1.7762969014082932,1.9813533546784812,0.0013265165770029212,0.001479650202507009,0.698395798531833,0.000109,2.900000000000169,0.00045741950931132546
scene4,30.0,2,78779,0.23033563386945327,0.2747,1.8191438425404538,2.053435036038857,0.0013038789015548456,0.0014718080871854089,0.670308477242846,0.000109,2.900000000000169,0.0004496134143292309
scene4,30.0,6,78783,0.22956682412437232,0.2747,1.8320562181226538,2.112576730038858,0.0013088590609433785,0.001509268748249938,0.6681263227043284,0.000109,2.900000000000169,0.0004513307106701042
scene4,50.0,5,78882,0.37531979976976376,0.3274,1.9339068269466941,2.0372496199225654,0.0022575619988027067,0.0023782000559322775,1.0917133829676016,0.000109,2.900000000000169,0.0007784696547595086
scene4,50.0,3,78880,0.3887213851907892,0.3274,1.8954744624374744,1.990743817618907,0.0022944728176313954,0.002409796421377536,1.1320600748812968,0.000109,2.900000000000169,0.0007911975233211247
scene4,50.0,2,78879,0.393634307890144,0.3274,1.858277720980292,1.9558132951575398,0.00227277748600131,0.0023920689431239403,1.1438018461434027,0.000109,2.900000000000169,0.0007837163744831647
scene_wheel,10.0,6,78983,0.13017238982948012,0.1432,0.7804271443936328,1.1823001404557754,0.0002654209670330779,0.00040209678617333846,0.38097147648984675,9.1e-05,2.900000000000169,9.152447139071117e-05
scene_wheel,10.0,4,78981,0.12967925906201042,0.1432,0.7804724566494959,1.1758601898537047,0.0002641976215937311,0.00039804026758322446,0.3791935336621518,9.1e-05,2.900000000000169,9.110262813576403e-05
scene_wheel,10.0,2,78979,0.12843192119109584,0.1432,0.7875293733641245,1.17782027410734,0.00026399016990220203,0.00039482079626773604,0.3755005648973383,9.1e-05,2.900000000000169,9.103109306971954e-05
scene_wheel,20.0,3,79080,0.2985508223422902,0.3058,1.085222368669552,1.3425369544939632,0.0008426457511563925,0.0010424435517871772,0.86979298101869,9.1e-05,2.900000000000169,0.0002905675003987391
scene_wheel,20.0,7,79084,0.2943296209657334,0.3058,1.1063896101646982,1.3718673009378097,0.0008466792416032345,0.0010498395459131206,0.8572360444353553,9.1e-05,2.900000000000169,0.0002919583591735121
scene_wheel,20.0,0,79077,0.29120804326741156,0.3058,1.1316582373561273,1.4025734931437004,0.000856936874821787,0.0010620847409995944,0.8482485826236542,9.1e-05,2.900000000000169,0.00029549547407646103
scene_wheel,30.0,2,79179,0.46348065192673615,0.4493,1.1079627511986012,1.25386112096652,0.0013311031779454242,0.001506385048608531,1.3457864787262228,9.1e-05,2.900000000000169,0.00045900109584322296
scene_wheel,30.0,9,79186,0.46716817797782917,0.4493,1.072050140755942,1.2345041788150888,0.0012981189454010817,0.0014948305137730466,1.356403776897196,9.1e-05,2.900000000000169,0.00044762722255207104
scene_wheel,30.0,6,79183,0.4698502423896538,0.4493,1.0899944447352226,1.24162408648675,0.0013273621746963755,0.0015120121534149653,1.3641268379165092,9.1e-05,2.900000000000169,0.0004577110947228614
