scene,freq,trial,seed,velocity_mps,target_mps,cot_signed,cot_abs,energy_ext_signed_J,energy_ext_abs_J,distance_m,robot_mass_kg,total_time_s,avg_power_ext_W,delta_h_m,grav_pe_J,grav_pe_fraction
scene1,10.0,6,77783,0.02079630818057079,0.0199,6.078365444151863,8.746271063730427,0.0003837199054579484,0.0005521415809102478,0.06247716139810104,0.00010300000000000002,2.2245000000003134,0.000172497147879476,0.006138211819114486,6.202233368387852e-06,0.016163439217430825
scene1,10.0,5,77782,0.021878161836161605,0.0199,5.563616445458553,8.012748952385328,0.0003506506266011789,0.0005050088316647575,0.06237509283942017,0.00010300000000000002,2.1145000000002803,0.0001658314620955935,0.006873103725640727,6.944790197499162e-06,0.019805440716916183
scene1,10.0,3,77780,0.02286572365360361,0.0199,5.566106425346254,8.12059611331422,0.0003371138589963018,0.0004918277308970838,0.05994029404021177,0.00010300000000000002,2.0255000000002474,0.00016643488471797612,0.005944506852012246,6.006508058478736e-06,0.017817446237191416
scene1,20.0,8,77885,0.04818594924761647,0.0473,7.874916660701277,9.703264928615956,0.00041495476612121967,0.0005112963352563922,0.052149309060499166,0.00010300000000000002,0.9609999999998943,0.0004317947618327423,0.007920964420381132,8.003580079285709e-06,0.019287837452980704
scene1,20.0,9,77886,0.04492342722398457,0.0473,7.91897023088686,9.146599991396661,0.0004432112099484832,0.0005119195464695792,0.05539056483843503,0.00010300000000000002,1.0299999999998866,0.000430302145581099,0.007964673171389896,8.047744712567495e-06,0.018157809486594276
scene1,20.0,6,77883,0.04342808667563095,0.0473,8.152177485108568,9.64883780310326,0.00046691755577941724,0.0005526390674597803,0.05668398115569237,0.00010300000000000002,1.0659999999998826,0.000438008964145843,0.0054830502950906235,5.5402385096684205e-06,0.01186556050654424
scene1,30.0,8,77985,0.03351248367873772,0.0331,10.924554100297257,12.118182141699751,0.0007944066398119986,0.0008812043281066752,0.07196691954077065,0.00010300000000000002,1.3809999999999514,0.0005752401446864784,0.009282883770975275,9.379704248706551e-06,0.011807182592187696
scene1,30.0,6,77983,0.03048186193048385,0.0331,12.055948194452306,13.14328903744052,0.0009221658856879254,0.0010053371647400608,0.07570097042473783,0.00010300000000000002,1.5194999999998813,0.0006068877168068427,0.005079053294768564,5.132027820633001e-06,0.005565189409283522
scene1,30.0,2,77979,0.027519940447727324,0.0331,10.20733243386518,11.253183029300276,0.0010175592274882924,0.0011218190750884676,0.09866002148134574,0.00010300000000000002,1.681999999999921,0.0006049698142023426,0.007640426510372844,7.720116158876035e-06,0.007586896123906319
scene2,10.0,8,78085,0.05215856152229634,0.0542,2.951268957021389,3.500391164288671,0.00014884732841481278,0.00017654232155683825,0.04896366838656256,0.00010500000000000002,0.8879999999999023,0.0001676208653320148,0.0072973202742753285,7.516604748517304e-06,0.05049875485551058
scene2,10.0,0,78077,0.04905813603459909,0.0542,3.2535645169231593,3.9002238421473656,0.0001656734006014076,0.00019860167016030384,0.04943505903690466,0.00010500000000000002,0.9439999999998961,0.00017550148368795107,0.008077116813887128,8.319834174144439e-06,0.05021828575946881
scene2,10.0,3,78080,0.04844002881211562,0.0542,3.374548930420458,4.037403626540798,0.00017462773323452128,0.00020892944745886651,0.050238791110442355,0.00010500000000000002,0.9554999999998949,0.00018276057900004237,0.006673881022551776,6.874431147279458e-06,0.039366205011933844
scene2,20.0,8,78185,0.08683322324247979,0.0894,4.077677887547329,4.60778481166512,0.0002086625871014785,0.0002357891736728758,0.04967905946955904,0.00010500000000000002,0.5329999999999414,0.0003914870302091959,0.006403116361065539,6.59553000771556e-06,0.031608589250874994
scene2,20.0,3,78180,0.09853562668214967,0.0894,3.1920343258170853,3.4400924761548306,0.000154849287406804,0.00016688287598841088,0.04709592723058209,0.00010500000000000002,0.46999999999994835,0.00032946656895068305,0.006693063675383585,6.894190238828864e-06,0.044521937131794226
scene2,20.0,1,78178,0.07756303942578778,0.0894,4.333526552801775,5.006933428969439,0.00021328744367072586,0.00024643117301403146,0.04778213166602367,0.00010500000000000002,0.5974999999999343,0.0003569664329217562,0.009404129882524573,9.68672398549444e-06,0.04541628807952169
scene2,30.0,7,78284,0.12716811500200367,0.1335,4.153496850800727,4.5004620725443,0.0001998264240263209,0.0002165190620643518,0.046706865700408315,0.00010500000000000002,0.3639999999999599,0.0005489736923800629,0.006897319129840216,7.1045835696919155e-06,0.035553774253379564
scene2,30.0,0,78277,0.14794948325311283,0.1335,3.9831060818439856,4.213269135585901,0.00019221266297853018,0.00020331963642336573,0.04684916082158154,0.00010500000000000002,0.31299999999996553,0.000614097964787704,0.005552560202201447,5.719414636277602e-06,0.029755659942739834
scene2,30.0,8,78285,0.15278420756585542,0.1335,3.43627320564793,3.636733998991461,0.00016465892300985134,0.00017426457901048426,0.0465199541820463,0.00010500000000000002,0.30249999999997285,0.0005443270182144335,0.00838683496503771,8.638859355737096e-06,0.052465175878869584
scene4,10.0,4,78381,0.07121657902270608,0.0716,2.635726945854879,3.297921917353882,0.00013112111413512994,0.0001640637308102681,0.04652396377819988,0.000109,0.6499999999999285,0.00020172479097714516,0.0072314714143377895,7.732540068637255e-06,0.058972501260691736
scene4,10.0,5,78382,0.06669099854060889,0.0716,2.73576016704556,3.454039382199648,0.00013962315848648117,0.00017628149349079164,0.04772917536589677,0.000109,0.6944999999999236,0.00020104126491936143,0.00735088009501105,7.860222576794366e-06,0.05629598028005807
scene4,10.0,6,78383,0.058159207084483217,0.0716,2.9937933757148776,3.6588972244834146,0.0001588449508448978,0.00019413408904040308,0.049619923020325966,0.000109,0.7954999999999125,0.0001996793850973165,0.007312909546469057,7.819621048943898e-06,0.0492280113868981
scene4,20.0,6,78483,0.10321880369485592,0.1038,3.3187132477524064,3.8553647393997856,0.0001654873490546645,0.00019224742926921814,0.046633666738946374,0.000109,0.44849999999995604,0.00036897959655447207,0.007083850471853108,7.57469047104781e-06,0.04577202133164696
scene4,20.0,0,78477,0.09886157804802391,0.1038,3.282374617970812,3.9944662066176457,0.00016383400196688726,0.00019937681115637953,0.04667887588906981,0.000109,0.4679999999999568,0.00035007265377543244,0.007230559929508485,7.731565427024128e-06,0.047191458025830114
scene4,20.0,3,78480,0.09826907464322164,0.1038,3.3851813627913745,3.932025897875062,0.0001686675489809938,0.00019591422132181073,0.0465965848326229,0.000109,0.47149999999995135,0.0003577254485281256,0.006993457893121396,7.4780345905357785e-06,0.04433594153537167
scene4,30.0,6,78583,0.08983181915269418,0.0898,4.9388156270529615,5.402560720548959,0.00024985289826931175,0.00027331359500669687,0.04731142975094001,0.000109,0.5144999999999491,0.0004856227371610038,0.0073519921488816725,7.861411684877684e-06,0.031464160469349516
scene4,30.0,7,78584,0.09173482629341331,0.0898,4.871225020548406,5.497383773735439,0.00024536364190557174,0.0002769032631394367,0.04710603084571627,0.000109,0.5044999999999575,0.0004863501326176261,0.0071626637690862735,7.658964741646262e-06,0.031214750001933116
scene4,30.0,0,78577,0.07654825993165952,0.0898,5.45767259201543,6.253891829028827,0.00029217946126366897,0.0003348054898126688,0.05006643864778043,0.000109,0.6034999999999406,0.0004841416093847518,0.006700608041864939,7.164893173085761e-06,0.024522234184763618
scene_wheel,30.0,2,78879,0.07866646005381606,0.0938,9.401552181175962,10.150458864634615,0.00038957540184255356,0.0004206081096900024,0.04641748083459041,9.1e-05,0.5879999999999517,0.0006625432004125605,0.007059457151701234,6.3020479938952095e-06,0.0161767092174936
scene_wheel,30.0,7,78884,0.06167844816761194,0.0938,10.562904288294542,11.463017003794729,0.0005033155613599887,0.0005462053504108358,0.05337607239644038,9.1e-05,0.7504999999999346,0.0006706403215989775,0.006616379089980067,5.9065077774161065e-06,0.011735198016640634
scene_wheel,30.0,8,78885,0.05770165399289296,0.0938,12.323008361399703,13.291297099676111,0.0005358656137396201,0.000577971617711747,0.048711190808153323,9.1e-05,0.8009999999999287,0.000668995772459011,0.006933036889884524,6.189191361968814e-06,0.011549894606553677
