timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,best_trial_scene1_f10,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f30,best_trial_scene2_f50,best_trial_scene4_f10,best_trial_scene4_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-27T15:37:08,0.4,16,d0057f58,12.189816,0.0182,0.0220,0.0382,0.0829,0.0363,0.0127,0.1000,0.000918,0.006626,0.003632,0.008353,0.000745,0.005279,0.007593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.6,9.8,2.6,14.1,1.8,2.8,6.1,1,2,2,2,0,0,0,0.41784559077266353,0.00034748852907244104,6.323430986080688e-06,0.0009856322410274874,4.1040976725355165,0.7645217887733128,0.5511642834714765,2.8561039018578658e-05,0.6640695683200653,5.3961601223602464,1.095937198627576,1.0596996428039853,7.721141566805697e-10,0.3059998147239757,1.0153214921910272e-06,4.40195230558829e-05,0.8942538519088676
2026-02-27T15:37:31,0.8,32,f569271b,6.712342,0.0267,0.0384,0.0485,0.0903,0.0792,0.0267,0.0784,0.003348,0.000915,0.003749,0.006533,0.022563,0.000812,0.001011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.1,10.9,22.5,10.8,47.5,7.6,27.4,0,0,0,2,1,2,0,0.20227054642161615,5.707762125800081e-05,9.785501165407333e-06,0.002929167371288332,3.216988919992365,0.1348106247946586,0.2886734544742122,5.225475490171052e-05,0.7874668150754426,5.60195298968527,0.9482664086971297,0.8869805320841601,5.965515233534392e-10,0.22102637180657292,1.1520223725980965e-06,5.4527762947451386e-05,0.38453896316412245
2026-02-27T15:38:34,1.9,80,42b17aa2,5.964111,0.0379,0.0864,0.0388,0.0382,0.1381,0.0772,0.2271,0.002771,0.002624,0.001732,0.000052,0.000535,0.006093,0.004302,0.000000,0.105270,0.000000,0.000000,0.005445,0.000000,0.000000,22.4,16.8,1.8,0.7,28.0,12.9,32.4,0,2,1,2,0,0,0,0.653160935103402,0.0001287715008175418,2.5894545664714307e-06,0.0012647535539376297,4.054806617962998,0.44694153368320577,0.4219718079693124,4.3791144493223316e-05,0.7611267660440078,5.871582954110746,1.4505724007465572,1.1153303953692402,1.6117996483264116e-09,0.2017070603067853,1.000000331713749e-06,1.771617457169089e-06,0.6802744174468416
2026-02-27T15:40:36,3.9,160,10be2726,5.243395,0.0495,0.0343,0.0375,0.1388,0.1679,0.0963,0.1903,0.004942,0.006691,0.002931,0.000531,0.006619,0.010192,0.002260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.9,17.1,0.7,0.5,1.0,4.6,10.9,0,0,0,2,1,2,0,0.8067404873297116,0.00013792490558467823,2.7710489046190263e-06,0.0013596229815599822,6.243340137371013,0.206730691669443,0.37951524466109365,5.7733517883777506e-05,0.862410814092015,5.594048032625308,0.9102087721024006,0.9723615348370237,9.267873350124786e-10,0.699837908871827,2.204593701633571e-06,3.812838724312489e-05,0.5077505357781847
2026-02-27T15:41:20,4.6,192,bf532db4,2.543460,0.0299,0.0976,0.0650,0.1225,0.0492,0.0695,0.1198,0.003484,0.016734,0.006245,0.006285,0.001575,0.006675,0.000719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,1.5,1.0,2.5,11.3,6.9,11.9,1,2,0,0,1,1,0,0.46951607658729555,0.00017828999399133167,3.0608213396209374e-06,0.0014085206938230684,4.35172246748405,0.34356809112738923,0.41687565253481496,4.828891502718238e-05,0.9030375476806243,5.369139325664047,0.9090681785904138,1.0754891209464534,1.0312507101718774e-09,0.37843457599076546,1.0556149718461415e-06,6.293116690037514e-05,0.6171768839180796
2026-02-27T15:42:44,6.0,256,9e0cfe7b,2.171155,0.0372,0.0844,0.0699,0.1100,0.0969,0.0364,0.1318,0.008837,0.008343,0.005753,0.007732,0.010874,0.000993,0.002390,0.000000,0.056012,0.000000,0.000000,0.008764,0.000000,0.000000,4.0,10.2,6.1,25.1,34.8,17.1,1.1,0,0,0,1,1,1,0,0.5769849914315172,5.263931337650958e-05,1.171720490922795e-06,0.0007063747155063879,6.294608847513414,0.4207868349873558,0.49327339742112863,4.0199938065538326e-05,0.8500054935315634,5.568545918478391,1.062825750723107,1.1147455546771532,1.1326788718849066e-09,0.4044405451336562,1.1852129364027805e-06,3.942697687706042e-05,0.7064479533844454
2026-02-27T15:43:26,6.7,288,ed058812,1.700189,0.0407,0.1072,0.0832,0.1260,0.1286,0.0882,0.1891,0.003925,0.003897,0.002346,0.007239,0.003414,0.004464,0.008467,0.000000,0.064357,0.000000,0.000000,0.000000,0.000000,0.000000,19.8,20.2,2.7,20.5,2.5,1.6,30.0,0,0,2,0,2,0,0,0.592273069064302,0.00011894645819512511,1.7878668008136962e-06,0.0008210242671719527,4.291661367304259,0.3983826883323655,0.6249928781699516,2.8383513382850956e-05,0.9897802092258438,5.454860608246085,1.0561716900416291,1.014925359513881,1.1647790540802655e-09,0.5975634666406255,1.766545879294943e-06,3.562394659525543e-07,0.7743267242205722
2026-02-27T15:45:41,9.0,400,031d3ce9,1.340578,0.0381,0.0845,0.0630,0.0957,0.0769,0.0658,0.1130,0.008144,0.000961,0.000962,0.005360,0.002398,0.001925,0.000383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.3,11.1,24.3,5.1,5.2,1.4,0.1,1,0,0,2,1,0,0,0.5659528028191068,0.0001426795650406318,1.771840582261757e-06,0.0007186476737425138,3.2892106355679402,0.3124373200932026,0.6212196219417714,2.85307886619197e-05,0.7929032608214515,5.525635419059932,0.868888909726663,1.1640873723454646,1.1015872155878533e-09,0.5049229844383459,1.3563283374767557e-06,1.9606841782129484e-05,0.7395026262039803
2026-02-27T15:46:19,9.6,432,3b83bd49,1.299577,0.0329,0.0663,0.0606,0.0959,0.1082,0.0740,0.1767,0.004588,0.008589,0.004795,0.000073,0.003969,0.002214,0.000344,0.000000,0.000000,0.000000,0.000000,0.065930,0.000000,0.000000,25.6,11.9,45.5,30.2,35.5,24.4,20.6,0,0,2,2,1,1,1,0.5163996004768053,0.0001370279645342558,1.7137134875840298e-06,0.0008357086127865377,3.8473273425828234,0.37435297030808223,0.48324365850538037,2.7349979898557064e-05,0.7536872677324955,5.510580603759444,0.8458407782093773,1.2756350020479261,1.1049050237620228e-09,0.6333971514871612,1.2871500801051207e-06,7.750641166941041e-07,0.6766446055035784
2026-02-27T15:49:12,12.5,576,0000d0b4,1.020441,0.0320,0.0913,0.0634,0.0979,0.0861,0.0821,0.1243,0.005290,0.000074,0.003935,0.005386,0.003660,0.000686,0.020889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.7,13.9,15.9,28.2,39.9,8.2,10.1,1,2,2,2,2,2,0,0.5320030606637542,0.00015385923711427088,1.5750219100824782e-06,0.0007477031220671412,3.7704688636027965,0.3322742035931599,0.5990362363458535,2.581291649630036e-05,0.8568359504764247,5.497484132642308,0.9200234096310168,1.1688704193743893,1.0642435356096569e-09,0.46318101641369175,1.2254800244465987e-06,1.0441383907548996e-05,0.7322062479601165
2026-02-27T15:52:37,15.9,752,e6dccc6e,0.394906,0.0461,0.0887,0.0714,0.1127,0.1193,0.0791,0.1654,0.004262,0.001778,0.006532,0.004998,0.003057,0.001044,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.1,36.5,3.3,17.9,28.1,17.2,3.4,1,2,1,0,0,2,2,0.625649065196989,0.0001577896719328836,1.6999818728634566e-06,0.0008451887608978624,4.077074329871974,0.3285187962568,0.602195907788976,2.101968017904397e-05,0.8771918576448682,5.413792421292177,0.8957245963324068,1.165693360752599,9.535192105821565e-10,0.37419076188152406,1.1735746000014794e-06,4.577884774903134e-06,0.7328218097173917
