id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f30,velocity_scene2_f10,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f30,cost_scene1_f10,cost_scene1_f30,cost_scene2_f10,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,best_trial_scene1_f10,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f30,best_trial_scene2_f50,best_trial_scene4_f10,best_trial_scene4_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
09f7675c,5.532229631934062,13.1,0.04016607000720837,0.07559478688002749,0.054078814061289525,0.0,1.7085079432884964,0.9000499341918111,2.8572343555597826,0,0.03093483213017259,0.04939730788424416,0.057220838464374806,0.09787657928972443,0.07168694288598323,0.06864441258936309,0.03951321553321596,0.3899271051794501,1.3185808381090462,0.08160711365168803,0.2894290376160711,0.529013782924052,0.1971130085917636,2.660121346968019,0.0028300605435443043,0.002738078360544343,0.006335551734012198,0.0040638737607144705,0.004939225566165064,0.0012327264048739444,0.0013938337058348562,0.0,0.04643783271953992,0.0,0.0,0.0,0.0,0.0,1.2071105339485464,120.13018750322338,0.7569718636960094,54.190388762019836,38.88058656758014,8.55917104529873,4.953804054721175,0,2,0,0,0,1,0,0.5206083758811973,0.00014345220084263646,1.6869444803297771e-06,0.0007495190964721507,4.379561418227481,0.23757743713246604,0.5980605820244485,3.1205793831311764e-05,0.8348861142206573,5.525318965454794,0.8755027368574937,1.1099187163844109,9.429460559058559e-10,0.4656397574773057,1.2260744693462633e-06,2.13286779124272e-05,0.6934925127713927
543a3aa8,4.3591374393212705,13.1,0.035369479250943886,0.07197906968084761,0.1262101677451938,0.0,1.7113321672830402,2.3459821156788285,0.12846787327436882,0,0.03291184546406558,0.03782711303782219,0.07438909474578502,0.10354449512734926,0.038003619169408545,0.09858971937935095,0.15383061611103666,0.27186992704904706,1.4394622402339932,0.09006763662988902,0.1932377980497805,2.062676680999159,0.11415303762444255,0.01431483564992627,0.0005691778034177457,0.00328722108671378,0.004062272930251639,0.0017395119949125354,0.00224583210128735,0.0025373521817067634,0.0013350678894759247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.071675305141637,29.647322169569595,54.53635062922107,2.7927733247119675,17.294775416332154,42.246096736009136,27.782200287149344,2,1,2,0,2,2,1,0.5335055371926282,0.0001270680089328522,2.1957516650302337e-06,0.0007892065722696892,3.9562637226639934,0.36355877371470435,0.6043254030539931,3.2624252903773984e-05,0.8490962365595288,5.480031396484436,0.8881243517623247,1.1244607328216525,9.52311284061901e-10,0.40790016638342147,1.2439041315802507e-06,7.248059060336598e-06,0.7481159417694379
3422bdb1,3.7686259769207267,13.1,0.05597459522740801,0.07350202493078595,0.07156870121984531,0.0,0.23711285521591166,1.8720694194879433,1.5501806594235703,0,0.03375012052140541,0.07819906993341061,0.07350662384635004,0.09980628299655579,0.04719316794945199,0.0771032402592469,0.06603416218044371,0.22824517142219766,0.008867683793714009,0.07290092531706666,0.254476894030549,1.5446916001403277,0.04980090965897568,1.5003797497645945,0.0015804901348600707,0.004104439817122266,0.003467446631771378,0.0023787891462979287,0.006237720304319843,0.0016520072594035226,0.004528538523276888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1866819649208347,6.579357683388832,3.7539880501464578,7.708824704334551,14.055100140250198,6.926445553734562,46.30456776017088,0,0,0,0,1,1,0,0.6133789413116268,0.00014460607619896769,1.7600649502702857e-06,0.0006486949797179556,4.277957233843992,0.39403799618962115,0.5534447140284852,2.8953997588695528e-05,0.8193151685291379,5.455437222172454,0.931935672538051,1.0979789546858418,1.0130503614427563e-09,0.5331633632333255,1.2210020642269844e-06,1.783732935851758e-05,0.7293491196291813
6e552147,3.1615420767511475,13.1,0.06328689037514364,0.0887846797607078,0.12334667558264989,0.0,1.653912605184893,1.3589859071533301,0.09831691154982386,0,0.032985866485165355,0.09358791426512192,0.06796297695128788,0.09049578764065214,0.10789527469018333,0.08149336237092604,0.16519998879437375,0.26794828396207326,1.3859643212228197,0.0067306363340069566,0.4435721048807347,0.9086831659385884,0.011778729868781692,0.08653818168104217,0.004162201555962652,0.00725721305877881,0.006100103445020863,0.003501090945253525,0.00801615493798691,0.0007322560488777189,0.007371760098591383,0.0,0.03423726461519215,0.0,0.0,0.1188324349781295,0.0,0.0,45.206726249326984,158.9887552887158,5.951360289657619,34.32175185477464,133.63975987964537,7.002237909119515,5.466651691915652,2,1,2,2,1,1,0,0.4728810280240509,0.0001433231501543416,1.813455363644548e-06,0.0007659789959562549,4.206432215337643,0.3279879945419722,0.5970896773540351,3.3200333498010445e-05,0.7358246865753872,5.470517759114612,0.9239962388759544,1.149413062026588,1.0946680796572778e-09,0.4332061611835145,1.3525824954743813e-06,5.9801443457975755e-06,0.7291797170912087
2acdde65,1.6608492094234881,13.1,0.04827868562331995,0.09932163421417871,0.11644439888421582,0.0,0.8283387962220152,0.2210231544828968,0.5371322687105344,0,0.026561934083734702,0.0699954371629052,0.06490296071910515,0.11048647897850604,0.12257546294492493,0.0617721892663077,0.17111660850212393,0.7263127300149695,0.1020260662070457,0.0005492861887412827,0.10187035772419449,0.11860351056996103,0.38864321175408234,0.14848905695645212,0.0017513783526529544,0.010995943257213519,0.0003697476924150202,0.0023639480278679244,0.008863573583172378,0.0028942543336143104,0.012576119695257626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.339248551020588,19.913631012755665,31.661178438075613,40.68137909763117,12.943559843816683,17.572762395781776,22.44505203095987,2,1,2,0,0,2,2,0.46656196668466293,0.00014385531277298077,1.7059984539121436e-06,0.0008094986092912341,3.5192132006642156,0.38981471000926743,0.600733177027129,2.5655219778470255e-05,0.8317762502093741,5.462524689419732,0.9379849673681446,1.1408799300315704,1.0242649545483095e-09,0.3995340595189889,1.1311526644557601e-06,7.884748515398314e-06,0.7563131845229175
b42ad73d,2.814696343231534,13.1,0.05272449623618999,0.09502405062404769,0.1153094542981214,0.0,0.9448031060299373,1.8294846754429765,0.02292631921405503,0,0.03069731866441994,0.07475167380796004,0.06267549343257726,0.1166897640508549,0.10570689438871089,0.0804103156347271,0.1502085929615157,0.40549528738601154,0.5393078186439259,0.009937831533061398,0.04570504065962061,1.7738418032502945,0.018720810231938306,0.004205508982116723,0.0006489402973819115,0.0011654969926532329,0.003616195440630263,0.013946615481380896,0.009170343399819309,0.0013100611560428524,0.0042742171972885296,0.0,0.03224603662820131,0.0,0.0,0.055046628726673395,0.0,0.0,45.97272362128939,119.65871893778737,34.75511760190207,5.468375697210242,176.0686761705231,3.7437665163348877,7.83175999171227,1,0,2,0,0,2,2,0.4586669390177538,0.00012600171563213972,1.5541333314422399e-06,0.0007239034548042752,4.971520897998936,0.3780266681366028,0.6064420848750184,2.6277121369446827e-05,0.9013144865861086,5.499890725235873,0.952917323735571,1.1427053566061982,1.1264030148290518e-09,0.473417271239828,1.2299563052108632e-06,2.0318172989131565e-05,0.7551568280400156
0cbac060,3.5764749716432283,13.4,0.05783319111868228,0.07191534744958536,0.07616730262039931,0.0,0.8627844899325092,1.3031537359125056,1.3476106833135844,0,0.030110428046605835,0.08555595419075872,0.05147684510225822,0.09790234470079925,0.0663668525456986,0.08183312478289485,0.07050148045790375,0.44542327309056184,0.4173612168419474,0.2315199585266849,0.2888747099856062,0.7827590674002145,0.009942506937022939,1.3376681763765614,0.0032999770709119807,0.0018997917308906384,0.0022019251908028882,0.0013394760116612866,0.02566595710552716,0.001607466495520886,0.007695452452044384,0.0,0.055257181971622375,0.0,0.0,0.03758492681063278,0.0,0.0,3.0440529508471292,108.89920894877577,13.450995097207421,37.999639591773956,6.254991129128268,21.04124921396284,22.05427672425726,0,2,2,0,2,0,1,0.42702623439497167,0.0001289002493564026,1.7394822188191672e-06,0.0008273262113090269,3.9190775493010244,0.3589298875353507,0.5664990331815699,2.6760608318219847e-05,0.9119548627030163,5.497328701153061,0.9419559508393636,1.1228973496056687,1.12842213908134e-09,0.3329330624040933,1.1253654549587654e-06,2.0732418962365754e-05,0.7220388365448567
