id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,cost_scene1_f10,lateral_scene1_f10,tumble_scene1_f10,yaw_scene1_f10,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
4f97c8b1,1.9350633474541963,0.2,0.019348568977358063,0.0,0.0,0.0,1.9350633474541963,0,0,0,0.019348568977358063,1.9350633474541963,0.002832109649314383,0.0,0.7633010629502823,0.09115898953282829,0.00022120470971599885,1.2636370112546204e-06,0.002275239799495442,3.075983369520764,0.426983671946387,0.3919269923179156,3.130586037064603e-05,0.6333871502514898,5.125843642821672,0.7363800069057747,1.43060492888747,3.667750878733103e-10,0.1443031761396221,1.0853993339521165e-06,0.0016078478349057608,0.6515250452502638
e8eb3afd,2.1451091823161157,0.2,0.08473585945569019,0.0,0.0,0.0,2.1451091823161157,0,0,0,0.08473585945569019,2.1451091823161157,0.000657581641208153,0.0,2.6110725078329153,0.7577876036678411,0.00015101656315573856,4.5436753552290765e-06,0.0015533116322493908,2.7767429857025907,0.43048597902257146,0.7829346986285617,7.394347424842105e-06,0.7076592449547581,4.465938924704017,0.9277279606066191,0.6875013859262115,8.122332000636503e-10,0.12451712869817924,1.0575585953210055e-06,0.00022068994833998669,0.876299973931412
92c79874,3.198431515602505,0.2,0.010250132999495497,0.0,0.0,0.0,3.198431515602505,0,0,0,0.010250132999495497,3.198431515602505,0.001708855262809895,0.0,0.7471123920364096,0.14187008259139358,0.0002448919021820571,3.857841180100272e-06,0.0033083609971983207,1.1508049614401286,0.41234086268659986,0.9269510781131453,1.6148342821209966e-05,0.665842537841928,5.180631825360637,0.6104823455413925,1.2203168521984151,3.335220937776997e-10,0.5393745992531349,1.2049646229751796e-06,0.0007258595868928896,0.9569794384744856
bd5f34fa,1.0246042864512739,0.2,0.07437729353019719,0.0,0.0,0.0,1.0246042864512739,0,0,0,0.07437729353019719,1.0246042864512739,0.0007786169063576377,0.0,3.319786734733111,0.6169671819658633,0.0002497311780057785,6.944580105053123e-06,0.00285693187625554,3.1611901999119594,0.6154651774921049,0.9897362598970286,2.878510752329698e-05,0.5576568697980795,5.010943640565169,0.5809048427490309,1.488893888274431,5.900750752982479e-10,0.1386157098574788,1.4995459917774762e-06,0.00041024386102328026,0.995954260895247
420d6044,0.012378178805095931,0.2,0.053747459574440055,0.0,0.0,0.0,0.012378178805095931,0,0,0,0.053747459574440055,0.012378178805095931,0.00037639825584341737,0.0,1.4634144887549068,0.38607855765480603,0.00019518164424201496,5.077773554846504e-06,0.0017339246532666558,2.785500982648091,0.3245100940613671,0.759770680889387,7.015007500583681e-05,0.9370829064303882,4.882197424889374,0.6153211234822014,1.0874669559767445,2.0294155396507964e-09,0.32407823254546875,1.2615487949551354e-06,0.0010073140000593876,0.8376515427621813
09afd1fe,0.1986527124149477,0.2,0.061405361880193396,0.0,0.0,0.0,0.1986527124149477,0,0,0,0.061405361880193396,0.1986527124149477,0.0007242516185462271,0.0,1.3220380907085911,0.42918862349649944,0.00011223816428824779,4.421228689223688e-06,0.0009507711029161401,9.450637842975276,0.13644198180856215,0.8476942461218514,0.00010210275497905774,0.523583692783355,4.96547505381801,0.5061376312235527,1.182259467507931,2.6450309379975323e-10,0.3022918910506332,1.2094069691263553e-06,0.0002711917012486678,0.8683903755972209
1c216c46,0.16401917494867818,0.2,0.0604731838196915,0.0,0.0,0.0,0.16401917494867818,0,0,0,0.0604731838196915,0.16401917494867818,0.0009071909024077659,0.0,1.6455917466634011,0.4747587866223016,0.00022892097294968495,2.1570554787969328e-06,0.005457363815586203,2.087524280046158,0.5220992265027223,0.6506049066742376,2.25113826149678e-05,0.8762617706347083,4.620321678865447,0.581876307527986,0.7209844987028732,3.3914000435625946e-10,0.17084258292544097,1.107334688948889e-06,0.0010980204515116138,0.8329587541527972
8d78ddca,0.3348004727930204,0.2,0.0379513603897321,0.0,0.0,0.0,0.3348004727930204,0,0,0,0.0379513603897321,0.3348004727930204,0.0014377384084130656,0.0,1.2746437810358229,0.2804247988665838,0.0003635968491161232,3.3457343263931853e-06,0.0011798579276636328,4.129530564378713,0.49819586232058777,0.6807566231873783,5.247767229070043e-05,0.3530988411715862,5.572546181327621,0.5002036326849699,1.3737462618429426,1.402198399652254e-09,0.2280825417978136,1.0000302925805426e-06,0.00024051027900407246,0.83973427692636
d1187dd3,0.5771849873624464,0.2,0.03380432238851926,0.0,0.0,0.0,0.5771849873624464,0,0,0,0.03380432238851926,0.5771849873624464,0.0009863156984115068,0.0,2.572138695376268,0.43324296979552235,3.0680488836064236e-05,3.930372317311585e-06,0.00353163493843561,1.907991990977506,0.25285216064352856,0.7653184600890608,4.096965299537304e-05,0.24567605651955993,5.420869501561659,0.6010804844085733,1.4599834218352281,3.1754912959720823e-10,0.3814979629641938,1.0007553036273986e-06,2.6079659441893974e-06,0.8245816626726834
5e2bb033,0.20108990611072378,0.2,0.061467863348482976,0.0,0.0,0.0,0.20108990611072378,0,0,0,0.061467863348482976,0.20108990611072378,5.149683309710451e-05,0.0,0.21223550555075832,0.37050598402597135,0.00010348796415149113,1.4780751736961107e-06,0.0012460777923073785,9.090678133251338,0.03536849423145443,0.9183932326963099,8.400329175616183e-05,0.7152044322784347,5.099928141332731,0.7512760406501939,1.0801645922713137,6.873489196425849e-10,0.11260282505828462,1.0174540935878377e-06,0.0021505230085841326,0.9211877018516685
