timestamp,elapsed_min,n_eval,id,cost,vel_scene1_f10,vel_scene1_f30,vel_scene2_f10,vel_scene2_f30,vel_scene2_f50,vel_scene4_f10,vel_scene4_f30,lateral_scene1_f10,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f30,tumble_scene1_f10,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f30,yaw_scene1_f10,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-03-03T22:43:41,1.2,16,5b55f3d7,4.434448,0.0273,0.0385,0.0959,0.1482,0.0871,0.0763,0.0910,0.003863,0.003279,0.001921,0.003132,0.008112,0.001789,0.002131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.1,17.4,6.4,1.5,7.9,4.8,5.5,1.2439940810252463,2.342009417615706e-05,1.8653216597397978e-06,0.001516260040468109,2.52664120077734,0.2267054625299206,0.3277346127733718,4.917261504059441e-06,0.06625725427993379,5.278832181551642,1.1546129300144286,1.3948751007242821,4.987607870230302e-10,0.7063241065966575,1.4478992974932013e-06,3.7901704468817274e-05,0.48010807486616336
2026-03-03T22:47:13,4.7,48,9edfb78d,3.404240,0.0233,0.0863,0.0837,0.1015,0.1004,0.0645,0.0733,0.000338,0.003987,0.005024,0.001440,0.006430,0.001849,0.004201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.0,9.0,1.1,5.1,8.1,3.6,11.7,1.0650697660158865,5.33324938153645e-05,1.107787708469759e-06,0.000796412919531066,2.6124482187669846,0.38413242643748013,0.0895093514462302,1.6143512983993172e-05,0.2366891203580752,5.010319526443923,1.329487888385211,1.1154594021952153,5.208327764892614e-10,0.5203622578394849,1.0122488726522938e-06,0.00012864872707941545,0.4392493825886801
2026-03-03T22:48:52,6.4,64,52d55e63,3.399665,0.0340,0.0852,0.0667,0.0628,0.0783,0.0567,0.1233,0.003591,0.006707,0.004242,0.003569,0.003574,0.000355,0.001221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6,19.4,5.2,0.6,9.5,8.4,4.6,0.7670848962342725,3.384999723118274e-05,1.0971386910799685e-06,0.0021538718815432875,2.5750241225288018,0.22357821465169053,0.25688300546361886,1.875707925873507e-05,0.45468390716869245,5.3602263443416645,1.0310540697468684,1.246057183201591,9.472170932723472e-10,0.5630837969409173,1.0066566515096456e-06,0.00017067833719853017,0.42300208807884665
2026-03-03T22:59:50,17.3,192,cc9ac51b,2.010875,0.0302,0.0708,0.0549,0.0890,0.0781,0.0644,0.1281,0.002965,0.002785,0.004426,0.002246,0.006558,0.002081,0.001643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.4,3.6,5.3,7.2,17.1,6.1,8.4,0.46910594979717346,1.898147439219713e-05,1.242563042779767e-06,0.0011235734588834095,6.970355053688921,0.448746495031737,0.23200125602315344,2.6640364302687476e-05,0.586632955084615,5.297819817141443,0.8067101349521341,1.497892894714577,7.718567617108898e-10,0.4179035560580009,1.0231811842703208e-06,4.5397294463190043e-05,0.5766148004459374
2026-03-03T23:01:07,18.6,208,370f6e73,1.597833,0.0477,0.0424,0.0641,0.1126,0.0947,0.0813,0.1226,0.003201,0.000552,0.004914,0.002196,0.000991,0.001460,0.005781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.0,3.0,27.0,3.2,12.4,11.3,17.1,1.0212832424670897,1.8813028419432797e-05,1.0170113565812133e-06,0.0011419503078030874,3.2692574348853065,0.12874655582308525,0.2668875372318589,5.539349738341587e-05,0.513555953460675,5.391870440696391,0.5660766419339807,1.3309695518515618,6.464719993900604e-10,0.1952636424334228,1.0685615368373112e-06,1.5034911194793074e-05,0.3612465530905137
2026-03-03T23:03:39,21.2,240,efcfce97,1.520659,0.0353,0.0916,0.0702,0.1216,0.1217,0.0765,0.1110,0.000733,0.005749,0.001662,0.002066,0.002147,0.003802,0.002143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.1,11.1,18.0,14.9,2.2,0.8,1.0,0.783005155486898,2.6164423692214646e-05,2.6762531304868438e-06,0.002521772283672441,3.2934050036219165,0.11850823862788076,0.04246918218955639,3.275630229509649e-05,0.46609946701792737,5.412927700146577,0.733092653617629,1.4995871747579514,4.4305826918039757e-10,0.026043917143370125,1.2452151778722606e-06,8.69347788505904e-05,0.15594022592196732
2026-03-03T23:04:56,22.4,256,76e98595,1.515364,0.0420,0.1095,0.0833,0.1269,0.0896,0.0860,0.1237,0.004554,0.003933,0.002071,0.003447,0.003033,0.002873,0.006808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.7,6.5,2.5,3.6,2.7,2.4,8.9,1.1292365703357992,2.281292286286323e-05,2.128961669260595e-06,0.0017230418890225138,2.0461064641431883,0.2658662889907118,0.09793367275844944,2.0005191076071404e-05,0.24788845167692863,5.3894355598005355,0.6592005641915168,1.4995048503154924,5.437003349029577e-10,0.1576646233580103,1.4392900572403487e-06,4.4228164629147e-05,0.3377529062383657
2026-03-03T23:06:19,23.8,272,a0d47a69,0.978606,0.0404,0.0760,0.0823,0.1106,0.0801,0.0859,0.1399,0.002253,0.005230,0.003558,0.001810,0.003292,0.002680,0.000335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.0,3.1,0.8,3.1,9.1,1.9,12.6,0.8022233787959335,2.6897665012576297e-05,1.2506568509968296e-06,0.0011390484734222059,2.5971868634075066,0.2921638398418488,0.2287361245561569,3.2354955864074133e-05,0.679581484449518,5.253223982772609,0.7653073872639236,1.4939079390103471,5.425125459375657e-10,0.11916772984957398,1.429787197013032e-06,1.8683854444317802e-06,0.4540486663246799
2026-03-03T23:15:55,33.4,384,81da13fa,0.821998,0.0419,0.0827,0.0614,0.1162,0.0753,0.0792,0.1398,0.004255,0.006892,0.007284,0.004792,0.003966,0.000859,0.002425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.5,24.2,3.1,1.6,8.9,2.9,1.7,0.6847921320987593,3.287358916258195e-05,1.2719484606944178e-06,0.0013875283485498297,3.1408910511153234,0.3561565155019851,0.13284749766463327,1.9346264544715135e-05,0.5771568456317104,5.412037802741266,0.9063930596409064,1.421976747650424,6.301515454037175e-10,0.41084273905589225,1.1549483426041202e-06,9.438231063877672e-06,0.441676226555458
2026-03-03T23:18:53,36.4,416,61f59f2f,0.774711,0.0382,0.0802,0.0640,0.1100,0.1156,0.0763,0.1141,0.004886,0.003564,0.007762,0.003298,0.003766,0.006502,0.003095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.7,3.7,2.2,9.9,3.0,1.7,9.3,0.540597845504896,2.95420203029599e-05,1.4208933518792409e-06,0.0014640235587607753,4.126514909873849,0.18400680715903175,0.2552064730637612,2.061732971562512e-05,0.8340444751371672,5.431821427385456,0.890731667435622,1.4992923215838951,6.313577590750831e-10,0.3913199276161713,1.1841473613380203e-06,1.453827087608884e-06,0.3922280313007065
