timestamp,elapsed_min,n_eval,id,cost,vel_scene4_f30_step,lateral_scene4_f30_step,tumble_scene4_f30_step,yaw_scene4_f30_step,best_trial_scene4_f30_step,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
2026-02-25T03:01:54,0.1,16,cabb253c,0.850233,0.1181,0.094340,0.259586,178.4,1,0.10943247041894745,0.0054137856157975995,6.468765143711126e-05,0.0007610148492326899,3.93207626079664,0.8470362370206123,0.4138497587206871,0.0005701054236414092,0.9110995363326464,4.774457789432787,1.4769867510212185,1.017750763514779,2.0703741860005755e-09,30.59333302453996,2.247169416279317e-05,0.0031194525792655557,0.9102988684467682
2026-02-25T03:01:59,0.2,32,0c599fc8,0.231768,0.0980,0.026920,0.162804,79.6,2,0.09932172756963409,0.001055168286175732,9.655856617180499e-05,0.00129545852910852,3.1791682159235375,0.4508935331190273,0.8784050015481203,0.00041076612981165607,0.1009477605298924,4.409654929352922,1.3078322866952539,1.3782606967336315,2.388324116895836e-09,29.533238644461715,4.056070059364106e-06,0.0017166328498655395,0.9331435595095361
2026-02-25T03:02:16,0.5,128,50506e58,0.188497,0.0884,0.004135,0.183072,21.3,2,0.13403933098339768,0.001620714856115728,0.00019378453616427757,0.0007583782726232825,2.7321366878257622,0.22332269719208944,0.25675041131382337,0.00047675994129106364,0.568866272412967,3.996955234692532,1.3995384007096618,1.3929583364934592,4.265504674270636e-09,30.590752055103923,3.256884543531474e-05,0.001764650927657787,0.422709239105
2026-02-25T03:02:21,0.6,160,df48046f,0.179565,0.0923,0.002502,0.173324,179.3,1,0.09786519242578254,0.0011667993988881014,6.506668188751578e-05,0.0016360776235808771,3.05389064179423,0.9378835853244349,0.12077642002174277,0.0005331620011301298,0.528499258932677,4.367397192373784,1.3588082793523824,1.3213586662085148,6.074223547398995e-09,30.772683161522252,4.926528315861779e-05,0.0015886981299473072,0.9453737058715336
2026-02-25T03:03:36,1.8,464,75ff8ef4,0.156286,0.0788,0.043171,0.038260,7.9,1,0.7727889286560958,0.0005186650812730616,0.00024977060885773546,0.009849548084017662,2.4364411519166325,0.7005477110217765,0.09488584873732334,0.00011442790380921202,0.8221285388077826,5.836931938834872,1.2422167254321104,1.4721661679606475,1.2991467851605227e-09,30.2407323994412,1.175440951720226e-05,3.148098369515837e-06,0.7289520070329357
2026-02-25T03:03:53,2.1,560,74bc8a73,0.123233,0.0899,0.002824,0.120395,177.0,0,0.9581886040096711,0.0010420840811371246,0.0009946517923741776,0.00030977619722613456,6.570417343473049,0.8272576449103284,0.6898363907882048,0.00012868755283188321,0.45024845962831683,5.117138131775247,1.0456271720250656,1.085212122916949,3.8205263659105e-09,30.042017322028496,5.241128718448547e-06,0.0006095669533217895,0.9463526240425632
2026-02-25T03:03:56,2.1,576,17604d8a,0.074393,0.0857,0.001101,0.062978,175.6,2,0.9287683575668533,0.0014617792305102264,0.0008913198407120526,0.0007158273001181642,9.189220610928366,0.9373913545050367,0.6852908639252892,0.00010526359832041601,0.5935375464644536,4.839285637592627,1.3476394069382929,1.4335930410843434,3.138482391499617e-09,30.589393723797386,2.4673565444456915e-05,5.749091239909211e-05,0.9802279581790797
2026-02-25T03:04:19,2.5,704,1a0d133d,0.073767,0.0866,0.006414,0.061159,175.5,2,0.44702880654285243,0.00019808538070975574,0.000525795754901195,0.001045783489696999,5.728075584045383,0.6131470439183284,0.24219316197538165,0.0002862902434346971,0.735748755745249,5.560663597914005,0.9073831832261585,0.7779168629024646,2.677684580025903e-09,29.781820624266633,0.0001793173877326522,0.0008768726358418697,0.7068159652550744
2026-02-25T03:04:25,2.6,736,5c1c6472,0.057996,0.0890,0.000158,0.057431,179.0,2,1.0470609650173175,0.0001990359617614823,0.0009962432566774353,0.0001955585635411859,2.5205293431534948,0.558517785277847,0.5463565609661479,0.0003696028978660424,0.5578752391849127,5.637664745855048,0.7664472348786349,0.8787377859680618,3.5310877580544038e-09,28.883502622064814,7.732626440054667e-05,5.8203273222885267e-05,0.7996698541850644
2026-02-25T03:04:52,3.1,896,f9aa44cc,0.056814,0.0900,0.034527,0.022265,39.2,1,1.9905901346559927,0.00010465965510948465,0.0008132081350074499,0.0001817136903589798,1.2879314166344191,0.3282372938025902,0.2856810583709386,0.0013489556829895859,0.9264899070757262,6.040074147754344,1.466074777885198,0.8466799713756971,6.929029541485993e-10,29.666563234114523,3.418398862736932e-05,0.0001969622669288766,0.5201186065773551
2026-02-25T03:05:06,3.3,976,87422cc5,0.025795,0.0886,0.003852,0.021005,164.4,0,1.2964066960716574,4.369364999738023e-05,0.0006050762021790855,0.00029562829303864607,4.3318477327044205,0.5155606616728312,0.30176602545528075,0.0001370282344152084,0.7648502201569677,6.192601358311412,1.3394769070108175,0.7547081246946127,7.384477736794385e-10,29.77791689733883,5.474600162391697e-05,0.0002668102088922823,0.6617178187714614
