id,cost,velocity_scene4,velocity_scene2,cost_scene4,cost_scene2,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,kp_mag
c03ee37a,0.0006910377634560414,0.22232638768925786,0.11678151749165866,0.0001519398334658879,0.0005390979299901535,9.250194153023259e-05,0.0007704296270904581,0.008787045724243584,0.001,1.0564238476355254,0.8533769569497108,0.9706601252259798,0.0005146282369677503,1.0229552912064934e-06
46efac02,0.0008602139316358146,0.2392887174218987,0.13845566732341055,0.0008578289682198326,2.384963415981967e-06,1.9290352278256936e-05,3.864703513067457e-05,0.1,0.045108702859997366,0.17967165641131477,0.9766070036510558,0.9791751267702593,0.0002603825348278004,1.1071059294504432e-06
5099c0d8,0.002556129994870389,0.25978187445451595,0.1311741872518617,0.0024782350242051883,7.789497066520084e-05,7.084445600952069e-05,3.240594816318375e-05,0.04210001529156105,0.04247042329343077,0.16999352237932502,0.8948123671571622,0.9810016509154929,0.0011271279999905653,1.050404927643497e-06
311923ef,0.006272154610237143,0.28838522917442605,0.1513097505502929,0.006144244152727294,0.00012791045750984998,0.21216445284244131,5.406539003974107e-05,0.0008634475504266603,0.042022206195005234,0.17423819128685386,0.9261544208316943,0.9809535575443481,0.001760791604663016,1.0455857224758026e-06
cb131ebe,0.009290478340369024,0.3000910035881638,0.1742649881489324,0.008116388927522547,0.0011740894128464772,1.2974097140863787e-05,0.0012563152773938675,0.0003975977214318099,0.005619900658147928,1.950135485798773,0.8442265546817579,0.9544397152921081,0.0017249321573178998,5.820013372709849e-07
aaa489f0,0.01300222181503449,0.2963060690374095,0.06547829670260892,0.007448737552690101,0.00555348426234439,1e-05,0.1,1e-05,0.05657659333313774,0.45883824472472456,0.99,0.95,0.0001,6.149289359398344e-07
e5144b93,0.013561668985509524,0.32633664050280403,0.14523975782177567,0.013534213923478665,2.74550620308592e-05,4.46232908114745e-05,0.026337529741417794,0.04076945456296343,0.025336824528291398,0.40697940374334785,0.8669592307677492,0.95,0.0016047877649424157,4.524451027208493e-07
897f2e17,0.014600200368983117,0.2704894215798471,0.035399664216989056,0.003658970123064476,0.010941230245918641,0.00018779716597741691,2.8352067789985928e-05,0.022376570587605015,0.0036667888775509146,0.6108253130810759,0.917332818704111,0.9501273009355681,0.0016178224509422697,8.696498839453939e-07
8079098c,0.01462966497778159,0.330948008976665,0.14111539336655518,0.014628420875419436,1.24410236215527e-06,0.10982752853164142,0.0019378017382314524,0.01215918249928257,0.019685180559896213,0.3718059040788033,0.8681972563264436,0.95,0.007075957663450619,4.165158299968839e-07
b6aea882,0.015000313432029193,0.3324520126643138,0.14241205855814623,0.014994495405541267,5.818026487926414e-06,0.002765350423451741,0.0004596010377348855,0.0031267789106105694,0.0209813147930227,0.3779784985363165,0.8812289824339086,0.95,0.0031419901880601316,4.784069590457378e-07
7724176e,0.015088563990150723,0.3287433564265684,0.1085583191495165,0.01409998469544706,0.000988579294703662,0.02585353126241064,0.013192313880161045,1e-05,0.020846849391649585,0.7664944638209148,0.97355978552516,0.9710950508362574,0.005251038151238168,5.657508432826263e-07
9d826ccf,0.015168518689290146,0.3062608029727242,0.06317307437924827,0.009266142188953625,0.005902376500336521,0.0011550982017304238,2.1094860029421196e-05,0.05196654156777426,0.03470710259004325,0.4890420332677211,0.9784569611813343,0.9694301337976537,0.00011307621716642033,4.855814254479651e-07
6d0f7a77,0.015395209286190937,0.31342313500552293,0.07145173647844673,0.010696344854370625,0.004698864431820313,0.02099772377408862,0.0002521897527700465,0.049187399260877326,0.0041236422658848925,0.6016010490909273,0.8670432064191991,0.9500407236648178,0.0005744467934195185,9.038632200672879e-07
d111b8c8,0.01669671330809533,0.11959840609179434,0.04767305308334298,0.008172448181144125,0.008524265126951206,1e-05,4.051090086022967e-05,0.0999833260370609,0.0991776373695973,0.2220734811712034,0.9873040220165519,0.95,0.0001,4.21156755893653e-07
56900902,0.016782154793676052,0.3385228571488826,0.12375100052421778,0.01651812480971208,0.00026402998396397127,0.5812886526169928,0.024868826764613283,0.0077075807724459365,0.024362507055146625,0.5865298132465157,0.807682382012302,0.9848224815946036,0.00016664091501238183,7.562632622090494e-07
092dff5e,0.017482176388285052,0.33250652306637773,0.09025738050250963,0.015007848193812942,0.0024743281944721103,0.05502019571941567,0.0001240824099257696,0.1,0.024424197350331703,0.8881355076590695,0.99,0.9616073836344925,0.00020125684891318427,6.244980149400792e-07
f2a13a90,0.01780608162950125,0.3419693923995677,0.15975249602430475,0.017415920530311078,0.0003901610991901743,0.642175822381365,8.281460624790496e-05,0.010768486600407481,0.04373730510386668,0.1668106245817466,0.8104095814658268,0.9799059512186687,0.0015111896954184431,1.1344271542938755e-06
